ipf_id,ref_kind,item_or_category_ref,category_id,item_group,name_ru,pf_id,pf_class,frequency_class,weight,count_limit_rule,allowed_seasons,refresh_class,find_context,owner_rule_ref,derivation_rule,wk_check,superseded_by,source_refs,confidence,status
ipf_it_hh_wooden_spoon__bathhouse,it,it_hh_wooden_spoon,cat_item_object_wooden_spoon_v1,HH_TABLEWARE,Деревянная ложка,bathhouse,settled_private,ubiquitous,8,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_bathhouse__in_use_or_stored__hh_tableware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 2,,master_link:ILO010183;master_link:ILO010278;master_link:ILO010283,B,candidate
ipf_it_hh_wooden_spoon__dwelling_interior,it,it_hh_wooden_spoon,cat_item_object_wooden_spoon_v1,HH_TABLEWARE,Деревянная ложка,dwelling_interior,settled_private,ubiquitous,8,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_dwelling_interior__in_use_or_stored__hh_tableware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 2,,master_link:ILO010180;master_link:ILO010181;master_link:ILO010275;master_link:ILO010276;master_link:ILO010280;master_link:ILO010281;master_spawn:SPN001:OMI01799;master_spawn:SPN001:OMI01800;master_spawn:SPN001:POT0002;master_spawn:SPN017:OMI01780;master_spawn:SPN017:POT0002,B,candidate
ipf_it_hh_wooden_spoon__ordinary_workshop,it,it_hh_wooden_spoon,cat_item_object_wooden_spoon_v1,HH_TABLEWARE,Деревянная ложка,ordinary_workshop,workplace_master,ubiquitous,8,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_ordinary_workshop__in_use_or_stored__hh_tableware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 2,,master_link:ILO001127,B,candidate
ipf_it_hh_wooden_spoon__peasant_homestead,it,it_hh_wooden_spoon,cat_item_object_wooden_spoon_v1,HH_TABLEWARE,Деревянная ложка,peasant_homestead,settled_private,ubiquitous,8,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_peasant_homestead__in_use_or_stored__hh_tableware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 2,,master_link:ILO001128;master_link:ILO001131;master_link:ILO010182;master_link:ILO010277;master_link:ILO010282,B,candidate
ipf_it_hh_wooden_spoon__town_courtyard,it,it_hh_wooden_spoon,cat_item_object_wooden_spoon_v1,HH_TABLEWARE,Деревянная ложка,town_courtyard,settled_private,ubiquitous,8,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_town_courtyard__in_use_or_stored__hh_tableware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 2,,master_link:ILO001128;master_link:ILO001131;master_link:ILO010182;master_link:ILO010277;master_link:ILO010282,B,candidate
ipf_it_hh_wooden_spoon__town_street,it,it_hh_wooden_spoon,cat_item_object_wooden_spoon_v1,HH_TABLEWARE,Деревянная ложка,town_street,public_street,ubiquitous,8,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_town_street__in_use_or_stored__hh_tableware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 2,,master_link:ILO001130,B,candidate
ipf_it_hh_long_spoon__cellar_granary,it,it_hh_long_spoon,cat_item_object_long_handled_spoon_v1,HH_TABLEWARE,Деревянная ложка длинноручная (разливательная),cellar_granary,settled_private,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_cellar_granary__in_use_or_stored__hh_tableware,R_WHERE_USED_TEXT,pf in WK place-first-cartography; item WK refs: 1,,master_where_used:POT0003,C,candidate
ipf_it_hh_long_spoon__dwelling_interior,it,it_hh_long_spoon,cat_item_object_long_handled_spoon_v1,HH_TABLEWARE,Деревянная ложка длинноручная (разливательная),dwelling_interior,settled_private,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_dwelling_interior__in_use_or_stored__hh_tableware,R_WHERE_USED_TEXT,pf in WK place-first-cartography; item WK refs: 1,,master_where_used:POT0003,C,candidate
ipf_it_hh_long_spoon__market_square,it,it_hh_long_spoon,cat_item_object_long_handled_spoon_v1,HH_TABLEWARE,Деревянная ложка длинноручная (разливательная),market_square,public_market,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_market_square__in_use_or_stored__hh_tableware,R_WHERE_USED_TEXT,pf in WK place-first-cartography; item WK refs: 1,,master_where_used:POT0003,C,candidate
ipf_it_hh_long_spoon__ordinary_workshop,it,it_hh_long_spoon,cat_item_object_long_handled_spoon_v1,HH_TABLEWARE,Деревянная ложка длинноручная (разливательная),ordinary_workshop,workplace_master,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_ordinary_workshop__in_use_or_stored__hh_tableware,R_WHERE_USED_TEXT,pf in WK place-first-cartography; item WK refs: 1,,master_where_used:POT0003,C,candidate
ipf_it_hh_turned_bowl__bathhouse,it,it_hh_turned_bowl,cat_item_object_wooden_bowl_v1,HH_TABLEWARE,Точёная деревянная миска,bathhouse,settled_private,common,4,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_bathhouse__in_use_or_stored__hh_tableware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 2,,master_link:ILO010293,B,candidate
ipf_it_hh_turned_bowl__dwelling_interior,it,it_hh_turned_bowl,cat_item_object_wooden_bowl_v1,HH_TABLEWARE,Точёная деревянная миска,dwelling_interior,settled_private,common,4,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_dwelling_interior__in_use_or_stored__hh_tableware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 2,,master_link:ILO010290;master_link:ILO010291,B,candidate
ipf_it_hh_turned_bowl__peasant_homestead,it,it_hh_turned_bowl,cat_item_object_wooden_bowl_v1,HH_TABLEWARE,Точёная деревянная миска,peasant_homestead,settled_private,common,4,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_peasant_homestead__in_use_or_stored__hh_tableware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 2,,master_link:ILO010292,B,candidate
ipf_it_hh_turned_bowl__town_courtyard,it,it_hh_turned_bowl,cat_item_object_wooden_bowl_v1,HH_TABLEWARE,Точёная деревянная миска,town_courtyard,settled_private,common,4,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_town_courtyard__in_use_or_stored__hh_tableware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 2,,master_link:ILO010292,B,candidate
ipf_it_hh_hollowed_bowl__cellar_granary,it,it_hh_hollowed_bowl,cat_item_object_wooden_bowl_v1,HH_TABLEWARE,Долблёная деревянная миска,cellar_granary,settled_private,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_cellar_granary__in_use_or_stored__hh_tableware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 1,,master_link:ILO000501,B,candidate
ipf_it_hh_hollowed_bowl__dwelling_interior,it,it_hh_hollowed_bowl,cat_item_object_wooden_bowl_v1,HH_TABLEWARE,Долблёная деревянная миска,dwelling_interior,settled_private,common,4,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_dwelling_interior__in_use_or_stored__hh_tableware,R_SPAWN_PROFILE,pf in WK place-first-cartography; item WK refs: 1,,master_link:ILO000499;master_spawn:SPN001:HOU0014;master_spawn:SPN017:HOU0014;master_spawn:SPN043:HOU0014,B,candidate
ipf_it_hh_hollowed_bowl__ordinary_workshop,it,it_hh_hollowed_bowl,cat_item_object_wooden_bowl_v1,HH_TABLEWARE,Долблёная деревянная миска,ordinary_workshop,workplace_master,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_ordinary_workshop__in_use_or_stored__hh_tableware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 1,,master_link:ILO000497,B,candidate
ipf_it_hh_hollowed_bowl__outbuildings,it,it_hh_hollowed_bowl,cat_item_object_wooden_bowl_v1,HH_TABLEWARE,Долблёная деревянная миска,outbuildings,settled_private,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_outbuildings__in_use_or_stored__hh_tableware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 1,,master_link:ILO000501,B,candidate
ipf_it_hh_hollowed_bowl__peasant_homestead,it,it_hh_hollowed_bowl,cat_item_object_wooden_bowl_v1,HH_TABLEWARE,Долблёная деревянная миска,peasant_homestead,settled_private,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_peasant_homestead__in_use_or_stored__hh_tableware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 1,,master_link:ILO000498,B,candidate
ipf_it_hh_hollowed_bowl__town_courtyard,it,it_hh_hollowed_bowl,cat_item_object_wooden_bowl_v1,HH_TABLEWARE,Долблёная деревянная миска,town_courtyard,settled_private,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_town_courtyard__in_use_or_stored__hh_tableware,R_MASTER_LINK,pf in WK place-first-cartography; item WK refs: 1,,master_link:ILO000498,B,candidate
ipf_it_hh_wooden_cup__cellar_granary,it,it_hh_wooden_cup,cat_item_object_wooden_cup_v1,HH_TABLEWARE,Деревянная чашка,cellar_granary,settled_private,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_cellar_granary__in_use_or_stored__hh_tableware,R_WHERE_USED_TEXT,pf in WK place-first-cartography; item WK refs: 1,,master_where_used:POT0006,C,candidate
ipf_it_hh_wooden_cup__dwelling_interior,it,it_hh_wooden_cup,cat_item_object_wooden_cup_v1,HH_TABLEWARE,Деревянная чашка,dwelling_interior,settled_private,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_dwelling_interior__in_use_or_stored__hh_tableware,R_WHERE_USED_TEXT,pf in WK place-first-cartography; item WK refs: 1,,master_where_used:POT0006,C,candidate
ipf_it_hh_wooden_cup__market_square,it,it_hh_wooden_cup,cat_item_object_wooden_cup_v1,HH_TABLEWARE,Деревянная чашка,market_square,public_market,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_market_square__in_use_or_stored__hh_tableware,R_WHERE_USED_TEXT,pf in WK place-first-cartography; item WK refs: 1,,master_where_used:POT0006,C,candidate
ipf_it_hh_wooden_cup__ordinary_workshop,it,it_hh_wooden_cup,cat_item_object_wooden_cup_v1,HH_TABLEWARE,Деревянная чашка,ordinary_workshop,workplace_master,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_ordinary_workshop__in_use_or_stored__hh_tableware,R_WHERE_USED_TEXT,pf in WK place-first-cartography; item WK refs: 1,,master_where_used:POT0006,C,candidate
ipf_it_hh_wooden_dish__cellar_granary,it,it_hh_wooden_dish,cat_item_object_wooden_dish_v1,HH_TABLEWARE,Деревянное блюдо,cellar_granary,settled_private,contextual,2,piece:max 1 instance-group per first-arrival roll; place totals capped by place_generation_limits,winter;spring;summer;autumn,none,in_use_or_stored,own_cellar_granary__in_use_or_stored__hh_tableware,R_WHERE_USED_TEXT,pf in WK place-first-cartography; item WK refs: 1,,master_where_used:POT0007,C,candidate
