own_id,pf_id,pf_class,find_context,item_group,owner_kind,holder_kind,controller_kind,access_policy,recognizers_rule,named_person,property_profile_ref,source_refs,confidence,status,note
own_town_courtyard__in_use_or_stored__ag_fish_hunt,town_courtyard,settled_private,in_use_or_stored,AG_FISH_HUNT,household,household_member,household_head,owner_permission_required,"owner;household_members;frequent_witnesses(neighbours,regular_visitors)",no,property_context_fishing_v1,wk:place-first-cartography.json#town_courtyard;issue133:D14(issuecomment-5844152943);v5:property_profiles;rus13tpl:novgorod_property_rules_v1.json(draft),C,candidate,
own_town_courtyard__in_use_or_stored__church_consumables,town_courtyard,settled_private,in_use_or_stored,CHURCH_CONSUMABLES,household,household_member,household_head,owner_permission_required,"owner;household_members;frequent_witnesses(neighbours,regular_visitors)",no,property_context_household_personal_v1,wk:place-first-cartography.json#town_courtyard;issue133:D14(issuecomment-5844152943);v5:property_profiles;rus13tpl:novgorod_property_rules_v1.json(draft),C,candidate,
own_town_courtyard__in_use_or_stored__construction,town_courtyard,settled_private,in_use_or_stored,CONSTRUCTION,household,household_member,household_head,owner_permission_required,"owner;household_members;frequent_witnesses(neighbours,regular_visitors)",no,property_context_household_personal_v1,wk:place-first-cartography.json#town_courtyard;issue133:D14(issuecomment-5844152943);v5:property_profiles;rus13tpl:novgorod_property_rules_v1.json(draft),C,candidate,
own_town_courtyard__in_use_or_stored__cr_material,town_courtyard,settled_private,in_use_or_stored,CR_MATERIAL,household,household_member,household_head,owner_permission_required,"owner;household_members;frequent_witnesses(neighbours,regular_visitors)",no,property_context_household_personal_v1,wk:place-first-cartography.json#town_courtyard;issue133:D14(issuecomment-5844152943);v5:property_profiles;rus13tpl:novgorod_property_rules_v1.json(draft),C,candidate,
own_town_courtyard__in_use_or_stored__cr_tools,town_courtyard,settled_private,in_use_or_stored,CR_TOOLS,household,household_member,household_head,owner_permission_required,"owner;household_members;frequent_witnesses(neighbours,regular_visitors)",no,property_workshop_tool_property_v1,wk:place-first-cartography.json#town_courtyard;issue133:D14(issuecomment-5844152943);v5:property_profiles;rus13tpl:novgorod_property_rules_v1.json(draft),C,candidate,
own_town_courtyard__in_use_or_stored__cr_waste,town_courtyard,settled_private,in_use_or_stored,CR_WASTE,household,household_member,household_head,owner_permission_required,"owner;household_members;frequent_witnesses(neighbours,regular_visitors)",no,property_context_household_personal_v1,wk:place-first-cartography.json#town_courtyard;issue133:D14(issuecomment-5844152943);v5:property_profiles;rus13tpl:novgorod_property_rules_v1.json(draft),C,candidate,
own_town_courtyard__in_use_or_stored__food,town_courtyard,settled_private,in_use_or_stored,FOOD,household,household_member,household_head,owner_permission_required,"owner;household_members;frequent_witnesses(neighbours,regular_visitors)",no,property_context_food_trade_household_v1,wk:place-first-cartography.json#town_courtyard;issue133:D14(issuecomment-5844152943);v5:property_profiles;rus13tpl:novgorod_property_rules_v1.json(draft),C,candidate,
own_town_courtyard__in_use_or_stored__fuel,town_courtyard,settled_private,in_use_or_stored,FUEL,household,household_member,household_head,owner_permission_required,"owner;household_members;frequent_witnesses(neighbours,regular_visitors)",no,property_context_household_personal_v1,wk:place-first-cartography.json#town_courtyard;issue133:D14(issuecomment-5844152943);v5:property_profiles;rus13tpl:novgorod_property_rules_v1.json(draft),C,candidate,
own_town_courtyard__in_use_or_stored__hh_bedding_textile,town_courtyard,settled_private,in_use_or_stored,HH_BEDDING_TEXTILE,household,household_member,household_head,owner_permission_required,"owner;household_members;frequent_witnesses(neighbours,regular_visitors)",no,property_context_household_personal_v1,wk:place-first-cartography.json#town_courtyard;issue133:D14(issuecomment-5844152943);v5:property_profiles;rus13tpl:novgorod_property_rules_v1.json(draft),C,candidate,
own_town_courtyard__in_use_or_stored__hh_care,town_courtyard,settled_private,in_use_or_stored,HH_CARE,household,household_member,household_head,owner_permission_required,"owner;household_members;frequent_witnesses(neighbours,regular_visitors)",no,property_context_household_personal_v1,wk:place-first-cartography.json#town_courtyard;issue133:D14(issuecomment-5844152943);v5:property_profiles;rus13tpl:novgorod_property_rules_v1.json(draft),C,candidate,
