it_id,name_ru,name_en,category_id,category_status,category_scope,region_permission,subcategory,item_group,material,technique,size_band,mass_rule,mass_g_nominal,mass_basis,quantity_unit,condition_states,condition_vocab_ref,perceptual_cues,functions,typical_owner_roles,value_band,carry_form,mark_slots,identifying_text_slot,v5_item_template_ref,v5_container_template_ref,master_refs,wk_refs,attestation,source_refs,confidence,status,note
it_ps_comb_double,Двусторонний костяной гребень (составной),double-sided composite bone comb,cat_item_object_comb_v1,existing_v5_draft,universal,region_novgorod_land,grooming,PS_GROOMING,bone_or_antler;iron,carved;riveted,small,band:small [50-250 g per piece]; nominal 70 g,70,analog v5:item_tpl_nov_comb_v1 (src_gameplay_physical_policy_v3),piece,whole;worn_polished;cracked;teeth_broken;broken,cond_bone,"цвет: натуральные материалы | устройство: пиление и прорезка зубьев | следы: рабочая потёртость, пятна, копоть, починка",combing_hair,household_member;woman_of_household,ordinary,pouch;belt,own;orn;rep;wear;dmg;ins,TXT_OBJECT_OWNER_GRAFFITO,item_tpl_nov_comb_v1,,n1230:material_item:hou0026;n1230:material_item:omi00904;n1230:material_item:omi00907;n1230:material_item:omi00908;n1230:material_item:omi00909;n1230:material_item:omi01858,wk:material_culture:novgorod-wood-bone-horn-classes,"master HOU0026 (A): Прямое новгородское археологическое, архитектурное или письменное подтверждение в подходящем диапазоне; форму всё равно сверять с конкретным опубликованным экз… ; linked master rows 6, confidence set A ; v5 item_tpl_nov_comb_v1: 4 source bindings (comparative_period) ; WK approved claims: 1",master:n1230:material_item:hou0026;master:n1230:material_item:omi00904;master:n1230:material_item:omi00907;master:n1230:material_item:omi00908;master:n1230:material_item:omi00909;master:n1230:material_item:omi01858;v5:item_tpl_nov_comb_v1;wk:material_culture:novgorod-wood-bone-horn-classes;src:SRC005;src:SRC006;src:BIB_MEDYNTSEVA;src:SRC001;src:SRC061;src:SRC089;src:SRC039;src:SRC008;src:SRC033;src:SRC045;src:SRC058;src:SRC067;src:SRC103,A,candidate,
it_ps_comb_single,Односторонний костяной гребень,single-sided bone comb,cat_item_object_comb_v1,existing_v5_draft,universal,region_novgorod_land,grooming,PS_GROOMING,bone_or_antler;iron,carved;riveted,small,band:small [50-250 g per piece]; nominal 70 g,70,analog v5:item_tpl_nov_comb_v1 (src_gameplay_physical_policy_v3),piece,whole;worn_polished;cracked;teeth_broken;broken,cond_bone,"цвет: натуральные материалы | устройство: выпиливание, прорезка зубьев, шлифовка; возможные накладки | следы: рабочая потёртость, пятна, копоть, починка",combing_hair,household_member,ordinary,pouch;belt,own;orn;rep;wear;dmg;ins,TXT_OBJECT_OWNER_GRAFFITO,item_tpl_nov_comb_v1,,n1230:material_item:hou0027;n1230:material_item:omi00906;n1230:material_item:omi00909,wk:material_culture:novgorod-wood-bone-horn-classes,"master HOU0027 (A): Прямое новгородское археологическое, архитектурное или письменное подтверждение в подходящем диапазоне; форму всё равно сверять с конкретным опубликованным экз… ; linked master rows 3, confidence set A ; v5 item_tpl_nov_comb_v1: 4 source bindings (comparative_period) ; WK approved claims: 1",master:n1230:material_item:hou0027;master:n1230:material_item:omi00906;master:n1230:material_item:omi00909;v5:item_tpl_nov_comb_v1;wk:material_culture:novgorod-wood-bone-horn-classes;src:SRC005;src:SRC006;src:BIB_MEDYNTSEVA;src:SRC001;src:SRC061;src:SRC089;src:SRC039;src:SRC008;src:SRC033;src:SRC045;src:SRC058;src:SRC067;src:SRC103,A,candidate,
it_ps_comb_wood,Деревянный гребень,wooden comb,cat_item_object_comb_v1,existing_v5_draft,universal,region_novgorod_land,grooming,PS_GROOMING,wood,carved,small,band:small [50-250 g per piece]; nominal 70 g,70,v5:item_tpl_nov_comb_v1.mass_grams_per_unit (src_gameplay_physical_policy_v3),piece,new;serviceable;worn;cracked;split;repaired;charred;damp_swollen;rotting;broken,cond_wood,,combing_hair,household_member,trifle,pouch,own;orn;wear;dmg,none,item_tpl_nov_comb_v1,,,wk:material_culture:novgorod-wood-bone-horn-classes,v5 item_tpl_nov_comb_v1: 4 source bindings (comparative_period) ; WK approved claims: 1,v5:item_tpl_nov_comb_v1;wk:material_culture:novgorod-wood-bone-horn-classes;src:SRC005;src:SRC006,B,candidate,Тип по v5 comb (дерево) и Колчину 1968/1971.
it_ps_comb_case,Кожаный чехол для гребня,leather comb case,cat_item_object_comb_case_v1,proposed_new,universal,region_novgorod_land,grooming,PS_GROOMING,leather,sewn,tiny,band:tiny [1-50 g per piece]; nominal 20 g,20,band default tiny,piece,serviceable;worn;stiff_dry;mouldy;torn;patched;wet,cond_leather,"цвет: смешанные натуральные материалы, грязь, износ и случайные обломки",protecting_comb,household_member,trifle,belt;pouch,orn;wear;dmg,none,,,n1230:material_item:omi01859,claim:population-leather-case,master OMI01859 (C): Функционально и технологически правдоподобная гипотеза; не использовать как автоматическое наполнение без явного контекста. ; WK approved claims: 1,master:n1230:material_item:omi01859;wk:claim:population-leather-case;src:SRC105;src:SRC005;src:SRC008;src:SRC045;src:SRC067;src:SRC103,C,candidate,Master OMI01859 = C.
it_ps_razor,Бритва,razor,cat_item_object_razor_v1,existing_v5_draft,universal,region_novgorod_land,grooming,PS_GROOMING,iron;steel_edge,forged;ground_edge,small,band:small [50-250 g per piece]; nominal 70 g,70,v5:item_tpl_nov_razor_v1.mass_grams_per_unit (src_gameplay_physical_policy_v3),piece,serviceable;dull;rusted;bent;cracked;broken;repaired,cond_iron,,shaving,household_member;service_retainer;elite,ordinary,pouch,mk;wear;dmg,none,item_tpl_nov_razor_v1,,,claim:population-joining-steel-quench,v5 item_tpl_nov_razor_v1: 4 source bindings (comparative_period) ; WK approved claims: 1,v5:item_tpl_nov_razor_v1;wk:claim:population-joining-steel-quench;src:SRC032,B,candidate,Тип по v5 razor.
it_ps_mirror,Металлическое зеркальце,small metal mirror,cat_item_object_metal_mirror_v1,existing_v5_draft,universal,region_novgorod_land,grooming,PS_GROOMING,copper_alloy;tin_or_lead_alloy,cast;polished_surface,small,band:small [50-250 g per piece]; nominal 120 g,120,v5:item_tpl_nov_metal_mirror_v1.mass_grams_per_unit (src_gameplay_physical_policy_v3),piece,serviceable;tarnished;worn_smooth;bent;cracked;broken,cond_nonferrous,,looking;display,woman_of_household;elite,valued,pouch,orn;wear;dmg,none,item_tpl_nov_metal_mirror_v1,,,claim:casting-bronze,v5 item_tpl_nov_metal_mirror_v1: 4 source bindings (comparative_period) ; WK approved claims: 1,v5:item_tpl_nov_metal_mirror_v1;wk:claim:casting-bronze;src:SRC062,B,candidate,Тип по v5 metal_mirror.
it_ps_belt_knife,Поясной нож с прямой спинкой,belt knife with straight back,cat_item_object_utility_knife_v1,existing_v5_draft,universal,region_novgorod_land,knives,PS_KNIFE,iron;steel_edge;wood;bone_or_antler,forged;wooden_haft,hand,band:hand [250-1000 g per piece]; nominal 400 g,400,v5:item_tpl_nov_utility_knife_v1.mass_grams_per_unit (src_gameplay_physical_policy_v3),piece,serviceable;dull;rusted;bent;cracked;broken;repaired,cond_iron,"цвет: тёмный кованый металл, дерево, кожа | устройство: однолезвийный клинок с хвостовиком в органической рукояти | следы: заточки, забоины, масло, ржавчина только умеренно | размер по источнику: обычно клинок около 8–20 см",cutting;eating;work,household_member;craftsman;traveller;fisher;service_retainer,ordinary,belt,own;mk;orn;rep;wear;dmg,none,item_tpl_nov_utility_knife_v1,,n1230:material_item:wpn0014;n1230:material_item:wpn0013;n1230:material_item:omi00052,claim:stone-whetstone-edge-maintenance;claim:population-joining-steel-quench,"master WPN0014 (A): Прямое новгородское археологическое, архитектурное или письменное подтверждение в подходящем диапазоне; форму всё равно сверять с конкретным опубликованным экз… ; linked master rows 3, confidence set A/B ; v5 item_tpl_nov_utility_knife_v1: 4 source bindings (comparative_period) ; WK approved claims: 2",master:n1230:material_item:wpn0014;master:n1230:material_item:wpn0013;master:n1230:material_item:omi00052;v5:item_tpl_nov_utility_knife_v1;wk:claim:stone-whetstone-edge-maintenance;wk:claim:population-joining-steel-quench;src:SRC032;src:SRC104;src:SRC034;src:SRC035;src:SRC037;src:SRC005;src:SRC006;src:SRC007;src:SRC008;src:SRC089;src:SRC103,A,candidate,
it_ps_knife_sheath,Кожаные ножны ножа,leather knife sheath,cat_item_object_knife_sheath_v1,proposed_new,universal,region_novgorod_land,knives,PS_KNIFE,leather,sewn;fitted_sheath,tiny,band:tiny [1-50 g per piece]; nominal 20 g,20,band default tiny,piece,serviceable;worn;stiff_dry;mouldy;torn;patched;wet,cond_leather,"цвет: тёмный кованый металл, дерево, кожа | устройство: сшитый формованный чехол, иногда с тиснением и подвесом | следы: заточки, забоины, масло, ржавчина только умеренно | размер по источнику: по длине клинка, плотно прилегают",holding_knife,household_member;craftsman;traveller,trifle,belt,own;orn;rep;wear;dmg,none,,container_tpl_nov_knife_sheath_v1,n1230:material_item:wpn0015;n1230:material_item:hou0037;n1230:material_item:mil0017;n1230:material_item:omi00492;n1230:material_item:omi00493;n1230:material_item:omi00494,claim:population-leather-case,"master WPN0015 (A): Прямое новгородское археологическое, архитектурное или письменное подтверждение в подходящем диапазоне; форму всё равно сверять с конкретным опубликованным экз… ; linked master rows 6, confidence set A/B ; WK approved claims: 1",master:n1230:material_item:wpn0015;master:n1230:material_item:hou0037;master:n1230:material_item:mil0017;master:n1230:material_item:omi00492;master:n1230:material_item:omi00493;master:n1230:material_item:omi00494;v5:container_tpl_nov_knife_sheath_v1;wk:claim:population-leather-case;src:SRC061;src:SRC105;src:SRC084;src:SRC034;src:SRC035;src:SRC037;src:SRC032;src:SRC001;src:SRC005;src:SRC006;src:SRC089;src:SRC036;src:SRC038;src:SRC008;src:SRC045,A,candidate,
it_ps_western_knife,Нож западного производства с клеймом,stamped western-made knife,cat_item_object_utility_knife_v1,existing_v5_draft,universal,region_novgorod_land,knives,PS_KNIFE,iron;steel_edge;wood,forged;stamped,hand,band:hand [250-1000 g per piece]; nominal 400 g,400,analog v5:item_tpl_nov_utility_knife_v1 (src_gameplay_physical_policy_v3),piece,serviceable;dull;rusted;bent;cracked;broken;repaired,cond_iron,"цвет: без карикатурной национальной палитры | устройство: однолезвийный клинок с клеймом/штампом и черешковой рукоятью | следы: дорожная и морская потёртость, ремонт на месте",cutting,trader;foreign_merchant,valued,belt,mk;own;wear;dmg,TXT_MAKER_STAMP_SIGN,item_tpl_nov_utility_knife_v1,,n1230:material_item:frn0024,claim:novgorod-urban-metalworking,"master FRN0024 (A): Прямое новгородское археологическое, архитектурное или письменное подтверждение в подходящем диапазоне; форму всё равно сверять с конкретным опубликованным экз… ; v5 item_tpl_nov_utility_knife_v1: 4 source bindings (comparative_period) ; WK approved claims: 1",master:n1230:material_item:frn0024;v5:item_tpl_nov_utility_knife_v1;wk:claim:novgorod-urban-metalworking;src:SRC049;src:SRC051;src:SRC075;src:SRC048;src:SRC050,A,candidate,
it_ps_scribe_knife,Нож писца,scribe's knife,cat_item_object_scribe_knife_v1,proposed_new,universal,region_novgorod_land,writing,PS_WRITING,iron;steel_edge;wood;bone_or_antler,forged;wooden_haft,small,band:small [50-250 g per piece]; nominal 100 g,100,analog v5:item_tpl_nov_carving_knife_v1 (src_gameplay_physical_policy_v3),piece,serviceable;dull;rusted;bent;cracked;broken;repaired,cond_iron,"цвет: натуральная береста, тёмные чернила, свинец | устройство: небольшой острый клинок с тонким концом | следы: царапины, сгибы, следы печати, истёртый воск | размер по источнику: 10–20 см",trimming_quill;scraping_parchment,scribe_literate;clergy_monastic,ordinary,pouch,own;mk;wear;dmg,none,,,n1230:material_item:wrt0026,claim:population-joining-steel-quench,master WRT0026 (B): Хорошая реконструкция по новгородским данным и нескольким близким древнерусским аналогиям XII–XIII вв. ; WK approved claims: 1,master:n1230:material_item:wrt0026;wk:claim:population-joining-steel-quench;src:SRC026;src:SRC027;src:SRC068;src:SRC073,B,candidate,
