rec_id,owner_kind,mark_distinctiveness,who_can_recognize,knowledge_owner,decision_owner,source_refs,confidence,status
rec_household__unique,household,unique,"owner;household_members;frequent_witnesses(neighbours,regular_visitors)",@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
rec_household__rare,household,rare,"owner;household_members;frequent_witnesses(neighbours,regular_visitors)",@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
rec_household__common,household,common,"owner(class match only, not proof)",@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
rec_household__none,household,none,"nobody_by_marks; circumstantial_only(place,container,timing,witnessed_handling)",@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
rec_master__unique,master,unique,owner(master);apprentices_workers;regular_customers,@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
rec_master__rare,master,rare,owner(master);apprentices_workers;regular_customers,@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
rec_master__common,master,common,"owner(class match only, not proof)",@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
rec_master__none,master,none,"nobody_by_marks; circumstantial_only(place,container,timing,witnessed_handling)",@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
rec_trader__unique,trader,unique,owner(trader);neighbouring_traders;buyers_who_handled_item,@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
rec_trader__rare,trader,rare,owner(trader);neighbouring_traders;buyers_who_handled_item,@rus/visibility-knowledge-memory,"code at perception (visibility, light, distance, concealment); NPC reaction per npc_autonomous_decision_contract",issue133:D14;rus13tpl:novgorod_property_rules_v1.json#recognition_formula_reference(draft),C,candidate
