link_id,item_id,location_archetype,spawn_frequency,reason
ILO000004,OMI00001,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000010,OMI00002,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000016,OMI00003,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000022,OMI00004,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000028,OMI00005,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000034,OMI00006,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000040,OMI00007,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000046,OMI00008,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000052,OMI00009,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000058,OMI00010,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000064,OMI00011,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000070,OMI00012,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000076,OMI00013,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000082,OMI00014,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000088,OMI00015,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000094,OMI00016,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000100,OMI00017,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000106,OMI00018,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000112,CON0035,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000118,OMI00020,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000124,OMI00021,construction_site,ubiquitous,activity overlay without WK place family (gap for place_families)
ILO000130,OMI00022,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000136,OMI00023,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000142,OMI00024,construction_site,common,activity overlay without WK place family (gap for place_families)
ILO000148,OMI00025,construction_site,ubiquitous,activity overlay without WK place family (gap for place_families)
ILO000154,OMI00026,construction_site,contextual,activity overlay without WK place family (gap for place_families)
ILO000160,OMI00027,construction_site,common,activity overlay without WK place family (gap for place_families)
