# Authored selection seed (candidate). One row per catalog item. Separator: '|'. Lines starting with '#' are comments.
# Columns: it_id|file|name_ru|name_en|cat|subcat|group|materials|technique|size|unit|mass|functions|owners|value|carry|marks|text_slot|master|v5|container|wk|bib|conf|note
# cat: v5 object code (cat_item_object_<cat>_v1) or proposed new code. mass: blank = v5 template mass; a:<v5 tpl> = mass of analogous v5 template; b = size-band default (policy). conf blank = derived from master/v5 evidence.
# marks: own=owner sign, mk=maker mark/stamp, orn=ornament, rep=repair, wear=wear, dmg=damage, ins=inscription slot (text only from pool). 'none' = typical item without distinguishing marks.
it_id|file|name_ru|name_en|cat|subcat|group|materials|technique|size|unit|mass|functions|owners|value|carry|marks|text_slot|master|v5|container|wk|bib|conf|note
it_hh_wooden_spoon|household|Деревянная ложка|wooden spoon|wooden_spoon|tableware_wood|HH_TABLEWARE|wood|carved|tiny|piece||eating;tasting|household_member;traveller;child|trifle|belt;bag|own;orn;rep;wear;dmg|TXT_WOOD_OWNER_POSSESSIVE|POT0002;OMI01799;OMI01800;OMI01780|wooden_spoon||claim:household-wooden-tableware;claim:household-utensil-wood|SRC005;SRC006||
it_hh_long_spoon|household|Деревянная ложка длинноручная (разливательная)|long-handled wooden spoon|long_handled_spoon|tableware_wood|HH_TABLEWARE|wood|carved|small|piece|a:ladle|serving;stirring|woman_of_household|trifle|not_carried|own;orn;wear;dmg|none|POT0003|||claim:household-utensil-wood|SRC005||
it_hh_turned_bowl|household|Точёная деревянная миска|lathe-turned wooden bowl|wooden_bowl|tableware_wood|HH_TABLEWARE|wood|turned_on_lathe|hand|piece||eating;serving|household_member|ordinary|not_carried|own;mk;orn;rep;wear;dmg|TXT_WOOD_OWNER_POSSESSIVE|POT0005;OMI01802|wooden_bowl||claim:household-wooden-tableware;claim:household-utensil-wood|SRC005;SRC103||
it_hh_hollowed_bowl|household|Долблёная деревянная миска|hollowed wooden bowl|wooden_bowl|tableware_wood|HH_TABLEWARE|wood|carved|hand|piece||eating;serving;mixing|household_member|trifle|not_carried|own;orn;rep;wear;dmg|TXT_WOOD_OWNER_POSSESSIVE|POT0004;HOU0014|wooden_bowl||claim:household-wooden-tableware|SRC005||
it_hh_wooden_cup|household|Деревянная чашка|wooden cup|wooden_cup|tableware_wood|HH_TABLEWARE|wood|turned_on_lathe;carved|small|piece||drinking|household_member;traveller|ordinary|bag|own;orn;rep;wear;dmg|TXT_WOOD_OWNER_POSSESSIVE|POT0006|wooden_cup||claim:household-wooden-tableware|SRC005;SRC006||
it_hh_wooden_dish|household|Деревянное блюдо|wooden dish|wooden_dish|tableware_wood|HH_TABLEWARE|wood|carved|hand|piece||serving|household_member|ordinary|not_carried|own;orn;rep;wear;dmg|TXT_WOOD_OWNER_POSSESSIVE|POT0007|wooden_dish||claim:household-wooden-tableware|SRC005||
it_hh_kovsh|household|Деревянный ковш|wooden ladle-scoop (kovsh)|ladle|tableware_wood|HH_TABLEWARE|wood|carved|small|piece||drinking;scooping|household_member|ordinary|not_carried|own;orn;rep;wear;dmg|TXT_WOOD_OWNER_POSSESSIVE|POT0008;HOU0010;OMI01801|ladle||claim:household-utensil-wood|SRC005;SRC006||
it_hh_dipper|household|Деревянный черпак|wooden dipper|dipper|tableware_wood|HH_TABLEWARE|wood|carved|small|piece|a:ladle|scooping;pouring|woman_of_household|trifle|not_carried|own;wear;dmg|none|POT0009|||claim:household-utensil-wood|SRC005||
it_hh_vessel_lid_wood|household|Деревянная крышка сосуда|wooden vessel lid|vessel_lid|tableware_wood|HH_TABLEWARE|wood|carved|small|piece|b|covering|woman_of_household|trifle|not_carried|wear;dmg|none|POT0001|||claim:household-utensil-wood|SRC005||
it_hh_chopping_board|household|Разделочная доска|chopping board|chopping_board|kitchen_wood|HH_COOKWARE|wood|carved|medium|piece||cutting;kneading|woman_of_household|trifle|not_carried|wear;dmg|none|POT0010|chopping_board||claim:household-utensil-wood|SRC005||
it_hh_pot_stand|household|Деревянная подставка под горячий горшок|wooden pot stand|pot_stand|kitchen_wood|HH_COOKWARE|wood|carved|small|piece|b|supporting_hot_vessel|woman_of_household|trifle|not_carried|wear;dmg|none|OMI01787|||claim:household-utensil-wood|SRC005||
it_hh_stirring_paddle|household|Деревянная мешалка|wooden stirring paddle|stirring_paddle|kitchen_wood|HH_COOKWARE|wood|carved|small|piece|b|stirring;mashing|woman_of_household|trifle|not_carried|wear;dmg|none|OMI01768;OMI01769;OMI01770;OMI01771|||claim:household-utensil-wood|SRC005||
it_hh_kitchen_spatula|household|Деревянная кухонная лопаточка|wooden kitchen spatula|kitchen_spatula|kitchen_wood|HH_COOKWARE|wood|carved|small|piece|b|turning;scraping|woman_of_household|trifle|not_carried|wear;dmg|none|OMI01772;OMI01773;OMI01774|||claim:household-utensil-wood|SRC005||
it_hh_salt_cup|household|Деревянная чашечка для соли или жира|small wooden salt or fat cup|salt_cup|tableware_wood|HH_TABLEWARE|wood|carved|tiny|piece|b|holding_salt;holding_fat|household_member|trifle|not_carried|own;orn;wear|none|OMI01785;OMI01781|||claim:household-utensil-wood|SRC005||
it_hh_bark_cup|household|Берестяная чашечка|birch-bark cup|bark_cup|tableware_bark|HH_TABLEWARE|birch_bark|folded_sewn_bark|tiny|piece|b|drinking;holding|household_member;traveller;child|trifle|bag|wear;dmg|none|OMI01786|||claim:household-bark-tues|SRC005|C|Одноразовая или временная форма; тип по master OMI01786 (B).
it_hh_cooking_pot|household|Керамический кухонный горшок|ceramic cooking pot|cooking_pot|ceramic_kitchen|HH_COOKWARE|clay|wheel_thrown_or_hand_finished;fired_clay|medium|piece||cooking;boiling;storing|woman_of_household|trifle|not_carried|mk;orn;rep;wear;dmg|TXT_POTTERY_STAMP|POT0021;POT0019;OMI01072;OMI01081;OMI01082|cooking_pot||claim:household-ceramic-vessel;claim:ceramic-novgorod-wheel;claim:pottery-handmade-local-clay;claim:population-ceramic-fracture|SRC024;BIB_POTTERY_STAMPS||
it_hh_storage_pot|household|Крупный керамический горшок для хранения|large ceramic storage pot|storage_pot|ceramic_storage|HH_SMALL_STORAGE|clay|wheel_thrown_or_hand_finished;fired_clay|large|piece|b|storing_grain;storing_liquid|woman_of_household|trifle|not_carried|mk;orn;rep;wear;dmg|TXT_POTTERY_STAMP|POT0018;POT0023||storage_pot|claim:household-ceramic-vessel;claim:household-tar-pot|SRC024||
it_hh_ceramic_bowl|household|Керамическая миска|ceramic bowl|ceramic_bowl|ceramic_table|HH_TABLEWARE|clay|wheel_thrown_or_hand_finished;fired_clay|hand|piece|a:wooden_bowl|eating;serving|household_member|trifle|not_carried|mk;orn;rep;wear;dmg|TXT_POTTERY_STAMP|POT0015|||claim:household-ceramic-vessel|SRC024||
it_hh_ceramic_lid|household|Керамическая крышка|ceramic lid|vessel_lid|ceramic_kitchen|HH_COOKWARE|clay|fired_clay|small|piece|b|covering|woman_of_household|trifle|not_carried|wear;dmg|none|POT0014;OMI01077|||claim:household-ceramic-vessel|SRC024||
it_hh_ceramic_cup|household|Керамическая чаша|ceramic cup|ceramic_cup|ceramic_table|HH_TABLEWARE|clay|wheel_thrown_or_hand_finished;fired_clay|small|piece|a:wooden_cup|drinking|household_member|ordinary|not_carried|orn;rep;wear;dmg|none|POT0017|||claim:household-ceramic-vessel|SRC024||
it_hh_ceramic_jug|household|Керамический кувшин|ceramic jug|jug|ceramic_table|HH_TABLEWARE|clay|wheel_thrown_or_hand_finished;fired_clay|medium|piece|b|pouring;storing_liquid|household_member|ordinary|not_carried|orn;rep;wear;dmg|none|POT0020||jug|claim:household-ceramic-vessel;claim:population-ceramic-joint|SRC024|C|Master POT0020 = C.
it_hh_ceramic_mug|household|Керамическая кружка с ручкой|ceramic mug with handle|ceramic_mug|ceramic_table|HH_TABLEWARE|clay|wheel_thrown_or_hand_finished;fired_clay|small|piece|a:wooden_cup|drinking|household_member|ordinary|not_carried|orn;wear;dmg|none|POT0013|||claim:population-ceramic-joint|SRC024|C|Master POT0013 = C; форма осторожная.
it_hh_fat_vessel|household|Керамический сосуд для жира или масла|ceramic fat/oil vessel|fat_vessel|ceramic_storage|HH_SMALL_STORAGE|clay|fired_clay|medium|piece|b|storing_fat|woman_of_household|trifle|not_carried|rep;wear;dmg|none|POT0023;OMI01084|||claim:maslo-birchbark-718-account;claim:population-ceramic-water|SRC024;SRC028||
it_hh_glazed_bowl_import|household|Привозная поливная чаша|imported glazed bowl|glazed_bowl_import|ceramic_import|HH_TABLEWARE|clay;glaze|wheel_thrown;glazed|small|piece|a:wooden_cup|drinking;display|elite;trader|costly|not_carried|orn;rep;wear;dmg|none|TRD0050;FRN0007;FRN0019|||claim:population-glass-fracture|SRC052;SRC080||
it_hh_cauldron|household|Металлический котёл с дужкой|metal cauldron with bail|metal_cauldron|metal_kitchen|HH_COOKWARE|iron;copper_alloy|hammered_sheet;riveted|medium|piece||cooking;boiling;brewing|household_member|valued|not_carried|mk;rep;wear;dmg|none|POT0027;POT0026|metal_cauldron||claim:population-material-iron-rust|SRC032||
it_hh_frying_pan|household|Железная сковорода|iron frying pan|frying_pan|metal_kitchen|HH_COOKWARE|iron|forged|hand|piece|b|frying;baking|woman_of_household|ordinary|not_carried|rep;wear;dmg|none|POT0011|||claim:fuel-iron-pan-lifter-use|SRC032|B|WK claim fuel-iron-pan-lifter-use (Колчин) прямо называет железную сковороду; master POT0011 = C.
it_hh_pan_lifter|household|Железный чапельник|iron pan lifter|pan_lifter|hearth_tools|HH_HEARTH_TOOLS|iron;wood|forged;wooden_haft|hand|piece|b|lifting_pan_into_oven|woman_of_household|ordinary|not_carried|rep;wear;dmg|none||||claim:fuel-iron-pan-lifter-form;claim:fuel-iron-pan-lifter-use|SRC032|B|Нет строки master; основание — WK (Колчин).
it_hh_kitchen_knife|household|Кухонный железный нож|iron kitchen knife|utility_knife|knives|HH_COOKWARE|iron;steel_edge;wood|forged;wooden_haft|hand|piece||cutting;butchering|woman_of_household;household_member|ordinary|not_carried|own;mk;rep;wear;dmg|none|POT0028;HOU0013|utility_knife||claim:stone-whetstone-edge-maintenance|SRC032;SRC104||
it_hh_mortar|household|Деревянная ступа|wooden mortar|mortar|food_processing|HH_FOODPROC|wood|carved|medium|piece||pounding_grain;crushing|woman_of_household|ordinary|not_carried|own;wear;dmg;rep|none|POT0032;OMI01784|mortar||claim:household-utensil-wood|SRC005||
it_hh_pestle|household|Деревянный пест|wooden pestle|pestle|food_processing|HH_FOODPROC|wood|carved|hand|piece||pounding|woman_of_household|trifle|not_carried|wear;dmg|none|POT0029;OMI01783|pestle||claim:household-utensil-wood|SRC005||
it_hh_hand_quern|household|Ручные жернова|hand quern|hand_quern|food_processing|HH_FOODPROC|stone;wood|ground_stone;assembled|bulky|piece||grinding_grain|woman_of_household|valued|not_carried|wear;dmg;rep|none|AGR0017;CRF0125;OMI01135|hand_quern||claim:food-practices-rye-flour-bread|SRC045||
it_hh_saddle_quern|household|Каменная зернотёрка|stone saddle quern|saddle_quern|food_processing|HH_FOODPROC|stone|ground_stone|large|piece|b|grinding|woman_of_household|trifle|not_carried|wear;dmg|none|POT0012|||claim:food-practices-rye-flour-bread|SRC045|C|Master POT0012 = C.
it_hh_sieve|household|Сито с деревянным ободом|sieve with wooden rim|sieve|food_processing|HH_FOODPROC|wood;plant_fiber|bent_wood;woven|hand|piece||sifting_flour|woman_of_household|trifle|not_carried|rep;wear;dmg|none|POT0031|sieve||claim:household-utensil-wood|SRC005||
it_hh_riddle|household|Грубое решето|coarse riddle|riddle_sieve|food_processing|HH_FOODPROC|wood;bast|bent_wood;woven|hand|piece|a:sieve|sifting_grain|woman_of_household|trifle|not_carried|rep;wear;dmg|none|POT0030;OMI01795|||claim:household-utensil-wood|SRC005||
it_hh_strainer_cloth|household|Тканевая цедилка|cloth strainer|strainer_cloth|food_processing|HH_FOODPROC|linen;textile|woven_or_sewn|tiny|piece|b|straining_milk;straining_liquids|woman_of_household|trifle|not_carried|wear;dmg|none|OMI01792;OMI01793|||claim:clothing-linen|SRC045||
it_hh_dough_cloth|household|Ткань для накрывания теста|dough cover cloth|dough_cloth|food_processing|HH_FOODPROC|linen|woven|small|piece|b|covering_dough|woman_of_household|trifle|not_carried|wear;dmg;rep|none|OMI01796;OMI01797|||claim:clothing-linen|SRC045||
it_hh_trough|household|Долблёное корыто|hollowed trough|trough|stave_and_hollowed|HH_VESSELS_WATER|wood|carved|large|piece||kneading;washing;feeding|woman_of_household|ordinary|not_carried|own;rep;wear;dmg|none|HOU0019|trough||claim:household-utensil-wood|SRC005||
it_hh_bucket_stave|household|Клёпочное деревянное ведро с обручами|staved wooden bucket|bucket|stave_and_hollowed|HH_VESSELS_WATER|wood;iron|staved;hooped_with_wood;hooped_with_iron|medium|piece|b|carrying_water;milking|household_member|ordinary|hand|own;rep;wear;dmg|none|HOU0001;AGR0001;OMI00680;OMI00681;OMI00682||bucket|claim:household-utensil-wood|SRC005||
it_hh_bucket_hollowed|household|Долблёное ведро|hollowed wooden bucket|bucket|stave_and_hollowed|HH_VESSELS_WATER|wood|carved|medium|piece|b|carrying_water|household_member|trifle|hand|rep;wear;dmg|none|HOU0031||bucket|claim:household-utensil-wood|SRC005||
it_hh_tub|household|Клёпочная кадка|staved tub|tub|stave_and_hollowed|HH_VESSELS_WATER|wood|staved;hooped_with_wood|large|piece|b|storing;soaking;pickling|woman_of_household|ordinary|not_carried|own;rep;wear;dmg|none|HOU0036;TRD0044;TRD0024||tub|claim:household-utensil-wood|SRC005||
it_hh_washtub|household|Клёпочная лохань|staved washtub|washtub|stave_and_hollowed|HH_VESSELS_WATER|wood|staved;hooped_with_wood|large|piece|b|washing;laundry|woman_of_household|ordinary|not_carried|rep;wear;dmg|none|HOU0040||tub|claim:household-utensil-wood;claim:bathing-washing-water|SRC005||
it_hh_small_cask|household|Малый бочонок|small cask|cask|stave_and_hollowed|HH_VESSELS_WATER|wood|staved;hooped_with_wood|medium|piece|b|storing_liquid;carrying_drink|household_member;traveller|ordinary|hand|own;rep;wear;dmg|none|HOU0025||cask|claim:household-utensil-wood|SRC005||
it_hh_stave_vessel|household|Клёпочный деревянный сосуд для питья|small staved drinking vessel|stave_vessel|stave_and_hollowed|HH_TABLEWARE|wood|staved;hooped_with_wood|medium|piece|b|serving_drink|household_member|ordinary|not_carried|own;orn;rep;wear;dmg|TXT_WOOD_OWNER_POSSESSIVE|POT0025|||claim:household-utensil-wood|SRC005;SRC082||
it_hh_bark_tues|household|Берестяной туес|birch-bark tues|birch_bark_box|small_storage|HH_SMALL_STORAGE|birch_bark;wood|folded_sewn_bark|small|piece|b|storing;carrying_berries;carrying_liquid|household_member;traveller|trifle|hand;bag|own;orn;rep;wear;dmg|none|HOU0022;TRD0022||birch_bark_box|claim:household-bark-tues|SRC005||
it_hh_splint|household|Лучина (связка)|kindling splints for light|splint_light|lighting|HH_FIRE_LIGHT|wood|split|small|bundle|b|lighting|household_member|trifle|not_carried|none|none|INT0035;OMI01810;OMI01811;OMI01812|||claim:fuel-iron-splinter-holder-form|SQL_MC_LIGHTING;SRC005||
it_hh_splinter_holder_iron|household|Железный светец|iron splinter holder|splinter_holder|lighting|HH_FIRE_LIGHT|iron|forged|hand|piece|b|holding_splint_light|household_member|ordinary|not_carried|rep;wear;dmg|none|INT0029;HOU0007|||claim:fuel-iron-splinter-holder-form|SRC032||
it_hh_splinter_holder_wood|household|Деревянный светец|wooden splinter holder|splinter_holder|lighting|HH_FIRE_LIGHT|wood|carved|medium|piece|b|holding_splint_light|household_member|trifle|not_carried|wear;dmg|none|INT0028|||claim:fuel-iron-splinter-holder-form|SRC005|C|Master INT0028 = C.
it_hh_wax_candle|household|Восковая свеча|beeswax candle|wax_candle|lighting|HH_FIRE_LIGHT|beeswax;linen|moulded_or_cut|small|piece||lighting;devotion|household_member;clergy_monastic|valued|not_carried|none|none|HOU0008;INT0026|wax_candle||claim:candle-wax-material;claim:candle-thread-wick|SRC017||
it_hh_tallow_candle|household|Сальная свеча|tallow candle|tallow_candle|lighting|HH_FIRE_LIGHT|tallow;plant_fiber|moulded_or_cut|small|piece|a:wax_candle|lighting|household_member|trifle|not_carried|none|none|HOU0009;INT0039;OMI01827|||claim:candle-thread-wick|SRC045|C|Master HOU0009/INT0039 = C.
it_hh_candlestick_iron|household|Железный подсвечник-штырь|iron spike candlestick|candlestick|lighting|HH_FIRE_LIGHT|iron|forged|small|piece|b|holding_candle|household_member;clergy_monastic|ordinary|not_carried|rep;wear;dmg|none|INT0038;HOU0006|||claim:fuel-iron-candlestick-form|SRC032||
it_hh_candlestick_copper|household|Подсвечник из медного сплава|copper-alloy candlestick|candlestick|lighting|HH_FIRE_LIGHT|copper_alloy|cast|small|piece|b|holding_candle|elite;clergy_monastic|valued|not_carried|orn;wear;dmg|none|INT0037|||claim:casting-bronze|SRC062|C|Master INT0037 = C.
it_hh_ceramic_lamp|household|Керамический светильник|ceramic oil lamp|simple_lamp|lighting|HH_FIRE_LIGHT|clay|fired_clay|hand|piece||lighting|household_member;clergy_monastic|trifle|not_carried|wear;dmg|none|POT0022;INT0031|simple_lamp||claim:household-ceramic-vessel|SRC024|C|Master POT0022/INT0031 = C.
it_hh_firesteel|household|Кресало (огниво)|firesteel|firesteel|fire_making|HH_FIRE_LIGHT|iron;steel_edge|forged;hardened_striking_edge|small|piece||striking_fire|household_member;traveller|ordinary|belt;pouch|mk;wear;dmg|none|HOU0012;INT0034|firesteel||claim:ha-firesteel-ignition;claim:casting-firesteel-iron;claim:casting-firesteel-steel|SRC032||
it_hh_flint|household|Кремень для высекания искр|striking flint|striking_flint|fire_making|HH_FIRE_LIGHT|stone|selected_or_struck_fragment|tiny|piece||striking_fire|household_member;traveller|trifle|pouch|wear|none|HOU0011;INT0033|striking_flint||claim:ha-firesteel-ignition|SRC045||
it_hh_tinder|household|Трут|tinder|tinder|fire_making|HH_FIRE_LIGHT|tinder_fungus;plant_fiber|prepared|tiny|portion||catching_spark|household_member;traveller|trifle|pouch|none|none|INT0040;OMI01804;OMI01805;OMI01807|tinder||claim:ha-firesteel-ignition|SRC045||
it_hh_kindling|household|Растопка: береста и щепа|kindling of birch bark and chips|kindling_bundle|fire_making|HH_FIRE_LIGHT|birch_bark;wood|split;wrapped|hand|bundle||starting_fire|household_member|trifle|not_carried|none|none|OMI01803;OMI01815;OMI01816|kindling_bundle||claim:population-material-wood-combustion|SRC005||
it_hh_poker|household|Железная кочерга|iron poker|poker|hearth_tools|HH_HEARTH_TOOLS|iron;wood|forged|medium|piece|b|tending_fire|woman_of_household|ordinary|not_carried|rep;wear;dmg|none|INT0032|||claim:population-material-iron-rust|SRC032||
it_hh_oven_peel|household|Деревянная печная лопата|wooden oven peel|oven_peel|hearth_tools|HH_HEARTH_TOOLS|wood|carved|medium|piece|a:wooden_shovel|baking;loading_oven|woman_of_household|trifle|not_carried|wear;dmg|none|INT0027;CRF0003|||claim:household-utensil-wood|SRC005||
it_hh_ash_scoop|household|Деревянный зольный совок|wooden ash scoop|scoop|hearth_tools|HH_HEARTH_TOOLS|wood|carved|small|piece||removing_ash;scooping_grain|woman_of_household|trifle|not_carried|wear;dmg|none|INT0030;HOU0020|scoop||claim:household-utensil-wood|SRC005||
it_hh_ember_tongs|household|Щипцы для углей|ember tongs|ember_tongs|hearth_tools|HH_HEARTH_TOOLS|iron|forged|hand|piece|a:smithing_tongs|handling_embers|household_member|ordinary|not_carried|wear;dmg|none|INT0041|||claim:occupation-smith-tongs|SRC032|C|Master INT0041 = C.
it_hh_broom|household|Метла из прутьев|twig broom|broom|cleaning|HH_CLEANING|twigs;bast|bound|medium|piece|b|sweeping|woman_of_household|trifle|not_carried|wear|none|HOU0017;OMI01852|||claim:population-material-wood-loading|SRC045||
it_hh_bath_besom|household|Банный веник|bath besom|bath_besom|bathing|HH_CLEANING|leafy_twigs;bast|bound|small|piece|b|steaming;washing|household_member|trifle|not_carried|wear|none|OMI01845;OMI01846;OMI01847|||claim:bathing-washing-water|SRC045|B|Сезонный: свежий летом, сушёный зимой (master OMI01846).
it_hh_bast_scrubber|household|Мочало|bast scrubber|bast_scrubber|bathing|HH_CLEANING|bast|twisted_fiber|tiny|piece|b|scrubbing|household_member|trifle|not_carried|wear|none|OMI01843;OMI01844|||claim:bathing-washing-water|SRC045||
it_hh_brush_wood|household|Деревянная щётка|wooden brush|brush|cleaning|HH_CLEANING|wood;plant_fiber|assembled|small|piece|b|brushing;cleaning|household_member|trifle|not_carried|wear;dmg|none|HOU0030|||claim:household-utensil-wood|SRC005|C|Master HOU0030 = C.
it_hh_rag|household|Тряпица для мытья и протирки|cleaning rag|cloth_rag|cleaning|HH_CLEANING|linen;wool;textile|woven|tiny|piece|b|wiping;washing_floor|woman_of_household|trifle|not_carried|none|none|OMI01848;OMI01849;OMI01850;OMI01851|||claim:clothing-linen|SRC045||
