source_key,title,authors,year,url,trust,used_for,access_note
BIB_LOCKS,Замки и ключи средневекового Новгорода (сводка типологии Колчина),Музей замка (популярная сводка по Б.А. Колчину),,https://muzey-zamka.ru/stati/buliotka_abas/,B,"типы навесных замков XII–XIII вв.; деревянные замки с железным ключом X — нач. XIII в.; 1210 находок XII–XIII вв.",вторичная сводка; первоисточник — Колчин 1953/1959 (SRC032)
BIB_PLOMBY_IARAN,Создан топографический свод находок древнерусских торговых пломб,ИА РАН,2024,https://archaeolog.ru/press/news/sozdan-topograficheskiy-svod-nakhodok-drevnerusskikh-torgovykh-plomb,A,"пломбы 7–15 мм; конец XI — нач. XIII в., пик XII в.; >3100 в Новгороде; изображения святых, крестов, букв, знаков Рюриковичей",то же событие, что SRC053 мастера
BIB_SHM_PLOMBA,Пломба дрогичинского типа со знаком Рюриковичей и буквой в круге. XII–XIII век,ГИМ (каталог),,https://catalog.shm.ru/entity/OBJECT/3334063,A,пример пломбы XII–XIII вв. со знаком и буквой,музейный каталог
BIB_CYLINDERS,Деревянные цилиндры-пломбы,Википедия (сводка работ В.Л. Янина),,https://ru.wikipedia.org/wiki/Деревянные_цилиндры-пломбы,B,"цилиндры-замки для мешков дани: XI — первая половина XII в.; надписи сборщиков (емец, мечник), знаки; к 1230 г. НЕ бытуют",используется как основание исключения (анахронизм для 1230)
BIB_BIRKI_NKJ,Новгородские бирки,Наука и жизнь,2002,https://www.nkj.ru/archive/articles/4469/,B,"счётные (~83%), долговые (расщеплённые), бирки-этикетки с заострённым концом; зарубки группами, десятичный счёт",научно-популярная статья
BIB_BIRKI_BRE,Новгородские деревянные бирки,Большая российская энциклопедия,,https://bigenc.ru/archeology/text/2666725,B,около 600 бирок из раскопок Новгорода; надписи на бирках и цилиндрах публикуются в изданиях НГБ,энциклопедия
BIB_WHORL,Овручские шиферные пряслица,Википедия (сводка),,https://ru.wikipedia.org/wiki/Овручские_шиферные_пряслица,B,"владельческие надписи на пряслицах: притяжательная форма имени (новгородская находка «Мартыня»), формулы «…ин пряслень»",вторичная сводка; первоисточник — Медынцева (BIB_MEDYNTSEVA)
BIB_MEDYNTSEVA,Медынцева А.А. — разделы «Предметы с надписями, нанесёнными при изготовлении» и «Владельческие надписи-граффити на предметах» (1991); докторская «Древнерусская эпиграфика X–XIII вв.» (1990),А.А. Медынцева,1991,https://archaeolog.ru/staff/medyntseva-albina-aleksandrovna,B,"владельческие надписи-граффити на бытовых предметах (гребни и др.), надписи мастеров",страница сотрудника ИА РАН со списком трудов; сами тексты не извлекались
BIB_ZALIZNYAK2004,Зализняк А.А. Древненовгородский диалект. 2-е изд.,А.А. Зализняк,2004,https://inslav.ru/images/stories/pdf/2004_Zalizniak_Drevnenovgorodskij_dialekt.pdf,A,корпус берестяных грамот и надписей на предметах (языковая норма формул),PDF; тексты не извлекались
BIB_POTTERY_STAMPS,Васильева Н. Средневековые гончарные клейма,Н. Васильева,,https://www.booksite.ru/ancient/archeologia/33.htm,B,"клейма на днищах: крест, круг, колесо, геометрические знаки; X–XIV вв.; мастер или владелец — не решено",популярная статья
BIB_ENKOLPION,Гнутова С.В. Медная мелкая пластика Древней Руси (типология и бытование),С.В. Гнутова,,https://www.icon-art.info/book_contents.php?lng=ru&book_id=57,B,"энколпионы: Распятие / Богоматерь; надписи-молитвенные формулы («Святая Богородице, помогай»)",формула подтверждена по поисковым сводкам — проверить по тексту
BIB_NIKOLAEVA1983,Николаева Т.В. Древнерусская мелкая пластика из камня XI–XV вв. (САИ Е1-60),Т.В. Николаева,1983,https://books.google.ru/books/about/?id=2XvNAAAAMAAJ,A,"нательные каменные иконки, змеевики, панагии, кресты",библиографическая карточка
SQL_MC_LIGHTING,"novgorod_1230 sqlite: material_culture «освещение» (лучина, огонь печи, редкие свечи; B)",курированная база (Downloads/novgorod_1230(1) (1).sqlite),,,B,освещение жилища,"строка material_culture category=освещение, sources S03;S16"
SQL_BIRCHBARK,"novgorod_1230 sqlite: birchbark_selection (19 грамот 1200–1240, A)",курированная база (Downloads/novgorod_1230(1) (1).sqlite),,https://gramoty.ru/birchbark/document/list/,A,жанры берестяных грамот около 1230 г.,таблица birchbark_selection
