# Identifying text pools (D9): the ONLY source of identifying text on items. Templates contain fixed formula words and {slots}.
# Slot values come from closed code pools or committed entities; if a slot cannot be filled, the item carries no text.
# slot_sources: slot=source (personal_names = names-peoples domain; saints_calendar = time-calendar-church domain; entity:<kind> = committed world entity).
text_pool_id|text_kind|carrier_groups|template_ru|slot_sources|selection_rule|attested_basis|valid_for_1230|source_refs|confidence|note
TXT_WHORL_OWNER|owner_inscription|HH_TEXTILE_WORK|{owner_female_possessive} пряслень;{owner_female_possessive}|owner_female_possessive=personal_names(female, baptismal or vernacular, possessive -ин/-ын by grammar rule, owner = committed woman of the owning household)|only on slate whorls; roll per whorl: inscribed rare|Владельческие надписи на пряслицах (формула «…ин пряслень»; новгородская находка с женским именем)|yes|src:BIB_WHORL;src:BIB_MEDYNTSEVA|B|Нет владелицы в мире — нет надписи.
TXT_OBJECT_OWNER_GRAFFITO|owner_inscription|PS_GROOMING;HH_TABLEWARE;PS_KNIFE;HH_SEWING;PS_WRITING;PS_MUSIC|{owner_possessive};{owner_initial}|owner_possessive=personal_names(possessive form of committed owner name);owner_initial=first letter of committed owner name|inscribed variant rare; owner must be committed|Владельческие надписи-граффити на бытовых предметах (гребни и др.)|yes|src:BIB_MEDYNTSEVA;src:BIB_ZALIZNYAK2004|B|
TXT_WOOD_OWNER_POSSESSIVE|owner_inscription|HH_TABLEWARE;HH_SMALL_STORAGE;HH_TEXTILE_WORK|{owner_possessive}|owner_possessive=personal_names(possessive form of committed owner name)|inscribed variant rare; otherwise use owner sign TXT_OWNER_SIGN|Владельческие граффити на деревянных вещах (общий класс по Медынцевой); для посуды конкретно — вывод|yes|src:BIB_MEDYNTSEVA;src:SRC005|C|Для посуды чаще знак, чем текст.
TXT_OWNER_SIGN|owner_sign|HH_TABLEWARE;HH_VESSELS_WATER;HH_SMALL_STORAGE;HH_TEXTILE_WORK;HH_FOODPROC;PS_TRADE_ADMIN;PS_CARRY;PS_KNIFE;PS_MUSIC|{sign_shape}|sign_shape=closed list: прямой крест;косой крест;крест с перекладинами на концах;решётка;треугольник;круг;две параллельные черты;три зарубки;стрелка;«лесенка»|one shape per owner household, fixed by seed and stored; princely bident/trident signs excluded (authority only, entity-bound)|Бирки с вырезанным знаком владельца; знаки на деревянных вещах|yes|master:OMI01613;src:SRC005;src:BIB_BIRKI_BRE|C|Список форм — редакционный набор простых знаков; толкование не даётся.
TXT_POTTERY_STAMP|maker_sign|HH_COOKWARE;HH_TABLEWARE;HH_SMALL_STORAGE|{stamp_shape}|stamp_shape=closed list: крест;крест в круге;колесо со спицами;круг;квадрат;двойной круг|one shape per potter workshop entity; repeated on its output|Гончарные клейма X–XIV вв.: крест, круг, колесо, геометрические знаки|yes|src:BIB_POTTERY_STAMPS;src:SRC024|B|
TXT_MAKER_STAMP_SIGN|maker_sign|PS_KNIFE|{stamp_shape}|stamp_shape=closed list: крест;кружок;полумесяц;геометрическая фигура без чтения|imported blades only|Нож западного производства с клеймом|yes|master:FRN0024|C|Надписи-имена мастеров (типа ULFBERHT) — эпоха мечей X–XI вв., не для ножей 1230.
TXT_PLOMB_SIGN|official_mark|PS_TRADE_ADMIN|{plomb_image};{plomb_image} / {plomb_letter}|plomb_image=closed list: изображение святого;процветший крест;крест;треугольник с крестом;знак Рюриковичей;геометрический знак;plomb_letter=closed list of Cyrillic letters|code picks per plomb; 'знак Рюриковичей' without attribution to a named prince unless entity|Торговые пломбы: святые, кресты, буквы, знаки Рюриковичей; пик XII в., спад в начале XIII в.|yes (as old or residual)|src:BIB_PLOMBY_IARAN;src:BIB_SHM_PLOMBA;src:SRC053|A|
TXT_BULLA_ENTITY_REF|official_mark|PS_TRADE_ADMIN|{issuer_legend}|issuer_legend=entity:historical_figure_or_office (from historical_figures domain)|no entity -> bulla with unreadable/worn impression|Вислые печати Новгорода|yes|src:SRC087;src:SRC053|A|Никогда не сочиняется.
TXT_CROSS_FORMULA|religious_formula|PS_RELIGIOUS|Святая Богородице, помогай;ІС ХС;{relief_subject}|relief_subject=closed list: Распятие;Богоматерь;святой воин;процветший крест|code picks; most crosses carry no text|Надписи-молитвенные формулы на энколпионах; сокращение имени Христа на крестах|yes|src:BIB_ENKOLPION;src:SRC062|B|Именные формулы «…рабу своему {имя}» не включены до проверки по корпусу.
TXT_ICON_SAINT_LABEL|religious_label|PS_RELIGIOUS|{saint_label}|saint_label=saints_calendar(closed list of saints venerated in Novgorod by 1230)|one label per icon|Именные подписи святых на иконах и каменных иконках|yes|src:BIB_NIKOLAEVA1983;master:REL0001|B|Список святых — из домена календаря/церкви.
