source_kind,source_id,source_name_ru,source_category,source_confidence,period,mapping,target
master_material_culture,FOR0001,Ров раннего Детинца — неопределенное состояние к 1230,fortifications/ditch,C,1180–1260,military_security,ms_fort_detinets | ms_fort_ditch_crossing
master_material_culture,FOR0002,Деревянный переход через оборонительный ров,fortifications/ditch_crossing,C,1180–1260,military_security,ms_fort_ditch_crossing
master_material_culture,FOR0003,Деревянные ворота Детинца — осторожная реконструкция,fortifications/gate,C,1180–1260,military_security,ms_post_city_gate | ms_fort_detinets
master_material_culture,FOR0004,Деревянный засов крепостных/усадебных ворот,fortifications/gate_hardware,B,1180–1260,military_security,ms_post_yard_gate | ms_fort_gate_hardware
master_material_culture,FOR0005,Опорный столб и пятник воротной створки,fortifications/gate_hardware,B,1180–1260,military_security,ms_fort_gate_hardware
master_material_culture,FOR0006,Деревянная створка крепостных ворот,fortifications/gate_leaf,C,1180–1260,military_security,ms_fort_detinets | ms_fort_gate_hardware
master_material_culture,FOR0007,Деревянный караульный навес у ворот,fortifications/guard_shelter,C,1180–1260,military_security,ms_post_city_gate | ms_fort_guard_shelter
master_material_culture,FOR0008,Кирпичная стена Новгородского кремля конца XV века,fortifications/late_fortification,D,1480–1500,denylist,deny_stone_kremlin
master_material_culture,FOR0009,Поздняя каменная башня Новгородского кремля — запрещённый слой,fortifications/later_exclusion,D,1400–1700,denylist,deny_stone_kremlin
master_material_culture,FOR0010,Большой глиняный вал Детинца рубежа XIII–XIV вв.,fortifications/rampart,D,1270–1320,denylist,deny_late_rampart
master_material_culture,FOR0011,Береговая срубная подпорная конструкция,fortifications/shore_revetment,B,1180–1260,military_security,ms_fort_shore_revetment
master_material_culture,FOR0012,Острожная стена из вертикального частокола,fortifications/timber_palisade,C,1180–1260,military_security,ms_fort_okolny_gorod
master_material_culture,FOR0013,Дубовая срубная стена раннего Детинца,fortifications/timber_wall,B,1180–1260,military_security,ms_fort_detinets
master_material_culture,FOR0014,Срубная клетчатая конструкция деревянной стены,fortifications/timber_wall_structure,B,1180–1260,military_security,ms_fort_detinets
master_material_culture,FOR0015,Внутренняя деревянная лестница на боевой ход,fortifications/wall_access,C,1180–1260,military_security,ms_fort_wall_walk
master_material_culture,FOR0016,Деревянная дозорная/боевая площадка на стене,fortifications/wall_superstructure,C,1180–1260,military_security,ms_fort_wall_walk
master_material_culture,WPN0001,"Стрела с древком, оперением и наконечником",weapons/arrow,A,1180–1260,wp,wp_arrow
master_material_culture,WPN0002,Костяной наконечник стрелы,weapons/arrowhead,B,1180–1260,wp,wp_ah_bone
master_material_culture,WPN0003,Наконечник стрелы втульчатый бронебойный,weapons/arrowhead,A,1180–1260,wp,wp_ah_socketed_ap
master_material_culture,WPN0004,Наконечник стрелы черешковый ромбический,weapons/arrowhead,A,1180–1260,wp,wp_ah_rhomboid
master_material_culture,WPN0005,Наконечник стрелы широколезвийный охотничий,weapons/arrowhead,A,1180–1260,wp,wp_ah_broad_hunting
master_material_culture,WPN0006,Топор боевой бородовидный,weapons/battle_axe,A,1180–1260,wp,wp_battle_axe
master_material_culture,WPN0007,Топор боевой с молоточковидным обухом,weapons/battle_axe,B,1180–1260,wp,wp_battle_axe
master_material_culture,WPN0008,Лук простой деревянный,weapons/bow,B,1180–1260,wp,wp_bow_self
master_material_culture,WPN0009,Лук сложносоставной,weapons/bow,C,1180–1260,wp,wp_bow_composite
master_material_culture,WPN0010,Дубина деревянная,weapons/club,B,1180–1260,wp,wp_club
master_material_culture,WPN0011,Арбалетный болт раннего типа,weapons/crossbow_projectile,C,1180–1260,wp,wp_crossbow_bolt
master_material_culture,WPN0012,Наконечник сулицы,weapons/javelin_head,B,1180–1260,wp,wp_sulitsa
master_material_culture,WPN0013,Нож с выгнутой спинкой,weapons/knife,A,1180–1260,wp,wp_knife
master_material_culture,WPN0014,Нож универсальный с прямой спинкой,weapons/knife,A,1180–1260,wp,wp_knife
master_material_culture,WPN0015,Ножны кожаные для ножа,weapons/knife_sheath,A,1180–1260,wp,wp_knife_sheath
master_material_culture,WPN0016,Длинный однолезвийный нож,weapons/long_knife,C,1180–1260,wp,wp_long_knife
master_material_culture,WPN0017,Булава с бронзовым ребристым навершием,weapons/mace,B,1180–1260,wp,wp_mace
master_material_culture,WPN0018,Праща — спорная для локального военного набора,weapons/sling,D,1180–1260,wp,wp_sling
master_material_culture,WPN0019,Подток копья,weapons/spear_butt,B,1180–1260,wp,wp_spear_butt
master_material_culture,WPN0020,Копейное древко,weapons/spear_shaft,B,1180–1260,wp,wp_spear_shaft
master_material_culture,WPN0021,Боевой наконечник копья ланцетовидный,weapons/spearhead,A,1180–1260,wp,wp_spear
master_material_culture,WPN0022,Наконечник копья ромбический узкий,weapons/spearhead,A,1180–1260,wp,wp_spear
master_material_culture,WPN0023,Наконечник копья с лавролистным пером,weapons/spearhead,B,1180–1260,wp,wp_spear
master_material_culture,WPN0024,Меч с линзовидным сечением клинка без выраженного дола,weapons/sword_blade,B,1180–1260,wp,wp_sword
master_material_culture,WPN0025,Обоюдоострый меч с широким долом,weapons/sword_blade,B,1180–1260,wp,wp_sword
master_material_culture,WPN0026,Меч с дисковидным навершием,weapons/sword_hilt,B,1180–1260,wp,wp_sword_hilt_parts
master_material_culture,WPN0027,Меч с ореховидным навершием,weapons/sword_hilt,B,1180–1260,wp,wp_sword_hilt_parts
