role_id,role_title,social_rank,role_status,rights_class,weapon_rights_text,tier,access_level,basis,source_refs,confidence,status
nov_role_prince,князь,elite,approved,R_elite,"оружие допустимо как знак власти и охраны, но его применение политически рискованно",tool_weapon,permitted,matrix R_elite × tool_weapon,tsv:role:nov_role_prince#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_prince,князь,elite,approved,R_elite,"оружие допустимо как знак власти и охраны, но его применение политически рискованно",common_war,expected,"override: князь — прежде всего военный предводитель; WK-claim опирается на Britannica с confidence medium, не первичный или археологический источник (верификация 2026-09-26)",wk:claim:candidate-v9-veche-elected-prince-chiefly-military-commander | sqlite:institutions:I07,B,candidate
nov_role_prince,князь,elite,approved,R_elite,"оружие допустимо как знак власти и охраны, но его применение политически рискованно",elite_war,expected,"override: князь — прежде всего военный предводитель; WK-claim опирается на Britannica с confidence medium, не первичный или археологический источник (верификация 2026-09-26)",wk:claim:candidate-v9-veche-elected-prince-chiefly-military-commander | sqlite:institutions:I07,B,candidate
nov_role_posadnik,посадник,elite,approved,R_elite,"оружие допустимо как знак власти и охраны, но его применение политически рискованно",tool_weapon,permitted,matrix R_elite × tool_weapon,tsv:role:nov_role_posadnik#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_posadnik,посадник,elite,approved,R_elite,"оружие допустимо как знак власти и охраны, но его применение политически рискованно",common_war,permitted,matrix R_elite × common_war,tsv:role:nov_role_posadnik#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_posadnik,посадник,elite,approved,R_elite,"оружие допустимо как знак власти и охраны, но его применение политически рискованно",elite_war,permitted,matrix R_elite × elite_war,tsv:role:nov_role_posadnik#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_tysyatsky,тысяцкий,high,approved,R_status,"оружие возможно по статусу, службе или дороге; в городе риск свидетелей высок",tool_weapon,permitted,matrix R_status × tool_weapon,tsv:role:nov_role_tysyatsky#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_tysyatsky,тысяцкий,high,approved,R_status,"оружие возможно по статусу, службе или дороге; в городе риск свидетелей высок",common_war,permitted_with_reason,matrix R_status × common_war,tsv:role:nov_role_tysyatsky#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_tysyatsky,тысяцкий,high,approved,R_status,"оружие возможно по статусу, службе или дороге; в городе риск свидетелей высок",elite_war,permitted_with_reason,matrix R_status × elite_war,tsv:role:nov_role_tysyatsky#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_sotsky,сотский,middle,usable_with_caution,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",tool_weapon,permitted,matrix R_service × tool_weapon,tsv:role:nov_role_sotsky#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_sotsky,сотский,middle,usable_with_caution,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",common_war,requires_grounds,matrix R_service × common_war,tsv:role:nov_role_sotsky#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_sotsky,сотский,middle,usable_with_caution,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",elite_war,requires_grounds,matrix R_service × elite_war,tsv:role:nov_role_sotsky#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_city_elder,городской старший,high,usable_with_caution,R_status,"оружие возможно по статусу, службе или дороге; в городе риск свидетелей высок",tool_weapon,permitted,matrix R_status × tool_weapon,tsv:role:nov_role_city_elder#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_city_elder,городской старший,high,usable_with_caution,R_status,"оружие возможно по статусу, службе или дороге; в городе риск свидетелей высок",common_war,permitted_with_reason,matrix R_status × common_war,tsv:role:nov_role_city_elder#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_city_elder,городской старший,high,usable_with_caution,R_status,"оружие возможно по статусу, службе или дороге; в городе риск свидетелей высок",elite_war,permitted_with_reason,matrix R_status × elite_war,tsv:role:nov_role_city_elder#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_starosta,староста,middle,approved,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",tool_weapon,permitted,matrix R_service × tool_weapon,tsv:role:nov_role_starosta#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_starosta,староста,middle,approved,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",common_war,requires_grounds,matrix R_service × common_war,tsv:role:nov_role_starosta#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_starosta,староста,middle,approved,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",elite_war,requires_grounds,matrix R_service × elite_war,tsv:role:nov_role_starosta#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_toll_collector,сборщик пошлины,middle,usable_with_caution,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",tool_weapon,permitted,matrix R_service × tool_weapon,tsv:role:nov_role_toll_collector#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_toll_collector,сборщик пошлины,middle,usable_with_caution,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",common_war,requires_grounds,matrix R_service × common_war,tsv:role:nov_role_toll_collector#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_toll_collector,сборщик пошлины,middle,usable_with_caution,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",elite_war,requires_grounds,matrix R_service × elite_war,tsv:role:nov_role_toll_collector#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_guard,страж,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",tool_weapon,permitted,matrix R_tool × tool_weapon,tsv:role:nov_role_guard#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_guard,страж,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",common_war,permitted_with_reason,override: на посту — служебное оружие по приказу; вне поста действует общий класс R_tool,tsv:occ:nov_occ_gate_guard#weapon_access | tsv:occ:nov_occ_market_guard#weapon_access | costume:AR017,C,candidate
nov_role_guard,страж,low,approved,R_tool,"обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины",elite_war,suspicious_without_reason,matrix R_tool × elite_war,tsv:role:nov_role_guard#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_princely_man,княжий человек,middle,approved,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",tool_weapon,permitted,matrix R_service × tool_weapon,tsv:role:nov_role_princely_man#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_princely_man,княжий человек,middle,approved,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",common_war,requires_grounds,matrix R_service × common_war,tsv:role:nov_role_princely_man#weapon_rights | statusrules:status_weapon,B,candidate
nov_role_princely_man,княжий человек,middle,approved,R_service,"нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания",elite_war,requires_grounds,matrix R_service × elite_war,tsv:role:nov_role_princely_man#weapon_rights | statusrules:status_weapon,B,candidate
