role_id,role_title,social_rank,combat_likelihood,weight,weight_rule,occupations,violence_risk_of_occupations,attitude_to_violence,weapon_rights_class,basis,source_refs,confidence,status
nov_role_prince,князь,elite,medium_high,8,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),,,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_elite,авторская оценка: князь — военный предводитель; лично в бою — в походе,wk:claim:candidate-v9-veche-elected-prince-chiefly-military-commander | sqlite:institutions:I07,A,candidate
nov_role_posadnik,посадник,elite,unknown,,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),,,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_elite,нет занятия и источника — пробел,,,candidate
nov_role_tysyatsky,тысяцкий,high,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_tysyatsky_public_order,medium,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_status,"максимум combat_likelihood занятий, допускающих роль: nov_occ_tysyatsky_public_order",tsv:occ:nov_occ_tysyatsky_public_order#combat_likelihood,B,candidate
nov_role_sotsky,сотский,middle,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),,,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_service,авторская оценка: по аналогии с людьми тысяцкого при порядке,tsv:occ:nov_occ_tysyatsky_public_order#combat_likelihood | tsv:role:nov_role_sotsky#weapon_rights,C,candidate
nov_role_city_elder,городской старший,high,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_tysyatsky_public_order,medium,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_status,"максимум combat_likelihood занятий, допускающих роль: nov_occ_tysyatsky_public_order",tsv:occ:nov_occ_tysyatsky_public_order#combat_likelihood,B,candidate
nov_role_starosta,староста,middle,low,2,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_pogost_service_worker,medium,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_service,"максимум combat_likelihood занятий, допускающих роль: nov_occ_pogost_service_worker",tsv:occ:nov_occ_pogost_service_worker#combat_likelihood,B,candidate
nov_role_toll_collector,сборщик пошлины,middle,medium_high,8,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_market_guard | nov_occ_toll_dues_collector | nov_occ_measurer_weigher,high | medium,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_service,"максимум combat_likelihood занятий, допускающих роль: nov_occ_market_guard",tsv:occ:nov_occ_market_guard#combat_likelihood | tsv:occ:nov_occ_toll_dues_collector#combat_likelihood | tsv:occ:nov_occ_measurer_weigher#combat_likelihood,B,candidate
nov_role_guard,страж,low,medium_high,8,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_gate_guard | nov_occ_market_guard | nov_occ_crossing_guard | nov_occ_posadnik_household_service | nov_occ_tysyatsky_public_order | nov_occ_storehouse_keeper | nov_occ_ferryman,high | medium_high | medium,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_tool,"максимум combat_likelihood занятий, допускающих роль: nov_occ_gate_guard",tsv:occ:nov_occ_gate_guard#combat_likelihood | tsv:occ:nov_occ_market_guard#combat_likelihood | tsv:occ:nov_occ_crossing_guard#combat_likelihood | tsv:occ:nov_occ_posadnik_household_service#combat_likelihood | tsv:occ:nov_occ_tysyatsky_public_order#combat_likelihood | tsv:occ:nov_occ_storehouse_keeper#combat_likelihood | tsv:occ:nov_occ_ferryman#combat_likelihood,B,candidate
nov_role_princely_man,княжий человек,middle,medium_high,8,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_princely_service_agent | nov_occ_gate_guard | nov_occ_toll_dues_collector | nov_occ_court_clerk_service | nov_occ_posadnik_household_service | nov_occ_messenger_runner,high | medium | medium_high,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_service,"максимум combat_likelihood занятий, допускающих роль: nov_occ_princely_service_agent",tsv:occ:nov_occ_princely_service_agent#combat_likelihood | tsv:occ:nov_occ_gate_guard#combat_likelihood | tsv:occ:nov_occ_toll_dues_collector#combat_likelihood | tsv:occ:nov_occ_court_clerk_service#combat_likelihood | tsv:occ:nov_occ_posadnik_household_service#combat_likelihood | tsv:occ:nov_occ_messenger_runner#combat_likelihood,B,candidate
nov_role_princely_druzhinnik,княжий дружинник,high,medium_high,8,very_low/low/medium/medium_high -> 1/2/4/8 (шкала 8/4/2/1 каталога),nov_occ_princely_service_agent | nov_occ_druzhina_warrior,high,"насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права",R_status,"максимум combat_likelihood занятий, допускающих роль: nov_occ_princely_service_agent",tsv:occ:nov_occ_princely_service_agent#combat_likelihood | tsv:occ:nov_occ_druzhina_warrior#combat_likelihood,B,candidate
