ms_event_id,year,kind,name_ru,event_ref,timeline_title,timeline_status,chronicle_raw,units,consequences,source_refs,confidence,status,note
ms_ev_1220_five_regiments,1220,civil_strife,Сторонники Твердислава стоят пятью полками,,,,,ms_unit_konets_regiments,,wk:claim:candidate-v7-npl-1220-tverdislav-supporters-five-regiments,A,candidate,фон до 1230
ms_ev_1220_vsevolod_armoured_court,1220,civil_strife,Князь Всеволод приходит со всем двором в броне,,,,,ms_unit_princely_druzhina,,wk:claim:candidate-v7-npl-1220-vsevolod-court-armed-in-armour,A,candidate,фон до 1230
ms_ev_1222_kes,1222,campaign,Поход новгородцев со Святославом к Кеси,,,,,ms_unit_city_militia | ms_unit_princely_druzhina,,wk:claim:candidate-v7-npl-1222-kesi-campaign,A,candidate,фон до 1230; город не взят
ms_ev_1223_kolyvan,1223,campaign,Поход Ярослава к Колываню «со всей областью»,,,,,ms_unit_rural_levy | ms_unit_city_militia | ms_unit_princely_druzhina,ms_cons_captives,wk:claim:candidate-v7-npl-1223-yaroslav-colyvan-campaign | wk:claim:candidate-v7-npl-1223-colyvan-captives-and-gold,A,candidate,фон до 1230; пленники и золото
ms_ev_1230_strife,1230,civil_strife,"Распря Внезда и Степана; вече на Ярославовом дворище, убийства и разгром дворов",nov_hist_1230_002,Вечевая смута у Ярославова дворища и убийство Иванка,usable_with_caution/medium_high,A.D. 1230: veche at Yaroslav Court; Ivanko killed and thrown into Volkhov,ms_unit_konets_regiments | ms_unit_boyar_retinue,ms_cons_yard_plunder,sqlite:events:1230-лето | timeline:nov_hist_1230_002 | sqlite:persons_1230:R10 | sqlite:persons_1230:R11,A,candidate,
ms_ev_1230_december,1230,civil_strife,"Уход партии Внезда в Торжок, убийство Семёна Борисовича, разгромы; возвращение Ярослава",nov_hist_1230_004,Торжокская расправа и возвращение Ярослава,usable_with_caution/medium_high,A.D. 1230: Dec 8/9 Torzhok actions; Dec 30 Yaroslav returned to Novgorod,ms_unit_boyar_retinue | ms_unit_princely_druzhina,ms_cons_yard_plunder,sqlite:events:1230-12-08 | sqlite:events:1230-12-09 | sqlite:events:1230-12-30 | timeline:nov_hist_1230_004,A,candidate,
ms_ev_1231_chernigov,1231,campaign,Поход Ярослава к Черниговской волости,nov_hist_1231_002,Поход Ярослава к Черниговской волости и смерть Водовика,usable_with_caution/medium_high,A.D. 1231: Yaroslav campaigned to Chernigov district; Vodovik died,ms_unit_princely_druzhina | ms_unit_city_militia,,timeline:nov_hist_1231_002,B,candidate,
ms_ev_1232_pskov,1232,external_conflict,Псковский конфликт и остановка купцов,nov_hist_1232_001,"Псковский конфликт, остановка купцов и соляное давление",usable_with_caution/high,A.D. 1232: Pskov conflict; merchants stopped; salt seven grivnas per berkovets,,ms_cons_refugees_trade_stop,timeline:nov_hist_1232_001,B,candidate,
ms_ev_1233_izborsk,1233,external_conflict,Немецкое давление на Изборск и Псков,nov_hist_1233_001,Изборско-псковское немецкое давление,usable_with_caution/medium_high,A.D. 1233: German/Pskov/Izborsk conflict mentioned in chronicle,,,timeline:nov_hist_1233_001,B,candidate,
ms_ev_1233_tesov,1233,raid,Кюрила уводят из Тёсова в цепях; Ярослав собирает войско,nov_hist_1233_003,Тёсовская расправа над Кюрилом и сбор Ярослава,usable_with_caution/medium_high,A.D. 1233: Kyuril taken from Tesov in chains; Yaroslav gathered troops,ms_unit_princely_druzhina,ms_cons_captives,timeline:nov_hist_1233_003,B,candidate,
ms_ev_1234_yuriev,1234,campaign,"Поход Ярослава с новгородцами на немцев к Юрьеву, бой на Омовже и мир",nov_hist_1234_001,"Поход Ярослава к Юрьеву, Омовжа и мир",usable_with_caution/high,A.D. 1234: campaign against Germans toward Yurev; battle on Omovyzh; peace concluded,ms_unit_princely_druzhina | ms_unit_city_militia | ms_unit_rural_levy,ms_cons_hostages_peace,wk:claim:residual-government-law-v1-1234-records-campaign-and-peace-with-germans | timeline:nov_hist_1234_001,A,candidate,
ms_ev_1234_rusa,1234,raid,Литовский набег на Русу; защитники гонят из посада; погоня по Ловати,nov_hist_1234_002,Литовский набег к Русе и погоня по Ловати,usable_with_caution/high,A.D. 1234: Lithuanians near Russa; St Saviour pillaged; pursuit by boats/horses up Lovat,ms_unit_gridba | ms_unit_strelci | ms_unit_princely_druzhina,ms_cons_wounded_and_dead | ms_cons_captives,timeline:nov_hist_1234_002 | lit:wiki_ognishchane | lit:npl_nasonov_1950,B,candidate,
ms_ev_1236_bolgar,1236,external_threat,Весть о взятии татарами Булгарской земли,nov_hist_1236_002,Падение Булгарской земли под татарами как дальний торговый страх,usable_with_caution/medium_high,A.D. 1236: Tartars took the Bolgar land,,,timeline:nov_hist_1236_002,B,candidate,
ms_ev_1237_saule,1237,external_threat,"Разгром рижских немцев, чуди и псковичей Литвой",nov_hist_1237_002,Поражение псковско-рижского войска от Литвы,usable_with_caution/medium_high,"A.D. 1237: Germans of Riga, Chud and Pskov force defeated by Lithuanians",,,timeline:nov_hist_1237_002,B,candidate,
ms_ev_1238_torzhok,1238,siege,Татары берут Торжок и доходят до Игнача креста,nov_hist_1238_002,"Татарское разорение северо-востока, Торжок и Игнач Крест",usable_with_caution/high,"A.D. 1238: Tatars took towns, besieged and took Torzhok on March 5, advanced toward Ignach Cross",ms_unit_city_militia,ms_cons_refugees_trade_stop,timeline:nov_hist_1238_002,B,candidate,
