nm_id,name_form,sex,people_ref,status_band,name_kind,frequency_class,variants,attestation,source_refs,confidence
nov_name_ivan_v1,Иван,male,novgorod_rus,common,baptismal_or_vernacular,russian_common_male,Иванко,"Грамота №729 record 729 Содержание: список имён | НПЛ, 1230 с. 276–277 Иванко Тимощинич",pr98:onomastics/onom_src_gramota_729#novgorod/729 | pr98:onomastics/onom_src_npl_1230#npl/1230/ivanко,A
nov_name_kirill_v1,Кирилл,male,novgorod_rus,common,baptismal_or_vernacular,russian_common_male,Кюрил,Грамота №729 record 729 Содержание: список имён,pr98:onomastics/onom_src_gramota_729#novgorod/729,A
nov_name_zhirko_v1,Жирко,male,novgorod_rus,common,baptismal_or_vernacular,russian_common_male,Жирок,Грамота №729 record 729 Содержание: список имён,pr98:onomastics/onom_src_gramota_729#novgorod/729,A
nov_name_filipp_v1,Филипп,male,novgorod_rus,common,baptismal_or_vernacular,russian_common_male,Филип,Грамота №729 record 729 Содержание: список имён,pr98:onomastics/onom_src_gramota_729#novgorod/729,A
nov_name_dmitr_v1,Дмитр,male,novgorod_rus,common,baptismal_or_vernacular,russian_common_male,Дмитрий,Грамота №729 record 729 Содержание: список имён,pr98:onomastics/onom_src_gramota_729#novgorod/729,A
nov_name_zhiadok_v1,Жиадок,male,novgorod_rus,common,baptismal_or_vernacular,russian_common_male,,Грамота №729 record 729 Содержание: список имён,pr98:onomastics/onom_src_gramota_729#novgorod/729,A
nov_name_foma_v1,Фома,male,novgorod_rus,common,baptismal_or_vernacular,russian_common_male,,Грамота №1091 record 1091 Содержание: список имён,pr98:onomastics/onom_src_gramota_1091#novgorod/1091,A
nov_name_yana_v1,Яна,female,novgorod_rus,common,baptismal_or_vernacular,russian_common_female,Янка,Чайкина 2006 с. 34 Календарные женские имена; Янка №731,pr98:onomastics/onom_src_chaykina_2006#chaykina/2006/yana,A
nov_name_yakim_v1,Яким,male,novgorod_rus,common,baptismal_or_vernacular,russian_common_male,,"Грамота №1091 record 1091 Содержание: список имён | НПЛ, 1230 с. 276–277 Яким Влункович",pr98:onomastics/onom_src_gramota_1091#novgorod/1091 | pr98:onomastics/onom_src_npl_1230#npl/1230/yakim,A
nov_name_mikula_v1,Микула,male,novgorod_rus,common,baptismal_or_vernacular,russian_common_male,,Грамота №1091 record 1091 Содержание: список имён,pr98:onomastics/onom_src_gramota_1091#novgorod/1091,A
nov_name_miroslav_v1,Мирослав,male,novgorod_rus,common,baptismal_or_vernacular,russian_common_male,,Грамота №334 record 334 Содержание: личные имена,pr98:onomastics/onom_src_gramota_334#novgorod/334,A
nov_name_ratmir_v1,Ратмир,male,novgorod_rus,common,baptismal_or_vernacular,russian_common_male,,Грамота №334 record 334 Содержание: личные имена,pr98:onomastics/onom_src_gramota_334#novgorod/334,A
nov_name_fedot_v1,Федот,male,novgorod_rus,common,baptismal_or_vernacular,russian_common_male,,Грамота №334 record 334 Содержание: личные имена,pr98:onomastics/onom_src_gramota_334#novgorod/334,A
nov_name_drach_v1,Драч,male,novgorod_rus,common,baptismal_or_vernacular,russian_common_male,,Грамота №334 record 334 Содержание: личные имена,pr98:onomastics/onom_src_gramota_334#novgorod/334,A
nov_name_mikhail_v1,Михаил,male,novgorod_rus,common,baptismal_or_vernacular,russian_common_male|dynastic_male,Миха|Михаль,"Грамота №404 record 404 Содержание: Михаль | НПЛ, 1230 с. 276 князь Михаил",pr98:onomastics/onom_src_gramota_404#novgorod/404 | pr98:onomastics/onom_src_npl_1230#npl/1230/mikhail,A
nov_name_semyon_v1,Семён,male,novgorod_rus,common,baptismal_or_vernacular,russian_common_male,Смен,"Грамота №73 record 73 Содержание: Семён | НПЛ, 1230 с. 276–277 Смен Борисович",pr98:onomastics/onom_src_gramota_73#novgorod/73 | pr98:onomastics/onom_src_npl_1230#npl/1230/semyon,A
