tp_id,name_ru,object_kind,node_ref,name_status,first_attestation,source_refs,confidence
pn_v6_0001,Березье: охотничий стан,hunting_camp,nov_g1_00_00,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_00:1,C
pn_v6_0002,Лужицы: двор,isolated_farmstead,nov_g1_00_00,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_00:2,C
pn_v6_0003,Верхнее Селище: зимовье,wintering_hut,nov_g1_00_00,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_00:3,C
pn_v6_0004,Верхний Наволок: охотничий стан,hunting_camp,nov_g1_00_01,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_01:4,C
pn_v6_0005,Верхняя Глинка: двор,isolated_farmstead,nov_g1_00_01,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_01:5,C
pn_v6_0006,Верхние Луки: зимовье,wintering_hut,nov_g1_00_01,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_01:6,C
pn_v6_0007,Верхний Ольшаник: пристань,river_landing,nov_g1_00_02,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_02:7,C
pn_v6_0008,Верхнее Следово: брод,ford_place,nov_g1_00_02,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_02:8,C
pn_v6_0009,Верхняя Каменка: село,village,nov_g1_00_02,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_02:9,C
pn_v6_0010,Верхнее Заречье: село,village,nov_g1_00_02,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_02:10,C
pn_v6_0011,Подборье: пристань,river_landing,nov_g1_00_02,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_02:11,C
pn_v6_0012,Верхние Ручьи: деревня,hamlet,nov_g1_00_02,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_02:12,C
pn_v6_0013,Верхний Малый Бор: брод,ford_place,nov_g1_00_02,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_02:13,C
pn_v6_0014,Верхние Луга: село,village,nov_g1_00_02,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_02:14,C
pn_v6_0015,Верхнее Починье: пристань,river_landing,nov_g1_00_02,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_02:15,C
pn_v6_0016,Верхнее Березье: село,village,nov_g1_00_02,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_02:16,C
pn_v6_0017,Верхние Лужицы: пристань,river_landing,nov_g1_00_02,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_02:17,C
pn_v6_0018,Верхнее Селище: брод,ford_place,nov_g1_00_02,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_02:18,C
pn_v6_0019,Верхний Починок: село,village,nov_g1_00_02,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_02:19,C
pn_v6_0020,Дуброво: село,village,nov_g1_00_02,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_02:20,C
pn_v6_0021,Сосновец: пристань,river_landing,nov_g1_00_02,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_02:21,C
pn_v6_0022,Верхнее Мховое: деревня,hamlet,nov_g1_00_02,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_02:22,C
pn_v6_0023,Селище на Шелони: пристань,river_landing,nov_g1_00_03,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_03:23,C
pn_v6_0024,Починок на Шелони: брод,ford_place,nov_g1_00_03,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_03:24,C
pn_v6_0025,Дуброво у Шелони: село,village,nov_g1_00_03,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_03:25,C
pn_v6_0026,Сосновец у Шелони: село,village,nov_g1_00_03,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_03:26,C
pn_v6_0027,Мховое на Шелони: пристань,river_landing,nov_g1_00_03,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_03:27,C
pn_v6_0028,Озерец у Шелони: деревня,hamlet,nov_g1_00_03,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_03:28,C
pn_v6_0029,Плесо на Шелони: брод,ford_place,nov_g1_00_03,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_03:29,C
pn_v6_0030,Залесье у Шелони: село,village,nov_g1_00_03,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_03:30,C
pn_v6_0031,Борок на Шелони: пристань,river_landing,nov_g1_00_03,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_03:31,C
pn_v6_0032,Наволок у Шелони: село,village,nov_g1_00_03,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_03:32,C
pn_v6_0033,Глинка на Шелони: пристань,river_landing,nov_g1_00_03,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_03:33,C
pn_v6_0034,Луки на Шелони: брод,ford_place,nov_g1_00_03,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_03:34,C
pn_v6_0035,Погосток у Шелони: село,village,nov_g1_00_03,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_03:35,C
pn_v6_0036,Рыбный Стан у Шелони: село,village,nov_g1_00_03,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_03:36,C
pn_v6_0037,Волчий Бор на Шелони: пристань,river_landing,nov_g1_00_03,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_03:37,C
pn_v6_0038,Кривой Ручей у Шелони: деревня,hamlet,nov_g1_00_03,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_03:38,C
pn_v6_0039,Верхние Луки: село,village,nov_g1_00_04,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_04:39,C
pn_v6_0040,Верхний Погосток: село,village,nov_g1_00_04,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_04:40,C
pn_v6_0041,Верхний Рыбный Стан: брод,ford_place,nov_g1_00_04,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_04:41,C
pn_v6_0042,Верхний Волчий Бор: брод,ford_place,nov_g1_00_04,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_04:42,C
pn_v6_0043,Кривой Ручей: деревня,hamlet,nov_g1_00_04,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_04:43,C
pn_v6_0044,Зимний Стан: село,village,nov_g1_00_04,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_04:44,C
pn_v6_0045,Верхняя Сухая Грива: село,village,nov_g1_00_04,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_04:45,C
pn_v6_0046,Верхний Чёрный Мох: брод,ford_place,nov_g1_00_04,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_04:46,C
pn_v6_0047,Верхняя Каменка на Волхове: брод,ford_place,nov_g1_00_05,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_05:47,C
pn_v6_0048,Верхнее Заречье на Волхове: брод,ford_place,nov_g1_00_05,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_05:48,C
pn_v6_0049,Подборье у Волхова: деревня,hamlet,nov_g1_00_05,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_05:49,C
pn_v6_0050,Верхние Ручьи у Волхова: деревня,hamlet,nov_g1_00_05,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_05:50,C
pn_v6_0051,Верхний Малый Бор на Волхове: брод,ford_place,nov_g1_00_05,fictional_historicized_name,,game-base:sources.v6-naming-register#nov_g1_00_05:51,C
