id	title	landscape_group	dominant_vegetation	moisture_level	relief_type	soil_ground_type	openness	is_common	is_dominant	is_rare	generation_weight	rlt
lt_alluvial_floodplain	Аллювиальная пойма	floodplain	трава, осока, кустарник, местами деревья	seasonally_wet	flat_lowland	alluvial_silt_clay	open	t	t	f	80	rlt_novgorod_alluvial_floodplain
lt_boreal_mixed_forest	Бореальный смешанный лес	forest	хвойные с берёзой, осиной, ольхой	normal_or_wet	flat_or_rolling	podzolic_litter_roots	limited	t	t	f	95	rlt_novgorod_boreal_mixed_forest
lt_boreal_taiga_coniferous_forest	Бореальный хвойный лес / тайга	forest	ель, сосна, лиственница, мхи, кустарнички	normal_or_wet	flat_or_rolling	podzolic_soil_moss_roots	limited	t	t	f	90	rlt_novgorod_boreal_taiga_coniferous_forest
lt_dense_coniferous_forest	Густой хвойный лес	forest	плотный хвойный древостой, мох, валежник	normal_or_wet	flat_or_rolling	needle_litter_roots_deadwood	closed	t	f	f	50	rlt_novgorod_dense_coniferous_forest
lt_dry_meadow	Сухой луг / сухая травянистая местность	meadow	низкая трава, разнотравье	dry	flat_or_rolling	firm_grass_soil	open	t	f	t	18	rlt_novgorod_dry_meadow
lt_dry_ravine_gully	Сухой овраг / балка / промоина	ravine	кустарник, трава, редкие деревья	dry	ravine_gully	clay_sand_loam	limited	t	f	t	10	rlt_novgorod_dry_ravine_gully
lt_fen	Низинное торфяное болото / фен	bog	осока, мхи, травы, иногда кустарник	waterlogged	lowland	minerotrophic_peat	open	t	f	f	50	rlt_novgorod_fen
lt_floodplain_wet_grassland	Пойменный влажный луг	floodplain	влажная трава, осока, разнотравье	seasonally_wet	flat_lowland	alluvial_wet_soil	open	t	f	f	65	rlt_novgorod_floodplain_wet_grassland
lt_freshwater_marsh	Пресноводный марш / травяное болото на минеральных почвах	marsh	осока, тростник, камыш, водно-болотное разнотравье	waterlogged	lowland	mineral_mud_silt	open	t	f	f	55	rlt_novgorod_freshwater_marsh
lt_gentle_hills	Пологие холмы	hill	трава, кустарник, местами лес	normal	rolling_hills	firm_soil	semi_open	t	f	f	35	rlt_novgorod_gentle_hills
lt_low_alluvial_riverbank	Низкий аллювиальный речной берег	riverbank	трава, ива, кустарник, осока	wet_or_seasonal	bank_low	alluvial_silt_mud	semi_open	t	f	f	55	rlt_novgorod_low_alluvial_riverbank
