row_id,g4_ref,g4_short,place_function,landscape_template_id,nm_id,role,frequency_class,weight,stock_portions,derivation,season_winter,season_spring,season_summer,season_autumn,access_note,source_refs,confidence,status
nmg4_central_current_split__ground,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,channel_split,lt_low_alluvial_riverbank,nm_ground_alluvial_silt_mud,ground,ubiquitous,8,,ground of lt_low_alluvial_riverbank (world_db soil_ground_type=alluvial_silt_mud); G4 surface class=alluvial_silt_mud,промерзает; у кромки воды под снегом может оставаться мокрым,,,,,world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv)#lt_low_alluvial_riverbank|pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,C,candidate
nmg4_central_current_split__clay,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,channel_split,lt_low_alluvial_riverbank,nm_clay,raw_material,contextual,2,50,landscape lt_low_alluvial_riverbank -> contextual,closed,limited,open,open,,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split|wk:claim:pottery-handmade-local-clay|wk:claim:secondary-clay-forms-through-water-transport-deposition,C,candidate
nmg4_central_current_split__sand,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,channel_split,lt_low_alluvial_riverbank,nm_sand,raw_material,common,4,100,landscape lt_low_alluvial_riverbank -> common,closed,limited,open,open,,"pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split|wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)",C,candidate
nmg4_central_current_split__gravel_pebbles,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,channel_split,lt_low_alluvial_riverbank,nm_gravel_pebbles,raw_material,rare,1,25,landscape lt_low_alluvial_riverbank -> rare,closed,limited,open,open,,"pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split|wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)",C,candidate
nmg4_central_current_split__boulders_fieldstone,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,channel_split,lt_low_alluvial_riverbank,nm_boulders_fieldstone,raw_material,rare,1,25,landscape lt_low_alluvial_riverbank -> rare,limited,limited,open,open,,"pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split|wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)",C,candidate
nmg4_central_current_split__river_silt,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,channel_split,lt_low_alluvial_riverbank,nm_river_silt,raw_material,ubiquitous,8,200,landscape lt_low_alluvial_riverbank -> ubiquitous,closed,limited,open,open,,"pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|wk:claim:final-nature-slower-riparian-flow-can-permit-sediment-deposition",C,candidate
nmg4_central_current_split__tree_bark,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,channel_split,lt_low_alluvial_riverbank,nm_tree_bark,raw_material,common,4,100,landscape lt_low_alluvial_riverbank -> common; nature member Salix (willow) -> common,limited,open,open,limited,,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split|wk:claim:population-bark-float|wk:claim:population-pine-float,C,candidate
nmg4_central_current_split__deadwood,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,channel_split,lt_low_alluvial_riverbank,nm_deadwood,raw_material,rare,1,25,landscape lt_low_alluvial_riverbank -> rare,limited,open,open,open,,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split|pr98:data/world-catalogs/novgorod/live-world-runtime-v17/m2c-finite-source-capability-candidate.json#finite_source_profiles|pr98:docs/work/M2C_NATURAL_RESOURCE_RIGHTS_RESEARCH.md (owner editorial free-gathering rule for reeds/deadwood/driftwood/standing wood),C,candidate
nmg4_central_current_split__dry_brushwood,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,channel_split,lt_low_alluvial_riverbank,nm_dry_brushwood,raw_material,common,4,100,landscape lt_low_alluvial_riverbank -> common,limited,open,open,open,,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split|world_db.world_base.land_use_templates (draft seed; exported to _shared/land_use_templates.world_db.tsv)#lu_fuelwood_gathering|pr98:docs/work/M2C_NATURAL_RESOURCE_RIGHTS_RESEARCH.md (owner editorial free-gathering rule for reeds/deadwood/driftwood/standing wood),C,candidate
nmg4_central_current_split__driftwood,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,channel_split,lt_low_alluvial_riverbank,nm_driftwood,raw_material,contextual,2,50,landscape lt_low_alluvial_riverbank -> contextual; place_function channel_split -> contextual,limited,limited,open,open,,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split|pr98:data/world-catalogs/novgorod/live-world-runtime-v17/m2c-finite-source-capability-candidate.json#finite_source_profiles|pr98:docs/work/M2C_NATURAL_RESOURCE_RIGHTS_RESEARCH.md (owner editorial free-gathering rule for reeds/deadwood/driftwood/standing wood),C,candidate
