nm_id,name_ru,name_en,material_kind,category_code,scope,stock_unit,portion_mass_g,portion_desc_ru,stock_rule,renewal,operation,access_tool_refs,tool_required,season_winter,season_spring,season_summer,season_autumn,cue_visual,cue_touch,cue_smell,cue_sound,craft_process_refs,master_item_refs,v17_profile_ref,source_refs,confidence,note,status
nm_clay,Глина,clay,mineral_ground,natural_material.mineral.clay,universal,portion,3000,"ком глины, сколько можно вынуть заступом и унести в руках или коробе","portions = FREQ_WEIGHT[class] x 25 (ubiquitous 200, common 100, contextual 50, rare 25)",none,dig_clay,tool:zastup_ironshod|tool:hands|tool:container_basket_or_box,true,closed: грунт промёрзший (до ~50 см) и под устойчивым снегом,limited: оттаивание и распутица; на пойме — половодье до спада воды,"open: низкая вода, грунт талый",open: до ледостава и промерзания; поздней осенью — только до заморозков,"серые, сизые, рыжеватые слои в срезе берега или ямы; мокрая глина блестит","жирная, пластичная, липнет к пальцам; сухая твердеет и трескается",сырая земля,чавканье при выемке,proc:pottery_handmade|proc:pottery_wheel|proc:clay_daub_oven_hearth|proc:clay_daub_wall_gap|proc:plinfa_brick_making,OMI01008|OMI01009|OMI01010|OMI01011|OMI01034|OMI01035|OMI01036,,"wk:claim:pottery-handmade-local-clay|wk:claim:secondary-clay-forms-through-water-transport-deposition|wk:claim:population-material-clay-plasticity|wk:claim:macro-b19-wet-surface-mud-is-not-by-itself-evidence-of-workable-pottery-clay|wk:claim:construction-construction-pottery-products|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.land_use_templates (draft seed; exported to _shared/land_use_templates.world_db.tsv)#lu_clay_extraction|master-archive-v1/data/normalized_source_tables/material_entities/material_entities.csv",B,Пригодность глины для посуды не следует из наличия глинистого грунта (WK macro-b19): отбор и проверку делает процесс ремесла.,candidate
nm_sand,Песок,sand,mineral_ground,natural_material.mineral.sand,universal,portion,3000,короб или мешок песка на одного,"portions = FREQ_WEIGHT[class] x 25 (ubiquitous 200, common 100, contextual 50, rare 25)",annual_flood_on_bars,dig_sand,tool:zastup_ironshod|tool:hands|tool:container_basket_or_box,false,closed: грунт промёрзший (до ~50 см) и под устойчивым снегом,limited: оттаивание и распутица; на пойме — половодье до спада воды,"open: низкая вода, грунт талый",open: до ледостава и промерзания; поздней осенью — только до заморозков,"жёлтые и серые отмели и косы, песчаные осыпи под обрывом","сыпучий сухой, плотный и холодный мокрый","мокрый песок, вода",скрип под ногой,proc:pottery_temper|proc:lime_mortar|proc:casting_mould_sand|proc:scouring_cleaning|proc:construction_fill,OMI01019|OMI01150|OMI01151|OMI01199|OMI01840,,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.land_use_templates (draft seed; exported to _shared/land_use_templates.world_db.tsv)#lu_sand_gravel_extraction|wk:claim:pottery-handmade-temper|master-archive-v1/data/normalized_source_tables/material_entities/material_entities.csv",B,,candidate
nm_gravel_pebbles,Гравий и галька,gravel and pebbles,mineral_ground,natural_material.mineral.gravel,universal,portion,4000,короб гальки и гравия,"portions = FREQ_WEIGHT[class] x 25 (ubiquitous 200, common 100, contextual 50, rare 25)",none,gather_gravel,tool:hands|tool:zastup_ironshod|tool:container_basket_or_box,false,"closed: вмёрзло, под снегом",limited: под высокой водой,open: на обсохших перекатах и косах,open: до подъёма воды,пёстрые окатанные камешки на косах и в срезах,"гладкие, холодные",,хруст и перестук под ногой,proc:construction_fill|proc:lime_mortar|proc:net_sinker_stones,OMI01152,,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|world_db.world_base.land_use_templates (draft seed; exported to _shared/land_use_templates.world_db.tsv)#lu_sand_gravel_extraction",B,Модерн. региональная геология (галька и гравий в пойме Ильменя–Волхова); средневековая добыча не подтверждена отдельно.,candidate
nm_boulders_fieldstone,Валуны и булыжный камень,glacial boulders and fieldstone,mineral_stone,natural_material.stone.boulder,universal,portion,15000,"один камень, который поднимет и донесёт один человек; крупные валуны — только сообща или вагой","portions = FREQ_WEIGHT[class] x 25 (ubiquitous 200, common 100, contextual 50, rare 25)",none,gather_stone,tool:hands|tool:lever_pole|tool:sledge_or_cart,false,limited: вмёрзшие камни не взять; вывоз санями по снегу проще,limited: грязь,open,open,"серые, розоватые, крапчатые округлые камни, мох и лишайник сверху","шершавые, тяжёлые, холодные",мокрый камень,глухой стук,proc:foundation_stones|proc:construction_fill|proc:hearth_stones|proc:quern_or_whetstone_blank,,,"wk:claim:terrain-parent-material-assemblage|Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|wk:claim:construction-rjaz-stone-fill|wk:claim:construction-rjaz-riverbed-foundation",B,Валунно-песчаные суглинки морены — WK terrain. Каменная засыпка ряжей — WK. Жернова/точила из местного камня не подтверждены — gap.,candidate
nm_limestone_slab,Известняковая плита (плитняк),flaggy limestone,mineral_stone,natural_material.stone.limestone,universal_category_site_specific_presence,portion,12000,"одна плита, отколотая клиньями","portions = FREQ_WEIGHT[class] x 25 (ubiquitous 200, common 100, contextual 50, rare 25)",none,quarry_limestone,tool:wedges_and_hammer|tool:iron_pick_or_crowbar|tool:sledge_or_cart,true,closed: обнажение под снегом и льдом; вывоз возможен санями,limited: половодье у подножия обрыва,open,open,"слоистый серый, зеленоватый или буроватый камень ступенями в обрыве","шероховатый, колется по слоям",,звонкий стук при раскалывании,proc:stone_masonry|proc:lime_burning|proc:foundation_stones,OMI01111,,"Путиловский известняк — Википедия (нижний ордовик, плитчатый; добыча на Волхове, Тосне, Ижоре; кладка крепостей Новгорода и Старой Ладоги). https://ru.wikipedia.org/wiki/Путиловский_известняк|Волховская плита: известняки волховского горизонта нижнего ордовика в верхней части Балтийско-Ладожского глинта; ammonit.ru «Палеонтология, Ленинградская область. Волхов, ордовикский период» https://www.ammonit.ru/place/22.htm|Новгородская кладка XII в.: плиты плотного светло-серого известняка, позднее (вторая пол. XII – нач. XIII в.) пористый ракушечник бурого, красноватого, зеленоватого цвета; плинфа для арок и сводов. Обзор: https://tehlib.com/arhitektura/stroitel-ny-e-materialy-kamen/|Булкин В.А., Антипов И.В. Об особенностях организации строительства … в Новгородской земле в домонгольское время // АПТИИ 7 (2017) 410–418. https://doi.org/10.18688/aa177-4-40 (via WK research population-terrain-resource-context.md TRC-01)|wk:claim:construction-quarry-procurement|wk:claim:static-nonhydraulic-lime-can-harden-by-carbonation",B,"Проверено для Волхова: выходы ордовикского плитчатого известняка — в нижнем течении Волхова и по Балтийско-Ладожскому глинту (Старая Ладога), а не в пойме Ильменя–Волхова у Новгорода. Для храмового строительства камень закупался в каменоломнях (Булкин, Антипов 2017). Ни один из 7 шаблонов стартовых 32 G4 не даёт выходов известняка; нужна отметка места (site flag) в presence_rules.",candidate
nm_bog_iron_ore,Болотная руда,bog iron ore,ore,natural_material.ore.bog_iron,universal,portion,5000,"короб бурых рудных комков, выбранных заступом","portions = FREQ_WEIGHT[class] x 25 (ubiquitous 200, common 100, contextual 50, rare 25)",none,dig_bog_ore,tool:zastup_ironshod|tool:hands|tool:container_basket_or_box,true,closed: промёрзло и под снегом,closed: затоплено талой и паводковой водой,"open: меженная (низкая) вода, сухое время",limited: до осенних дождей и подъёма воды,"ржаво-бурые и охристые комки и корки под дёрном и мхом, рыжий осадок в канавках, радужная плёнка на стоячей воде","тяжелее земли, ноздреватые, пачкают руки ржавчиной",железистая болотная вода,,proc:ore_roasting|proc:iron_bloomery_smelting,,,"Колчин Б.А. Черная металлургия и металлообработка в древней Руси (домонгольский период) // МИА 32. М., 1953. https://archaeolog.ru/el-bib/el-cat/el-series/mia/kolchin-1953|world_db.world_base.land_use_templates (draft seed; exported to _shared/land_use_templates.world_db.tsv)#lu_bog_iron_extraction",B,"Болотные/озёрные/луговые руды — основное сырьё древнерусского сыродутного железа (Колчин 1953). Конкретные местонахождения 1230 г. не установлены; признаки (радужная плёнка, охра) — C.",candidate
nm_peat,Торф,peat,organic_ground,natural_material.organic.peat,universal,portion,4000,"несколько сырых торфяных кирпичей, вырезанных заступом","portions = FREQ_WEIGHT[class] x 25 (ubiquitous 200, common 100, contextual 50, rare 25)",none,cut_peat,tool:zastup_ironshod|tool:knife|tool:container_basket_or_box,true,closed: промёрзло и под снегом,closed: затоплено талой и паводковой водой,"open: меженная (низкая) вода, сухое время",limited: до осенних дождей и подъёма воды,бурая волокнистая масса под моховой подушкой,"мокрый, губчатый; высохший — лёгкий и крошится",кислый болотный запах; тлеющий — едкий дым,хлюпанье,proc:peat_air_drying,,,wk:claim:place-peat-cutting-can-use-turning-and-loose-stacking-to-expose-material-for-further-air-drying|world_db.world_base.land_use_templates (draft seed; exported to _shared/land_use_templates.world_db.tsv)#lu_peat_cutting|world_db.world_base.landscape_templates + region_landscape_templates region_novgorod_land (draft; exported to _shared/novgorod_landscape_templates.world_db.tsv),C,Материал присутствует в болотах; использование торфа как топлива в Новгородской земле 1230 г. источниками этого прохода не подтверждено (gap): процесс сушки есть в WK как редакторская реконструкция.,candidate
nm_river_silt,Речной ил и наилок,river silt and mud,mineral_ground,natural_material.mineral.silt,universal,portion,3000,короб или ведро ила,"portions = FREQ_WEIGHT[class] x 25 (ubiquitous 200, common 100, contextual 50, rare 25)",annual_flood,dig_silt,tool:zastup_ironshod|tool:hands|tool:container_bucket_or_vessel,false,closed: грунт промёрзший (до ~50 см) и под устойчивым снегом,limited: оттаивание и распутица; на пойме — половодье до спада воды,"open: низкая вода, грунт талый",open: до ледостава и промерзания; поздней осенью — только до заморозков,"тёмный жирный слой у уреза воды, наилок на траве после разлива","скользкий, холодный, мажется",тина,чавканье,proc:clay_daub_wall_gap,,,"Dmitruk N.G., Druzhnova M.P. Soil areas of the Novgorod region in the context of their agricultural use // IOP Conf. Ser.: Earth Environ. Sci. 613 (2020) 012025. https://doi.org/10.1088/1755-1315/613/1/012025 (read in main:data/world-catalogs/novgorod/world-knowledge/research/population-terrain-sources.md TR-01..TR-06)|wk:claim:final-nature-slower-riparian-flow-can-permit-sediment-deposition|pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json (via _shared/g4_nature_index.json)",C,"Использование ила для обмазки — редакторская аналогия, не подтверждено.",candidate
nm_birch_bark,Береста,birch bark,plant_bark,natural_material.plant.birch_bark,universal,portion,300,пласт или свиток бересты с одного ствола,"portions = FREQ_WEIGHT[class] x 25 (ubiquitous 200, common 100, contextual 50, rare 25)",slow_decades,strip_birch_bark,tool:knife|tool:axe,true,limited: береста снимается трудно и ломается на морозе; с валежных берёз — можно,open: с началом сокодвижения отстаёт легко,open: лучше в начале лета,limited: отстаёт хуже,"белые с чёрными чечевичками стволы, розоватая изнанка пласта","гладкая, упругая, свежая — гибкая",свежий древесный запах; горящая — чёрный смолистый дым,сухой треск при отрыве,proc:birchbark_containers|proc:birchbark_writing|proc:birch_tar_distillation|proc:tinder|proc:roof_underlay|proc:net_floats,OMI00110|OMI00113|OMI00114|OMI00115|OMI00151|OMI01803,,wk:claim:household-bark-tues|wk:claim:residual-v1-birch-writing-used-styli-on-inner-surface|wk:claim:place-thermal-birch-tar-can-link-heated-bark-and-a-separate-collection-path|wk:claim:static-ground-b05-outer-birch-bark-has-distinct-suberin-lignin-extractive-composition|wk:claim:static-birch-bark-water-can-deform-layers|master-archive-v1/data/normalized_source_tables/material_entities/material_entities.csv,A,"Сезонность съёма (весна–начало лета) — этнографическая аналогия, C.",candidate
nm_lime_bast,Липовое лыко (луб),lime (linden) bast,plant_bark,natural_material.plant.bast,universal,portion,500,пучок лубяных лент с молодой липы,"portions = FREQ_WEIGHT[class] x 25 (ubiquitous 200, common 100, contextual 50, rare 25)",slow_decades,strip_bast,tool:knife|tool:axe|tool:soaking_place,true,"closed: кора примёрзла, лыко не отделяется",open: в сокодвижение,open: начало лета,limited,"серая бороздчатая кора молодых лип, светлые волокнистые ленты",влажное лыко гибкое и волокнистое,сырой древесный запах; вымоченное — кислое,,proc:bast_soaking|proc:bast_cordage_matting|proc:boat_lashing_vitsa,OMI00134|OMI00135|OMI00136|OMI00237,,wk:claim:final-nature-basswood-inner-bark-is-a-fibrous-bast-material|wk:claim:final-nature-basswood-bast-can-be-a-fibre-source-for-flexible-ordinary-goods|wk:claim:place-adhesive-linden-bast-soaking-can-support-separation-and-flexible-handling|wk:claim:construction-bast-vessel-fastening|world_db.world_base.land_use_templates (draft seed; exported to _shared/land_use_templates.world_db.tsv)#lu_bark_bast_collection,B,Липа (Tilia cordata) в стартовых G4 не указана; доступна только в смешанных/широколиственных лесах. Свойство луба не переносится на кору неопознанных деревьев (WK).,candidate
