row_id,g4_ref,g4_short,member_ref,taxon_words,source,frequency_category,seasons,source_refs,confidence,status
hab_central_current_split__salix,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,Salix (willow),ив|ивняк|ивов|лоз,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,C,candidate
hab_central_current_split__decomposer,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,decomposer fungal guild (unidentified),,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,C,candidate
hab_central_current_split__castor,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,Castor (beaver),бобр|бобров|бобёр,successor_member,rare,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,C,candidate
hab_central_current_split__wetground,g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split,central_current_split,wet-ground grass and sedge guild (unidentified),осок,landscape_dominant_vegetation,,winter|spring|summer|autumn,world_db.world_base.landscape_templates#lt_low_alluvial_riverbank.dominant_vegetation,C,candidate
hab_central_navigation_reach__salix,g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,central_navigation_reach,Salix (willow),ив|ивняк|ивов|лоз,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,C,candidate
hab_central_navigation_reach__decomposer,g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,central_navigation_reach,decomposer fungal guild (unidentified),,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,C,candidate
hab_central_navigation_reach__castor,g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,central_navigation_reach,Castor (beaver),бобр|бобров|бобёр,successor_member,rare,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,C,candidate
hab_central_navigation_reach__wetground,g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach,central_navigation_reach,wet-ground grass and sedge guild (unidentified),осок,landscape_dominant_vegetation,,winter|spring|summer|autumn,world_db.world_base.landscape_templates#lt_low_alluvial_riverbank.dominant_vegetation,C,candidate
hab_channel_split_islet__wetground,g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,channel_split_islet,wet-ground grass and sedge guild (unidentified),осок,successor_member,common,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,C,candidate
hab_channel_split_islet__salix,g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,channel_split_islet,Salix (willow),ив|ивняк|ивов|лоз,successor_member,occasional,winter|spring|summer|autumn,pr98:data/world-catalogs/novgorod/m2c-natural/nature-successor-candidate-v2.json#g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet,C,candidate
