npm_id,member_ref,member_kind,season_period,channel,clear_text,partial_text,loudness,render_condition,source_refs,confidence,status
npm_alces__winter__visual,Alces (elk),fauna,winter,visual,"На снегу глубокие следы крупного копытного, тропа уходит в заросли.",Различимы крупные следы.,,only with a committed current trace source (fauna_phase),wk:claim:fauna-mammals-moose-crepuscular-seasonal-movement|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_alces__winter__acoustic,Alces (elk),fauna,winter,acoustic,Из зарослей доносится хруст веток.,Доносится хруст.,1,only with a committed current sound source,wk:claim:fauna-mammals-moose-crepuscular-seasonal-movement|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_alces__spring__visual,Alces (elk),fauna,spring,visual,На сырой земле отпечатаны крупные раздвоенные копыта.,Различимы крупные следы.,,only with a committed current trace source (fauna_phase),wk:claim:fauna-mammals-moose-crepuscular-seasonal-movement|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_alces__spring__acoustic,Alces (elk),fauna,spring,acoustic,В зарослях что-то тяжело ломится.,Доносится треск.,2,only with a committed current sound source,wk:claim:fauna-mammals-moose-crepuscular-seasonal-movement|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_alces__summer__visual,Alces (elk),fauna,summer,visual,На иле у воды глубокие следы крупного копытного.,Различимы крупные следы.,,only with a committed current trace source (fauna_phase),wk:claim:fauna-mammals-moose-crepuscular-seasonal-movement|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_alces__summer__acoustic,Alces (elk),fauna,summer,acoustic,Из зарослей доносится неясный хруст.,Доносится хруст.,1,only with a committed current sound source,wk:claim:fauna-mammals-moose-crepuscular-seasonal-movement|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_alces__autumn__visual,Alces (elk),fauna,autumn,visual,"На кустах обкусанные побеги, на земле крупные следы.",Различимы следы.,,only with a committed current trace source (fauna_phase),wk:claim:fauna-mammals-moose-crepuscular-seasonal-movement|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_alces__autumn__acoustic,Alces (elk),fauna,autumn,acoustic,Из зарослей доносится тяжёлый хруст веток.,Доносится хруст.,1,only with a committed current sound source,wk:claim:fauna-mammals-moose-crepuscular-seasonal-movement|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_alnus__winter__visual,Alnus (alder),flora,winter,visual,"Ольха стоит у воды голая, с тёмными шишечками на ветках.",Различима ольха.,,member selected for this G4 and season,wk:claim:residual-tree-alnus-glutinosa-deciduous-simple-leaves|wk:claim:residual-tree-alnus-glutinosa-catkins-nutlets|wk:claim:residual-tree-alnus-glutinosa-moist-soil|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_alnus__spring__visual,Alnus (alder),flora,spring,visual,На ольхе висят длинные серёжки.,Различима ольха.,,member selected for this G4 and season,wk:claim:residual-tree-alnus-glutinosa-deciduous-simple-leaves|wk:claim:residual-tree-alnus-glutinosa-catkins-nutlets|wk:claim:residual-tree-alnus-glutinosa-moist-soil|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_alnus__summer__visual,Alnus (alder),flora,summer,visual,Ольха у сырого места темнеет густой листвой.,Различима ольха.,,member selected for this G4 and season,wk:claim:residual-tree-alnus-glutinosa-deciduous-simple-leaves|wk:claim:residual-tree-alnus-glutinosa-catkins-nutlets|wk:claim:residual-tree-alnus-glutinosa-moist-soil|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_alnus__summer__acoustic,Alnus (alder),flora,summer,acoustic,Ольховая листва шелестит.,Доносится шелест.,1,member selected; audible within propagation limits,wk:claim:residual-tree-alnus-glutinosa-deciduous-simple-leaves|wk:claim:residual-tree-alnus-glutinosa-catkins-nutlets|wk:claim:residual-tree-alnus-glutinosa-moist-soil|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_alnus__autumn__visual,Alnus (alder),flora,autumn,visual,"Ольха держит лист дольше соседей, тёмный и зелёный.",Различима ольха.,,member selected for this G4 and season,wk:claim:residual-tree-alnus-glutinosa-deciduous-simple-leaves|wk:claim:residual-tree-alnus-glutinosa-catkins-nutlets|wk:claim:residual-tree-alnus-glutinosa-moist-soil|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_betula__winter__visual,Betula (birch),flora,winter,visual,"Берёза белеет голым стволом, тонкие ветки свисают без листьев.",Различима берёза.,,member selected for this G4 and season,wk:claim:residual-tree-betula-pendula-deciduous|wk:claim:residual-tree-betula-pendula-male-female-catkins|wk:claim:final-static-b01-living-birch|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_betula__winter__acoustic,Betula (birch),flora,winter,acoustic,Голые берёзовые ветки постукивают на ветру.,Доносится постукивание.,1,member selected; audible within propagation limits,wk:claim:residual-tree-betula-pendula-deciduous|wk:claim:residual-tree-betula-pendula-male-female-catkins|wk:claim:final-static-b01-living-birch|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_betula__spring__visual,Betula (birch),flora,spring,visual,"На берёзе висят серёжки, ветки потемнели и налились.",Различима берёза.,,member selected for this G4 and season,wk:claim:residual-tree-betula-pendula-deciduous|wk:claim:residual-tree-betula-pendula-male-female-catkins|wk:claim:final-static-b01-living-birch|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_betula__spring__acoustic,Betula (birch),flora,spring,acoustic,Ветер шевелит берёзовые ветки.,Доносится шорох.,1,member selected; audible within propagation limits,wk:claim:residual-tree-betula-pendula-deciduous|wk:claim:residual-tree-betula-pendula-male-female-catkins|wk:claim:final-static-b01-living-birch|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_betula__summer__visual,Betula (birch),flora,summer,visual,Белоствольная берёза в мелкой листве.,Различима берёза.,,member selected for this G4 and season,wk:claim:residual-tree-betula-pendula-deciduous|wk:claim:residual-tree-betula-pendula-male-female-catkins|wk:claim:final-static-b01-living-birch|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_betula__summer__acoustic,Betula (birch),flora,summer,acoustic,Берёзовая листва шелестит на ветру.,Доносится шелест.,1,member selected; audible within propagation limits,wk:claim:residual-tree-betula-pendula-deciduous|wk:claim:residual-tree-betula-pendula-male-female-catkins|wk:claim:final-static-b01-living-birch|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_betula__autumn__visual,Betula (birch),flora,autumn,visual,"Берёза пожелтела, лист с неё облетает.",Различима берёза.,,member selected for this G4 and season,wk:claim:residual-tree-betula-pendula-deciduous|wk:claim:residual-tree-betula-pendula-male-female-catkins|wk:claim:final-static-b01-living-birch|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_betula__autumn__acoustic,Betula (birch),flora,autumn,acoustic,С берёзы с шорохом осыпается лист.,Доносится шорох.,1,member selected; audible within propagation limits,wk:claim:residual-tree-betula-pendula-deciduous|wk:claim:residual-tree-betula-pendula-male-female-catkins|wk:claim:final-static-b01-living-birch|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_castor__winter__visual,Castor (beaver),fauna,winter,visual,"У берега видны старые погрызы на пнях — острые, конусом.",Различимы погрызы на древесине.,,only with a committed current trace source (fauna_phase),wk:claim:static-weather-b06-beaver-compatible-cut-can-show-conical-top-and-incisor-grooves|wk:claim:static-weather-b06-multiple-near-water-beaver-signs-can-corroborate-a-beaver-explanation|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_castor__winter__acoustic,Castor (beaver),fauna,winter,acoustic,Из-подо льда у берега доносится глухой всплеск.,Доносится всплеск.,1,only with a committed current sound source,wk:claim:static-weather-b06-beaver-compatible-cut-can-show-conical-top-and-incisor-grooves|wk:claim:static-weather-b06-multiple-near-water-beaver-signs-can-corroborate-a-beaver-explanation|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_castor__spring__visual,Castor (beaver),fauna,spring,visual,"На прибрежных деревцах свежие погрызы, стружка светлая.",Различимы погрызы.,,only with a committed current trace source (fauna_phase),wk:claim:static-weather-b06-beaver-compatible-cut-can-show-conical-top-and-incisor-grooves|wk:claim:static-weather-b06-multiple-near-water-beaver-signs-can-corroborate-a-beaver-explanation|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_castor__spring__acoustic,Castor (beaver),fauna,spring,acoustic,У берега громко шлёпает по воде.,Доносится всплеск.,2,only with a committed current sound source,wk:claim:static-weather-b06-beaver-compatible-cut-can-show-conical-top-and-incisor-grooves|wk:claim:static-weather-b06-multiple-near-water-beaver-signs-can-corroborate-a-beaver-explanation|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_castor__summer__visual,Castor (beaver),fauna,summer,visual,"У воды пенёк, обгрызенный конусом, с бороздками от зубов.",Различимы погрызы.,,only with a committed current trace source (fauna_phase),wk:claim:static-weather-b06-beaver-compatible-cut-can-show-conical-top-and-incisor-grooves|wk:claim:static-weather-b06-multiple-near-water-beaver-signs-can-corroborate-a-beaver-explanation|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_castor__summer__acoustic,Castor (beaver),fauna,summer,acoustic,В сумерках у берега слышен резкий шлепок по воде.,Доносится всплеск.,2,only with a committed current sound source,wk:claim:static-weather-b06-beaver-compatible-cut-can-show-conical-top-and-incisor-grooves|wk:claim:static-weather-b06-multiple-near-water-beaver-signs-can-corroborate-a-beaver-explanation|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_castor__autumn__visual,Castor (beaver),fauna,autumn,visual,У воды свежие погрызы и обглоданные ветки.,Различимы погрызы.,,only with a committed current trace source (fauna_phase),wk:claim:static-weather-b06-beaver-compatible-cut-can-show-conical-top-and-incisor-grooves|wk:claim:static-weather-b06-multiple-near-water-beaver-signs-can-corroborate-a-beaver-explanation|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_castor__autumn__acoustic,Castor (beaver),fauna,autumn,acoustic,У берега шлёпает по воде.,Доносится всплеск.,2,only with a committed current sound source,wk:claim:static-weather-b06-beaver-compatible-cut-can-show-conical-top-and-incisor-grooves|wk:claim:static-weather-b06-multiple-near-water-beaver-signs-can-corroborate-a-beaver-explanation|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_phragmites__winter__visual,Phragmites (common reed),flora,winter,visual,"Сухой тростник стоит над льдом, метёлки поседели.",Различимы стебли тростника.,,member selected for this G4 and season,wk:claim:common-reed-rhizome-produces-stems-in-wetland-habitat|wk:claim:reality-batch-01-wetland-reed-dry-intact-stems-can-be-distinguished-by-observation|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_phragmites__winter__acoustic,Phragmites (common reed),flora,winter,acoustic,Сухой тростник шуршит и потрескивает на ветру.,Доносится шорох.,2,member selected; audible within propagation limits,wk:claim:common-reed-rhizome-produces-stems-in-wetland-habitat|wk:claim:reality-batch-01-wetland-reed-dry-intact-stems-can-be-distinguished-by-observation|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_phragmites__spring__visual,Phragmites (common reed),flora,spring,visual,Из воды торчат ломаные прошлогодние стебли тростника.,Различимы стебли.,,member selected for this G4 and season,wk:claim:common-reed-rhizome-produces-stems-in-wetland-habitat|wk:claim:reality-batch-01-wetland-reed-dry-intact-stems-can-be-distinguished-by-observation|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_phragmites__spring__acoustic,Phragmites (common reed),flora,spring,acoustic,Ломкие стебли тростника постукивают друг о друга.,Доносится постукивание.,1,member selected; audible within propagation limits,wk:claim:common-reed-rhizome-produces-stems-in-wetland-habitat|wk:claim:reality-batch-01-wetland-reed-dry-intact-stems-can-be-distinguished-by-observation|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_phragmites__summer__visual,Phragmites (common reed),flora,summer,visual,Стеной стоит зелёный тростник с тёмными метёлками.,Различим тростник.,,member selected for this G4 and season,wk:claim:common-reed-rhizome-produces-stems-in-wetland-habitat|wk:claim:reality-batch-01-wetland-reed-dry-intact-stems-can-be-distinguished-by-observation|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_phragmites__summer__acoustic,Phragmites (common reed),flora,summer,acoustic,Тростник шелестит сплошным шумом.,Доносится шелест.,2,member selected; audible within propagation limits,wk:claim:common-reed-rhizome-produces-stems-in-wetland-habitat|wk:claim:reality-batch-01-wetland-reed-dry-intact-stems-can-be-distinguished-by-observation|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_phragmites__autumn__visual,Phragmites (common reed),flora,autumn,visual,"Тростник побурел, метёлки распушились.",Различим тростник.,,member selected for this G4 and season,wk:claim:common-reed-rhizome-produces-stems-in-wetland-habitat|wk:claim:reality-batch-01-wetland-reed-dry-intact-stems-can-be-distinguished-by-observation|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_phragmites__autumn__acoustic,Phragmites (common reed),flora,autumn,acoustic,Сухой тростник шуршит на ветру.,Доносится шорох.,2,member selected; audible within propagation limits,wk:claim:common-reed-rhizome-produces-stems-in-wetland-habitat|wk:claim:reality-batch-01-wetland-reed-dry-intact-stems-can-be-distinguished-by-observation|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_picea__winter__visual,Picea (spruce),flora,winter,visual,"Ель стоит тёмным шатром, нижние лапы пригнуло снегом.",Различима ель.,,member selected for this G4 and season,wk:claim:residual-tree-picea-abies-evergreen-needles|wk:claim:residual-tree-picea-abies-cones-brown-at-maturity|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_picea__winter__acoustic,Picea (spruce),flora,winter,acoustic,С еловых лап с шорохом осыпается снег.,Доносится шорох.,1,member selected; audible within propagation limits,wk:claim:residual-tree-picea-abies-evergreen-needles|wk:claim:residual-tree-picea-abies-cones-brown-at-maturity|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_picea__spring__visual,Picea (spruce),flora,spring,visual,Тёмная ель стоит среди голых ещё деревьев.,Различима ель.,,member selected for this G4 and season,wk:claim:residual-tree-picea-abies-evergreen-needles|wk:claim:residual-tree-picea-abies-cones-brown-at-maturity|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_picea__spring__acoustic,Picea (spruce),flora,spring,acoustic,С еловых лап капает.,Доносится капель.,1,member selected; audible within propagation limits,wk:claim:residual-tree-picea-abies-evergreen-needles|wk:claim:residual-tree-picea-abies-cones-brown-at-maturity|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_picea__summer__visual,Picea (spruce),flora,summer,visual,Густая ель опускает к земле колючие лапы; на ветках висят бурые шишки.,Различима ель.,,member selected for this G4 and season,wk:claim:residual-tree-picea-abies-evergreen-needles|wk:claim:residual-tree-picea-abies-cones-brown-at-maturity|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_picea__summer__acoustic,Picea (spruce),flora,summer,acoustic,Еловые лапы глушат ветер.,Почти тихо.,1,member selected; audible within propagation limits,wk:claim:residual-tree-picea-abies-evergreen-needles|wk:claim:residual-tree-picea-abies-cones-brown-at-maturity|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_picea__autumn__visual,Picea (spruce),flora,autumn,visual,Ель темнеет среди облетевших деревьев.,Различима ель.,,member selected for this G4 and season,wk:claim:residual-tree-picea-abies-evergreen-needles|wk:claim:residual-tree-picea-abies-cones-brown-at-maturity|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_picea__autumn__acoustic,Picea (spruce),flora,autumn,acoustic,Ветер гудит в еловых вершинах.,Доносится гул.,1,member selected; audible within propagation limits,wk:claim:residual-tree-picea-abies-evergreen-needles|wk:claim:residual-tree-picea-abies-cones-brown-at-maturity|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_pinus__winter__visual,Pinus (pine),flora,winter,visual,"Над снегом поднимается сосна с рыжей корой; хвоя на ней тёмная, зимняя.",Различима сосна.,,member selected for this G4 and season,wk:claim:residual-tree-pinus-sylvestris-evergreen-needles|wk:claim:residual-tree-pinus-sylvestris-cones-fall-at-maturity|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_pinus__winter__acoustic,Pinus (pine),flora,winter,acoustic,В вершине сосны шумит ветер.,Доносится шум хвои.,1,member selected; audible within propagation limits,wk:claim:residual-tree-pinus-sylvestris-evergreen-needles|wk:claim:residual-tree-pinus-sylvestris-cones-fall-at-maturity|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_pinus__spring__visual,Pinus (pine),flora,spring,visual,Сосна стоит с медно-рыжей корой вверху ствола; под ней на земле лежат шишки.,Различима сосна.,,member selected for this G4 and season,wk:claim:residual-tree-pinus-sylvestris-evergreen-needles|wk:claim:residual-tree-pinus-sylvestris-cones-fall-at-maturity|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_pinus__spring__acoustic,Pinus (pine),flora,spring,acoustic,Ветер шумит в сосновой хвое.,Доносится шум хвои.,1,member selected; audible within propagation limits,wk:claim:residual-tree-pinus-sylvestris-evergreen-needles|wk:claim:residual-tree-pinus-sylvestris-cones-fall-at-maturity|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_pinus__summer__visual,Pinus (pine),flora,summer,visual,Прямая сосна с рыжей корой; от нагретого ствола тянет смолой.,Различима сосна.,,member selected for this G4 and season,wk:claim:residual-tree-pinus-sylvestris-evergreen-needles|wk:claim:residual-tree-pinus-sylvestris-cones-fall-at-maturity|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
npm_pinus__summer__acoustic,Pinus (pine),flora,summer,acoustic,Сосна тихо поскрипывает на ветру.,Доносится скрип.,1,member selected; audible within propagation limits,wk:claim:residual-tree-pinus-sylvestris-evergreen-needles|wk:claim:residual-tree-pinus-sylvestris-cones-fall-at-maturity|game-base-v1/nature-materials-weather/natural_presentation_texts/authoring/lexicon.mjs (editorial),C,candidate
