month,calendar,abs_max_c,mean_max_c,mean_c,mean_min_c,abs_min_c,precip_mm,julian_month_mean_max_c,julian_month_mean_c,julian_month_mean_min_c,julian_rule,source_refs,confidence,note,status
1,gregorian_station_normal,6,-6,-9.2,-12,-45,29,-5.8,-9,-12,Julian month m ≈ Gregorian dates +7 d: value = G(m) + 0.23 x (G(m+1) - G(m)),"Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,Современный (XX в.) аналог; поправка на климат 1230 г. не вводится,candidate
2,gregorian_station_normal,6,-5,-8.2,-12,-39,22,-3.8,-7.1,-10.8,Julian month m ≈ Gregorian dates +7 d: value = G(m) + 0.23 x (G(m+1) - G(m)),"Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,Современный (XX в.) аналог; поправка на климат 1230 г. не вводится,candidate
3,gregorian_station_normal,13,0,-3.3,-7,-32,29,1.8,-1.7,-5.4,Julian month m ≈ Gregorian dates +7 d: value = G(m) + 0.23 x (G(m+1) - G(m)),"Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,Современный (XX в.) аналог; поправка на климат 1230 г. не вводится,candidate
4,gregorian_station_normal,26,8,3.7,0,-24,33,10.1,5.5,1.6,Julian month m ≈ Gregorian dates +7 d: value = G(m) + 0.23 x (G(m+1) - G(m)),"Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,Современный (XX в.) аналог; поправка на климат 1230 г. не вводится,candidate
5,gregorian_station_normal,31,17,11.6,7,-8,37,17.9,12.5,7.7,Julian month m ≈ Gregorian dates +7 d: value = G(m) + 0.23 x (G(m+1) - G(m)),"Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,Современный (XX в.) аналог; поправка на климат 1230 г. не вводится,candidate
6,gregorian_station_normal,32,21,15.7,10,-3,62,21.2,16.1,10.5,Julian month m ≈ Gregorian dates +7 d: value = G(m) + 0.23 x (G(m+1) - G(m)),"Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,Современный (XX в.) аналог; поправка на климат 1230 г. не вводится,candidate
7,gregorian_station_normal,34,22,17.3,12,1,71,21.8,16.9,11.8,Julian month m ≈ Gregorian dates +7 d: value = G(m) + 0.23 x (G(m+1) - G(m)),"Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,Современный (XX в.) аналог; поправка на климат 1230 г. не вводится,candidate
8,gregorian_station_normal,34,21,15.5,11,-2,71,19.6,14.3,10.1,Julian month m ≈ Gregorian dates +7 d: value = G(m) + 0.23 x (G(m+1) - G(m)),"Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,Современный (XX в.) аналог; поправка на климат 1230 г. не вводится,candidate
9,gregorian_station_normal,29,15,10.3,7,-10,60,13.4,9.1,5.8,Julian month m ≈ Gregorian dates +7 d: value = G(m) + 0.23 x (G(m+1) - G(m)),"Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,Современный (XX в.) аналог; поправка на климат 1230 г. не вводится,candidate
10,gregorian_station_normal,22,8,5,2,-21,51,6.4,3.7,0.8,Julian month m ≈ Gregorian dates +7 d: value = G(m) + 0.23 x (G(m+1) - G(m)),"Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,Современный (XX в.) аналог; поправка на климат 1230 г. не вводится,candidate
