rule_id,target,value,when,source_refs,confidence,status
gr_snow,ground_state,snow,"snow cover established (wxp_snow_cover_onset .. wxp_snow_cover_break) and band in [severe_cold, cold, cool]","pr98:packages/contracts/src/weather-state.js (WEATHER_KINDS, TEMPERATURE_BANDS, PRECIPITATION_KINDS, WIND_BANDS, VISIBILITY_WEATHER_MODIFIERS, GROUND_STATES)|weather_climate/seasonal_phenomena.csv",C,candidate
gr_ice_glaze,ground_state,ice,"phase sleet or rain with band cool after band cold, or thaw then refreeze","pr98:packages/contracts/src/weather-state.js (WEATHER_KINDS, TEMPERATURE_BANDS, PRECIPITATION_KINDS, WIND_BANDS, VISIBILITY_WEATHER_MODIFIERS, GROUND_STATES)|weather_climate/seasonal_phenomena.csv",C,candidate
gr_flooded,ground_state,flooded,wxp_spring_flood window and floodplain/riverbank/marsh landscape,"pr98:packages/contracts/src/weather-state.js (WEATHER_KINDS, TEMPERATURE_BANDS, PRECIPITATION_KINDS, WIND_BANDS, VISIBILITY_WEATHER_MODIFIERS, GROUND_STATES)|weather_climate/seasonal_phenomena.csv",C,candidate
gr_mud,ground_state,mud,"rasputitsa windows, or wx_precip_steady/wx_windy_precip/wx_convective_storm rain within last 24 h on non-sandy ground","pr98:packages/contracts/src/weather-state.js (WEATHER_KINDS, TEMPERATURE_BANDS, PRECIPITATION_KINDS, WIND_BANDS, VISIBILITY_WEATHER_MODIFIERS, GROUND_STATES)|weather_climate/seasonal_phenomena.csv",C,candidate
gr_wet,ground_state,wet,any rain or sleet within last 12 h,"pr98:packages/contracts/src/weather-state.js (WEATHER_KINDS, TEMPERATURE_BANDS, PRECIPITATION_KINDS, WIND_BANDS, VISIBILITY_WEATHER_MODIFIERS, GROUND_STATES)|weather_climate/seasonal_phenomena.csv",C,candidate
gr_dry,ground_state,dry,otherwise,"pr98:packages/contracts/src/weather-state.js (WEATHER_KINDS, TEMPERATURE_BANDS, PRECIPITATION_KINDS, WIND_BANDS, VISIBILITY_WEATHER_MODIFIERS, GROUND_STATES)|weather_climate/seasonal_phenomena.csv",C,candidate
wr_ice,water_condition,ice,between wxp_volkhov_freeze_up and wxp_volkhov_break_up,"Река Волхов: ледостав с конца ноября по начало апреля, лёд 70–80 см к концу февраля, очищение ото льда 10–20 дней, до 70% стока в половодье; полыньи у Новгорода. Сводка поиска по cruiseinform.ru/catalog/06/volkhov/ и ru.wikipedia.org/wiki/Волхов_(река)|Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda",B,candidate
wr_ice_forming,water_condition,ice_forming,"7 days before freeze-up average, band cold or colder","Река Волхов: ледостав с конца ноября по начало апреля, лёд 70–80 см к концу февраля, очищение ото льда 10–20 дней, до 70% стока в половодье; полыньи у Новгорода. Сводка поиска по cruiseinform.ru/catalog/06/volkhov/ и ru.wikipedia.org/wiki/Волхов_(река)|Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda",B,candidate
wr_ice_breaking,water_condition,ice_breaking,break-up .. +15 days (ice drift 10–20 days),"Река Волхов: ледостав с конца ноября по начало апреля, лёд 70–80 см к концу февраля, очищение ото льда 10–20 дней, до 70% стока в половодье; полыньи у Новгорода. Сводка поиска по cruiseinform.ru/catalog/06/volkhov/ и ru.wikipedia.org/wiki/Волхов_(река)|Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda",B,candidate
wr_flood,water_condition,high_water,wxp_spring_flood window,"Река Волхов: ледостав с конца ноября по начало апреля, лёд 70–80 см к концу февраля, очищение ото льда 10–20 дней, до 70% стока в половодье; полыньи у Новгорода. Сводка поиска по cruiseinform.ru/catalog/06/volkhov/ и ru.wikipedia.org/wiki/Волхов_(река)|Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda",B,candidate
wr_open,water_condition,open,otherwise,"Река Волхов: ледостав с конца ноября по начало апреля, лёд 70–80 см к концу февраля, очищение ото льда 10–20 дней, до 70% стока в половодье; полыньи у Новгорода. Сводка поиска по cruiseinform.ru/catalog/06/volkhov/ и ru.wikipedia.org/wiki/Волхов_(река)|Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda",B,candidate
