row_id,julian_month,season_period,avg_civil_dawn_lmst,avg_sunrise_lmst,avg_sunset_lmst,avg_civil_dusk_lmst,day_length_h,dark_night_h,light_night,light_character_ru,source_refs,confidence,status
wxlight_m01,1,winter,07:37,08:24,16:02,16:50,7.6,14.8,false,"короткий день, низкое солнце, долгие сумерки",main:data/world-catalogs/novgorod/temporal-v4/datasets/calendar_daylight_light_profiles.json#record:calendar_daylight_light_profiles:novgorod_1230_1233_v2,A,candidate
wxlight_m02,2,winter,06:35,07:16,17:12,17:54,9.9,12.7,false,умеренный день,main:data/world-catalogs/novgorod/temporal-v4/datasets/calendar_daylight_light_profiles.json#record:calendar_daylight_light_profiles:novgorod_1230_1233_v2,A,candidate
wxlight_m03,3,spring,05:13,05:53,18:20,19:01,12.5,10.2,false,умеренный день,main:data/world-catalogs/novgorod/temporal-v4/datasets/calendar_daylight_light_profiles.json#record:calendar_daylight_light_profiles:novgorod_1230_1233_v2,A,candidate
wxlight_m04,4,spring,03:41,04:27,19:29,20:15,15,7.4,false,"долгий день, высокое солнце",main:data/world-catalogs/novgorod/temporal-v4/datasets/calendar_daylight_light_profiles.json#record:calendar_daylight_light_profiles:novgorod_1230_1233_v2,A,candidate
wxlight_m05,5,spring,02:13,03:17,20:34,21:38,17.3,4.6,false,"долгий день, высокое солнце",main:data/world-catalogs/novgorod/temporal-v4/datasets/calendar_daylight_light_profiles.json#record:calendar_daylight_light_profiles:novgorod_1230_1233_v2,A,candidate
wxlight_m06,6,summer,01:32,02:52,21:09,22:28,18.3,3.1,true,светлые ночи: небо не темнеет полностью,main:data/world-catalogs/novgorod/temporal-v4/datasets/calendar_daylight_light_profiles.json#record:calendar_daylight_light_profiles:novgorod_1230_1233_v2,A,candidate
wxlight_m07,7,summer,02:27,03:29,20:39,21:42,17.2,4.8,false,"долгий день, высокое солнце",main:data/world-catalogs/novgorod/temporal-v4/datasets/calendar_daylight_light_profiles.json#record:calendar_daylight_light_profiles:novgorod_1230_1233_v2,A,candidate
wxlight_m08,8,summer,03:51,04:37,19:26,20:12,14.8,7.7,false,умеренный день,main:data/world-catalogs/novgorod/temporal-v4/datasets/calendar_daylight_light_profiles.json#record:calendar_daylight_light_profiles:novgorod_1230_1233_v2,A,candidate
wxlight_m09,9,autumn,05:05,05:45,18:00,18:40,12.3,10.4,false,умеренный день,main:data/world-catalogs/novgorod/temporal-v4/datasets/calendar_daylight_light_profiles.json#record:calendar_daylight_light_profiles:novgorod_1230_1233_v2,A,candidate
wxlight_m10,10,autumn,06:14,06:56,16:34,17:16,9.6,13,false,умеренный день,main:data/world-catalogs/novgorod/temporal-v4/datasets/calendar_daylight_light_profiles.json#record:calendar_daylight_light_profiles:novgorod_1230_1233_v2,A,candidate
wxlight_m11,11,autumn,07:19,08:08,15:28,16:17,7.3,15,false,"короткий день, низкое солнце, долгие сумерки",main:data/world-catalogs/novgorod/temporal-v4/datasets/calendar_daylight_light_profiles.json#record:calendar_daylight_light_profiles:novgorod_1230_1233_v2,A,candidate
wxlight_m12,12,winter,07:56,08:49,15:13,16:05,6.4,15.9,false,"короткий день, низкое солнце, долгие сумерки",main:data/world-catalogs/novgorod/temporal-v4/datasets/calendar_daylight_light_profiles.json#record:calendar_daylight_light_profiles:novgorod_1230_1233_v2,A,candidate
