phenomenon_id,name_ru,kind,gregorian_avg,gregorian_early,gregorian_late,julian_avg,julian_early,julian_late,value_ru,game_effect,source_refs,confidence,status
wxp_volkhov_freeze_up,Ледостав на Волхове,water,11-25,,,11-18,,,под льдом в среднем 130 дней; к концу февраля лёд 70–80 см,water_condition: ice_forming -> ice; переправа по льду только после окрепления; ловля подо льдом,"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Река Волхов: ледостав с конца ноября по начало апреля, лёд 70–80 см к концу февраля, очищение ото льда 10–20 дней, до 70% стока в половодье; полыньи у Новгорода. Сводка поиска по cruiseinform.ru/catalog/06/volkhov/ и ru.wikipedia.org/wiki/Волхов_(река)",B,candidate
wxp_volkhov_break_up,Вскрытие Волхова и ледоход,water,04-04,02-26,04-27,03-28,02-19,04-20,"очищение ото льда 10–20 дней (сначала речной, затем озёрный лёд)",water_condition: ice_breaking; переправы закрыты; треск и шум льда,"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Река Волхов: ледостав с конца ноября по начало апреля, лёд 70–80 см к концу февраля, очищение ото льда 10–20 дней, до 70% стока в половодье; полыньи у Новгорода. Сводка поиска по cruiseinform.ru/catalog/06/volkhov/ и ru.wikipedia.org/wiki/Волхов_(река)",B,candidate
wxp_spring_flood,Весеннее половодье,water,04-10,,05-31,04-03,,05-24,до 70% годового стока приходится на половодье; пойма заливается,ground: flooded на пойменных G4; броды закрыты; лодка нужна,"Река Волхов: ледостав с конца ноября по начало апреля, лёд 70–80 см к концу февраля, очищение ото льда 10–20 дней, до 70% стока в половодье; полыньи у Новгорода. Сводка поиска по cruiseinform.ru/catalog/06/volkhov/ и ru.wikipedia.org/wiki/Волхов_(река)|wk:claim:foundations-earth-25-snowmelt-runoff|wk:claim:foundations-earth2-11-river-ice-jam-flow-obstruction",B,candidate
wxp_spring_rasputitsa,Весенняя распутица,ground,04-03,,,03-27,,,с начала апреля 20–30 дней; устойчивый переход через 0 °C ~3 апреля,ground_state: mud; движение по грунту x1.5 и хуже,"Климат Новгородской области — trasa.ru: http://trasa.ru/region/novgorodskaya_clim.html|Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|main:tools/rus13-novgorod-regional-templates/novgorod_weather_season_rules_v1.json (draft, requires_human_audit)",B,candidate
wxp_autumn_rasputitsa,Осенняя распутица,ground,10-15,,11-08,10-08,,11-01,дожди октября–ноября до устойчивого перехода через 0 °C (~8 ноября),ground_state: mud,"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|main:tools/rus13-novgorod-regional-templates/novgorod_weather_season_rules_v1.json (draft, requires_human_audit)",C,candidate
wxp_snow_cover_onset,Установление устойчивого снежного покрова,snow,12-05,11-05,01-05,11-28,10-29,12-29,"снег лежит в среднем 135 дней, устойчиво 119 (88–174)",ground_state: snow; санный путь,"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климат Новгородской области — trasa.ru: http://trasa.ru/region/novgorodskaya_clim.html",B,candidate
wxp_snow_depth_max,Наибольшая высота снега,snow,03-01,,,02-22,,,в среднем 36 см (7–82 см в разные зимы),глубокий снег вне дорог,"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda",B,candidate
wxp_snow_cover_break,Разрушение и сход снежного покрова,snow,04-05,03-15,04-23,03-29,03-08,04-16,полный сход — к середине апреля,ground_state: snow -> mud,"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda",B,candidate
wxp_last_spring_frost,Последние весенние заморозки,temperature,05-17,,06-13,05-10,,06-06,безморозный период в среднем 127 дней (103–169),иней утром; риск для всходов,"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климат Новгородской области — trasa.ru: http://trasa.ru/region/novgorodskaya_clim.html",B,candidate
wxp_first_autumn_frost,Первые осенние заморозки,temperature,09-22,,,09-15,,,по области ~18 сентября (trasa),иней; в 1230 г. мороз 14 сентября (Julian) погубил хлеб,"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климат Новгородской области — trasa.ru: http://trasa.ru/region/novgorodskaya_clim.html",B,candidate
