row_id,julian_month,interval,normal_temp_c,formula,source_refs,confidence,status
wtp_m01_00-06,1,00-06,-12,T = normal_temp_c + anomaly.delta_c + STATE_TEMP_MOD[state][interval],"Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wtp_m01_06-12,1,06-12,-9,T = normal_temp_c + anomaly.delta_c + STATE_TEMP_MOD[state][interval],"Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wtp_m01_12-18,1,12-18,-5.8,T = normal_temp_c + anomaly.delta_c + STATE_TEMP_MOD[state][interval],"Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wtp_m01_18-24,1,18-24,-9,T = normal_temp_c + anomaly.delta_c + STATE_TEMP_MOD[state][interval],"Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wtp_m02_00-06,2,00-06,-10.8,T = normal_temp_c + anomaly.delta_c + STATE_TEMP_MOD[state][interval],"Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wtp_m02_06-12,2,06-12,-7.1,T = normal_temp_c + anomaly.delta_c + STATE_TEMP_MOD[state][interval],"Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wtp_m02_12-18,2,12-18,-3.8,T = normal_temp_c + anomaly.delta_c + STATE_TEMP_MOD[state][interval],"Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wtp_m02_18-24,2,18-24,-7.1,T = normal_temp_c + anomaly.delta_c + STATE_TEMP_MOD[state][interval],"Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wtp_m03_00-06,3,00-06,-5.4,T = normal_temp_c + anomaly.delta_c + STATE_TEMP_MOD[state][interval],"Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wtp_m03_06-12,3,06-12,-1.7,T = normal_temp_c + anomaly.delta_c + STATE_TEMP_MOD[state][interval],"Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
