row_id,season_period,wx_state_id,slot_fraction,frequency_class,class_weight,persistence_days,entry_weight,rule,basis,source_refs,confidence,status
wxc_winter__clear,winter,wx_clear,0.05,rare,1,1,5,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction",clear days 1.5/30 (Oct–Dec ~1; год 31),"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wxc_winter__partly_cloudy,winter,wx_partly_cloudy,0.315,ubiquitous,8,3,10,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction",remainder 1 - Σ(other states),"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",C,candidate
wxc_winter__overcast,winter,wx_overcast,0.283,common,4,2,14,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction","overcast days 18.8/30 minus precipitation, fog, windy-precip shares (Nov–Dec 21–22; Jan–Feb интерполировано (C); годовая сумма 162)","Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wxc_winter__fog,winter,wx_fog,0.052,rare,1,1,5,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction",fog days 4.7/30 x occupancy 0.33 (Oct–Mar 28 дней (4–5/мес)),"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wxc_winter__precip_light,winter,wx_precip_light,0.141,contextual,2,1,14,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction","precip days 17/30 x 0.5 x (1 - steady share 29.9%); steady share = mm_per_precip_day/(mm_per_precip_day+4), mm/day=1.7","Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wxc_winter__precip_steady,winter,wx_precip_steady,0.06,contextual,2,1,6,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction",precip slots x steady share 29.9%,"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wxc_winter__convective_storm,winter,wx_convective_storm,0,absent,0,0,0,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction",thunder days 0/30 x 0.25 (нет),"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
wxc_winter__windy_dry,winter,wx_windy_dry,0.008,rare,1,1,1,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction",windy days 2/30 x 0.25 x 0.5 (нет данных — редкое (C)),"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород|Климат Новгородской области — trasa.ru: http://trasa.ru/region/novgorodskaya_clim.html",C,candidate
wxc_winter__windy_precip,winter,wx_windy_precip,0.091,contextual,2,1,9,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction","blizzard days 7.5/30 x 0.33 + half of windy (метель 5–10 дней/мес зимой (trasa, область))","Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород|Климат Новгородской области — trasa.ru: http://trasa.ru/region/novgorodskaya_clim.html",C,candidate
wxc_spring__clear,spring,wx_clear,0.117,contextual,2,1,12,"class by slot fraction: >=0.30 ubiquitous, >=0.15 common, >=0.06 contextual, >0 rare (class_weight 8/4/2/1); persistence 3/2/1 for ubiquitous/common/other; fog, storm, windy states always 1; entry_weight = max(1, round(100 x slot_fraction / persistence_days)) so that the stationary share of the chain matches the slot fraction",clear days 3.5/30 (весна–лето — максимум; год 31),"Сводка «Климат Новгорода» (наблюдения 1892–1980; публикация 1985 г.), воспроизведена на novgorodpogoda.ru: https://novgorodpogoda.ru/termicheskij-rezhim ; https://novgorodpogoda.ru/rezhim-uvlazhneniya ; https://novgorodpogoda.ru/rezhim-oblachnosti-i-atmosfernye-yavleniya ; https://novgorodpogoda.ru/klimat-novgoroda|Климатическая таблица «Великий Новгород» — ru.wikipedia.org/wiki/Великий_Новгород (раздел «Климат»; источники таблицы: «Научно-прикладной справочник по климату СССР», Яндекс.Погода). https://ru.wikipedia.org/wiki/Великий_Новгород",B,candidate
