ci_id,role_or_occupation_ref,season,circumstance,canonical_existing_item_ids,common_new_item_ids,contextual_new_item_ids,max_items,selection_rule,quantity_rule,forbidden_rules,owner,mark_rule_ref,source_refs,confidence,notes
ci_inv001,household_member_or_craft_worker,unspecified_all_season,Домашний швейный свёрток,"[""HOU0034"",""HOU0035"",""HOU0041""]","[""OMI01871"",""OMI00266"",""OMI00267"",""OMI00268"",""OMI00271"",""OMI00277"",""OMI00278"",""OMI00279""]","[""OMI00270"",""OMI00269"",""OMI00280"",""OMI00281""]",8,select a small coherent subset; do not grant every listed item and do not use historical admissibility as proof of possession,"exact units/portions must fit container, mass and source constraints; no free refill from the profile","[""no confidence D"",""no automatic valuable, weapon, money or authoritative document"",""no duplicate clothing/accessory objects"",""no deposit or environmental layer as portable inventory without extraction""]",actor,,gb:sources/master-archive-v1/data/normalized_source_tables/material_entities/inventory_profiles.csv#INV001,B,"Useful for NPC equipment, loot candidates and bag contents only after a specific causal/property basis is committed."
ci_inv002,fisher_or_fishing_group,unspecified_all_season,Рыбацкий ремонтный набор,"[""FSH0011"",""FSH0012"",""FSH0013"",""FSH0014""]","[""OMI00382"",""OMI00383"",""OMI00395"",""OMI02095""]",[],10,select a small coherent subset; do not grant every listed item and do not use historical admissibility as proof of possession,"exact units/portions must fit container, mass and source constraints; no free refill from the profile","[""no confidence D"",""no automatic valuable, weapon, money or authoritative document"",""no duplicate clothing/accessory objects"",""no deposit or environmental layer as portable inventory without extraction""]",actor,,gb:sources/master-archive-v1/data/normalized_source_tables/material_entities/inventory_profiles.csv#INV002,B,"Useful for NPC equipment, loot candidates and bag contents only after a specific causal/property basis is committed."
ci_inv003,literate_person_scribe_merchant_or_church_context,unspecified_all_season,Набор для письма на бересте,"[""WRT0020"",""WRT0027"",""WRT0028"",""WRT0016""]","[""OMI01662"",""OMI01641"",""OMI01642"",""OMI01645"",""OMI01637"",""OMI01638"",""OMI01639""]","[""OMI01644""]",7,select a small coherent subset; do not grant every listed item and do not use historical admissibility as proof of possession,"exact units/portions must fit container, mass and source constraints; no free refill from the profile","[""no confidence D"",""no automatic valuable, weapon, money or authoritative document"",""no duplicate clothing/accessory objects"",""no deposit or environmental layer as portable inventory without extraction""]",actor,,gb:sources/master-archive-v1/data/normalized_source_tables/material_entities/inventory_profiles.csv#INV003,B,"Useful for NPC equipment, loot candidates and bag contents only after a specific causal/property basis is committed."
ci_inv004,scribe_or_church_book_context,unspecified_all_season,Чернильный и пергаментный писцовый набор,"[""WRT0006"",""WRT0007"",""WRT0008"",""WRT0025""]","[""OMI01682"",""OMI01674"",""OMI01675"",""OMI01677"",""OMI01683""]","[""OMI01681"",""OMI01685"",""OMI01672"",""OMI01679""]",8,select a small coherent subset; do not grant every listed item and do not use historical admissibility as proof of possession,"exact units/portions must fit container, mass and source constraints; no free refill from the profile","[""no confidence D"",""no automatic valuable, weapon, money or authoritative document"",""no duplicate clothing/accessory objects"",""no deposit or environmental layer as portable inventory without extraction""]",actor,,gb:sources/master-archive-v1/data/normalized_source_tables/material_entities/inventory_profiles.csv#INV004,B,"Useful for NPC equipment, loot candidates and bag contents only after a specific causal/property basis is committed."
ci_inv005,merchant_weigher_or_storekeeper,unspecified_all_season,Купеческий набор бирки и взвешивания,"[""TRD0038"",""WRT0020"",""HOU0041""]","[""OMI01615"",""OMI01639"",""OMI01621"",""OMI01648"",""OMI01637"",""OMI01638"",""OMI01662"",""OMI01619"",""OMI01641""]","[""OMI01616"",""OMI01622"",""OMI01623"",""OMI01607""]",9,select a small coherent subset; do not grant every listed item and do not use historical admissibility as proof of possession,"exact units/portions must fit container, mass and source constraints; no free refill from the profile","[""no confidence D"",""no automatic valuable, weapon, money or authoritative document"",""no duplicate clothing/accessory objects"",""no deposit or environmental layer as portable inventory without extraction""]",actor,,gb:sources/master-archive-v1/data/normalized_source_tables/material_entities/inventory_profiles.csv#INV005,B,"Useful for NPC equipment, loot candidates and bag contents only after a specific causal/property basis is committed."
ci_inv006,household_traveler_or_camp,unspecified_all_season,Набор растопки и света,"[""INT0035"",""HOU0007"",""HOU0008"",""HOU0009""]","[""OMI00165"",""OMI00150"",""OMI01805"",""OMI01822"",""OMI01823"",""OMI00166"",""OMI00167"",""OMI00172""]","[""OMI00152"",""OMI00153"",""OMI00154"",""OMI01806""]",8,select a small coherent subset; do not grant every listed item and do not use historical admissibility as proof of possession,"exact units/portions must fit container, mass and source constraints; no free refill from the profile","[""no confidence D"",""no automatic valuable, weapon, money or authoritative document"",""no duplicate clothing/accessory objects"",""no deposit or environmental layer as portable inventory without extraction""]",actor,,gb:sources/master-archive-v1/data/normalized_source_tables/material_entities/inventory_profiles.csv#INV006,B,"Useful for NPC equipment, loot candidates and bag contents only after a specific causal/property basis is committed."
ci_inv007,traveler_merchant_messenger_or_servant,unspecified_all_season,Дорожный малый свёрток,"[""HOU0015"",""HOU0041"",""HOU0018"",""MIL0025""]","[""OMI02021"",""OMI01504"",""OMI01505"",""OMI01538"",""OMI01797"",""OMI01798"",""OMI01848"",""OMI01849"",""OMI01850""]","[""OMI01564"",""OMI01508"",""OMI01509"",""OMI01510""]",9,select a small coherent subset; do not grant every listed item and do not use historical admissibility as proof of possession,"exact units/portions must fit container, mass and source constraints; no free refill from the profile","[""no confidence D"",""no automatic valuable, weapon, money or authoritative document"",""no duplicate clothing/accessory objects"",""no deposit or environmental layer as portable inventory without extraction""]",actor,,gb:sources/master-archive-v1/data/normalized_source_tables/material_entities/inventory_profiles.csv#INV007,B,"Useful for NPC equipment, loot candidates and bag contents only after a specific causal/property basis is committed."
ci_inv008,boat_owner_boatman_or_ship_repairer,unspecified_all_season,Лодочный ремонтный свёрток,"[""CON0009"",""WTR0023"",""HOU0018""]","[""OMI00617"",""OMI00619"",""OMI01943"",""OMI01946"",""OMI01933"",""OMI00620"",""OMI00624"",""OMI01938"",""OMI00605"",""OMI00609""]","[""OMI00618"",""OMI00621"",""OMI00622"",""OMI00623"",""OMI01926""]",10,select a small coherent subset; do not grant every listed item and do not use historical admissibility as proof of possession,"exact units/portions must fit container, mass and source constraints; no free refill from the profile","[""no confidence D"",""no automatic valuable, weapon, money or authoritative document"",""no duplicate clothing/accessory objects"",""no deposit or environmental layer as portable inventory without extraction""]",actor,,gb:sources/master-archive-v1/data/normalized_source_tables/material_entities/inventory_profiles.csv#INV008,B,"Useful for NPC equipment, loot candidates and bag contents only after a specific causal/property basis is committed."
ci_inv009,carpenter_or_household_repair_stock,unspecified_all_season,Плотницкая корзина пригодных обрезков,"[""CON0009"",""CON0010"",""HOU0032""]","[""OMI00605"",""OMI00609"",""OMI00610"",""OMI00611"",""OMI00187"",""OMI00200"",""OMI00204"",""OMI00607"",""OMI00608"",""OMI00612""]","[""OMI00071"",""OMI00606"",""OMI00059"",""OMI00072"",""OMI00615"",""OMI00068""]",12,select a small coherent subset; do not grant every listed item and do not use historical admissibility as proof of possession,"exact units/portions must fit container, mass and source constraints; no free refill from the profile","[""no confidence D"",""no automatic valuable, weapon, money or authoritative document"",""no duplicate clothing/accessory objects"",""no deposit or environmental layer as portable inventory without extraction""]",actor,,gb:sources/master-archive-v1/data/normalized_source_tables/material_entities/inventory_profiles.csv#INV009,B,"Useful for NPC equipment, loot candidates and bag contents only after a specific causal/property basis is committed."
ci_inv010,blacksmith_or_workshop_controller,unspecified_all_season,Кузнечная корзина полуфабрикатов,"[""CRF0119"",""CON0010"",""HOU0032""]","[""OMI00573"",""OMI00577"",""OMI00579"",""OMI00587"",""OMI00590"",""OMI00605"",""OMI00609"",""OMI00610"",""OMI00611"",""OMI00625"",""OMI00628"",""OMI00664""]","[""OMI00574"",""OMI00575"",""OMI00576"",""OMI00578"",""OMI00588"",""OMI00606""]",12,select a small coherent subset; do not grant every listed item and do not use historical admissibility as proof of possession,"exact units/portions must fit container, mass and source constraints; no free refill from the profile","[""no confidence D"",""no automatic valuable, weapon, money or authoritative document"",""no duplicate clothing/accessory objects"",""no deposit or environmental layer as portable inventory without extraction""]",actor,,gb:sources/master-archive-v1/data/normalized_source_tables/material_entities/inventory_profiles.csv#INV010,B,"Useful for NPC equipment, loot candidates and bag contents only after a specific causal/property basis is committed."
