category_id,domain,facet,stable_code,parent_category_id,name_ru,name_en,region_id,origin,source_domain_file,status
actor.age_category.adult,actor_appearance,age_category,actor.age_category.adult,,,age_category:adult,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.age_category.middle_aged,actor_appearance,age_category,actor.age_category.middle_aged,,,age_category:middle_aged,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.age_category.old,actor_appearance,age_category,actor.age_category.old,,,age_category:old,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.age_category.young_adult,actor_appearance,age_category,actor.age_category.young_adult,,,age_category:young_adult,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.build.average,actor_appearance,build,actor.build.average,,,build:average,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.build.slim,actor_appearance,build,actor.build.slim,,,build:slim,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.build.stocky,actor_appearance,build,actor.build.stocky,,,build:stocky,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.eye_color.blue,actor_appearance,eye_color,actor.eye_color.blue,,,eye_color:blue,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.eye_color.brown,actor_appearance,eye_color,actor.eye_color.brown,,,eye_color:brown,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.eye_color.dark,actor_appearance,eye_color,actor.eye_color.dark,,,eye_color:dark,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.eye_color.gray,actor_appearance,eye_color,actor.eye_color.gray,,,eye_color:gray,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.eye_color.green,actor_appearance,eye_color,actor.eye_color.green,,,eye_color:green,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.face_shape.angular,actor_appearance,face_shape,actor.face_shape.angular,,,face_shape:angular,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.face_shape.broad,actor_appearance,face_shape,actor.face_shape.broad,,,face_shape:broad,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.face_shape.long,actor_appearance,face_shape,actor.face_shape.long,,,face_shape:long,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.face_shape.oval,actor_appearance,face_shape,actor.face_shape.oval,,,face_shape:oval,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.face_shape.round,actor_appearance,face_shape,actor.face_shape.round,,,face_shape:round,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.facial_hair.full_beard,actor_appearance,facial_hair,actor.facial_hair.full_beard,,,facial_hair:full_beard,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.facial_hair.moustache,actor_appearance,facial_hair,actor.facial_hair.moustache,,,facial_hair:moustache,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.facial_hair.none,actor_appearance,facial_hair,actor.facial_hair.none,,,facial_hair:none,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.facial_hair.short_beard,actor_appearance,facial_hair,actor.facial_hair.short_beard,,,facial_hair:short_beard,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.hair_color.auburn,actor_appearance,hair_color,actor.hair_color.auburn,,,hair_color:auburn,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.hair_color.black,actor_appearance,hair_color,actor.hair_color.black,,,hair_color:black,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.hair_color.blond,actor_appearance,hair_color,actor.hair_color.blond,,,hair_color:blond,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.hair_color.dark_brown,actor_appearance,hair_color,actor.hair_color.dark_brown,,,hair_color:dark_brown,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.hair_color.gray,actor_appearance,hair_color,actor.hair_color.gray,,,hair_color:gray,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.hair_color.light_brown,actor_appearance,hair_color,actor.hair_color.light_brown,,,hair_color:light_brown,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.hair_color.white,actor_appearance,hair_color,actor.hair_color.white,,,hair_color:white,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.hair_length.bald,actor_appearance,hair_length,actor.hair_length.bald,,,hair_length:bald,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.hair_length.long,actor_appearance,hair_length,actor.hair_length.long,,,hair_length:long,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.hair_length.medium,actor_appearance,hair_length,actor.hair_length.medium,,,hair_length:medium,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.hair_length.short,actor_appearance,hair_length,actor.hair_length.short,,,hair_length:short,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.hair_style.braided,actor_appearance,hair_style,actor.hair_style.braided,,,hair_style:braided,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.hair_style.loose,actor_appearance,hair_style,actor.hair_style.loose,,,hair_style:loose,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.hair_style.straight,actor_appearance,hair_style,actor.hair_style.straight,,,hair_style:straight,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.hair_style.wavy,actor_appearance,hair_style,actor.hair_style.wavy,,,hair_style:wavy,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.sex_category.female,actor_appearance,sex_category,actor.sex_category.female,,,sex_category:female,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.sex_category.male,actor_appearance,sex_category,actor.sex_category.male,,,sex_category:male,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.skin_tone.brown,actor_appearance,skin_tone,actor.skin_tone.brown,,,skin_tone:brown,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.skin_tone.light,actor_appearance,skin_tone,actor.skin_tone.light,,,skin_tone:light,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.skin_tone.pale,actor_appearance,skin_tone,actor.skin_tone.pale,,,skin_tone:pale,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
actor.skin_tone.warm,actor_appearance,skin_tone,actor.skin_tone.warm,,,skin_tone:warm,,v17_actor_appearance,pr98:data/world-catalogs/novgorod/live-world-runtime-v17/appearance-transfer-v3-datasets/universal_categories.json,approved
content_fibre_yarn,container_content,content_category,content_fibre_yarn,,"кудель, пряжа, нитки",,,game_base_v1:buildings-interiors-containers,data/world-catalogs/novgorod/game-base-v1/buildings-interiors-containers/containers/content_categories.csv,candidate
content_fishing_gear,container_content,content_category,content_fishing_gear,,рыболовные снасти,,,game_base_v1:buildings-interiors-containers,data/world-catalogs/novgorod/game-base-v1/buildings-interiors-containers/containers/content_categories.csv,candidate
content_fodder,container_content,content_category,content_fodder,,"корм скоту (сено, овёс)",,,game_base_v1:buildings-interiors-containers,data/world-catalogs/novgorod/game-base-v1/buildings-interiors-containers/containers/content_categories.csv,candidate
content_fuel,container_content,content_category,content_fuel,,"топливо (дрова, уголь, лучина)",,,game_base_v1:buildings-interiors-containers,data/world-catalogs/novgorod/game-base-v1/buildings-interiors-containers/containers/content_categories.csv,candidate
content_fur,container_content,content_category,content_fur,,меха и шкурки,,,game_base_v1:buildings-interiors-containers,data/world-catalogs/novgorod/game-base-v1/buildings-interiors-containers/containers/content_categories.csv,candidate
content_horse_gear,container_content,content_category,content_horse_gear,,конская упряжь,,,game_base_v1:buildings-interiors-containers,data/world-catalogs/novgorod/game-base-v1/buildings-interiors-containers/containers/content_categories.csv,candidate
content_leather,container_content,content_category,content_leather,,"кожа, обрезки кожи",,,game_base_v1:buildings-interiors-containers,data/world-catalogs/novgorod/game-base-v1/buildings-interiors-containers/containers/content_categories.csv,candidate
content_metal_stock,container_content,content_category,content_metal_stock,,"металл-сырьё (крица, прутки, слитки)",,,game_base_v1:buildings-interiors-containers,data/world-catalogs/novgorod/game-base-v1/buildings-interiors-containers/containers/content_categories.csv,candidate
content_ritual_objects,container_content,content_category,content_ritual_objects,,культовые предметы,,,game_base_v1:buildings-interiors-containers,data/world-catalogs/novgorod/game-base-v1/buildings-interiors-containers/containers/content_categories.csv,candidate
content_rope_cordage,container_content,content_category,content_rope_cordage,,"верёвки, лыко",,,game_base_v1:buildings-interiors-containers,data/world-catalogs/novgorod/game-base-v1/buildings-interiors-containers/containers/content_categories.csv,candidate
