pgl_id,scope_kind,scope_ref,scale_class,region_id,households_min,households_max,households_basis,household_estimate_text,household_kind_count,household_mix,residents_min,residents_max,residents_basis,npc_present_min,npc_present_max,g4_zones_min,g4_zones_max,items_notable_max,items_basis,containers_max,g5_anchor_max,rule_ref,v6_row_count,source_refs,gaps,confidence,status
pgl_pt_administrative_court__administrative_or_authority_court__1,place_template,pt_administrative_court,administrative_or_authority_court,region_novgorod_land,,,,"1 комплекс; 10-80 зависимых, служебных или дворовых людей по значимости узла",5,старшие/служилые; писцы/дворовые; сторожа; гости; конюшня и кладовые,10,80,R2 people range in text,,,14,14,,,,,scripts/build-generation-limits.mjs R1-R3,6,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_administrative_court;scale_class=administrative_or_authority_court,households: estimate text has no yard range;containers_max: no sourced basis,C,candidate
pgl_pt_boat_landing__water_crossing_or_landing__2,place_template,pt_boat_landing,water_crossing_or_landing,region_novgorod_land,0,6,R1 range,"0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей",4,перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места,,,,,,9,10,,,,,scripts/build-generation-limits.mjs R1-R3,7,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_boat_landing;scale_class=water_crossing_or_landing,residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
pgl_pt_city_major_center__major_city__3,place_template,pt_city_major_center,major_city,region_novgorod_land,4000,6000,R1 range,около 4000-6000 дворов; игровая пропорция держится в диапазоне 3000-7000,8,богатые боярско-купеческие 250-450; ремесленные 1200-1800; торговые/гостевые 350-700; церковные 150-300; служилые/административные 150-300; рядовые посадские 1700-2500; бедные/окраинные 400-900; пустующие/погорелые/перестраиваемые 100-400,,,,,,20,20,,,,,scripts/build-generation-limits.mjs R1-R3,1,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_city_major_center;scale_class=major_city,residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
pgl_pt_crossroads__road_crossroads__4,place_template,pt_crossroads,road_crossroads,region_novgorod_land,0,3,R1 range,0-3 двора сторожа/постоя/ремонтника пути,2,"постоянных дворов мало; основная плотность — путники, возы, проводники и сезонные стоянки",,,,,,9,9,,,,,scripts/build-generation-limits.mjs R1-R3,21,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_crossroads;scale_class=road_crossroads,residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
pgl_pt_estate_center__estate_or_large_yard_center__5,place_template,pt_estate_center,estate_or_large_yard_center,region_novgorod_land,4,16,R1 range+1 main yard,1 крупный двор с 3-15 зависимыми/служебными дворами или хозяйственными участками,5,хозяин/держатель; работные люди; скотники; хранители; сезонные работники,,,,,,12,12,,,,,scripts/build-generation-limits.mjs R1-R3,2,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_estate_center;scale_class=estate_or_large_yard_center,residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
pgl_pt_ferry_place__water_crossing_or_landing__6,place_template,pt_ferry_place,water_crossing_or_landing,region_novgorod_land,0,6,R1 range,"0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей",4,перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места,,,,,,9,10,,,,,scripts/build-generation-limits.mjs R1-R3,17,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_ferry_place;scale_class=water_crossing_or_landing,residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
pgl_pt_fish_weir_site__fishing_production_site__7,place_template,pt_fish_weir_site,fishing_production_site,region_novgorod_land,0,6,R1 range,0-6 дворов/изб рыбаков и хранителей снастей,4,рыбаки; лодейщики; хранители сетей; временные работники,,,,,,8,9,,,,,scripts/build-generation-limits.mjs R1-R3,4,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_fish_weir_site;scale_class=fishing_production_site,residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
pgl_pt_fishing_station__fishing_production_site__8,place_template,pt_fishing_station,fishing_production_site,region_novgorod_land,0,6,R1 range,0-6 дворов/изб рыбаков и хранителей снастей,4,рыбаки; лодейщики; хранители сетей; временные работники,,,,,,8,9,,,,,scripts/build-generation-limits.mjs R1-R3,7,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_fishing_station;scale_class=fishing_production_site,residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
pgl_pt_ford_place__water_crossing_or_landing__9,place_template,pt_ford_place,water_crossing_or_landing,region_novgorod_land,0,6,R1 range,"0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей",4,перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места,,,,,,9,10,,,,,scripts/build-generation-limits.mjs R1-R3,108,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_ford_place;scale_class=water_crossing_or_landing,residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
pgl_pt_forest_work_camp__resource_camp__10,place_template,pt_forest_work_camp,resource_camp,region_novgorod_land,0,3,R1 range,0-3 временных двора/избы; постоянного поселения обычно нет,1,"промысловики, лесные работники, сторож или временная артель",,,,,,7,7,,,,,scripts/build-generation-limits.mjs R1-R3,10,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g3_scale_register_v6.tsv#place_template_id=pt_forest_work_camp;scale_class=resource_camp,residents: no persons-per-household source; set only where text states people;containers_max: no sourced basis,C,candidate
