parameter_key,value_type,unit,allowed_values_or_range,default_assignment_rule,rule_basis,applies_to_domains,region_id,universal,confidence,status
mass_g,number,gram per quantity unit,> 0,by_template,"data/knowledge-source/imports/item-container-120-v5/candidate/tables/item_template_quantity_profiles.json mass_grams_per_unit (source src_gameplay_physical_policy_v3: editorial gameplay ranges, not historical measurements); for categories without a template: by_material_and_size_band once materials_registry provides densities (gap)",item;container;garment;food,,true,C,candidate
size_band,enum,,"v5 item/size_band categories (23, packing_N_bundle_M)",by_template,data/knowledge-source/imports/item-container-120-v5/candidate/tables/item_template_category_bindings.json binding_kind=size_band,item;garment,,true,C,candidate
primary_material,enum,,v5 item/material and container/material categories; later materials_registry (nature-materials-weather group),by_template,data/knowledge-source/imports/item-container-120-v5/candidate/tables/item_template_category_bindings.json binding_kind=material; container_template_facet_bindings.json facet=material,item;container;garment,,true,C,candidate
manufacturing_technique,enum,,v5 item/manufacturing_technique categories (55),by_template,data/knowledge-source/imports/item-container-120-v5/candidate/tables/item_template_category_bindings.json binding_kind=manufacturing_technique,item,,true,C,candidate
quantity_unit,enum,,gram|loaf|millilitre|piece|quantity_unit_gram_v1,by_template,data/knowledge-source/imports/item-container-120-v5/candidate/tables/quantity_unit_definitions.json; item_template_quantity_profiles.json quantity_unit_id,item;food,,true,C,candidate
quantity_min_max,text,quantity unit,min..max integers,by_template,data/knowledge-source/imports/item-container-120-v5/candidate/tables/item_template_quantity_profiles.json minimum_quantity/maximum_quantity,item,,true,C,candidate
stackable,boolean,,true|false,by_template,data/knowledge-source/imports/item-container-120-v5/candidate/tables/item_template_quantity_profiles.json stackable,item,,true,C,candidate
divisible,boolean,,true|false,by_template,data/knowledge-source/imports/item-container-120-v5/candidate/tables/item_template_quantity_profiles.json partial_consumption_allowed,item;food,,true,C,candidate
portability,enum,,v5 container/portability categories (6); for items: by_size_band (rule owed by materialization owner),by_template,data/knowledge-source/imports/item-container-120-v5/candidate/tables/container_template_facet_bindings.json facet=portability,item;container,,true,C,candidate
capacity_packing_slots,integer,packing slot,>= 1,by_template,data/knowledge-source/imports/item-container-120-v5/candidate/tables/container_templates.json capacity (capacity_policy packing_slots),container,,true,C,candidate
flammable,boolean,,true|false,by_material,"data/world-catalogs/novgorod/world-knowledge/production-v1/material-response.json, data/world-catalogs/novgorod/world-knowledge/production-v1/foundations-physical.json (approved WK: response of materials to fire/heat); per-material table owed by materials_registry",item;container;garment,,true,B,candidate
floats,boolean,,true|false,by_material,"data/world-catalogs/novgorod/world-knowledge/production-v1/foundations-physical.json, data/world-catalogs/novgorod/world-knowledge/production-v1/physical-interaction.json (approved WK); per-material table owed by materials_registry",item;container,,true,B,candidate
durability_class,enum,,vocabulary gap (no approved durability scale),by_material,"data/world-catalogs/novgorod/world-knowledge/production-v1/material-response.json (approved WK: wear, breakage, decay by material)",item;container;garment,,true,C,candidate
value_band,enum,,vocabulary gap (owned by economy-trade-measures group: price bands),by_material,owner decision: value is assigned by code; D10 — value never makes an item significant,item;container;garment;food,,true,C,candidate
quality_class,enum,,vocabulary gap (craft quality / finish scale not defined),by_form,universal_category_classification_policy.md §5 (quality is a separate facet),item;container;garment,,true,C,candidate
spoilage_class,enum,,food-drink group spoilage states (food/spoilage_states),by_material,food-drink group; MASTER food_system spoilage_states,food,,true,C,candidate
