location_archetype,name_ru,item_location_link_count,spawn_profiles_max_items,pf_ids,mapping_status,note,source_refs,confidence,status
bathhouse,баня,121,SPN021:12,pf_bathhouse,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=bathhouse; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
boat,лодка или судно,440,SPN023:12;SPN024:18,pf_river_channel;pf_fishing_camp,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=boat; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
byre,хлев и скотный двор,212,SPN020:16,pf_outbuildings,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=byre; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
cart_or_sledge,"телега, повозка или сани",102,SPN034:10;SPN035:16;SPN036:14,pf_road,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=cart_or_sledge; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
cellar,погреб или холодное хранилище,131,,pf_cellar_granary,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=cellar; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
church,церковь,379,SPN030:20;SPN031:14,pf_church_interior;pf_churchyard,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=church; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
construction_site,строительная площадка,427,SPN029:20;SPN030:20,pf_town_courtyard;pf_peasant_homestead,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=construction_site; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
field,"поле, огород или ток",225,SPN037:18;SPN038:14,pf_arable_field;pf_orchard_garden;pf_threshing_barn,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=field; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
fishing_site,"рыбацкий стан, берег или место лова",335,SPN025:18;SPN026:18,pf_fishing_camp,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=fishing_site; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
forest,лес и лесной промысел,217,SPN027:14;SPN028:16,pf_mixed_woodland;pf_conifer_woodland;pf_broadleaf_woodland;pf_forest_edge,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=forest; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
forge,кузница или кузнечный двор,244,SPN008:18;SPN009:16,pf_smithy,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=forge; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
hearth,печь или очаг,368,SPN001:14;SPN017:18;SPN018:18;SPN021:12;SPN043:8;SPN045:14,pf_dwelling_interior,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=hearth; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
hunting_camp,промысловый или охотничий стан,213,SPN027:14,pf_hunting_ground,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=hunting_camp; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
leather_workshop,кожевенная или сапожная рабочая зона,185,SPN011:18;SPN012:16,pf_ordinary_workshop,mapped,,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/item_location_links.csv#location_archetype=leather_workshop; data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/material_entities/spawn_profiles.csv,C,candidate
