scene_template_ref,scene_template_status,regional_template_id,g5_count_v17,pf_ids,mapping_status,note,source_refs,confidence,status
stfv3__g5_boundary_access_v1@1,approved,regional_scene_basis__g5_boundary_access_v1,4,pf_town_wall_edge;pf_field_margin;pf_forest_edge,mapped,,pr98:data/world-catalogs/novgorod/spatial-v3/datasets/spatial_v3_scene_templates.json#stfv3__g5_boundary_access_v1,C,candidate
stfv3__g5_burial_ritual_buffer_v1@1,approved,regional_scene_basis__g5_burial_ritual_buffer_v1,3,pf_churchyard,mapped,,pr98:data/world-catalogs/novgorod/spatial-v3/datasets/spatial_v3_scene_templates.json#stfv3__g5_burial_ritual_buffer_v1,C,candidate
stfv3__g5_dry_route_v1@1,approved,regional_scene_basis__g5_dry_route_v1,16,pf_road;pf_forest_track;pf_village_lane,mapped,,pr98:data/world-catalogs/novgorod/spatial-v3/datasets/spatial_v3_scene_templates.json#stfv3__g5_dry_route_v1,C,candidate
stfv3__g5_exploration_concealment_v1@1,approved,regional_scene_basis__g5_exploration_concealment_v1,6,pf_mixed_woodland;pf_marshy_stream;pf_forest_edge,mapped,,pr98:data/world-catalogs/novgorod/spatial-v3/datasets/spatial_v3_scene_templates.json#stfv3__g5_exploration_concealment_v1,C,candidate
stfv3__g5_general_hazard_v1@1,approved,regional_scene_basis__g5_general_hazard_v1,21,pf_reality_batch_01_open_conditions,mapped,,pr98:data/world-catalogs/novgorod/spatial-v3/datasets/spatial_v3_scene_templates.json#stfv3__g5_general_hazard_v1,C,candidate
stfv3__g5_habitation_v1@1,approved,regional_scene_basis__g5_habitation_v1,4,pf_peasant_homestead;pf_rural_yard;pf_dwelling_interior,mapped,,pr98:data/world-catalogs/novgorod/spatial-v3/datasets/spatial_v3_scene_templates.json#stfv3__g5_habitation_v1,C,candidate
stfv3__g5_landing_transition_v1@1,approved,regional_scene_basis__g5_landing_transition_v1,8,pf_ferry_landing;pf_riverbank;pf_river_wharf,mapped,,pr98:data/world-catalogs/novgorod/spatial-v3/datasets/spatial_v3_scene_templates.json#stfv3__g5_landing_transition_v1,C,candidate
stfv3__g5_observation_orientation_v1@1,approved,regional_scene_basis__g5_observation_orientation_v1,10,pf_riverbank;pf_forest_edge,mapped,,pr98:data/world-catalogs/novgorod/spatial-v3/datasets/spatial_v3_scene_templates.json#stfv3__g5_observation_orientation_v1,C,candidate
stfv3__g5_resource_hazard_v1@1,approved,regional_scene_basis__g5_resource_hazard_v1,2,pf_bog;pf_marshy_stream,mapped,,pr98:data/world-catalogs/novgorod/spatial-v3/datasets/spatial_v3_scene_templates.json#stfv3__g5_resource_hazard_v1,C,candidate
stfv3__g5_resource_v1@1,approved,regional_scene_basis__g5_resource_v1,15,pf_hunting_ground;pf_mixed_woodland;pf_riverbank,mapped,,pr98:data/world-catalogs/novgorod/spatial-v3/datasets/spatial_v3_scene_templates.json#stfv3__g5_resource_v1,C,candidate
stfv3__g5_route_approach_v1@1,approved,regional_scene_basis__g5_route_approach_v1,36,pf_road;pf_forest_track;pf_riverbank,mapped,,pr98:data/world-catalogs/novgorod/spatial-v3/datasets/spatial_v3_scene_templates.json#stfv3__g5_route_approach_v1,C,candidate
stfv3__g5_seasonal_route_hazard_v1@1,approved,regional_scene_basis__g5_seasonal_route_hazard_v1,13,pf_winter_ice_crossing;pf_floodplain_meadow,mapped,,pr98:data/world-catalogs/novgorod/spatial-v3/datasets/spatial_v3_scene_templates.json#stfv3__g5_seasonal_route_hazard_v1,C,candidate
stfv3__g5_shelter_rest_v1@1,approved,regional_scene_basis__g5_shelter_rest_v1,21,pf_fishing_camp;pf_forest_edge,mapped,,pr98:data/world-catalogs/novgorod/spatial-v3/datasets/spatial_v3_scene_templates.json#stfv3__g5_shelter_rest_v1,C,candidate
stfv3__g5_water_hazard_v1@1,approved,regional_scene_basis__g5_water_hazard_v1,9,pf_river_channel,mapped,,pr98:data/world-catalogs/novgorod/spatial-v3/datasets/spatial_v3_scene_templates.json#stfv3__g5_water_hazard_v1,C,candidate
stfv3__g5_water_navigation_v1@1,approved,regional_scene_basis__g5_water_navigation_v1,19,pf_river_channel,mapped,,pr98:data/world-catalogs/novgorod/spatial-v3/datasets/spatial_v3_scene_templates.json#stfv3__g5_water_navigation_v1,C,candidate
stfv3__g5_wetland_flood_v1@1,approved,regional_scene_basis__g5_wetland_flood_v1,3,pf_floodplain_meadow;pf_bog,mapped,,pr98:data/world-catalogs/novgorod/spatial-v3/datasets/spatial_v3_scene_templates.json#stfv3__g5_wetland_flood_v1,C,candidate
stfv3__g5_work_storage_social_v1@1,approved,regional_scene_basis__g5_work_storage_social_v1,5,pf_outbuildings;pf_cellar_granary;pf_rural_yard,mapped,,pr98:data/world-catalogs/novgorod/spatial-v3/datasets/spatial_v3_scene_templates.json#stfv3__g5_work_storage_social_v1,C,candidate
