node_ref,node_level,parent_node_ref,region_id,pf_id,pf_secondary,landscape_template_id,land_use_template_id,place_template_id,water_body_template_id,landscape_regional_link_ids,water_regional_link_ids,authoring_axes,scene_template_refs,binding_basis,binding_status,gaps,source_refs,source_status,confidence,status
g4v3__gn_nov_g3_xp017_yp026_r2_central_current_split@1,G4,,region_novgorod_land,pf_river_channel,pf_road;pf_forest_track;pf_riverbank,lt_low_alluvial_riverbank,,,wb_river_channel,rlt_novgorod_low_alluvial_riverbank,rwbt_novgorod_river_channel,landscape=river_channel; land_use=waterway_access; function=channel_split,stfv3__g5_route_approach_v1@1;stfv3__g5_water_hazard_v1@1;stfv3__g5_water_navigation_v1@1,pf: data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json#node_binding.g4_function_to_pf.map.channel_split applied to pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_central_current_split].authoring_axes.function (direct/high); templates: pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_central_current_split].template_refs,bound,land_use_template_id: no v17 node-level source (authoring land_use axis is not a lu_* template id);place_template_id: no v17 node-level source,pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_central_current_split;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json,candidate_approval_pending,C,candidate
g4v3__gn_nov_g3_xp017_yp026_r2_central_navigation_reach@1,G4,,region_novgorod_land,pf_river_channel,pf_riverbank;pf_forest_edge;pf_road;pf_forest_track;pf_fishing_camp,lt_low_alluvial_riverbank,,,wb_river_channel,rlt_novgorod_low_alluvial_riverbank,rwbt_novgorod_river_channel,landscape=river_channel; land_use=waterway_access; function=river_reach,stfv3__g5_observation_orientation_v1@1;stfv3__g5_route_approach_v1@1;stfv3__g5_shelter_rest_v1@1;stfv3__g5_water_hazard_v1@1;stfv3__g5_water_navigation_v1@1,pf: data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json#node_binding.g4_function_to_pf.map.river_reach applied to pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_central_navigation_reach].authoring_axes.function (direct/high); templates: pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_central_navigation_reach].template_refs,bound,land_use_template_id: no v17 node-level source (authoring land_use axis is not a lu_* template id);place_template_id: no v17 node-level source,pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_central_navigation_reach;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json,candidate_approval_pending,C,candidate
g4v3__gn_nov_g3_xp017_yp026_r2_channel_split_islet@1,G4,,region_novgorod_land,pf_riverbank,pf_road;pf_forest_track;pf_village_lane;pf_forest_edge;pf_river_channel;pf_floodplain_meadow;pf_bog,lt_alluvial_floodplain,,,wb_river_channel,rlt_novgorod_alluvial_floodplain,rwbt_novgorod_river_channel,landscape=island; land_use=low_intensity_natural_use; function=island_head,stfv3__g5_dry_route_v1@1;stfv3__g5_observation_orientation_v1@1;stfv3__g5_water_navigation_v1@1;stfv3__g5_wetland_flood_v1@1,pf: data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json#node_binding.g4_function_to_pf.map.island_head applied to pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_channel_split_islet].authoring_axes.function (direct/high); templates: pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_channel_split_islet].template_refs,bound,land_use_template_id: no v17 node-level source (authoring land_use axis is not a lu_* template id);place_template_id: no v17 node-level source,pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_channel_split_islet;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json,candidate_approval_pending,C,candidate
g4v3__gn_nov_g3_xp017_yp026_r2_driftwood_bar@1,G4,,region_novgorod_land,pf_riverbank,pf_road;pf_forest_track;pf_village_lane;pf_reality_batch_01_open_conditions;pf_bog;pf_marshy_stream;pf_hunting_ground;pf_mixed_woodland;pf_fishing_camp;pf_forest_edge,lt_low_alluvial_riverbank,,,wb_river_channel,rlt_novgorod_low_alluvial_riverbank,rwbt_novgorod_river_channel,landscape=shoal; land_use=low_intensity_natural_use; function=driftwood_bar,stfv3__g5_dry_route_v1@1;stfv3__g5_general_hazard_v1@1;stfv3__g5_resource_hazard_v1@1;stfv3__g5_resource_v1@1;stfv3__g5_shelter_rest_v1@1,pf: data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json#node_binding.g4_function_to_pf.map.driftwood_bar applied to pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_driftwood_bar].authoring_axes.function (direct/high); templates: pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_driftwood_bar].template_refs,bound,land_use_template_id: no v17 node-level source (authoring land_use axis is not a lu_* template id);place_template_id: no v17 node-level source,pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_driftwood_bar;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json,candidate_approval_pending,C,candidate
g4v3__gn_nov_g3_xp017_yp026_r2_dry_island_ridge@1,G4,,region_novgorod_land,pf_floodplain_meadow,pf_road;pf_forest_track;pf_village_lane;pf_reality_batch_01_open_conditions;pf_ferry_landing;pf_riverbank;pf_river_wharf;pf_hunting_ground;pf_mixed_woodland;pf_fishing_camp;pf_forest_edge,lt_gentle_hills,,,wb_river_channel,rlt_novgorod_gentle_hills,rwbt_novgorod_river_channel,landscape=floodplain; land_use=low_intensity_natural_use; function=island_ridge,stfv3__g5_dry_route_v1@1;stfv3__g5_general_hazard_v1@1;stfv3__g5_landing_transition_v1@1;stfv3__g5_resource_v1@1;stfv3__g5_route_approach_v1@1;stfv3__g5_shelter_rest_v1@1,pf: data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json#node_binding.g4_function_to_pf.map.island_ridge applied to pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_dry_island_ridge].authoring_axes.function (direct/high); templates: pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_dry_island_ridge].template_refs,bound,land_use_template_id: no v17 node-level source (authoring land_use axis is not a lu_* template id);place_template_id: no v17 node-level source,pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_dry_island_ridge;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json,candidate_approval_pending,C,candidate
g4v3__gn_nov_g3_xp017_yp026_r2_dry_pine_ridge@1,G4,,region_novgorod_land,pf_conifer_woodland,pf_road;pf_forest_track;pf_village_lane;pf_riverbank;pf_forest_edge;pf_hunting_ground;pf_mixed_woodland;pf_fishing_camp,lt_temperate_coniferous_forest,,,,rlt_novgorod_temperate_coniferous_forest,,landscape=forest; land_use=forest_resource_use; function=pine_ridge,stfv3__g5_dry_route_v1@1;stfv3__g5_observation_orientation_v1@1;stfv3__g5_resource_v1@1;stfv3__g5_route_approach_v1@1;stfv3__g5_shelter_rest_v1@1,pf: data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json#node_binding.g4_function_to_pf.map.pine_ridge applied to pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_dry_pine_ridge].authoring_axes.function (direct/high); templates: pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_dry_pine_ridge].template_refs,bound,land_use_template_id: no v17 node-level source (authoring land_use axis is not a lu_* template id);place_template_id: no v17 node-level source,pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_dry_pine_ridge;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json,candidate_approval_pending,C,candidate
g4v3__gn_nov_g3_xp017_yp026_r2_east_flood_bypass@1,G4,,region_novgorod_land,pf_river_channel,pf_road;pf_forest_track;pf_riverbank;pf_winter_ice_crossing;pf_floodplain_meadow;pf_fishing_camp;pf_forest_edge,lt_low_alluvial_riverbank,,,wb_river_channel,rlt_novgorod_low_alluvial_riverbank,rwbt_novgorod_river_channel,landscape=river_channel; land_use=waterway_access; function=side_channel,stfv3__g5_route_approach_v1@1;stfv3__g5_seasonal_route_hazard_v1@1;stfv3__g5_shelter_rest_v1@1;stfv3__g5_water_hazard_v1@1;stfv3__g5_water_navigation_v1@1,pf: data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json#node_binding.g4_function_to_pf.map.side_channel applied to pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_east_flood_bypass].authoring_axes.function (direct/high); templates: pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_east_flood_bypass].template_refs,bound,land_use_template_id: no v17 node-level source (authoring land_use axis is not a lu_* template id);place_template_id: no v17 node-level source,pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_east_flood_bypass;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json,candidate_approval_pending,C,candidate
g4v3__gn_nov_g3_xp017_yp026_r2_east_side_channel@1,G4,,region_novgorod_land,pf_river_channel,pf_road;pf_forest_track;pf_riverbank;pf_winter_ice_crossing;pf_floodplain_meadow;pf_fishing_camp;pf_forest_edge,lt_low_alluvial_riverbank,,,wb_river_channel,rlt_novgorod_low_alluvial_riverbank,rwbt_novgorod_river_channel,landscape=river_channel; land_use=waterway_access; function=side_channel,stfv3__g5_route_approach_v1@1;stfv3__g5_seasonal_route_hazard_v1@1;stfv3__g5_shelter_rest_v1@1;stfv3__g5_water_hazard_v1@1;stfv3__g5_water_navigation_v1@1,pf: data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json#node_binding.g4_function_to_pf.map.side_channel applied to pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_east_side_channel].authoring_axes.function (direct/high); templates: pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_east_side_channel].template_refs,bound,land_use_template_id: no v17 node-level source (authoring land_use axis is not a lu_* template id);place_template_id: no v17 node-level source,pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_east_side_channel;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json,candidate_approval_pending,C,candidate
g4v3__gn_nov_g3_xp017_yp026_r2_flooded_interior_basin@1,G4,,region_novgorod_land,pf_floodplain_meadow,pf_reality_batch_01_open_conditions;pf_hunting_ground;pf_mixed_woodland;pf_riverbank;pf_winter_ice_crossing;pf_fishing_camp;pf_forest_edge;pf_bog,lt_alluvial_floodplain,,,wb_floodwater,rlt_novgorod_alluvial_floodplain,rwbt_novgorod_floodwater,landscape=floodplain; land_use=low_intensity_natural_use; function=floodplain_basin,stfv3__g5_general_hazard_v1@1;stfv3__g5_resource_v1@1;stfv3__g5_seasonal_route_hazard_v1@1;stfv3__g5_shelter_rest_v1@1;stfv3__g5_wetland_flood_v1@1,pf: data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json#node_binding.g4_function_to_pf.map.floodplain_basin applied to pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_flooded_interior_basin].authoring_axes.function (direct/high); templates: pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_flooded_interior_basin].template_refs,bound,land_use_template_id: no v17 node-level source (authoring land_use axis is not a lu_* template id);place_template_id: no v17 node-level source,pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_flooded_interior_basin;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json,candidate_approval_pending,C,candidate
g4v3__gn_nov_g3_xp017_yp026_r2_floodplain_ridge_route@1,G4,,region_novgorod_land,pf_road,pf_forest_track;pf_village_lane;pf_reality_batch_01_open_conditions;pf_ferry_landing;pf_riverbank;pf_river_wharf;pf_fishing_camp;pf_forest_edge,lt_gentle_hills,,,wb_river_channel,rlt_novgorod_gentle_hills,rwbt_novgorod_river_channel,landscape=ridge; land_use=waterway_access; function=dry_ridge_route,stfv3__g5_dry_route_v1@1;stfv3__g5_general_hazard_v1@1;stfv3__g5_landing_transition_v1@1;stfv3__g5_route_approach_v1@1;stfv3__g5_shelter_rest_v1@1,pf: data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json#node_binding.g4_function_to_pf.map.dry_ridge_route applied to pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_floodplain_ridge_route].authoring_axes.function (direct/high); templates: pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#natural_profiles[profile_id=m2c_natural_g4_floodplain_ridge_route].template_refs,bound,land_use_template_id: no v17 node-level source (authoring land_use axis is not a lu_* template id);place_template_id: no v17 node-level source,pr98:data/world-catalogs/novgorod/m2c-natural/candidate.json#m2c_natural_g4_floodplain_ridge_route;data/world-catalogs/novgorod/game-base-v1/places-binding/scripts/crosswalk-rules.json,candidate_approval_pending,C,candidate
