pr_id,scope_kind,scope_ref,region_id,category_ref,frequency_class,class_capped_from,probability_ppm,probability_rule_ref,count_limit,count_limit_basis,allowed_seasons,refresh_class,contract_scope_kind,source_pool,source_row_id,source_refs,confidence,pool_confidence,status
pr_000001,place_family,pf_arable_field,,cat_item_object_carrying_basket_v1,common,,500000,presence_ppm_from_frequency_class@1,1,default_minimum_1,winter;spring;summer;autumn,none,no_needs_cr,data/world-catalogs/novgorod/game-base-v1/items-household-personal/items/item_place_frequency.csv#row402,ipf_it_hh_basket__arable_field,master_spawn:SPN038:HOU0016,C,B,candidate
pr_000002,place_family,pf_arable_field,,cat_item_object_hand_quern_v1,common,,500000,presence_ppm_from_frequency_class@1,1,default_minimum_1,winter;spring;summer;autumn,none,no_needs_cr,data/world-catalogs/novgorod/game-base-v1/items-household-personal/items/item_place_frequency.csv#row133,ipf_it_hh_hand_quern__arable_field,master_link:ILO006331,C,B,candidate
pr_000003,place_family,pf_arable_field,,cat_item_object_sack_v1,common,,500000,presence_ppm_from_frequency_class@1,1,default_minimum_1,winter;spring;summer;autumn,none,no_needs_cr,data/world-catalogs/novgorod/game-base-v1/items-household-personal/items/item_place_frequency.csv#row388,ipf_it_hh_cloth_sack__arable_field,master_spawn:SPN038:HOU0015,C,B,candidate
pr_000004,place_family,pf_arable_field,,cat_item_object_spindle_whorl_v1,contextual,,250000,presence_ppm_from_frequency_class@1,1,default_minimum_1,winter;spring;summer;autumn,none,no_needs_cr,data/world-catalogs/novgorod/game-base-v1/items-household-personal/items/item_place_frequency.csv#row478,ipf_it_hh_slate_whorl__arable_field,master_link:ILO006301;master_link:ILO006307,C,B,candidate
pr_000005,place_family,pf_arable_field,,cat_item_object_straw_mat_v1,ubiquitous,,1000000,presence_ppm_from_frequency_class@1,1,default_minimum_1,winter;spring;summer;autumn,none,no_needs_cr,data/world-catalogs/novgorod/game-base-v1/items-household-personal/items/item_place_frequency.csv#row344,ipf_it_hh_straw_mat__arable_field,master_link:ILO011963,C,C,candidate
pr_000006,place_family,pf_arable_field,,cat_item_object_whetstone_v1,ubiquitous,,1000000,presence_ppm_from_frequency_class@1,1,default_minimum_1,winter;spring;summer;autumn,none,no_needs_cr,data/world-catalogs/novgorod/game-base-v1/items-household-personal/items/item_place_frequency.csv#row563,ipf_it_hh_whetstone__arable_field,master_link:ILO006229;master_link:ILO006241;master_link:ILO006247,C,B,candidate
pr_000007,place_family,pf_arable_field,novgorod_land,fauna.bird.corvid.hooded_crow,ubiquitous,,1000000,presence_ppm_from_frequency_class@1,1,default_minimum_1,winter;spring;summer;autumn,by_year_season,no_needs_cr,data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row4097;data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row4119;data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row4140;data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row4161,fhp_b_hooded_crow__arable_field__winter,SRC_PANT2001;SRC_MALPUK1983;SRC_ZIN2025;SRC_ZIN_NEWS2025;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,C,B,candidate
pr_000008,place_family,pf_arable_field,novgorod_land,fauna.bird.corvid.jackdaw,contextual,,250000,presence_ppm_from_frequency_class@1,1,default_minimum_1,winter;spring;summer;autumn,by_year_season,no_needs_cr,data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row4003;data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row4015;data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row4027;data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row4039,fhp_b_jackdaw__arable_field__winter,SRC_PANT2001;SRC_MALPUK1983;SRC_ZIN2025;SRC_ZIN_NEWS2025;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,C,B,candidate
pr_000009,place_family,pf_arable_field,novgorod_land,fauna.bird.corvid.raven,contextual,,250000,presence_ppm_from_frequency_class@1,1,default_minimum_1,winter;spring;summer;autumn,by_year_season,no_needs_cr,data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row4178;data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row4194;data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row4209;data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row4224,fhp_b_raven__arable_field__winter,SRC_PANT2001;SRC_MALPUK1983;SRC_ZIN2025;SRC_ZIN_NEWS2025;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,C,B,candidate
pr_000010,place_family,pf_arable_field,novgorod_land,fauna.bird.corvid.rook,common,,500000,presence_ppm_from_frequency_class@1,1,default_minimum_1,winter;spring;summer;autumn,by_year_season,no_needs_cr,data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row4043;data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row4054;data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row4065;data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row4076,fhp_b_rook__arable_field__winter,SRC_PANT2001;SRC_MALPUK1983;SRC_ZIN2025;SRC_ZIN_NEWS2025;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,C,B,candidate
pr_000011,place_family,pf_arable_field,novgorod_land,fauna.bird.crane.common_crane,contextual,,250000,presence_ppm_from_frequency_class@1,1,default_minimum_1,spring;summer;autumn,by_year_season,no_needs_cr,data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row1464;data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row1470;data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row1476,fhp_b_common_crane__arable_field__spring,SRC_PANT2001;SRC_MALPUK1983;SRC_GOROBETS2017;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,C,B,candidate
pr_000012,place_family,pf_arable_field,novgorod_land,fauna.bird.gamebird.black_grouse,contextual,,250000,presence_ppm_from_frequency_class@1,1,default_minimum_1,winter;spring;summer;autumn,by_year_season,no_needs_cr,data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row2079;data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row2085;data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row2091;data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row2097,fhp_b_black_grouse__arable_field__winter,SRC_PANT2001;SRC_MALPUK1983;SRC_GOROBETS2017;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,C,B,candidate
pr_000013,place_family,pf_arable_field,novgorod_land,fauna.bird.gamebird.grey_partridge,rare,,125000,presence_ppm_from_frequency_class@1,1,default_minimum_1,winter;spring;summer;autumn,by_year_season,no_needs_cr,data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row2016;data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row2021;data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row2026;data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row2031,fhp_b_grey_partridge__arable_field__winter,SRC_PANT2001;SRC_MALPUK1983;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,C,C,candidate
pr_000014,place_family,pf_arable_field,novgorod_land,fauna.bird.gamebird.quail,rare,,125000,presence_ppm_from_frequency_class@1,1,default_minimum_1,spring;summer;autumn,by_year_season,no_needs_cr,data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row2036;data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row2039;data/world-catalogs/novgorod/game-base-v1/fauna-mammals-birds/fauna/wild_habitat_presence.csv#row2042,fhp_b_quail__arable_field__spring,SRC_PANT2001;SRC_MALPUK1983;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,C,B,candidate
