lw_id,law_type,title_ru,offence,victim_status_ref,sanction_kind,amount_units_ref,procedure_refs,jurisdiction,who_reacts_rule,property_effect,note_ru,period_caveat,source_article_ref,source_refs,confidence,status
lw_inst_1230_archbishop_posadnik_tysyatsky,institution,"Кризис 1230 года: архиепископ, посадник, тысяцкий",,,,,,"город Новгород, 1230 год",,,"НПЛ называет архиепископа Спиридона, посадника Водовика, затем посадника Стефана Твердиславича и тысяцкого Никиту Петриловича.","Датированный ряд должностей в кризисе, НЕ правило их избрания, полномочий или текущие лица на любой другой момент.","НПЛ, статья 1230 г.",wk:claim:residual-government-law-v1-1230-chronicle-names-archbishop-posadnik-and-tysyatsky; src_novgorod_first_chronicle; src_yanin_novgorod_posadniki,B,candidate
lw_inst_1230_veche_princely_oath,institution,Вече на Ярославовом дворе и клятва князя (1230),,,,,,"город Новгород, 1230 год",,,НПЛ сообщает о вече на Ярославовом дворе и о клятве князя Ярослава на всех Ярославлих грамотах и всей воле новгородской.,"Один кризисный эпизод, НЕ постоянная конституционная схема.","НПЛ, статья 1230 г.",wk:claim:residual-government-law-v1-1230-records-veche-and-princely-oath-episode; src_novgorod_first_chronicle,B,candidate
lw_inst_ends_and_streets_1220_1234,institution,"Прусский, Людин, Неревский концы; Кузьмодемьянская улица (1220-1234)",,,,,,город Новгород,,,Записи 1220-1234 гг. называют эти концы и улицу.,"НЕ доказывает число концов, их дату, собрания или юрисдикцию — только сам факт упоминания в этот диапазон лет.","НПЛ, записи 1220-1234 гг.",wk:claim:residual-government-law-v1-1220-1234-records-name-prussian-lyudin-and-nerev-ends; src_novgorod_first_chronicle,B,candidate
lw_inst_1234_campaign_and_peace_germans,institution,Поход Ярослава и новгородцев против немцев и мир (1234),,,,,,"внешние отношения, 1234 год",,,НПЛ под 1234 г.: поход и мир «на всей правде своей».,"Один поход и соглашение, НЕ постоянная внешняя политика или текущая граница.","НПЛ, статья 1234 г.",wk:claim:residual-government-law-v1-1234-records-campaign-and-peace-with-germans; src_novgorod_first_chronicle,B,candidate
lw_inst_1229_whole_volost_envoys_to_yuri,institution,Сбор всей волости и посольство к Юрию (1229),,,,,,"внешние отношения, 1229 год",,,НПЛ под 1229 г.: город собрал всю волость и послал послов к Юрию.,"Один внешний эпизод, НЕ постоянный представительный институт или суверенитет территории.","НПЛ, статья 1229 г.",wk:claim:residual-government-law-v1-1229-records-whole-volost-and-envoys-to-yuri; src_novgorod_first_chronicle,B,candidate
lw_inst_1227_sorcery_accusation_burning,institution,Обвинение в волховании и сожжение на Ярославовом дворе (1227),,четверо обвинённых,насильственная расправа (сожжение),,,"Ярославов двор, 1227 год",толпа/город реагирует на обвинение,,НПЛ под 1227 г.: четверых обвинённых в волховании сожгли на Ярославовом дворе. Прямая опора nov_role_znakharka (social_strata_legal_status).,"Запись об обвинении и насилии, НЕ доказательство виновности, законного суда или обычной санкции.","НПЛ, статья 1227 г.",wk:claim:residual-government-law-v1-1227-records-accusation-and-burning-episode; src_novgorod_first_chronicle,B,candidate
lw_inst_halperin_sovereign_land_caution,institution,Осторожность против проекции современного суверенного государства на «Новгородскую землю»,,,,,,"методологическая оговорка, не привязана к году",,,Halperin: термин «Новгородская земля» редок в летописях и не служит именем стороны войны или договора.,"Интерпретационное ограничение историографии, НЕ описание текущей политики 1230 года.",,wk:claim:residual-government-law-v1-halperin-limits-sovereign-land-projection,B,candidate
lw_inst_1215_posadnik_tysyatsky_joint_invite,institution,Совместный выезд посадника и тысяцкого приглашать князя (1215),,,,,,"город Новгород, 1215 год",,,Посадник и тысяцкий вместе ездили от Новгорода приглашать Ярослава Всеволодовича на княжение.,"Один датированный совместный выезд, НЕ постоянное полномочие или текущая делегация.",,wk:claim:residual-government-law-v2-1215-posadnik-and-tysyatsky-jointly-invite-prince; src_yanin_novgorod_posadniki,B,candidate
lw_inst_1218_1219_princely_vs_novgorod_tysyatsky,institution,Различение «своего тысяцкого» князя и новгородских должностных лиц (1218-1219),,,,,,"город Новгород, 1218-1219 гг.",,,Источник различает «своего тысяцкого» князя от новгородских должностных лиц.,"Ограниченное различение в конфликтном эпизоде, НЕ универсальная должностная схема.",,wk:claim:residual-government-law-v2-1218-distinguishes-princely-and-novgorodian-tysyatsky,B,candidate
lw_inst_1228_1229_veche_removes_tysyatsky,institution,"Вече лишает Вячеслава тысяцкого, должность получает Борис Негочевич (1228-1229)",,,,,,"город Новгород, 1228-1229 гг.",весь город на вече принимает решение о смещении и замене,,Весь город с веча лишил Вячеслава тысяцкого; должность получил Борис Негочевич.,"Кризисное и насильственное смещение, НЕ обычная процедура смены должности.",,wk:claim:residual-government-law-v2-1229-veche-episode-removes-and-replaces-tysyatsky,B,candidate
lw_inst_1230_hundred_term_property_division,institution,Термин «по стом» при разделе имущества свергнутого посадника (1230),,свергнутый посадник,,,,"город Новгород, 1230 год",,имущество свергнутого посадника делится «по стом»,Употребление термина «сто» в одном кризисном разделе имущества.,"Одно употребление термина в конкретном разделе, НЕ карта сотен или их юрисдикция.",,wk:claim:residual-government-law-v2-1230-source-uses-hundred-term-for-property-division,B,candidate
lw_inst_yanin_mixed_court_mid_xii,institution,Смешанный судебный comparator середины XII века (Янин),,,,,,"Новгород, середина XII века","посадник после формально приоритетного князя, который скреплял судебные акты печатью",,"Материал середины XII века, используется только как сравнительный контекст, не как описание суда 1230 года.","НЕ суд 1230 года — другой век, приведён только для контекста должностной структуры.",,wk:claim:residual-government-law-v2-mid-xii-mixed-court-comparator; src_yanin_novgorod_posadniki,B,candidate
lw_inst_bishop_archbishop_title_caution,institution,Осторожность с титулами епископа/архиепископа после 1165 года (Янин),,,,,,методологическая оговорка,,,Титулы новгородского епископа и архиепископа после 1165 года не служат простым датировочным признаком.,"Источниковедческая оговорка, НЕ описание полномочий владыки или текущего клирика на 1230 год.",,wk:claim:residual-government-law-v2-bishop-and-archbishop-titles-not-simple-date-marker; src_yanin_novgorod_posadniki,B,candidate
