lw_id,law_type,title_ru,offence,victim_status_ref,sanction_kind,amount_units_ref,procedure_refs,jurisdiction,who_reacts_rule,property_effect,note_ru,period_caveat,source_article_ref,source_refs,confidence,status
lw_proc_witness_no_visible_injury,procedure,Свидетель при отсутствии видимых следов побоев,,,,,,общинный/княжеский суд по месту,"потерпевший приводит свидетеля, если следов нет",,Ст. 23 РП. Дело о начавшем столкновение может изменить исход даже при наличии видимых повреждений.,,"Пространная Правда, ст. 23",wk:claim:residual-law-visible-injury-and-witness; src_russkaya_pravda,B,candidate
lw_proc_debt_denial_witness_oath,procedure,Свод и рота при отрицании денежного долга,,,,,,общинный/княжеский суд по месту,"кредитор приводит свидетелей их клятвы, чтобы вернуть отрицаемый долг",возврат денег при успешном своде,Ст. 43 РП: производство свидетелей и их клятва — путь к возврату при отрицании долга; заявление кредитора и эта процедура — разные вещи.,,"Пространная Правда, ст. 43",wk:claim:residual-law-debt-denial-witness-oath; src_russkaya_pravda,B,candidate
lw_proc_merchant_entrustment_oath_exception,procedure,Купеческая рота без предварительных свидетелей,,,,,,торговый обычай / общинный суд,купец-должник подтверждает собственной клятвой при отсутствии предварительных свидетелей,,"Ст. 44 РП: один купец доверяет деньги другому для торговли — предварительные свидетели не требуются, отрицание разбирается через клятву самого купца. Особый торговый случай, не отмена свидетелей для всех займов.",,"Пространная Правда, ст. 44",wk:claim:residual-law-merchant-entrustment-proof-exception; src_russkaya_pravda,B,candidate
lw_proc_interest_terms_witnesses,procedure,"Свидетели условий роста (реза, наставa, присопа)",,,,,,общинный суд по месту,стороны призывают свидетелей условий займа при его заключении,"возврат по тому, что оговорено при свидетелях","Ст. 46 РП: деньги в рез, мёд в наставу, хлеб в присоп — свидетели условий требуются, возврат увязан с тем, что оговорили стороны.",,"Пространная Правда, ст. 46",wk:claim:residual-law-interest-agreement-and-witnesses; src_russkaya_pravda,B,candidate
lw_proc_monthly_vs_annual_interest,procedure,Месячный рез на короткий срок против годового счёта,,,,,,общинный суд по месту,доказательство долга увязано со свидетелями и суммой,,"Ст. 47 РП различает месячный рез на короткий срок от иного счёта, если деньги остаются до года; месячный процент не описан как бесконечно накапливающийся тариф.",,"Пространная Правда, ст. 47",wk:claim:residual-law-monthly-and-longer-interest; src_russkaya_pravda,B,candidate
lw_proc_creditor_priority_multiple_debts,procedure,Порядок взыскания при нескольких кредиторах,,,,,,общинный/княжеский суд по месту,"суд различает неосведомлённого приезжего гостя-купца, местных кредиторов и княжеские деньги","продажа должника и распределение по приоритету; исключается тот, кто взял много процентов","Ст. 51 РП: не равный раздел между всеми кредиторами, а порядок по статусу кредитора.",,"Пространная Правда, ст. 51",wk:claim:residual-law-creditor-priority; src_russkaya_pravda,B,candidate
lw_proc_zakup_complaint_route,procedure,Жалоба закупа князю или судьям на обиду господина,,закуп (nov_role_zakup),,,,княжеский суд,сам закуп открыто уходит искать денег или обращается к князю/судьям — это НЕ бегство,"закуп получает «правду» (защиту), не обращается в обельное холопство",Ст. 52 РП. См. nov_role_zakup (social_strata_legal_status) — прямая правовая опора роли.,,"Пространная Правда, ст. 52",wk:claim:residual-law-zakup-complaint-not-escape; src_russkaya_pravda,B,candidate
lw_proc_witness_status_exceptions,procedure,Ограничение свидетельства холопа и исключения для тиуна/закупа,,,,,,общинный/княжеский суд по месту,свидетельство холопа по общему правилу не принимается; боярский тиун допускается при нужде; закуп — в малой тяжбе,,Ст. 59 РП: статусные категории (холоп/тиун/закуп) не взаимозаменяемы для целей свидетельства. Прямая опора nov_role_tiun и nov_role_zakup.,,"Пространная Правда, ст. 59",wk:claim:residual-law-status-and-witness-exceptions; src_russkaya_pravda,B,candidate
lw_proc_status_grounds_vs_agreement,procedure,Основания обельного холопства против оговорённых условий ряда,,,,,,общинный/княжеский суд по месту,"суд различает брак с робой без ряда, тиунство без ряда, взятие ключа без ряда (= холопство) от оговорённых условий ряда (= не холопство)",,Ст. 102-105 РП: получение хлеба или дачи по ряду отдельно не приравнивается к холопству. Прямая опора nov_role_tiun (borderline) и nov_role_ryadovich.,,"Пространная Правда, ст. 102-105",wk:claim:residual-law-dependency-and-agreement; src_russkaya_pravda,B,candidate
lw_proc_daughters_boyar_druzhina_inheritance,procedure,Наследование дочерьми при отсутствии сыновей у боярина/дружинника,,боярин или дружинник без сыновей,,,,"статусный, не общий княжеский выморочный порядок","дочери получают имущество вместо перехода князю, если сыновей нет",имущество не переходит князю у этой статусной группы; переходит дочерям,"Ст. 86 РП — статусно обусловленное правило (боярин/дружина), не универсальный запрет наследования дочерьми.",,"Пространная Правда, ст. 86",wk:claim:residual-law-daughters-and-status-inheritance; src_russkaya_pravda,B,candidate
lw_proc_widow_separate_property,procedure,Отдельная доля вдовы от имущества мужа,,вдова,,,,общинный суд/раздел двора,"вдовья доля и то, что даровано мужем, отделяются от его наследства; дети также имеют долю в имуществе матери",двор не описан как неразделённая собственность одного из супругов,Ст. 88 РП.,,"Пространная Правда, ст. 88",wk:claim:residual-law-widow-separate-property; src_russkaya_pravda,B,candidate
lw_proc_stepchildren_paternal_estates,procedure,Раздельное наследование по разным отцам при одной матери,,дети от двух браков одной матери,,,,общинный суд/раздел двора,каждая группа детей получает имущество своего отца отдельно,общая мать не объединяет отцовские наследства в один фонд,Ст. 97 РП.,,"Пространная Правда, ст. 97",wk:claim:residual-law-stepchildren-paternal-inheritance; src_russkaya_pravda,B,candidate
