rl_id,kind,name_ru,roles,pf_ids,calendar_refs,items_refs,sensory_cues,source_refs,confidence,period,status,note
rl_001,practice,паломничество (хождение в Иерусалим),[],[],[],[],[],"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶324",B,c1230,candidate,"period=c1230. Вопрошание Кирика, Новгород XII в.; практика актуальна и в XIII в. | Поп Кирик иногда запрещал прихожанам идти в Иерусалим; епископ Нифонт одобрял разборчивость к паломникам, ищущим даровой еды"
rl_002,practice,бродячие черноризцы,[],[],[],[],[],"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶323",B,c1230,candidate,period=c1230. | Странствующие чернецы — широкое бытовое явление XII–XIII вв.; в городе ходили по миру
rl_003,institution,закрытие церквей епископом (интердикт),[],[],[],[],"[""звон/удар в било или клепало""]","book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶320",B,medieval_general,candidate,"period=medieval_general. Владимир, 1160-е гг.; показывает, что звон и пение — ежедневная норма города | Епископ Федор во Владимире запер все церкви: не было ни звона, ни пения по всему городу"
rl_004,practice,монастырская трапеза и хозяйство,[],[],[],[],[],"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶333",B,medieval_general,candidate,"period=medieval_general. Киево-Печерский патерик, XI–XII вв.; аналогия для новгородских монастырей | Монастыри кормились от своих сел и даяний: боярин прислал на трёх возах хлебы, сыр, рыбу, сочиво, пшено, мед"
rl_005,practice,освещение храма: кандила с маслом,[],[],[],[],"[""свет и запах масляных лампад""]","book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶335",B,medieval_general,candidate,period=medieval_general. Киево-Печерский патерик | Кандила в храме наполняли деревянным (оливковым) маслом; растительное масло «от земных семян» было заменой
rl_006,practice,пиры в монастырях,[],[],[],[],[],"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶348",B,medieval_general,candidate,period=medieval_general. Правило XI в. | Митрополит Иоанн запрещал частые пиры в монастырях с мужчинами и женщинами вместе
rl_007,institution,епитимья за пьянство епископа,[],[],[],[],[],"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶349",B,medieval_general,candidate,period=medieval_general. | По Заповедям митрополита Георгия: если епископ напьётся — 10 дней поста
rl_008,institution,поп на мирском пиру,[],[],[],[],[],"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶351",B,medieval_general,candidate,"period=medieval_general. | Священник на пиру должен есть поставленное, но встать и уйти, как только начнутся игры, пляски и гудение"
rl_009,practice,пьянство новгородских попов,[],[],[],[],[],"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶353",B,c1230,candidate,"period=c1230. Поучение Ильи 1166 г., Новгород | Новгородский епископ Илья упрекал попов, что пьют до обеда и служат утром после вечерней попойки"
rl_010,practice,попы и рост (найм),[],[],[],[],[],"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶354",B,c1230,candidate,"period=c1230. Новгород XII в. | Епископ Илья грозил отобрать деньги у попов, дающих в рост; Нифонт запрещал служить, не оставив этого"
rl_011,institution,требования к новопоставленному попу,[],[],[],[],[],"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶357",B,c1230,candidate,"period=c1230. Святительское поучение XIII в. | Поучение XIII в.: поп не должен быть кощунником, игроком в кости, пьяницей; не бить людей, не охотиться, не резать скот"
rl_012,practice,поповство как наследственная профессия,[],[],[],[],[],"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶360",B,c1230,candidate,period=c1230. | К XIII в. поповство стало наследственным; одежда попа не пестрая; попу велено учить детей своему пути; запрет конских ристаний
rl_013,practice,доходы попа: приносы духовных детей,[],[],[],[],[],"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶361",B,c1230,candidate,period=c1230. | Хозяйство попа держалось в значительной доле на приносах закреплённых за ним прихожан (духовных детей)
rl_014,institution,поп и приход: запрет переходить,[],[],[],[],[],"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶363",B,c1230,candidate,period=c1230. | Попу нельзя оставлять свою церковь и служить в чужом пределе без грамоты епископа; нельзя принимать чужих изгнанных прихожан
rl_015,belief,игрища и двоеверие,[],[],[],[],"[""звуки гуслей и скоморошьих игрищ""]","book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶365",B,medieval_general,candidate,"period=medieval_general. ПВЛ 1068 г. | Летописец 1068 г. осуждает веру во встречу и чихание, трубы, гусли, русалии; игрища многолюдны, а церкви стоят пусты"
rl_016,belief,жертвы болотам и колодцам,[],[],[],[],[],"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶366",B,medieval_general,candidate,"period=medieval_general. | Язычники «жрут бесом и болотом и кладязем», не причащаются ни разу в году"
