lr_id,rite_kind,name_ru,roles,pf_ids,calendar_refs,items_refs,visible_traces,sensory_cues,attestation,source_refs,confidence,period,status,note
lr_001,wedding,попы на свадьбах и пирах,[],[],[],[],Поучение XIII в.: уходить с пира до начала «позоров» (зрелищ); не ходить на пир незваным,[],social_rule,"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶358",B,c1230,candidate,period=c1230.
lr_002,death,поп: вдовство и прелюбодеяние попадьи,[],[],[],[],Если попадья прелюбодействует — развестись и держать сан (ответ Нифонта),[],social_rule,"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава пятая «Отцы духовные» ¶378",B,c1230,candidate,period=c1230.
lr_003,death,епитимья за некрещёного умершего ребёнка,[],[],[],[],Смерть некрещёного по небрежению родителей ребёнка — три года поста за «душегубье»,[],social_rule,"book:512565 (Романов Борис Александрович, Люди и нравы Древней Руси, 2013) §Глава вторая Феодальная «челядь» ¶108",B,medieval_general,candidate,period=medieval_general.
lr_004,death,погребение посадников в Св. Софии и Юрьеве,[],[],[],[],Посадника Степана Твердиславича (†1243) похоронили в Софийском соборе рядом с архиепископами,[],social_rule,"book:220871 (Янин Валентин Лаврентьевич, Очерки истории средневекового Новгорода, 2008) §Новгород во времена Александра Невского ¶379",B,c1230,candidate,period=c1230.
lr_005,wedding,супружество в Великий пост,[],[],"[""time/calendar_1230_1250.csv#cal_mv_great_lent_start_* (movable, per year)""]",[],Нифонт: налагать запрет на общение мужа с женой даже в пост — грех; так же думал архиепископ Илья,[],social_rule,"book:180605 (Долгов Вадим Викторович, Быт и нравы Древней Руси, 2007) §Глава 1 Человек в кругу близких: труд, отдых и быт ¶35",B,c1230,candidate,period=c1230.
lr_006,wedding,венчание — для бояр и князей,[],[],[],[],"В конце XI в. считали, что церковное венчание пристало лишь боярам и князьям",[],social_rule,"book:180605 (Долгов Вадим Викторович, Быт и нравы Древней Руси, 2007) §Глава 1 Человек в кругу близких: труд, отдых и быт ¶74",B,medieval_general,candidate,period=medieval_general.
lr_007,baptism,крещение младенцев,[],[],[],[],"Младенца старались крестить как можно скорее, особенно если болен; нарекали имя святого",[],social_rule,"book:180605 (Долгов Вадим Викторович, Быт и нравы Древней Руси, 2007) §Глава 1 Человек в кругу близких: труд, отдых и быт ¶111",B,c1230,candidate,period=c1230.
lr_008,birth,кормилица и пост перед крещением,[],[],[],[],Запрет на пищу перед крещением переходил с младенца на кормилицу,[],taboo_or_custom,"book:180605 (Долгов Вадим Викторович, Быт и нравы Древней Руси, 2007) §Глава 1 Человек в кругу близких: труд, отдых и быт ¶169",B,c1230,candidate,period=c1230.
lr_009,baptism,крещение у варяжского попа,[],[],[],[],Матери носили крестить детей к варяжскому (латинскому) попу — плохо различали исповедания,[],taboo_or_custom,"book:185868 (Костомаров Николай Иванович, Русская республика (Севернорусские народоправства во времена удельно-вечевого уклада. История Новгорода, Пскова и Вятки)., 1994) §ГЛАВА ДЕВЯТАЯ. Церковь > VIII. Особенности новгородской Церкви ¶1226",B,c1230,candidate,period=c1230. Вопрошание Кирика; латинская церковь в Новгороде
lr_010,commemoration,кутья и сорокоуст,[],[],[],[],Ставили кутью и служили сорокоусты по умершим и даже по живым; епископы устанавливали плату за сорокоуст,[],taboo_or_custom,"book:185868 (Костомаров Николай Иванович, Русская республика (Севернорусские народоправства во времена удельно-вечевого уклада. История Новгорода, Пскова и Вятки)., 1994) §ГЛАВА ДЕВЯТАЯ. Церковь > VIII. Особенности новгородской Церкви ¶1231",B,medieval_general,candidate,period=medieval_general. Костомаров (XIX в.) обобщает; время не уточнено; доход попа
