cal_id,date_or_rule,year,kind,name_ru,effects,computation_ref,source_refs,confidence,status,note
cal_feast_epiphany,julian:01-06,,feast,Крещение (Богоявление),church,fixed_rule,"book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1321",B,candidate,
cal_feast_sretenie,julian:02-02,,feast,Сретение,church,fixed_rule,"book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1321",B,candidate,
cal_feast_annunciation,julian:03-25,,feast,Благовещение,church,fixed_rule,"book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1321",B,candidate,
cal_feast_yuriev_spring,julian:04-23,,feast,Юрьев день весенний (первый выгон скота),"church,work",fixed_rule,"book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1321",B,candidate,
cal_feast_nikola_spring,julian:05-09,,feast,"Николин весенний (перенесение мощей, 1087)",church,fixed_rule,"book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1321",B,candidate,
cal_feast_boris_gleb,julian:05-02,,feast,"Борис и Глеб (Борис-хлебник, праздник первых ростков)","church,work",fixed_rule,"book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1321",B,candidate,
cal_feast_kupala,julian:06-24,,feast,Купала (позднее Иван Купала),folk,fixed_rule,"book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1321",B,candidate,
cal_feast_ilyin,julian:07-20,,feast,Ильин день,"church,folk",fixed_rule,"book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1321",B,candidate,
cal_feast_preobrazhenie,julian:08-06,,feast,"Преображение (Спас, праздник первых плодов)","church,food",fixed_rule,"book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1321",B,candidate,
cal_feast_zazhinki,julian:08-07,,feast,Зажинки (окончание жатвы),work,fixed_rule,"book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1321",B,candidate,
cal_feast_uspenie,julian:08-15,,feast,Успение Богородицы,church,fixed_rule,"book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1321",B,candidate,
cal_feast_semenov_den,julian:09-01,,feast,Семёнов день (новолетие по мартовскому счёту -- см. note),church,fixed_rule,"book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1321",B,candidate,
cal_feast_rozhdestvo_bogorod,julian:09-08,,feast,Рождество Богородицы,church,fixed_rule,"book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1321",B,candidate,
cal_feast_vozdvizhenie,julian:09-14,,feast,Воздвижение,"church,food",fixed_rule,"book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1321",B,candidate,
cal_feast_pokrov,julian:10-01,,feast,Покров Богородицы (установлен во Владимирской земле при Андрее Боголюбском),"church,folk",fixed_rule,"book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1321",B,candidate,
cal_feast_vvedenie,julian:11-21,,feast,Введение,church,fixed_rule,"book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1321",B,candidate,
cal_feast_yuriev_autumn,julian:11-26,,feast,Юрьев день осенний,"church,work",fixed_rule,"book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1321",B,candidate,
cal_feast_nikola_winter,julian:12-06,,feast,Николин зимний (Никольщина),"church,folk",fixed_rule,"book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1321",B,candidate,
cal_feast_nativity,julian:12-25,,feast,Рождество Христово,church,fixed_rule,"book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1321",B,candidate,
cal_feast_intercession_omen,julian:10-01,,belief,Народная примета Покрова,belief_only,fixed_rule,"book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1321; book:? Покров-примета (households-psychology-speech VERIFICATION cross-check)",C,candidate,"«Снег на Покров предвещает много свадеб» -- народная примета, не церковное правило; см. religion/church_practice.csv rl_belief_pokrov_snow."
cal_feast_svyatki_start,julian:12-25,,feast,"Зимние святки, начало (12-дневные игрища)","folk,fasting_free",fixed_rule,"book:122328 (Рыбаков, Язычество Древней Руси, 1987) §Часть третья, гл.13",B,candidate,
cal_feast_svyatki_end,julian:01-06,,feast,"Зимние святки, конец","folk,fasting_free",fixed_rule,"book:122328 (Рыбаков, Язычество Древней Руси, 1987) §Часть третья, гл.13",B,candidate,
cal_belief_koляda_march,julian:03-01,,belief,Коляда 1 марта (упомянута в Новгородской Кормчей 1280 г. как торжество начала мартовского года),folk,fixed_rule,"book:122328 (Рыбаков, Язычество Древней Руси, 1987) §Часть третья, гл.13",C,candidate,Кормчая 1280 г. -- позже целевого периода; для 1230-х применимость по аналогии.
cal_belief_ярилин,julian:06-04,,belief,Ярилин день (реконструкция аграрно-языческого календаря молений о дожде),folk,fixed_rule,"book:122328 (Рыбаков, Язычество Древней Руси, 1987) §Часть третья, гл.13",C,candidate,Реконструкция Рыбакова; сам он оговаривает гипотетичность привязки к точной дате.
cal_belief_semik,julian:movable,,belief,"Семик (летний русальский праздник, четверг седьмой недели по Пасхе)",folk,derived:easter+45..49 (Thursday of week 7 after Easter),"book:122328 (Рыбаков, Язычество Древней Руси, 1987) §Часть третья, гл.13 ¶3714 area",C,candidate,"«По всей вероятности» -- Рыбаков сам маркирует гипотезу; движим от Пасхи, день недели не уточнён точной датой в источнике."
cal_fast_uspensky,julian:08-01..08-14,,fast,Успенский пост,"food,church",fixed_rule,"book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1322",B,candidate,Сроки по позднейшему уставу; для XIII в. длительность могла отличаться (источник сам это оговаривает).
cal_fast_filippov,julian:11-15..12-24,,fast,Филиппов (Рождественский) пост,"food,church",fixed_rule,"book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1322",B,candidate,Сроки по позднейшему уставу; см. тот же caveat.
cal_fast_weekly_wed_fri,"weekly:Wed,Fri",,fast,Еженедельный пост в среду и пятницу,food,fixed_rule,"book:122328 (Рыбаков, Язычество Древней Руси, 1987) §Часть третья, гл.13 (спор о постах в среду/пятницу при господских праздниках, XII в.)",B,candidate,"Отменяется во время сплошных недель (Святки, Масленица, Пасхальная и Троицкая седмицы) -- см. cal_fastfree_week_* ниже."
cal_fastfree_svyatki,julian:12-25..01-06,,fast_exception,Сплошная неделя: Святки,food,fixed_rule_or_derived,"book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1321-1324; book:122328 (Рыбаков, Язычество Древней Руси, 1987) §Часть третья, гл.13",B,candidate,
cal_fastfree_maslenitsa,derived:easter-55..easter-49,,fast_exception,Сплошная неделя: Масленица (сырная седмица),food,fixed_rule_or_derived,"book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1321-1324; book:122328 (Рыбаков, Язычество Древней Руси, 1987) §Часть третья, гл.13",B,candidate,
cal_fastfree_bright_week,derived:easter+0..easter+6,,fast_exception,Сплошная неделя: Светлая (Пасхальная) седмица,food,fixed_rule_or_derived,"book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1321-1324; book:122328 (Рыбаков, Язычество Древней Руси, 1987) §Часть третья, гл.13",B,candidate,
cal_fastfree_trinity_week,derived:easter+49..easter+55,,fast_exception,Сплошная неделя: Троицкая седмица,food,fixed_rule_or_derived,"book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1321-1324; book:122328 (Рыбаков, Язычество Древней Руси, 1987) §Часть третья, гл.13",B,candidate,
cal_mv_maslenitsa_1230,julian:1230-02-11,1230,feast,Масленица (начало сырной седмицы),"folk,fasting_free","time/scripts/paschalia.py:build_year (Gauss Julian-Easter congruence, cross-checked against Meeus algorithm)","book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1324, ¶1328-1333 (Gauss formula); book:122328 (Рыбаков, Язычество Древней Руси, 1987) §Часть третья, гл.13 (подвижность Пасхи и масленицы)",B,candidate,
cal_mv_great_lent_start_1230,julian:1230-02-18,1230,fast,"Великий пост, начало (Чистый понедельник)","food,church","time/scripts/paschalia.py:build_year (Gauss Julian-Easter congruence, cross-checked against Meeus algorithm)","book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1324, ¶1328-1333 (Gauss formula); book:122328 (Рыбаков, Язычество Древней Руси, 1987) §Часть третья, гл.13 (подвижность Пасхи и масленицы)",B,candidate,
cal_mv_palm_sunday_1230,julian:1230-03-31,1230,feast,Вербное (Цветоносное) воскресенье,church,"time/scripts/paschalia.py:build_year (Gauss Julian-Easter congruence, cross-checked against Meeus algorithm)","book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1324, ¶1328-1333 (Gauss formula); book:122328 (Рыбаков, Язычество Древней Руси, 1987) §Часть третья, гл.13 (подвижность Пасхи и масленицы)",B,candidate,
cal_mv_holy_thursday_1230,julian:1230-04-04,1230,feast,Великий четверг,church,"time/scripts/paschalia.py:build_year (Gauss Julian-Easter congruence, cross-checked against Meeus algorithm)","book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1324, ¶1328-1333 (Gauss formula); book:122328 (Рыбаков, Язычество Древней Руси, 1987) §Часть третья, гл.13 (подвижность Пасхи и масленицы)",B,candidate,
cal_mv_good_friday_1230,julian:1230-04-05,1230,fast,Великая пятница (строгий пост),"food,church","time/scripts/paschalia.py:build_year (Gauss Julian-Easter congruence, cross-checked against Meeus algorithm)","book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1324, ¶1328-1333 (Gauss formula); book:122328 (Рыбаков, Язычество Древней Руси, 1987) §Часть третья, гл.13 (подвижность Пасхи и масленицы)",B,candidate,
cal_mv_holy_saturday_1230,julian:1230-04-06,1230,feast,Великая субхота,church,"time/scripts/paschalia.py:build_year (Gauss Julian-Easter congruence, cross-checked against Meeus algorithm)","book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1324, ¶1328-1333 (Gauss formula); book:122328 (Рыбаков, Язычество Древней Руси, 1987) §Часть третья, гл.13 (подвижность Пасхи и масленицы)",B,candidate,
cal_mv_easter_1230,julian:1230-04-07,1230,feast,Пасха,"church,fasting_free","time/scripts/paschalia.py:build_year (Gauss Julian-Easter congruence, cross-checked against Meeus algorithm)","book:356156 (Леонтьева, Кобрин, Шорин, Вспомогательные исторические дисциплины, 2009) §Глава 6. Хронология ¶1324, ¶1328-1333 (Gauss formula); book:122328 (Рыбаков, Язычество Древней Руси, 1987) §Часть третья, гл.13 (подвижность Пасхи и масленицы)",B,candidate,
