rc_id,kind,name_ru,facts_summary,notes,anachronism_flag,period,fact_count,source_refs,confidence,status
rec_001,board_or_dice_game,шашки полусферические с игральными костями,"dating: Полусферические шашки с игральными костями — варяжская игра X в.; исчезла на рубеже X–XI вв., в Новгороде практически не встречаются",для 1230 г. — не актуальна,"Varangian hemispherical draughts — extinct by turn of X-XI c., not 1230",medieval_general,1,"book:624953 §Глава 5 Игры взрослых и детей > Шашки, «мельница», шахматы Е.А. Рыбина ¶1104",B,candidate
rec_002,other,игральная кость,description: Игральная кость — параллелепипед из кости или рога с очками от 1 до 6 на гранях,находки X в.,,medieval_general,1,"book:624953 §Глава 5 Игры взрослых и детей > Шашки, «мельница», шахматы Е.А. Рыбина ¶1100",B,candidate
rec_003,board_or_dice_game,игра «в мельницу»,"dating: Больше всего досок с полем для «мельницы» найдено в Новгороде в слоях XII–XIII вв. | description: Поле «мельницы» чертили на любой поверхности — корабельной доске, днище бочки, каменной плите; три вписанных квадрата | social_rule: Играют двое; за каждую построенную «мельницу» снимают шашку противника (реконструкция по этнографии)",правила — реконструкция по этнографии и современной игре,,c1230;ethnographic_late,3,"book:624953 §Глава 5 Игры взрослых и детей > Шашки, «мельница», шахматы Е.А. Рыбина ¶1107;book:624953 §Глава 5 Игры взрослых и детей > Шашки, «мельница», шахматы Е.А. Рыбина ¶1106;book:624953 §Глава 5 Игры взрослых и детей > Шашки, «мельница», шахматы Е.А. Рыбина ¶1109",B,candidate
rec_004,other,игровые фишки костяные,"dimensions: Плоские костяные кружочки с концентрическими кругами 25–30 мм, толщ. 5–7 мм — возможные фишки; заменялись камешками",,,c1230,1,"book:624953 §Глава 5 Игры взрослых и детей > Шашки, «мельница», шахматы Е.А. Рыбина ¶1110",B,candidate
rec_005,board_or_dice_game,шахматы,"dating: Первое письменное упоминание шахмат на Руси — Кормчая 1262 г., запрет священникам играть в шахматы | dating: В Новгороде нет надёжно датированных шахматных фигур ранее 2-й пол. XIII в.; 2-я пол. XIII в. — 9 экз. | dating: Широкое распространение шахмат на Руси — XIII в., несмотря на церковные запреты | material: Самые ранние новгородские фигуры (король, ферзь, конь, 2-я пол. XIII в.) костяные; позднее — преимущественно дерево | description: Фигуры противников различали по цвету: найдены фигуры с остатками красной краски | description: Абстрактные фигуры восточной символики — цилиндр или усечённый конус с выступами; в XII–XIII вв. из кости | dimensions: Фигура короля 5–6 см высотой, основание 2,5–3,5 см; слон и конь 2–3 см | social_rule: Игру, вероятно, часто вели на деньги или иной выигрыш — отсюда церковное осуждение | taboo_or_custom: Игру в шахматы осуждали наравне с костями, но в покаянных вопросниках такого греха нет","церковный запрет; Кормчая 1262 г. — позже 1230; в Новгороде надёжно датированные фигуры — со 2-й пол. XIII в.; для 1230 г. редкость | для 1230 г. шахматы в Новгороде — редкость/сомнительно | в Новгороде надёжно датированные фигуры — со 2-й пол. XIII в.; для 1230 г. редкость | находки 2-й пол. XIII в., позже 1230; в Новгороде надёжно датированные фигуры — со 2-й пол. XIII в.; для 1230 г. редкость | новгородские короли XIII–XIV вв.; в Новгороде надёжно датированные фигуры — со 2-й пол. XIII в.; для 1230 г. редкость | предположение автора; в Новгороде надёжно датированные фигуры — со 2-й пол. XIII в.; для 1230 г. редкость","для Новгорода 1230 г. — редкость/сомнительно, не типичная реалия",medieval_general;c1230,9,"book:624953 §Глава 5 Игры взрослых и детей > Шашки, «мельница», шахматы Е.А. Рыбина ¶1112;book:624953 §Глава 5 Игры взрослых и детей > Шашки, «мельница», шахматы Е.А. Рыбина ¶1120;book:624953 §Глава 5 Игры взрослых и детей > Шашки, «мельница», шахматы Е.А. Рыбина ¶1143;book:624953 §Глава 5 Игры взрослых и детей > Шашки, «мельница», шахматы Е.А. Рыбина ¶1121;book:624953 §Глава 5 Игры взрослых и детей > Шашки, «мельница», шахматы Е.А. Рыбина ¶1144;book:624953 §Глава 5 Игры взрослых и детей > Шашки, «мельница», шахматы Е.А. Рыбина ¶1123;book:624953 §Глава 5 Игры взрослых и детей > Шашки, «мельница», шахматы Е.А. Рыбина ¶1124;book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «Руси есть веселие пить»: досуг, пиры, пьянство, шахматы, чтение, охота ¶283;book:380825 §Глава 1 Человек в кругу близких: труд, отдых и быт > «Руси есть веселие пить»: досуг, пиры, пьянство, шахматы, чтение, охота ¶272",B,candidate
rec_006,board_or_dice_game,бабки (астрагалы),"description: Игорные бабки — надкопытные кости, залитые свинцом или просверленные; находят во всех слоях с X в. | name_form: Варианты игры в бабки по этнографии: «кон», «поджошка», «пристенок», «катошки», «краснокудан»",названия по Далю,,c1230;ethnographic_late,2,"book:624953 §Глава 5 Игры взрослых и детей > Шашки, «мельница», шахматы Е.А. Рыбина ¶1146",B,candidate
rec_007,toy,детские игрушки,"social_rule: Большая часть игрушек — самоделки родителей или детей, лишь отдельные — ремесленные",,,c1230,1,book:624953 §Глава 5 Игры взрослых и детей > Игры детей Р.Л. Розенфельдт ¶1148,B,candidate
rec_008,toy,детские игрушки деревянные,"description: Из дерева делали мечи, копья, луки со стрелами, кубари, волчки, шары, кукол, лошадок, фигурки, чижики, биты для лапты, кнуты, санки, лыжи",,,c1230,1,book:624953 §Глава 5 Игры взрослых и детей > Игры детей Р.Л. Розенфельдт ¶1149,B,candidate
rec_009,toy,игрушечный меч,"dating: В Новгороде более 30 деревянных игрушечных мечей в слоях X — 1-й пол. XI в.; в поздних горизонтах реже | dimensions: Деревянный меч из Ст. Ладоги ~60 см, рукоять 5–6 см — под ладонь ребёнка 6–10 лет; из сосны",,,medieval_general,2,book:624953 §Глава 5 Игры взрослых и детей > Игры детей Р.Л. Розенфельдт ¶1151,B,candidate
rec_010,toy,игрушечный лук и стрелы,"description: Детские луки 50–60 см из орешника, можжевельника, дуба; в Новгороде сотни обломков игрушечных стрел без оперения | quantity: В Новгороде найдено несколько сот обломков игрушечных стрел",,,c1230,2,book:624953 §Глава 5 Игры взрослых и детей > Игры детей Р.Л. Розенфельдт ¶1156,B,candidate
rec_011,toy,палка-лошадка,"dating: Палки-лошадки с головой коня и отверстием для поводьев, более десятка в Новгороде в слоях XI–XIII вв.",диапазон XI–XIII вв.; 1230 г. — внутри/на границе диапазона,,c1230,1,book:624953 §Глава 5 Игры взрослых и детей > Игры детей Р.Л. Розенфельдт ¶1157,B,candidate
rec_012,toy,деревянный коник (каталка),description: Коники до 20 см; часть — каталки на осях с колёсиками; в XIII в. особенно распространены коники с треугольным туловом,,,c1230,1,book:624953 §Глава 5 Игры взрослых и детей > Игры детей Р.Л. Розенфельдт ¶1158,B,candidate
rec_013,toy,кнут игрушечный,"use: Кнут (палка до 30–40 см, кожа или пакля) — для езды на лошади и для вращения кубарей",,,c1230,1,book:624953 §Глава 5 Игры взрослых и детей > Игры детей Р.Л. Розенфельдт ¶1159,B,candidate
rec_014,toy,кукла деревянная,"description: Куклы 10–25 см, плоские или объёмные, без рук и ног; основу пеленали или одевали",,,c1230,1,book:624953 §Глава 5 Игры взрослых и детей > Игры детей Р.Л. Розенфельдт ¶1160,B,candidate
rec_015,other,фигурки птиц деревянные,"dating: Около 100 деревянных фигурок голубей и кур, почти все XII–XIII вв.",,,c1230,1,book:624953 §Глава 5 Игры взрослых и детей > Игры детей Р.Л. Розенфельдт ¶1162,B,candidate
rec_016,toy,кубарь (волчок),"quantity: Кубарь — излюбленная игрушка Новгорода: не менее 700 экз., X–XIII вв.; вращали шнуром, подгоняя кнутиком | quantity: По Колчину в Новгороде найдено не менее 700 кубарей",диапазон X–XIII вв.; 1230 г. — внутри/на границе диапазона,,c1230,2,book:624953 §Глава 5 Игры взрослых и детей > Игры детей Р.Л. Розенфельдт ¶1163,B,candidate
rec_017,toy,шар-мазло,"description: Деревянные шары 5–12 см (X–XIV вв.) — возможно, для игры шар-мазло: шары загоняли в лунку клюшками",диапазон X–XIV вв.; 1230 г. — внутри/на границе диапазона; интерпретация Колчина,,c1230,1,book:624953 §Глава 5 Игры взрослых и детей > Игры детей Р.Л. Розенфельдт ¶1165,B,candidate
rec_018,toy,санки-салазки детские,"dimensions: Детские салазки ~70 см, полоз из двух копыл; детали найдены в Новгороде и Ладоге; такие же в слоях XI–XIII вв. в польских городах",новгородские находки в абзаце не датированы; XI–XIII вв. — датировка польских аналогов,,c1230,1,book:624953 §Глава 5 Игры взрослых и детей > Игры детей Р.Л. Розенфельдт ¶1166,B,candidate
rec_019,toy,хлопушка,description: Хлопушка — деревянная трубка до 20 см с поршнем-стержнем; широко распространена в домонгольское время,,,c1230,1,book:624953 §Глава 5 Игры взрослых и детей > Игры детей Р.Л. Розенфельдт ¶1167,B,candidate
rec_020,other,свирель деревянная,"dimensions: Новгородская свирель XII в. — прямая флейта 22,5 см; спорно: игрушка или музыкальный инструмент",Колчин считает их инструментами,,c1230,1,book:624953 §Глава 5 Игры взрослых и детей > Игры детей Р.Л. Розенфельдт ¶1168,B,candidate
rec_021,toy,вертушка,"dating: Около десятка вертушек в Новгороде, древнейшие — XII в.; крутились от ветра или взлетали",,,c1230,1,book:624953 §Глава 5 Игры взрослых и детей > Игры детей Р.Л. Розенфельдт ¶1171,B,candidate
rec_022,toy,лодочка из коры,dating: Игрушечные лодочки из сосновой коры — в Новгороде преимущественно в слоях XIII–XIV вв.; ~15 см,диапазон XIII–XIV вв.; 1230 г. — внутри/на границе диапазона,,c1230,1,book:624953 §Глава 5 Игры взрослых и детей > Игры детей Р.Л. Розенфельдт ¶1173,B,candidate
rec_023,toy,жужжалка,description: Жужжалка — плюсневая кость овцы/козы с двумя отверстиями и ремешками; десятки в Новгороде,,,c1230,1,book:624953 §Глава 5 Игры взрослых и детей > Игры детей Р.Л. Розенфельдт ¶1174,B,candidate
rec_024,other,мяч кожаный,"description: Мячи сшивали из трёх кусков кожи, набивали мхом, шерстью; диаметр 2–15 см | quantity: В Новгороде в слоях X–XVI вв. найдено около 200 кожаных мячей; играли от лапты до игры ногами",диапазон X–XVI вв.; 1230 г. — внутри/на границе диапазона,,c1230,2,book:624953 §Глава 5 Игры взрослых и детей > Игры детей Р.Л. Розенфельдт ¶1177,B,candidate
rec_025,toy,писанка-погремушка,dating: Глиняные поливные писанки с камешком выходят из употребления с сер. XII в.; в XII–XIII вв. — пережиток,,,c1230,1,book:624953 §Глава 5 Игры взрослых и детей > Игры детей Р.Л. Розенфельдт ¶1185,B,candidate
rec_026,toy,игрушечная посуда,"dimensions: Игрушечная глиняная посуда 1–5 см, копирует столовую и кухонную керамику",,,c1230,1,book:624953 §Глава 5 Игры взрослых и детей > Игры детей Р.Л. Розенфельдт ¶1190,B,candidate
rec_027,toy,игрушки,"use: Игрушки заменяли ребёнку орудия и оружие, приобщая к занятиям взрослых",,,c1230,1,book:624953 §Глава 5 Игры взрослых и детей > Игры детей Р.Л. Розенфельдт ¶1192,B,candidate
rec_028,instrument_or_sound,музыкальные инструменты Руси,"description: Группы инструментов: струнные (гусли, смык-гудок), духовые (свирель, сопель, дуда, рог, труба), ударные (бубны), самозвучащие (варган, звонец)",,,c1230,1,book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1747,B,candidate
rec_029,other,сезонные инструменты,"material: Сезонные инструменты делали из соломы, коры, стеблей болотных растений — в находках не сохраняются",,,c1230,1,book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1747,B,candidate
rec_030,other,мирская музыка,"social_rule: Церковь осуждала игру на инструментах как наследие язычества, но искусство гудцов одобрялось от низов до княжеского двора",,,c1230,1,book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1748,B,candidate
rec_031,performer_role,гудцы,social_rule: Искусство «гудцов» одобрялось всеми слоями общества,,,c1230,1,book:624953 §Глава 11 Музыкальные инструменты В.И. Поветкин ¶1748,B,candidate
