domain,entity_ru,entity_latin,fact_type,value,book_id,authors,title,year,section_path,para_no,quote,confidence,period,note,book_type,flags
recreation_culture,шашки полусферические с игральными костями,,dating,"Полусферические шашки с игральными костями — варяжская игра X в.; исчезла на рубеже X–XI вв., в Новгороде практически не встречаются",624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,"Глава 5 Игры взрослых и детей > Шашки, «мельница», шахматы Е.А. Рыбина",1104,"Хронологической границей бытования этой игры на Руси является рубеж X–XI вв., т. е. она исчезла вместе с исчезновением варяжских дружин на Руси.",B,medieval_general,для 1230 г. — не актуальна,scholarly,
recreation_culture,игральная кость,,description,Игральная кость — параллелепипед из кости или рога с очками от 1 до 6 на гранях,624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,"Глава 5 Игры взрослых и детей > Шашки, «мельница», шахматы Е.А. Рыбина",1100,"Вместе с такими шашками находили игральные кости, представляющие собой параллелепипед из кости или рога с нанесенными на его грани кружочками (очками) от 1 до 6 (табл. 79, 7–8).",B,medieval_general,находки X в.,scholarly,
recreation_culture,игра «в мельницу»,,dating,Больше всего досок с полем для «мельницы» найдено в Новгороде в слоях XII–XIII вв.,624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,"Глава 5 Игры взрослых и детей > Шашки, «мельница», шахматы Е.А. Рыбина",1107,"Больше всего досок с игровыми полями для «мельницы» найдено в Новгороде, в слоях XII–XIII вв., встречаются они и при раскопках других городов — Пскова, Старой Рязани.",B,c1230,,scholarly,
recreation_culture,игра «в мельницу»,,description,"Поле «мельницы» чертили на любой поверхности — корабельной доске, днище бочки, каменной плите; три вписанных квадрата",624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,"Глава 5 Игры взрослых и детей > Шашки, «мельница», шахматы Е.А. Рыбина",1106,"Однако чаще всего это не специально подготовленные доски, а игровые поля, расчерченные на любой поверхности — на корабельной доске, на днищах бочек, на каменных плитах и т. д.",B,c1230,,scholarly,
recreation_culture,игра «в мельницу»,,social_rule,Играют двое; за каждую построенную «мельницу» снимают шашку противника (реконструкция по этнографии),624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,"Глава 5 Игры взрослых и детей > Шашки, «мельница», шахматы Е.А. Рыбина",1109,За каждую «построенную мельницу» игрок имеет право снять с доски одну шашку противника.,B,ethnographic_late,правила — реконструкция по этнографии и современной игре,scholarly,
recreation_culture,игровые фишки костяные,,dimensions,"Плоские костяные кружочки с концентрическими кругами 25–30 мм, толщ. 5–7 мм — возможные фишки; заменялись камешками",624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,"Глава 5 Игры взрослых и детей > Шашки, «мельница», шахматы Е.А. Рыбина",1110,"Очевидно, в качестве шашек можно было использовать не только специально обработанные шашки, но и любые мелкие предметы (например, камешки).",B,c1230,,scholarly,
recreation_culture,шахматы,,dating,"Первое письменное упоминание шахмат на Руси — Кормчая 1262 г., запрет священникам играть в шахматы",624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,"Глава 5 Игры взрослых и детей > Шашки, «мельница», шахматы Е.А. Рыбина",1112,"В письменных источниках шахматы впервые упоминаются в 1262 г. в Кормчей книге в связи с запрещением священникам играть в шахматы и другие игры (Розенкампф Г.А., 1839, с. 44).",B,medieval_general,церковный запрет; Кормчая 1262 г. — позже 1230; в Новгороде надёжно датированные фигуры — со 2-й пол. XIII в.; для 1230 г. редкость,scholarly,
recreation_culture,шахматы,,dating,В Новгороде нет надёжно датированных шахматных фигур ранее 2-й пол. XIII в.; 2-я пол. XIII в. — 9 экз.,624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,"Глава 5 Игры взрослых и детей > Шашки, «мельница», шахматы Е.А. Рыбина",1120,в новгородском собрании шахмат не оказалось ни одной четко атрибутированной шахматной фигуры ранее второй половины XIII в.,B,c1230,для 1230 г. шахматы в Новгороде — редкость/сомнительно,scholarly,
recreation_culture,шахматы,,dating,"Широкое распространение шахмат на Руси — XIII в., несмотря на церковные запреты",624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,"Глава 5 Игры взрослых и детей > Шашки, «мельница», шахматы Е.А. Рыбина",1143,"Широкое распространение шахматной игры на Руси относится к XIII в., не случайно и первое письменное упоминание шахмат датируется именно этим временем.",B,c1230,в Новгороде надёжно датированные фигуры — со 2-й пол. XIII в.; для 1230 г. редкость,scholarly,
recreation_culture,шахматы,,material,"Самые ранние новгородские фигуры (король, ферзь, конь, 2-я пол. XIII в.) костяные; позднее — преимущественно дерево",624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,"Глава 5 Игры взрослых и детей > Шашки, «мельница», шахматы Е.А. Рыбина",1121,"самые ранние фигуры — король, ферзь, конь, — относящиеся ко второй половине XIII в., были единственными костяными фигурами",B,medieval_general,"находки 2-й пол. XIII в., позже 1230; в Новгороде надёжно датированные фигуры — со 2-й пол. XIII в.; для 1230 г. редкость",scholarly,
