tr_id,kind,name_ru,facts_summary,hazard_keywords,period,fact_count,source_refs,confidence,status
trv_001,other,речные суда,"description: Речные суда Руси — небольшие, мелкосидящие, лёгкие в управлении из-за порогов, мелководья и волоков",порог,c1230,1,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1194,B,candidate
trv_002,portage,волок,description: Порожистость Волхова и Днепра и необходимость переволакивать суда на водоразделах определили характер судостроения,,c1230,1,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1194,B,candidate
trv_003,watercraft_or_part,"ладья, челн, струг (цены по Русской Правде)","price: Русская Правда ст. 73: морская ладья 3 гривны, набойная 2 гривны, струг гривна, челн 20 кун",,c1230,1,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1197,B,candidate
trv_004,watercraft_or_part,ладья речная,quantity: Грузоподъёмность ладьи в договорах Новгорода приравнена к возу; пошлина «две векши»,,c1230,1,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1200,B,candidate
trv_005,watercraft_or_part,ладья-струг,"material: Ладья-струг без киля: днище — выдолбленное бревно (ива, липа), борта обшиты досками",,c1230,1,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1202,B,candidate
trv_006,watercraft_or_part,челн-долбленка,use: Челн-долбленку вряд ли использовали на дальних и средних маршрутах; массовое судно — ладья-струг,,c1230,1,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1203,B,candidate
trv_007,other,перегрузка у Гостинополья,technique: На порожистых участках товары перегружали на ладьи; у Гостинополья (Волхов) это документируют грамоты с Любеком и Готским берегом,порог,c1230,1,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1203,B,candidate
trv_008,watercraft_or_part,учан,dating: Учан известен с XII в.; упомянут в Смоленской грамоте 1229 г. рядом с челном,,c1230,1,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1205,B,candidate
trv_009,watercraft_or_part,насад,"description: Насад — боевая ладья, обшитая досками и перекрытая палубой; известен с 1015 г. | description: В ладьях Изяслава 1151 г. гребцы скрыты под досками, воины в бронях стоят наверху, два кормчих — на корме и на носу",,c1230,2,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1208;book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1207,B,candidate
trv_010,watercraft_or_part,ушкуй,dating: Ушкуй в летописи — с 1320 г.; вмещал до 30 человек (для 1230 г. анахронизм термина),,medieval_general,1,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1204,B,candidate
trv_011,ferry_crossing,"паром, перевоз","dating: Слово «паром» впервые под 1374 г., но перевозы и перевозники на реках существовали издавна",,c1230,1,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1224,B,candidate
trv_012,watercraft_or_part,плот,"use: Плоты, вероятно, использовали для сплава леса; упоминания в летописях скудны",,c1230,1,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1224,B,candidate
trv_013,watercraft_or_part,морская ладья,"quantity: Морская ладья вмещала ~40 человек; торговая — не менее 12–14 вёсел | event: В новгородской ладье, захваченной пиратами на Балтике, перебито 12 человек",,c1230;medieval_general,2,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1235;book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1236,B,candidate
trv_014,watercraft_or_part,судно новгородское XII–XIII вв. (реконструкция Колчина),"dimensions: Реконструкция: длина 10 м, ширина 3,2 м, 12 гребцов, мачта, грузоподъёмность 15 т, до 40+ человек | quantity: Грузоподъёмность 15 т: 12 гребцов, рулевой, водолей и ~25 пассажиров с грузом",,c1230,2,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1275,B,candidate
trv_015,watercraft_or_part,киль судна,dimensions: Киль — балка 30×35 см; в Новгороде целые кили длиной более 10 м,,c1230,1,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1251,B,candidate
trv_016,watercraft_or_part,обшивка судна,"technique: Обшивка внакрой (кромка на кромку) на нагелях; пазы конопатили пенькой со смолой и просмаливали | dimensions: Обшивочные доски 6–12 м длиной, 20–45 см шириной",,c1230,2,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1257,B,candidate
trv_017,watercraft_or_part,нагель,"dimensions: Нагели — деревянные гвозди стандартного диаметра 2,5 см",,c1230,1,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1259,B,candidate
trv_018,watercraft_or_part,весло,"dimensions: Весло-движитель: лопасть 55–100 см, ширина до 12 см, на одного гребца; корабельное весло до 300 см",,c1230,1,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1260,B,candidate
trv_019,watercraft_or_part,кормовое весло («ключ»),"dimensions: Кормовое весло (др.-рус. «ключ») до 240 см, лопасть до 32 см шириной; крепилось сбоку ахтерштевня стропом",,c1230,1,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1262,B,candidate
trv_020,watercraft_or_part,уключина,"dimensions: Уключины 30–70 см: планка и рог упора с отверстием для ремня, крепящего весло",,c1230,1,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1265,B,candidate
trv_021,watercraft_or_part,черпак судовой,use: В снаряжение судна обязательно входили черпаки для отчерпывания воды,,c1230,1,book:624953 §Глава 6 Средства передвижения А.С. Хорошев ¶1274,B,candidate
