table,domain,kind,note,ddl_file,content_columns,world_db_rows,v17_rows_attested_snapshot,v17_rows_added_after_snapshot,v17_import_stages,v17_imported,empty_in_v17
building_layout_edges,buildings,content,,10.sql,layout_template_id from_node_id to_node_id passage_category_id access_policy,0,0,0,,no,EMPTY
building_layout_nodes,buildings,content,,10.sql,layout_template_id slot_key room_template_id required ordinal,0,9,0,gate1_item_container:9,yes,
building_layout_templates,buildings,content,,10.sql,region_id building_template_id valid_from valid_to,0,9,0,gate1_item_container:9,yes,
building_templates,buildings,content,,08.sql,region_id title building_type summary allowed_place_types allowed_location_types required_economy required_social_order typical_owner typical_controller typical_users materials size_band wealth_level condition_band layout_rules room_templates storage_rules access_rules locked_area_rules hidden_area_rules fire_risk theft_risk social_risk typical_objects typical_npc_roles typical_activities,0,9,0,gate1_item_container:9,yes,
g4_materialization_bindings,buildings,content,v2,10.sql,profile_id graph_node_id node_type place_template_id building_template_id priority applicability valid_from valid_to,0,9,0,gate1_item_container:9,yes,
g4_materialization_layout_edges,buildings,content,v2,10.sql,profile_id from_anchor_slot_key to_anchor_slot_key g5_edge_template_id ordinal,0,18,0,gate1_item_container:18,yes,
g4_materialization_profiles,buildings,content,v2 G4->G5 profile,10.sql,region_id layout_template_id maximum_g5_nodes player_start_anchor_slot_key visibility_model access_model valid_from valid_to,0,9,0,gate1_item_container:9,yes,
g5_anchor_templates,buildings,content,v2 G5,10.sql,category_id can_hold_npc can_hold_item can_hold_container npc_capacity item_capacity container_capacity access_policy visibility_policy initial_state valid_from valid_to,0,27,0,gate1_item_container:27,yes,
g5_edge_templates,buildings,content,v2 G5,10.sql,passage_category_id access_policy visibility_policy initial_state valid_from valid_to,0,9,0,gate1_item_container:9,yes,
g5_minilocation_templates,buildings,content,v2 G5,10.sql,category_id capacity access_policy visibility_policy initial_state valid_from valid_to,0,9,0,gate1_item_container:9,yes,
materialization_slot_rules,buildings,content,v2 slot min/max,10.sql,profile_id slot_key slot_domain min_count max_count g5_minilocation_template_id g5_anchor_template_id g5_edge_template_id parent_node_slot_key entry_role required valid_from valid_to applicability,0,48,0,gate1_item_container:48,yes,
place_buildings,buildings,world_instance,,07.sql,region_id place_id location_id title building_type summary function owner_or_holder controller public_private_level access_rules legal_status religious_status wealth_level condition materials size_band floors_or_sections typical_rooms typical_objects typical_npc_roles typical_activities storage_logic locked_areas hidden_area_policy fire_risk theft_risk social_risk,0,0,0,,no,EMPTY
room_templates,buildings,content,,10.sql,region_id room_category_id capacity access_policy visibility_policy,0,9,0,gate1_item_container:9,yes,
category_labels,categories,content,names/labels of categories,09.sql,category_id language label label_type valid_from valid_to source_id,0,146,0,gate1_item_container:146,yes,
category_scheme_mappings,categories,content,,09.sql,category_id classification_scheme_id external_concept_id mapping_type mapping_evidence source_id,0,0,0,,no,EMPTY
classification_schemes,categories,content,,09.sql,title authority scheme_version release_date canonical_reference license_or_usage_note snapshot_digest,0,0,0,,no,EMPTY
region_category_options,categories,content,regional permission+weight of any category,09.sql,region_id category_id valid_from valid_to weight applicability,0,404,0,gate1_item_container:362; appearance_v3:42,yes,
universal_categories,categories,content,generic category registry across domains,09.sql,domain parent_category_id stable_code facet preferred_label definition scope_note inclusion_rules exclusion_rules replaced_by_category_id title,0,465,0,gate1_item_container:366; p12:57; appearance_v3:42,yes,
universal_category_relations,categories,content,,09.sql,from_category_id to_category_id relation_type,0,41,0,gate1_item_container:41,yes,
universal_parameter_definitions,categories,content,,09.sql,category_id parameter_key value_type constraints,0,0,0,,no,EMPTY
region_appearance_profile_entries,clothing_appearance,content,,21.sql,appearance_profile_id facet option_id weight applicability,,36,0,appearance_v3:36,yes,
region_appearance_profiles,clothing_appearance,content,,09.sql,region_id appearance_option_id weight,0,1,0,appearance_v3:1,yes,
region_clothing_profiles,clothing_appearance,content,,09.sql,region_id garment_category_id slot_key constraints,0,0,0,,no,EMPTY
region_equipment_profile_entries,clothing_appearance,content,,09.sql,equipment_profile_id item_template_id item_category_id slot_key required weight,0,1,0,gate1_item_container:1,yes,
region_equipment_profiles,clothing_appearance,content,equipment sets by role/occupation,09.sql,region_id social_role_id occupation_id,0,1,0,gate1_item_container:1,yes,
