domain,entity_ru,entity_latin,fact_type,value,book_id,authors,title,year,section_path,para_no,quote,confidence,period,note,book_type,flags
buildings_structures,жилой дом владельца усадьбы,,dimensions,"Дома владельцев усадеб нередко ≥100 м², жилища бедноты часто 10–12 м²",709382,Засурцев Петр Иванович,"Новгород, открытый археологами",,Новгородские постройки,227,"Если первые дома по площади достигали нередко 100 и более квадратных метров, то жилища бедноты не превышали во многих случаях 10 - 12 м2",B,medieval_general,"обобщение по Неревскому раскопу X–XV вв.; размеры — ориентир, не норма для генерации",scholarly,
buildings_structures,жилой дом владельца усадьбы,,description,"Большие дома 2–3-этажные, малые жилища как правило одноэтажные",709382,Засурцев Петр Иванович,"Новгород, открытый археологами",,Новгородские постройки,227,"большие (по площади) дома были к тому же двух- или трехэтажными, маленькие же, как правило, одноэтажными",B,c1230,,scholarly,
buildings_structures,печь жилого дома,,description,"Печь жилого дома — в одном из задних углов первого этажа, слева или справа от входа",709382,Засурцев Петр Иванович,"Новгород, открытый археологами",,Новгородские постройки,228,"в одном из задних углов зданий и именно в первых этажах, слева или справа от входа",B,c1230,,scholarly,
buildings_structures,подкладки под сруб,,technique,Фундамент — подкладки из обрубков бревен под углы/стены или сплошными рядами,709382,Засурцев Петр Иванович,"Новгород, открытый археологами",,Новгородские постройки,231,В большинстве случаев - это были разного рода подкладки из обрубков бревен.,B,c1230,рост культурного слоя требовал фундаментов,scholarly,
buildings_structures,стулья (столбовой фундамент),,dimensions,"Столбы-стулья диам. 0,3–0,6 м, высота 0,7–1 м и более",709382,Засурцев Петр Иванович,"Новгород, открытый археологами",,Новгородские постройки,238,"Такие стулья имели диаметр от 0,3 м до 0,5 - 0,6 м, а высоту от 0,7 до 1 м и более.",B,c1230,"раскопные данные Засурцева — частный пример, не норма для генерации",scholarly,
buildings_structures,пол жилого дома,,material,Во всех новгородских домах полы деревянные,709382,Засурцев Петр Иванович,"Новгород, открытый археологами",,Новгородские постройки,242,Во всех новгородских домах полы были деревянные.,B,c1230,,scholarly,
buildings_structures,подполье,,other,Из-за сырости подполий в новгородских домах не устраивали,709382,Засурцев Петр Иванович,"Новгород, открытый археологами",,Новгородские постройки,243,По причине сырости в новгородских домах не устраивали подполья.,B,c1230,other: отсутствие элемента — запрет для генерации,scholarly,
buildings_structures,половица,,technique,Доски только колотые; продольной пилы в 1230 г. нет (применяется не ранее XVII в.),709382,Засурцев Петр Иванович,"Новгород, открытый археологами",,Новгородские постройки,245,Доски были исключительно колотые (продольная пила для распиливания бревен на доски стала применяться не ранее XVII в.).,B,c1230,пиленые доски для 1230 г. исключены,scholarly,period_c1230_but_note_says_later_or_absent
buildings_structures,половица,,dimensions,"Половицы в богатых домах 35–40 см шириной, в бедных 21–22 см",709382,Засурцев Петр Иванович,"Новгород, открытый археологами",,Новгородские постройки,246,"В богатых домах половицы были шириной по 35 - 40 см, а в более бедных - 21 - 22 см",B,c1230,"раскопные данные Засурцева — частный пример, не норма для генерации",scholarly,
buildings_structures,конюшня,,description,В конюшнях пола нет или жердевой настил,709382,Засурцев Петр Иванович,"Новгород, открытый археологами",,Новгородские постройки,248,"В конюшнях полов либо не было совсем, либо они настилались из жердей.",B,c1230,,scholarly,
