domain,entity_ru,entity_latin,fact_type,value,book_id,authors,title,year,section_path,para_no,quote,confidence,period,note,book_type,flags
garments,"ткани одежды (шерсть, лён, конопля)",,material,"Одежду шили из местных шерстяных (овечья шерсть) и растительных (лён, конопля) тканей",624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,Глава 4 Древнерусский костюм > Одежда М.А. Сабурова,933,"Это и шерстяные ткани, сотканные преимущественно из овечьей шерсти, и ткани из растительных волокон разной структуры (льна, конопли).",B,c1230,,scholarly,
garments,клетчатые и полосатые шерстяные ткани,,description,Среди шерстяных и полушерстяных тканей встречаются клетчатые и полосатые; вышивка браной техникой,624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,Глава 4 Древнерусский костюм > Одежда М.А. Сабурова,933,Среди шерстяных и полушерстяных тканей встречаются ткани клетчатые и полосатые.,B,c1230,facet:decoration,scholarly,
garments,сукно и войлок,,material,Широко распространены сукно и войлочные изделия,624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,Глава 4 Древнерусский костюм > Одежда М.А. Сабурова,933,"Широкое распространение имело сукно (Левашова В.П., 1966, с. 114) и предметы войлока (Левашова В.П., 1959б, с. 52–54).",B,c1230,,scholarly,
garments,красители тканей,,material,"Ткани натуральных цветов шерсти или крашеные органическими красителями — червец, чернильные орешки",624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,Глава 4 Древнерусский костюм > Одежда М.А. Сабурова,933,"Некоторые из тканей были сотканы из шерсти естественного коричневого, черного или иного цвета, другие — окрашены такими органическими красителями, как червец и «чернильные орешки».",B,c1230,facet:dye_color,scholarly,
garments,минеральные красители,,material,В крашении применяли охру и красный железняк,624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,Глава 4 Древнерусский костюм > Одежда М.А. Сабурова,933,"Применяли в крашении и минеральные вещества — охру, красный железняк и др.",B,c1230,facet:dye_color,scholarly,
garments,"привозные ткани (сукно, шёлк, парча)",,material,"Тонкое сукно привозили из Западной Европы, шёлк и парчу, золототканые ленты — из Средиземноморья, Византии и Среднего Востока",624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,Глава 4 Древнерусский костюм > Одежда М.А. Сабурова,933,"Кроме того, для шитья одежды из стран Западной Европы привозили тонкое шерстяное сукно (Нахлик А., 1963, с. 270–274), а из стран Средиземноморья, Византии и Среднего Востока — шелковые и парчовые",B,c1230,статусный маркер: импорт у знати/богатых горожан,scholarly,
garments,золотное шитьё,,technique,Ткани с шитьём золотными и серебряными нитями делали древнерусские мастерицы; обучение в монастырях и княжеских мастерских с XI в.,624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,Глава 4 Древнерусский костюм > Одежда М.А. Сабурова,934,"По письменным источникам известно, что уже в XI в. в монастырях существовали «школы», а в княжеской среде «домашние мастерские», в которых обучали технике золотного шитья (Новицкая М.А., 1965, с. 26).",B,c1230,,scholarly,
garments,пестрядь (клетчатая ткань вятичей),,material,"Клетчатую ткань ткали из шерсти красного, зелёного, синего, жёлтого, чёрного цвета и белых растительных нитей",624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,Глава 4 Древнерусский костюм > Одежда М.А. Сабурова,934,"Их ткали из шерстяных нитей, окрашенных преимущественно в красный, зеленый, синий, желтый и черный цвет, а также из нитей растительного происхождения белого цвета.",B,c1230,"facet:dye_color; вятичи; локальное различие, в Новгороде не доказано",scholarly,
garments,ткани кривичей,,material,"У кривичей (Харлапово) преобладают саржевые ткани, сукно и войлок, клетчатой ткани почти нет",624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,Глава 4 Древнерусский костюм > Одежда М.А. Сабурова,935,"Преобладают ткани саржевого переплетения, сукно и войлок, под остатками которых найдена тонкая ткань полотняного переплетения.",B,c1230,кривичи Смоленской земли; соседи новгородцев,scholarly,
garments,мужские головные уборы,,other,Мужские головные уборы X–XIII вв. археологически почти неизвестны,624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,Глава 4 Древнерусский костюм > Одежда М.А. Сабурова,937,Мужские головные уборы были почти неизвестны.,B,c1230,other: пробел знаний,scholarly,
