domain,entity_ru,entity_latin,fact_type,value,book_id,authors,title,year,section_path,para_no,quote,confidence,period,note,book_type,flags
craft_processes,ремесленные специальности,,social_rule,"Новгородская летопись упоминает узкие специальности: котельник, опочник (1216), щитник (1234), гвоздочник (1262)",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,Глава шестая Ремесло Б.А. Колчин,1534,"Например, в летописи под 1216 г. упоминаются Антон-котельник и Иванко-опочник, под 1234 г. ремесленник Гаврила-щитник, под 1262 г. «Яков храбрый» — гвоздочник (НПЛ, 1950).",B,c1230,,scholarly,
craft_processes,ремесленные специальности,,quantity,Число ремесленных специальностей в конце XII в. в некоторых городах Руси превышало 100,622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,Глава шестая Ремесло Б.А. Колчин,1534,Количество специальностей в конце XII в. в некоторых древнерусских городах значительно превышало 100.,B,c1230,,scholarly,
workshops,ремесленная мастерская,,description,"Мастерские бывали большие богатые (владелец, подмастерья, ученики) и маленькие внутри жилищ на одного-двух мастеров",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,Глава шестая Ремесло Б.А. Колчин,1538,"Это мастерские, в которых, кроме владельца, работали еще подмастерья и ученики.",B,c1230,XII–XIV вв.,scholarly,
workshops,ремесленная мастерская,,social_rule,"Деятельность свободных ремесленников регулировали сотни, торговые ряды и уличанские организации",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,Глава шестая Ремесло Б.А. Колчин,1538,"Деятельность свободных ремесленником регулировали сотни, торговые ряды и уличанские организации.",B,c1230,опечатка «ремесленником» в оригинале,scholarly,
craft_processes,щитник,,event,В 1228 г. в состав новгородского правительства был введён Микифор-щитник,622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,Глава шестая Ремесло Б.А. Колчин,1539,"Более убедительным является свидетельство Новгородской летописи под 1228 г., когда в состав новгородского правительства был введен Микифор-щитник.",B,c1230,статус ремесленников,scholarly,
craft_processes,стальной нож (ковка),,technique,С начала XII до конца XIII в. нож делали наваркой стального лезвия в торец железной основы,622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,Глава шестая Ремесло Б.А. Колчин,1542,Эта упрощенная технология оставалась без изменения до конца XIII в.,B,c1230,торцовая наварка — актуальна для 1230 г.,scholarly,
craft_processes,сыродутный процесс (варка железа),,technique,Железо получали сыродутным способом из болотных руд; металлурги жили в деревнях и поставляли железо в города,622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,Глава шестая Ремесло Б.А. Колчин,1530,"Металлурги, живущие в сельских местностях, поставляют в города достаточное количество железа высокого качества.",B,c1230,,scholarly,
craft_processes,сыродутный процесс (варка железа),,name_form,Процесс восстановления железа на Руси назывался «варкой железа»,622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,Глава шестая Ремесло Б.А. Колчин,1560,"Интересно отметить, что в Древней Руси процесс восстановления железа назывался «варкой железа».",B,c1230,,scholarly,
craft_processes,сыродутный процесс (варка железа),,technique,"Раздробленную руду загружали в горн вперемешку с большим количеством древесного угля; шлак стекал вниз и выпускался, зёрна железа сваривались в крицу",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,Глава шестая Ремесло Б.А. Колчин,1559,При сыродутном процессе мелко раздробленную железную руду загружали в горн вперемешку с большим количеством древесного угля.,B,c1230,,scholarly,
workshops,домница,,description,"Металлургические комплексы ставили в деревнях у болотных руд и лесов, вне жилой застройки",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,Глава шестая Ремесло Б.А. Колчин,1555,"Производством железа на Руси всегда занимались металлурги, жившие в деревне.",B,c1230,,scholarly,
workshops,домница,,name_form,"Термин «домница» впервые в писцовых книгах конца XV в.; вероятно, так называли и более ранние сооружения",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,Глава шестая Ремесло Б.А. Колчин,1563,"Термин «домница» впервые упоминается в писцовых книгах только в конце XV в., но так назывались, вероятно, подобные сооружения и в более раннее время.",B,medieval_general,для 1230 г. термин условен,scholarly,
craft_tools_gear,сыродутный горн,,dimensions,"Печь круглая, наружный диаметр 85–110 см, внутренний 50–80 см; стенки из камня или глины 15–30 см",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,Глава шестая Ремесло Б.А. Колчин,1572,Круглая или немного овальная в плане печь имела наружный диаметр 85-110 см и внутренний диаметр 50–80 см.,B,c1230,,scholarly,
craft_tools_gear,сыродутный горн,,dimensions,"Высота шахты печи 0,8–1,0 м, объём 0,3–0,45 куб. м",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,Глава шестая Ремесло Б.А. Колчин,1572,"Высота шахты древнерусской печи колебалась от 0,8 до 1,0 м.",B,c1230,,scholarly,
craft_processes,сыродутный процесс (варка железа),,technique,Самой трудоёмкой работой при варке железа было мощное искусственное дутьё мехами,622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,Глава шестая Ремесло Б.А. Колчин,1574,Это была наиболее трудоемкая работа при варке железа.,B,c1230,,scholarly,
craft_tools_gear,сопло глиняное,,dimensions,"Дутьевой канал сопла 2,2–2,5 см; из глины с песком, шамотом, галькой; служило 1–2 плавки",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,Глава шестая Ремесло Б.А. Колчин,1576,Сопло служило лишь одну-две плавки.,B,c1230,расходный элемент; обломки — след,scholarly,
craft_processes,обогащение руды,,technique,"Руду обогащали: просушка (выветривание), обжиг, размельчение, проветривание",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,Глава шестая Ремесло Б.А. Колчин,1579,"Для обогащения руды применялись следующие приемы: просушка (выветривание), обжиг, размельчение и проветривание.",B,c1230,,scholarly,
craft_processes,углежжение,,technique,Топливом был древесный уголь; дрова пережигали на уголь в лесах в угольных ямах,622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,Глава шестая Ремесло Б.А. Колчин,1580,Пережог дров на уголь совершался в лесах в угольных ямах.,B,c1230,,scholarly,
craft_processes,крица,,technique,Крицу проковывали сразу горячей деревянными молотами или молотом с каменным бойком на чурбане или камне,622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,Глава шестая Ремесло Б.А. Колчин,1581,Обжатие крицы производили большими деревянными молотами или молотом с каменным бойком на деревянном чурбане или на плоском камне.,B,c1230,,scholarly,
