domain,entity_ru,entity_latin,fact_type,value,book_id,authors,title,year,section_path,para_no,quote,confidence,period,note,book_type,flags
fauna_fish,судак,Sander lucioperca,presence_in_region,"В новгородских уловах X–XII вв. безраздельно господствовал судак, за ним лещ и щука — лов на открытом Ильмене",455907,Куза Андрей Васильевич,Рыбный промысел в Древней Руси,2016,"Глава IV. Промысловые рыбы, сезоны и места лова. Способы хранения и переработки рыбы",254,"Зато в Новгороде в уловах безраздельно господствовал судак, за ним следовали лещ и щука",B,c1230,"палеоихтиология Новгорода (Лебедев, Сычевская); популярное издание монографии Кузы",scholarly,
fauna_fish,жерех; голавль,Aspius aspius; Squalius cephalus,presence_in_region,"Речные рыбы (жерех, голавль) также присутствуют в новгородских уловах — река не заброшена",455907,Куза Андрей Васильевич,Рыбный промысел в Древней Руси,2016,"Глава IV. Промысловые рыбы, сезоны и места лова. Способы хранения и переработки рыбы",254,"новгородцы уже, не пренебрегая рекой (жерех, голавль), перешли к широкому освоению всей акватории озера Ильмень",B,c1230,,scholarly,
fauna_fish,лещ,Abramis brama,presence_in_region,В Ладоге и Новгороде (система Ильмень–Волхов–Ладога) главными промысловыми рыбами были судак и лещ,455907,Куза Андрей Васильевич,Рыбный промысел в Древней Руси,2016,"Глава IV. Промысловые рыбы, сезоны и места лова. Способы хранения и переработки рыбы",253,"И там, и там, в числе главных промысловых рыб были судак и лещ",B,c1230,,scholarly,
fauna_fish,промысловые рыбы (список),,presence_in_region,"По палеоихтиологии в промысле Древней Руси до XIII в. 29 видов: осетры, стерлядь, сёмга, кумжа, сиги, сом, налим, щука, судак, окунь, ёрш, лещ и карповые",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,"Глава пятая Земледелие и промыслы А.В. Чернецов, А.В. Куза, Н.А. Кирьянова",1464,"Список рыб, охваченных промыслом в Древней Руси (до XIV в.), по палеоихтиологическим данным, насчитывает 29 видов",B,c1230,полный список в абзаце; видовой набор не по одному Новгороду,scholarly,
fauna_fish,сиголов (волховский сиг),Coregonus lavaretus baerii,presence_in_region,Волховский сиг (сиголов) и сиг-лудога есть в древнерусских палеоихтиологических списках,455907,Куза Андрей Васильевич,Рыбный промысел в Древней Руси,2016,"Глава IV. Промысловые рыбы, сезоны и места лова. Способы хранения и переработки рыбы",237,"сиг, сиголов (волховский), сиг лудога, сом, налим, щука, судак, окунь, ерш, лещ",B,c1230,,scholarly,
fauna_fish,сельдь,Clupea harengus,other,"Кости сельдей в древнерусских слоях — вероятно, привозная рыба",455907,Куза Андрей Васильевич,Рыбный промысел в Древней Руси,2016,"Глава IV. Промысловые рыбы, сезоны и места лова. Способы хранения и переработки рыбы",237,"Кроме того, найдены кости сельдей – по всей вероятности, привозных.",B,c1230,other: импорт,scholarly,
fauna_fish,рыба (промысел),,technique,"В озерном рыболовстве (Новгород, Псков, Ладога, Белоозеро) сети раньше получили предпочтение перед другими орудиями",455907,Куза Андрей Васильевич,Рыбный промысел в Древней Руси,2016,"Глава IV. Промысловые рыбы, сезоны и места лова. Способы хранения и переработки рыбы",260,"В свою очередь, в озерном рыболовстве (что видно на примере Новгорода и с отдельными оговорками Пскова, Ладоги, а также Белоозера) сети раньше получили предпочтение",B,c1230,,scholarly,
fauna_fish,рыба (промысел),,season,"Зимний лов засвидетельствован находками пешней и ледорубов X–XIII вв.; главная добыча — весной, в нерест",455907,Куза Андрей Васильевич,Рыбный промысел в Древней Руси,2016,"Глава IV. Промысловые рыбы, сезоны и места лова. Способы хранения и переработки рыбы",272,"Всё же главная добыча рыбы, надо полагать, происходила весной – в период нереста (икрометания).",B,c1230,,scholarly,
fauna_fish,рыба (промысел),,season,"Три главных сезона лова: вешний, осенний и «зимой по первому льду»",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,"Глава пятая Земледелие и промыслы А.В. Чернецов, А.В. Куза, Н.А. Кирьянова",1467,"Особо значительными были лов «вешний», «осенний» и «зимой по первому льду».",B,c1230,,scholarly,
fauna_fish,рыба (промысел),,technique,Пешнёй на деревянной рукояти пробивали проруби для сетей; пешни находят по всей Руси с конца X в.,622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,"Глава пятая Земледелие и промыслы А.В. Чернецов, А.В. Куза, Н.А. Кирьянова",1458,"Пешней, насаженной на деревянную рукоять, пробивали проруби во льду, куда опускали сети и другие снасти.",B,c1230,,scholarly,
fauna_fish,рыба (промысел),,technique,"Для подо льдом протаскивания сетей использовали жерди-рели, костыль-сошило и черпак для наледи",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,"Глава пятая Земледелие и промыслы А.В. Чернецов, А.В. Куза, Н.А. Кирьянова",1460,"жерди-рели, с помощью которых сеть протаскивалась из проруби в прорубь",B,c1230,,scholarly,
fauna_fish,рыба (промысел),,material,Ледовые шипы: овальные пластины с 2–4 шипами и петлями для крепления к обуви,622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,"Глава пятая Земледелие и промыслы А.В. Чернецов, А.В. Куза, Н.А. Кирьянова",1459,овальные прорезные пластины с двумя-четырьмя шипами и двумя петлями для крепления к обуви,B,c1230,,scholarly,
fauna_fish,рыба (хранение),,technique,Зимой рыбу проще всего хранить мороженой; смоленский князь брал рыбный оброк санями,455907,Куза Андрей Васильевич,Рыбный промысел в Древней Руси,2016,"Глава IV. Промысловые рыбы, сезоны и места лова. Способы хранения и переработки рыбы",289,Легче всего сохранить рыбу было зимой – в мороженом виде.,B,c1230,,scholarly,
