domain,entity_ru,entity_latin,fact_type,value,book_id,authors,title,year,section_path,para_no,quote,confidence,period,note,book_type,flags
fauna_mammals,волк,Canis lupus,description,"След волка стройнее и вытянутее собачьего, когти и подушечки выражены резче",343305,Руковский Николай Николаевич,Следы зверей,,Волк,1,"У волка след стройнее, более вытянут, когти и подушечки пальцев на следу выражены резче.",B,modern_reference,"Следы/признаки вида; вид обычен для лесной зоны северо-запада, признаки применимы к Новгородской земле",scholarly,
fauna_mammals,волк,Canis lupus,dimensions,Отпечаток передней лапы крупного волка до 12–13 см длины и 9–10 см ширины,343305,Руковский Николай Николаевич,Следы зверей,,Волк,2,Отпечатки передней лапы крупного волка достигают 12-13 см в длину и 9-10 см в ширину.,B,modern_reference,"Следы/признаки вида; вид обычен для лесной зоны северо-запада, признаки применимы к Новгородской земле",scholarly,
fauna_mammals,волк,Canis lupus,description,Группа волков идёт след в след,343305,Руковский Николай Николаевич,Следы зверей,,Волк,4,При движении группой звери идут след в след.,B,modern_reference,"Следы/признаки вида; вид обычен для лесной зоны северо-запада, признаки применимы к Новгородской земле",scholarly,
fauna_mammals,волк,Canis lupus,season,"В рыхлоснежные зимы волки уходят из леса в поля и долины рек, где снег плотнее",343305,Руковский Николай Николаевич,Следы зверей,,Волк,6,"В такое время они покидают лесные угодья, переходят в поля, широкие долины рек, где снег уплотнен ветрами и больше наезженных дорог.",B,modern_reference,"Следы/признаки вида; вид обычен для лесной зоны северо-запада, признаки применимы к Новгородской земле",scholarly,
fauna_mammals,волк,Canis lupus,description,Зимой чаще всего видны следы охоты волков на зайцев,343305,Руковский Николай Николаевич,Следы зверей,,Волк,7,Зимой чаще всего приходится наблюдать охоту волков за зайцами.,B,modern_reference,"Следы/признаки вида; вид обычен для лесной зоны северо-запада, признаки применимы к Новгородской земле",scholarly,
fauna_mammals,волк,Canis lupus,description,"Помёт волка чаще чёрный, с шерстью, перьями, осколками костей",343305,Руковский Николай Николаевич,Следы зверей,,Волк,10,"Чаще всего экскременты бывают черного цвета, что говорит о поедании мяса, и содержат шерсть, перья, осколки костей.",B,modern_reference,"Следы/признаки вида; вид обычен для лесной зоны северо-запада, признаки применимы к Новгородской земле",scholarly,
fauna_mammals,волк,Canis lupus,description,Поскрёбы волков хорошо заметны и выдают их в бесснежный период,343305,Руковский Николай Николаевич,Следы зверей,,Волк,13,"Такие поскребы хорошо заметны и выдают присутствие волков в бесснежный период, когда другие следы увидеть трудно.",B,modern_reference,"Следы/признаки вида; вид обычен для лесной зоны северо-запада, признаки применимы к Новгородской земле",scholarly,
fauna_mammals,лисица,Vulpes vulpes,description,"На неглубоком снегу лиса ставит лапы в одну линию, «словно по линейке»",343305,Руковский Николай Николаевич,Следы зверей,,Лисица,19,"На неглубоком снегу следы лисицы вытянуты в одну линию: все четыре лапы зверь ставит словно по линейке, тогда как собака идет вразвалку.",B,modern_reference,"Следы/признаки вида; вид обычен для лесной зоны северо-запада, признаки применимы к Новгородской земле",scholarly,
fauna_mammals,лисица,Vulpes vulpes,description,"Мышкующая лиса оставляет покопки-воронки, иногда с каплями крови и шерстью полёвок",343305,Руковский Николай Николаевич,Следы зверей,,Лисица,22,"На пути мышкующей лисицы остаются частые покопки в виде воронок, на дне которых иногда можно заметить капельки крови и клочки шерсти полевок.",B,modern_reference,"Следы/признаки вида; вид обычен для лесной зоны северо-запада, признаки применимы к Новгородской земле",scholarly,
fauna_mammals,лисица,Vulpes vulpes,season,В феврале появляются парные и групповые следы лис — начало гона,343305,Руковский Николай Николаевич,Следы зверей,,Лисица,25,"В феврале появляются парные, а иногда и групповые следы лисиц, свидетельствующие о начале гона.",B,modern_reference,"Следы/признаки вида; вид обычен для лесной зоны северо-запада, признаки применимы к Новгородской земле",scholarly,
fauna_mammals,лисица,Vulpes vulpes,habitat,"Лиса — плохой землекоп, селится в чужих, главным образом барсучьих, норах",343305,Руковский Николай Николаевич,Следы зверей,,Лисица,26,"Однако она плохой землекоп и предпочитает селиться в чужих норах, главным образом в барсучьих.",B,modern_reference,"Следы/признаки вида; вид обычен для лесной зоны северо-запада, признаки применимы к Новгородской земле",scholarly,
fauna_mammals,лисица,Vulpes vulpes,season,Зимой лиса посещает нору редко — в сильные морозы или спасаясь от врагов,343305,Руковский Николай Николаевич,Следы зверей,,Лисица,27,"Зимой лисица посещает нору редко, только при сильных морозах или спасаясь от врагов.",B,modern_reference,"Следы/признаки вида; вид обычен для лесной зоны северо-запада, признаки применимы к Новгородской земле",scholarly,
fauna_mammals,белка,Sciurus vulgaris,description,"Шишка, погрызенная белкой, — голый стержень с 4–6 чешуйками на вершине",343305,Руковский Николай Николаевич,Следы зверей,,Белка,34,"Белка добывает семена из шишки, скусывая чешуйки у самого основания, и от шишки остается голый стержень с 4-6 чешуйками на вершине.",B,modern_reference,"Следы/признаки вида; вид обычен для лесной зоны северо-запада, признаки применимы к Новгородской земле",scholarly,
fauna_mammals,белка,Sciurus vulgaris,habitat,Белка строит гнездо в ветвях хвойных деревьев на высоте 5–20 м,343305,Руковский Николай Николаевич,Следы зверей,,Белка,37,Белка сооружает гнездо в ветвях хвойных деревьев на высоте от 5 до 20 м.,B,modern_reference,"Следы/признаки вида; вид обычен для лесной зоны северо-запада, признаки применимы к Новгородской земле",scholarly,
fauna_mammals,белка,Sciurus vulgaris,season,"В конце лета белка сушит грибы, закрепляя их в развилках сучков",343305,Руковский Николай Николаевич,Следы зверей,,Белка,36,"Иногда можно заметить масленок или опенок, сорванный белкой, и укрепленный в развилке сучков для просушки.",B,modern_reference,"Следы/признаки вида; вид обычен для лесной зоны северо-запада, признаки применимы к Новгородской земле",scholarly,
fauna_mammals,белка,Sciurus vulgaris,season,В годы без урожая шишек белка голодает,343305,Руковский Николай Николаевич,Следы зверей,,Белка,35,"В годы, когда шишек на деревьях нет, белка голодает.",B,modern_reference,"Следы/признаки вида; вид обычен для лесной зоны северо-запада, признаки применимы к Новгородской земле",scholarly,
fauna_mammals,куница лесная,Martes martes,description,"К зиме подошвы лап куницы обрастают жёстким волосом, площадь опоры растёт",343305,Руковский Николай Николаевич,Следы зверей,,Куница,42,"Это объясняется тем, что подошвы ее лап к зиме обрастают густым жестким волосом и их опорная поверхность намного увеличивается.",B,modern_reference,"Следы/признаки вида; вид обычен для лесной зоны северо-запада, признаки применимы к Новгородской земле",scholarly,
fauna_mammals,куница лесная,Martes martes,description,"Куница, идущая верхом по деревьям, оставляет на снегу «посорку»",343305,Руковский Николай Николаевич,Следы зверей,,Куница,45,"Если куница идет верхом, то оставляет своеобразные следы – посорку.",B,modern_reference,"Следы/признаки вида; вид обычен для лесной зоны северо-запада, признаки применимы к Новгородской земле",scholarly,
fauna_mammals,куница лесная,Martes martes,habitat,"В ельниках куница ищет на ночёвках рябчика и мышевидных под завалами, путь её извилист",343305,Руковский Николай Николаевич,Следы зверей,,Куница,46,"В ельниках, где куница разыскивает на ночевках рябчика, а под завалами добывает мышевидных грызунов, путь ее извилист.",B,modern_reference,"Следы/признаки вида; вид обычен для лесной зоны северо-запада, признаки применимы к Новгородской земле",scholarly,
fauna_mammals,куница лесная,Martes martes,habitat,Лучшее убежище куницы — дупло,343305,Руковский Николай Николаевич,Следы зверей,,Куница,48,Лучшим убежищем кунице служит дупло.,B,modern_reference,"Следы/признаки вида; вид обычен для лесной зоны северо-запада, признаки применимы к Новгородской земле",scholarly,
fauna_mammals,куница лесная,Martes martes,season,"Во второй половине зимы куница днюет в наземных убежищах — прикомлевых дуплах, под хворостом",343305,Руковский Николай Николаевич,Следы зверей,,Куница,49,"Во второй половине зимы, когда снега заглубеют, а морозы усилятся, она днюет в наземных убежищах, устраиваясь в прикомлевых дуплах, под кучами хвороста, в пустотах под валежником, укрытым толстым",B,modern_reference,"Следы/признаки вида; вид обычен для лесной зоны северо-запада, признаки применимы к Новгородской земле",scholarly,
fauna_mammals,хорь лесной,Mustela putorius,description,Следы хорька на снегу напоминают следы лесной куницы,343305,Руковский Николай Николаевич,Следы зверей,,Мелкие Куньи,60,Следы хорька на снегу несколько напоминают следы лесной куницы.,B,modern_reference,"Следы/признаки вида; вид обычен для лесной зоны северо-запада, признаки применимы к Новгородской земле",scholarly,
fauna_mammals,горностай,Mustela erminea,description,Следы горностая вдвое меньше хорьковых,343305,Руковский Николай Николаевич,Следы зверей,,Мелкие Куньи,61,"Следы горностая вдвое меньше, чем хорька.",B,modern_reference,"Следы/признаки вида; вид обычен для лесной зоны северо-запада, признаки применимы к Новгородской земле",scholarly,
fauna_mammals,ласка,Mustela nivalis,description,"Следы ласки похожи на горностаевы, но ещё мельче",343305,Руковский Николай Николаевич,Следы зверей,,Мелкие Куньи,62,"Следы ласки очень похожи на следы горностая, но отпечатки ее лап еще мельче.",B,modern_reference,"Следы/признаки вида; вид обычен для лесной зоны северо-запада, признаки применимы к Новгородской земле",scholarly,
fauna_mammals,норка европейская,Mustela lutreola,habitat,Наслед норки (прыжки 40–60 см) тянется обычно вдоль берега речки,343305,Руковский Николай Николаевич,Следы зверей,,Мелкие Куньи,63,Наслед норки – двухчетка с прыжками в 40-60 см – тянется обычно вдоль берега речки.,B,modern_reference,"Следы/признаки вида; вид обычен для лесной зоны северо-запада, признаки применимы к Новгородской земле",scholarly,
