domain,entity_ru,entity_latin,fact_type,value,book_id,authors,title,year,section_path,para_no,quote,confidence,period,note,book_type,flags
cultivated_plants,овёс,Avena sativa,presence_in_region,"Овёс — лидер (20,7%) археоботанического спектра домонгольского Ростиславля",315166,Завьялов Владимир Игоревич; Розанова Людмила Семёновна; Терехова Наталья Николаевна; Антипина Екатерина Евстафьевна; Черных Евгений Николаевич; Гайдуков Пётр Григорьевич; Черных Наталья Борисовна; Шиятов Степан Григорьевич; Хантемиров Рашит Мигатович; Горячев Владимир Михайлович; Агафонов Леонид Иванович; Гурская Марина Анатольевна; Мартинес Наваррете Мария Исабель; Карпухин Алексей Александрович; Тарабардина Ольга Альбертовна; Вознесенская Галина Алексеевна; Рындина Наталия Вадимовна; Гошек Иржи; Конькова Людмила Викторовна; Лебедева Елена Юрьевна; Спиридонова Елена Александровна; Алешинская Анна Сергеевна; Кочанова Мария Дмитриевна,Археология и естественнонаучные методы. Сб. статей,2005,Археобиологические методы > Е.Ю. Лебедева Культурные растения Ростиславля: археоботанические материалы из дьяковского городища и древнерусского горо > Ростиславль Рязанский,842,"С небольшим преимуществом лидирует в нем овес Avena sativa (20,7 %), далее следуют рожь Secale cereale (19,8 %), просо (19 %), пленчатый многорядный ячмень Hordeum vulgare, vulgare (17,2 %) и пшеницы",B,c1230,"Ростиславль Рязанский — лесная зона Руси, не Новгород; домонгольский слой вт. пол. XII — перв. пол. XIII в.",scholarly,
cultivated_plants,рожь,Secale cereale,presence_in_region,"Рожь ~19,8% определимых зерен в домонгольском слое Ростиславля",315166,Завьялов Владимир Игоревич; Розанова Людмила Семёновна; Терехова Наталья Николаевна; Антипина Екатерина Евстафьевна; Черных Евгений Николаевич; Гайдуков Пётр Григорьевич; Черных Наталья Борисовна; Шиятов Степан Григорьевич; Хантемиров Рашит Мигатович; Горячев Владимир Михайлович; Агафонов Леонид Иванович; Гурская Марина Анатольевна; Мартинес Наваррете Мария Исабель; Карпухин Алексей Александрович; Тарабардина Ольга Альбертовна; Вознесенская Галина Алексеевна; Рындина Наталия Вадимовна; Гошек Иржи; Конькова Людмила Викторовна; Лебедева Елена Юрьевна; Спиридонова Елена Александровна; Алешинская Анна Сергеевна; Кочанова Мария Дмитриевна,Археология и естественнонаучные методы. Сб. статей,2005,Археобиологические методы > Е.Ю. Лебедева Культурные растения Ростиславля: археоботанические материалы из дьяковского городища и древнерусского горо > Ростиславль Рязанский,842,"С небольшим преимуществом лидирует в нем овес Avena sativa (20,7 %), далее следуют рожь Secale cereale (19,8 %), просо (19 %), пленчатый многорядный ячмень Hordeum vulgare, vulgare (17,2 %) и пшеницы",B,c1230,"Ростиславль Рязанский — лесная зона Руси, не Новгород; домонгольский слой вт. пол. XII — перв. пол. XIII в.",scholarly,
cultivated_plants,пшеница мягкая,Triticum aestivum,presence_in_region,"Среди пшениц домонгольского Ростиславля преобладает мягкая голозерная (9,5%), есть двузернянка",315166,Завьялов Владимир Игоревич; Розанова Людмила Семёновна; Терехова Наталья Николаевна; Антипина Екатерина Евстафьевна; Черных Евгений Николаевич; Гайдуков Пётр Григорьевич; Черных Наталья Борисовна; Шиятов Степан Григорьевич; Хантемиров Рашит Мигатович; Горячев Владимир Михайлович; Агафонов Леонид Иванович; Гурская Марина Анатольевна; Мартинес Наваррете Мария Исабель; Карпухин Алексей Александрович; Тарабардина Ольга Альбертовна; Вознесенская Галина Алексеевна; Рындина Наталия Вадимовна; Гошек Иржи; Конькова Людмила Викторовна; Лебедева Елена Юрьевна; Спиридонова Елена Александровна; Алешинская Анна Сергеевна; Кочанова Мария Дмитриевна,Археология и естественнонаучные методы. Сб. статей,2005,Археобиологические методы > Е.Ю. Лебедева Культурные растения Ростиславля: археоботанические материалы из дьяковского городища и древнерусского горо > Ростиславль Рязанский,842,"Среди последних преобладает мягкая голозерная пшеница Triticum aestivum s.l. (9,5 %).",B,c1230,"Ростиславль Рязанский — лесная зона Руси, не Новгород; домонгольский слой вт. пол. XII — перв. пол. XIII в.",scholarly,
cultivated_plants,пшеница двузернянка,Triticum dicoccum,presence_in_region,"Несколько зерновок пленчатой пшеницы-двузернянки (3,4%) в домонгольском слое",315166,Завьялов Владимир Игоревич; Розанова Людмила Семёновна; Терехова Наталья Николаевна; Антипина Екатерина Евстафьевна; Черных Евгений Николаевич; Гайдуков Пётр Григорьевич; Черных Наталья Борисовна; Шиятов Степан Григорьевич; Хантемиров Рашит Мигатович; Горячев Владимир Михайлович; Агафонов Леонид Иванович; Гурская Марина Анатольевна; Мартинес Наваррете Мария Исабель; Карпухин Алексей Александрович; Тарабардина Ольга Альбертовна; Вознесенская Галина Алексеевна; Рындина Наталия Вадимовна; Гошек Иржи; Конькова Людмила Викторовна; Лебедева Елена Юрьевна; Спиридонова Елена Александровна; Алешинская Анна Сергеевна; Кочанова Мария Дмитриевна,Археология и естественнонаучные методы. Сб. статей,2005,Археобиологические методы > Е.Ю. Лебедева Культурные растения Ростиславля: археоботанические материалы из дьяковского городища и древнерусского горо > Ростиславль Рязанский,842,"Зафиксировано также несколько зерновок пленчатой пшеницы двузернянки Triticum dicoccum (3,4 %) и еще две зерновки определены только до родового уровня Triticum spec. (1,7 %).",B,c1230,"Ростиславль Рязанский — лесная зона Руси, не Новгород; домонгольский слой вт. пол. XII — перв. пол. XIII в.",scholarly,
cultivated_plants,ячмень,Hordeum vulgare,presence_in_region,"Пленчатый многорядный ячмень ~17,2% спектра домонгольского Ростиславля",315166,Завьялов Владимир Игоревич; Розанова Людмила Семёновна; Терехова Наталья Николаевна; Антипина Екатерина Евстафьевна; Черных Евгений Николаевич; Гайдуков Пётр Григорьевич; Черных Наталья Борисовна; Шиятов Степан Григорьевич; Хантемиров Рашит Мигатович; Горячев Владимир Михайлович; Агафонов Леонид Иванович; Гурская Марина Анатольевна; Мартинес Наваррете Мария Исабель; Карпухин Алексей Александрович; Тарабардина Ольга Альбертовна; Вознесенская Галина Алексеевна; Рындина Наталия Вадимовна; Гошек Иржи; Конькова Людмила Викторовна; Лебедева Елена Юрьевна; Спиридонова Елена Александровна; Алешинская Анна Сергеевна; Кочанова Мария Дмитриевна,Археология и естественнонаучные методы. Сб. статей,2005,Археобиологические методы > Е.Ю. Лебедева Культурные растения Ростиславля: археоботанические материалы из дьяковского городища и древнерусского горо > Ростиславль Рязанский,842,"С небольшим преимуществом лидирует в нем овес Avena sativa (20,7 %), далее следуют рожь Secale cereale (19,8 %), просо (19 %), пленчатый многорядный ячмень Hordeum vulgare, vulgare (17,2 %) и пшеницы",B,c1230,"Ростиславль Рязанский — лесная зона Руси, не Новгород; домонгольский слой вт. пол. XII — перв. пол. XIII в.",scholarly,
cultivated_plants,просо,Panicum miliaceum,presence_in_region,Просо обыкновенное встречается на каждом втором памятнике лесной зоны домонгольской Руси,315166,Завьялов Владимир Игоревич; Розанова Людмила Семёновна; Терехова Наталья Николаевна; Антипина Екатерина Евстафьевна; Черных Евгений Николаевич; Гайдуков Пётр Григорьевич; Черных Наталья Борисовна; Шиятов Степан Григорьевич; Хантемиров Рашит Мигатович; Горячев Владимир Михайлович; Агафонов Леонид Иванович; Гурская Марина Анатольевна; Мартинес Наваррете Мария Исабель; Карпухин Алексей Александрович; Тарабардина Ольга Альбертовна; Вознесенская Галина Алексеевна; Рындина Наталия Вадимовна; Гошек Иржи; Конькова Людмила Викторовна; Лебедева Елена Юрьевна; Спиридонова Елена Александровна; Алешинская Анна Сергеевна; Кочанова Мария Дмитриевна,Археология и естественнонаучные методы. Сб. статей,2005,Археобиологические методы > Е.Ю. Лебедева Культурные растения Ростиславля: археоботанические материалы из дьяковского городища и древнерусского горо > Ростиславль Рязанский,857,"Так, например, просо, встречающееся на каждом втором памятнике лесной зоны домонгольской Руси, в известной книге Н.А.",B,c1230,лесная зона Руси в целом,scholarly,
cultivated_plants,чечевица,Lens culinaris,presence_in_region,В домонгольском слое Ростиславля найдено одно семя чечевицы; бобовые редки,315166,Завьялов Владимир Игоревич; Розанова Людмила Семёновна; Терехова Наталья Николаевна; Антипина Екатерина Евстафьевна; Черных Евгений Николаевич; Гайдуков Пётр Григорьевич; Черных Наталья Борисовна; Шиятов Степан Григорьевич; Хантемиров Рашит Мигатович; Горячев Владимир Михайлович; Агафонов Леонид Иванович; Гурская Марина Анатольевна; Мартинес Наваррете Мария Исабель; Карпухин Алексей Александрович; Тарабардина Ольга Альбертовна; Вознесенская Галина Алексеевна; Рындина Наталия Вадимовна; Гошек Иржи; Конькова Людмила Викторовна; Лебедева Елена Юрьевна; Спиридонова Елена Александровна; Алешинская Анна Сергеевна; Кочанова Мария Дмитриевна,Археология и естественнонаучные методы. Сб. статей,2005,Археобиологические методы > Е.Ю. Лебедева Культурные растения Ростиславля: археоботанические материалы из дьяковского городища и древнерусского горо > Ростиславль Рязанский,844,"Из бобовых растений в образцах домонгольской группы обнаружено единственное семя чечевицы Lens culinaris', а из технических культур — девять семян льна Linum usita-tissimum (7,8 %), найденных вместе",B,c1230,"Ростиславль Рязанский — лесная зона Руси, не Новгород; домонгольский слой вт. пол. XII — перв. пол. XIII в.; единичная находка",scholarly,
cultivated_plants,лён,Linum usitatissimum,presence_in_region,Девять семян льна в одной пробе домонгольского Ростиславля,315166,Завьялов Владимир Игоревич; Розанова Людмила Семёновна; Терехова Наталья Николаевна; Антипина Екатерина Евстафьевна; Черных Евгений Николаевич; Гайдуков Пётр Григорьевич; Черных Наталья Борисовна; Шиятов Степан Григорьевич; Хантемиров Рашит Мигатович; Горячев Владимир Михайлович; Агафонов Леонид Иванович; Гурская Марина Анатольевна; Мартинес Наваррете Мария Исабель; Карпухин Алексей Александрович; Тарабардина Ольга Альбертовна; Вознесенская Галина Алексеевна; Рындина Наталия Вадимовна; Гошек Иржи; Конькова Людмила Викторовна; Лебедева Елена Юрьевна; Спиридонова Елена Александровна; Алешинская Анна Сергеевна; Кочанова Мария Дмитриевна,Археология и естественнонаучные методы. Сб. статей,2005,Археобиологические методы > Е.Ю. Лебедева Культурные растения Ростиславля: археоботанические материалы из дьяковского городища и древнерусского горо > Ростиславль Рязанский,844,"Из бобовых растений в образцах домонгольской группы обнаружено единственное семя чечевицы Lens culinaris', а из технических культур — девять семян льна Linum usita-tissimum (7,8 %), найденных вместе",B,c1230,"Ростиславль Рязанский — лесная зона Руси, не Новгород; домонгольский слой вт. пол. XII — перв. пол. XIII в.",scholarly,
cultivated_plants,горох,Pisum sativum,presence_in_region,"Семена гороха (2,3%) в образцах XIV в. Ростиславля",315166,Завьялов Владимир Игоревич; Розанова Людмила Семёновна; Терехова Наталья Николаевна; Антипина Екатерина Евстафьевна; Черных Евгений Николаевич; Гайдуков Пётр Григорьевич; Черных Наталья Борисовна; Шиятов Степан Григорьевич; Хантемиров Рашит Мигатович; Горячев Владимир Михайлович; Агафонов Леонид Иванович; Гурская Марина Анатольевна; Мартинес Наваррете Мария Исабель; Карпухин Алексей Александрович; Тарабардина Ольга Альбертовна; Вознесенская Галина Алексеевна; Рындина Наталия Вадимовна; Гошек Иржи; Конькова Людмила Викторовна; Лебедева Елена Юрьевна; Спиридонова Елена Александровна; Алешинская Анна Сергеевна; Кочанова Мария Дмитриевна,Археология и естественнонаучные методы. Сб. статей,2005,Археобиологические методы > Е.Ю. Лебедева Культурные растения Ростиславля: археоботанические материалы из дьяковского городища и древнерусского горо > Ростиславль Рязанский,848,"Помимо чечевицы, доля которой составляет здесь 1,5 %, обнаружены и семена гороха Pisum sativum (2,3 %).",B,medieval_general,"Ростиславль Рязанский — лесная зона Руси, не Новгород; домонгольский слой вт. пол. XII — перв. пол. XIII в.; слой XIV в.",scholarly,
cultivated_plants,конопля,Cannabis sativa,presence_in_region,Два семени конопли в образцах XIV в. Ростиславля,315166,Завьялов Владимир Игоревич; Розанова Людмила Семёновна; Терехова Наталья Николаевна; Антипина Екатерина Евстафьевна; Черных Евгений Николаевич; Гайдуков Пётр Григорьевич; Черных Наталья Борисовна; Шиятов Степан Григорьевич; Хантемиров Рашит Мигатович; Горячев Владимир Михайлович; Агафонов Леонид Иванович; Гурская Марина Анатольевна; Мартинес Наваррете Мария Исабель; Карпухин Алексей Александрович; Тарабардина Ольга Альбертовна; Вознесенская Галина Алексеевна; Рындина Наталия Вадимовна; Гошек Иржи; Конькова Людмила Викторовна; Лебедева Елена Юрьевна; Спиридонова Елена Александровна; Алешинская Анна Сергеевна; Кочанова Мария Дмитриевна,Археология и естественнонаучные методы. Сб. статей,2005,Археобиологические методы > Е.Ю. Лебедева Культурные растения Ростиславля: археоботанические материалы из дьяковского городища и древнерусского горо > Ростиславль Рязанский,848,"Технические культуры кроме льна (1,5 %) представлены еще и двумя семенами конопли Cannabis sativa (0,4 %).",B,medieval_general,"Ростиславль Рязанский — лесная зона Руси, не Новгород; домонгольский слой вт. пол. XII — перв. пол. XIII в.; слой XIV в.",scholarly,
