domain,entity_ru,entity_latin,fact_type,value,book_id,authors,title,year,section_path,para_no,quote,confidence,period,note,book_type,flags
flora_trees_shrubs,сосна обыкновенная,Pinus sylvestris,use,Сосна — около половины (50 %) строительной древесины средневекового Новгорода по дендрообразцам,315166,Завьялов Владимир Игоревич; Розанова Людмила Семёновна; Терехова Наталья Николаевна; Антипина Екатерина Евстафьевна; Черных Евгений Николаевич; Гайдуков Пётр Григорьевич; Черных Наталья Борисовна; Шиятов Степан Григорьевич; Хантемиров Рашит Мигатович; Горячев Владимир Михайлович; Агафонов Леонид Иванович; Гурская Марина Анатольевна; Мартинес Наваррете Мария Исабель; Карпухин Алексей Александрович; Тарабардина Ольга Альбертовна; Вознесенская Галина Алексеевна; Рындина Наталия Вадимовна; Гошек Иржи; Конькова Людмила Викторовна; Лебедева Елена Юрьевна; Спиридонова Елена Александровна; Алешинская Анна Сергеевна; Кочанова Мария Дмитриевна,Археология и естественнонаучные методы. Сб. статей,2005,Археохронология > О.А. Тарабардина Дендрохронологические исследования в Новгороде в 1995–2003 гг.,293,Видовой состав строительной древесины Новгорода (рис. 3) характеризуется преобладанием мягких хвойных пород — сосны (50 %) и ели (48 %),B,c1230,"археологические раскопки Новгорода, X–XV вв.",scholarly,
flora_trees_shrubs,ель европейская,Picea abies,use,Ель — 48 % строительной древесины Новгорода; вместе с сосной основа срубов,315166,Завьялов Владимир Игоревич; Розанова Людмила Семёновна; Терехова Наталья Николаевна; Антипина Екатерина Евстафьевна; Черных Евгений Николаевич; Гайдуков Пётр Григорьевич; Черных Наталья Борисовна; Шиятов Степан Григорьевич; Хантемиров Рашит Мигатович; Горячев Владимир Михайлович; Агафонов Леонид Иванович; Гурская Марина Анатольевна; Мартинес Наваррете Мария Исабель; Карпухин Алексей Александрович; Тарабардина Ольга Альбертовна; Вознесенская Галина Алексеевна; Рындина Наталия Вадимовна; Гошек Иржи; Конькова Людмила Викторовна; Лебедева Елена Юрьевна; Спиридонова Елена Александровна; Алешинская Анна Сергеевна; Кочанова Мария Дмитриевна,Археология и естественнонаучные методы. Сб. статей,2005,Археохронология > О.А. Тарабардина Дендрохронологические исследования в Новгороде в 1995–2003 гг.,293,доля лиственных пород не превышает 2 %,B,c1230,лиственные породы в постройках Новгорода редки (<2 %),scholarly,
flora_trees_shrubs,ель европейская,Picea abies,use,"В Старой Руссе в постройках ели больше (59 %), чем сосны (35 %), лиственных (в основном дуб) ~6 %",315166,Завьялов Владимир Игоревич; Розанова Людмила Семёновна; Терехова Наталья Николаевна; Антипина Екатерина Евстафьевна; Черных Евгений Николаевич; Гайдуков Пётр Григорьевич; Черных Наталья Борисовна; Шиятов Степан Григорьевич; Хантемиров Рашит Мигатович; Горячев Владимир Михайлович; Агафонов Леонид Иванович; Гурская Марина Анатольевна; Мартинес Наваррете Мария Исабель; Карпухин Алексей Александрович; Тарабардина Ольга Альбертовна; Вознесенская Галина Алексеевна; Рындина Наталия Вадимовна; Гошек Иржи; Конькова Людмила Викторовна; Лебедева Елена Юрьевна; Спиридонова Елена Александровна; Алешинская Анна Сергеевна; Кочанова Мария Дмитриевна,Археология и естественнонаучные методы. Сб. статей,2005,Археохронология > О.А. Тарабардина Дендрохронологические исследования в Новгороде в 1995–2003 гг.,295,"В выборках строительной древесины из Старой Русы (рис. 5) доля ели (59 %) значительно выше, чем доля сосны (35 %)",B,c1230,"Старая Русса, XI–XIII вв.",scholarly,
flora_trees_shrubs,дуб черешчатый,Quercus robur,use,"Дуб в строительстве Новгорода использовался очень ограниченно, в основном в ранний период; единичные образцы XII–XV вв.",315166,Завьялов Владимир Игоревич; Розанова Людмила Семёновна; Терехова Наталья Николаевна; Антипина Екатерина Евстафьевна; Черных Евгений Николаевич; Гайдуков Пётр Григорьевич; Черных Наталья Борисовна; Шиятов Степан Григорьевич; Хантемиров Рашит Мигатович; Горячев Владимир Михайлович; Агафонов Леонид Иванович; Гурская Марина Анатольевна; Мартинес Наваррете Мария Исабель; Карпухин Алексей Александрович; Тарабардина Ольга Альбертовна; Вознесенская Галина Алексеевна; Рындина Наталия Вадимовна; Гошек Иржи; Конькова Людмила Викторовна; Лебедева Елена Юрьевна; Спиридонова Елена Александровна; Алешинская Анна Сергеевна; Кочанова Мария Дмитриевна,Археология и естественнонаучные методы. Сб. статей,2005,Археохронология > О.А. Тарабардина Дендрохронологические исследования в Новгороде в 1995–2003 гг.,296,"в Новгороде дуб использовался в строительстве в очень ограниченном количестве и, в основном, в ранний период",B,c1230,,scholarly,
flora_trees_shrubs,сосна обыкновенная,Pinus sylvestris,use,Новгородцы строили в основном из молодых деревьев до 100 лет; старые деревья >100 лет — 21 % выборки,315166,Завьялов Владимир Игоревич; Розанова Людмила Семёновна; Терехова Наталья Николаевна; Антипина Екатерина Евстафьевна; Черных Евгений Николаевич; Гайдуков Пётр Григорьевич; Черных Наталья Борисовна; Шиятов Степан Григорьевич; Хантемиров Рашит Мигатович; Горячев Владимир Михайлович; Агафонов Леонид Иванович; Гурская Марина Анатольевна; Мартинес Наваррете Мария Исабель; Карпухин Алексей Александрович; Тарабардина Ольга Альбертовна; Вознесенская Галина Алексеевна; Рындина Наталия Вадимовна; Гошек Иржи; Конькова Людмила Викторовна; Лебедева Елена Юрьевна; Спиридонова Елена Александровна; Алешинская Анна Сергеевна; Кочанова Мария Дмитриевна,Археология и естественнонаучные методы. Сб. статей,2005,Археохронология > О.А. Тарабардина Дендрохронологические исследования в Новгороде в 1995–2003 гг.,298,"новгородцы использовали, в основном, молодое дерево возрастом до 100 лет",B,c1230,относится к хвойной строительной древесине,scholarly,
flora_trees_shrubs,сосна обыкновенная,Pinus sylvestris,other,"С XII в. доля многолетних (>100 лет) деревьев в застройке растёт, особенно во 2-й пол. XIII–XV вв.",315166,Завьялов Владимир Игоревич; Розанова Людмила Семёновна; Терехова Наталья Николаевна; Антипина Екатерина Евстафьевна; Черных Евгений Николаевич; Гайдуков Пётр Григорьевич; Черных Наталья Борисовна; Шиятов Степан Григорьевич; Хантемиров Рашит Мигатович; Горячев Владимир Михайлович; Агафонов Леонид Иванович; Гурская Марина Анатольевна; Мартинес Наваррете Мария Исабель; Карпухин Алексей Александрович; Тарабардина Ольга Альбертовна; Вознесенская Галина Алексеевна; Рындина Наталия Вадимовна; Гошек Иржи; Конькова Людмила Викторовна; Лебедева Елена Юрьевна; Спиридонова Елена Александровна; Алешинская Анна Сергеевна; Кочанова Мария Дмитриевна,Археология и естественнонаучные методы. Сб. статей,2005,Археохронология > О.А. Тарабардина Дендрохронологические исследования в Новгороде в 1995–2003 гг.,299,"начиная с XII века, оно постепенно возрастает",B,c1230,fact_type other: возраст рубимого леса,scholarly,
flora_trees_shrubs,дуб черешчатый,Quercus robur,use,На Владычном дворе Новгородского кремля найдены остатки дубовой крепостной стены,315166,Завьялов Владимир Игоревич; Розанова Людмила Семёновна; Терехова Наталья Николаевна; Антипина Екатерина Евстафьевна; Черных Евгений Николаевич; Гайдуков Пётр Григорьевич; Черных Наталья Борисовна; Шиятов Степан Григорьевич; Хантемиров Рашит Мигатович; Горячев Владимир Михайлович; Агафонов Леонид Иванович; Гурская Марина Анатольевна; Мартинес Наваррете Мария Исабель; Карпухин Алексей Александрович; Тарабардина Ольга Альбертовна; Вознесенская Галина Алексеевна; Рындина Наталия Вадимовна; Гошек Иржи; Конькова Людмила Викторовна; Лебедева Елена Юрьевна; Спиридонова Елена Александровна; Алешинская Анна Сергеевна; Кочанова Мария Дмитриевна,Археология и естественнонаучные методы. Сб. статей,2005,Археохронология > О.А. Тарабардина Дендрохронологические исследования в Новгороде в 1995–2003 гг.,305,остатки дубовой крепостной стены,B,c1230,датировка комплекса в абзаце не уточнена,scholarly,
flora_trees_shrubs,ель европейская,Picea abies,habitat,"Ельники-кисличники типичны на озерно-ледниковых глинах и суглинках Приильменья, на песках — ельники-зеленомошники",315166,Завьялов Владимир Игоревич; Розанова Людмила Семёновна; Терехова Наталья Николаевна; Антипина Екатерина Евстафьевна; Черных Евгений Николаевич; Гайдуков Пётр Григорьевич; Черных Наталья Борисовна; Шиятов Степан Григорьевич; Хантемиров Рашит Мигатович; Горячев Владимир Михайлович; Агафонов Леонид Иванович; Гурская Марина Анатольевна; Мартинес Наваррете Мария Исабель; Карпухин Алексей Александрович; Тарабардина Ольга Альбертовна; Вознесенская Галина Алексеевна; Рындина Наталия Вадимовна; Гошек Иржи; Конькова Людмила Викторовна; Лебедева Елена Юрьевна; Спиридонова Елена Александровна; Алешинская Анна Сергеевна; Кочанова Мария Дмитриевна,Археология и естественнонаучные методы. Сб. статей,2005,"Археобиологические методы > Е. А. Спиридонова, А. С. Алешинская, М. Д. Кочанова Особенности природной среды в окрестностях Рюрикова городища и возде",956,На озерно-ледниковых глинах и суглинках наиболее типичны ельники кисличники.,B,modern_reference,"Приильменье (окрестности Новгорода), современная растительность",scholarly,
flora_trees_shrubs,рябина обыкновенная,Sorbus aucuparia,habitat,"В подлеске сложных ельников Приильменья растут рябина, жимолость, шиповник",315166,Завьялов Владимир Игоревич; Розанова Людмила Семёновна; Терехова Наталья Николаевна; Антипина Екатерина Евстафьевна; Черных Евгений Николаевич; Гайдуков Пётр Григорьевич; Черных Наталья Борисовна; Шиятов Степан Григорьевич; Хантемиров Рашит Мигатович; Горячев Владимир Михайлович; Агафонов Леонид Иванович; Гурская Марина Анатольевна; Мартинес Наваррете Мария Исабель; Карпухин Алексей Александрович; Тарабардина Ольга Альбертовна; Вознесенская Галина Алексеевна; Рындина Наталия Вадимовна; Гошек Иржи; Конькова Людмила Викторовна; Лебедева Елена Юрьевна; Спиридонова Елена Александровна; Алешинская Анна Сергеевна; Кочанова Мария Дмитриевна,Археология и естественнонаучные методы. Сб. статей,2005,"Археобиологические методы > Е. А. Спиридонова, А. С. Алешинская, М. Д. Кочанова Особенности природной среды в окрестностях Рюрикова городища и возде",956,"В подлеске встречается рябина, жимолость, шиповник.",B,modern_reference,Приильменье,scholarly,
flora_trees_shrubs,жимолость лесная,Lonicera xylosteum,habitat,Жимолость — в подлеске сложных ельников Приильменья,315166,Завьялов Владимир Игоревич; Розанова Людмила Семёновна; Терехова Наталья Николаевна; Антипина Екатерина Евстафьевна; Черных Евгений Николаевич; Гайдуков Пётр Григорьевич; Черных Наталья Борисовна; Шиятов Степан Григорьевич; Хантемиров Рашит Мигатович; Горячев Владимир Михайлович; Агафонов Леонид Иванович; Гурская Марина Анатольевна; Мартинес Наваррете Мария Исабель; Карпухин Алексей Александрович; Тарабардина Ольга Альбертовна; Вознесенская Галина Алексеевна; Рындина Наталия Вадимовна; Гошек Иржи; Конькова Людмила Викторовна; Лебедева Елена Юрьевна; Спиридонова Елена Александровна; Алешинская Анна Сергеевна; Кочанова Мария Дмитриевна,Археология и естественнонаучные методы. Сб. статей,2005,"Археобиологические методы > Е. А. Спиридонова, А. С. Алешинская, М. Д. Кочанова Особенности природной среды в окрестностях Рюрикова городища и возде",956,"В подлеске встречается рябина, жимолость, шиповник.",B,modern_reference,вид жимолости в источнике не указан,scholarly,
