domain,entity_ru,entity_latin,fact_type,value,book_id,authors,title,year,section_path,para_no,quote,confidence,period,note,book_type,flags
dishes_meals_preservation,голод 1230 г. в Новгороде,,price,"Голод 1230: хлеб по 8 кун, кадь ржи 2 гривны (на дворах 25), пшеница 40 гривен, пшено 30, овёс 13",301539,Погодин Михаил Петрович,Древняя русская история до монгольского ига. Том 2,1999,ВТОРОЕ НАШЕСТВИЕ,4391,"Хлеб продавался по 8 кун, кадь ржи по 2 гривны, а на дворах по 25, пшеница по 40 гривен, пшено по 30, овес по 13.",B,c1230,Пересказ НПЛ 1230 г.; цифра «кадь по 2 гривны» у Погодина в других местах дана как 20 — вероятна опечатка,scholarly,
dishes_meals_preservation,голод 1230 г. в Новгороде,,event,"Ранний мороз на Воздвиженье (14 сент.) погубил хлеб, цены выросли ещё больше",301539,Погодин Михаил Петрович,Древняя русская история до монгольского ига. Том 2,1999,ВТОРОЕ НАШЕСТВИЕ,4391,"На Воздвиженье мороз избил весь хлеб, и он вздорожал еще больше прежнего.",B,c1230,НПЛ под 1230 г.,scholarly,
dishes_meals_preservation,голодные заменители пищи,,taboo_or_custom,"В голод 1230-31 гг. ели мох, жёлуди, сосну, ильмовый лист, липовую кору, нечистых животных; доходило до людоедства",301539,Погодин Михаил Петрович,Древняя русская история до монгольского ига. Том 2,1999,ВТОРОЕ НАШЕСТВИЕ,4393,"Жители употребляли в пищу мох, желуди, сосну, ильмовый лист, кору липовую, нечистых животных, — доходило до человекоубийства.",B,c1230,famine_substitute для 1230,scholarly,
dishes_meals_preservation,голод 1230 г. в Новгороде,,event,"Голод прекратился, когда «немцы» привезли жито и муку",301539,Погодин Михаил Петрович,Древняя русская история до монгольского ига. Том 2,1999,ВТОРОЕ НАШЕСТВИЕ,4394,"Но Бог умилостивился, немцы прибежали с житом и мукой, и город ожил.",B,c1230,импорт зерна из-за моря в голод 1231 г.,scholarly,
dishes_meals_preservation,голод 1230 г. в Новгороде,,quantity,За голодом последовал мор; в скудельницу у Прусской ул. свезли 3030 тел,301539,Погодин Михаил Петрович,Древняя русская история до монгольского ига. Том 2,1999,ВТОРОЕ НАШЕСТВИЕ,4392,В короткое время навезено было 3030.,B,c1230,,scholarly,
dishes_meals_preservation,голод 1230 г. в Новгороде,,social_rule,"В голод родители отдавали детей купцам в холопство «из хлеба»; поджигали дома, где подозревали рожь",301539,Погодин Михаил Петрович,Древняя русская история до монгольского ига. Том 2,1999,ВТОРОЕ НАШЕСТВИЕ,4393,"Иные злые люди зажигали дома, где предполагалась рожь.",B,c1230,,scholarly,
food_ingredients,рожь,Secale cereale,price,Цена 1230 г.: кадь ржи по 20 гривен (по Прозоровскому),301539,Погодин Михаил Петрович,Древняя русская история до монгольского ига. Том 2,1999,"ЦЕНЫ, ПЕНИ",1264,Кадь ржи по 20 10 200 — 1200 2 11/32 ф. 53 1/3,B,c1230,таблица цен по НПЛ,scholarly,
food_ingredients,пшеница,Triticum aestivum,price,Цена 1230 г.: пшеница по 40 гривен за кадь,301539,Погодин Михаил Петрович,Древняя русская история до монгольского ига. Том 2,1999,"ЦЕНЫ, ПЕНИ",1266,Пшеницы 40 20 400 — 2400 4 11/16 ф. 106 2/3,B,c1230,голодная цена,scholarly,
food_ingredients,пшено (просо),Panicum miliaceum,price,"Цена 1230 г.: пшено 50 гривен (в таблице), в тексте 30",301539,Погодин Михаил Петрович,Древняя русская история до монгольского ига. Том 2,1999,"ЦЕНЫ, ПЕНИ",1267,Пшена 50 25 500 — 3000 5 7/8 ф. 133 1/3,B,c1230,расхождение с текстом Погодина (30),scholarly,
food_ingredients,овёс,Avena sativa,price,Цена 1230 г.: овёс по 13 гривен,301539,Погодин Михаил Петрович,Древняя русская история до монгольского ига. Том 2,1999,"ЦЕНЫ, ПЕНИ",1268,Овса по 13 6 1/2 130–780 1 67/128 ф. 34 2/3,B,c1230,,scholarly,
food_ingredients,хлеб печёный,,price,Цена 1230 г.: хлеб (каравай) по 8 кун,301539,Погодин Михаил Петрович,Древняя русская история до монгольского ига. Том 2,1999,"ЦЕНЫ, ПЕНИ",1263,Хлеб по 8 к. — 3 20 16–71 1/9,B,c1230,,scholarly,
food_ingredients,рожь,Secale cereale,price,Цена 1228 г. (неурожай): кадь ржи 3 гривны; хлеб по 2 куны,301539,Погодин Михаил Петрович,Древняя русская история до монгольского ига. Том 2,1999,"ЦЕНЫ, ПЕНИ",1260,Кадь ржи 3 1 1/2 30 — 180 33 3/4 з. 8 -,B,c1230,для сравнения с «нормальными» и голодными годами,scholarly,
