domain,entity_ru,entity_latin,fact_type,value,book_id,authors,title,year,section_path,para_no,quote,confidence,period,note,book_type,flags
historical_events,землетрясение 1230 г.,,event,3 мая 1230 г. в Новгороде и по всей Руси было землетрясение,667380,Экземплярский Андрей Васильевич,Великие князья Владимирские и Владимиро-Московские. Великие и удельные князья Северной Руси в татарский период с 1238 по 1505 г.,2019,Приложение 2 Свод летописных известий о Новгородской земле в хронологическом порядке за период времени от 1230 г. до пад,486,3 мая в Новгороде и по всей Руси было землетрясение,B,c1230,летописная хронология по НПЛ в пересказе Экземплярского,reference,
historical_figures,"Спиридон, архиепископ новгородский",,dating,Спиридон вернулся в Новгород с поставления 19 мая 1230 г.,667380,Экземплярский Андрей Васильевич,Великие князья Владимирские и Владимиро-Московские. Великие и удельные князья Северной Руси в татарский период с 1238 по 1505 г.,2019,Приложение 2 Свод летописных известий о Новгородской земле в хронологическом порядке за период времени от 1230 г. до пад,486,а 19-го в Новгород вернулся с поставления архиепископ Спиридон,B,c1230,летописная хронология по НПЛ в пересказе Экземплярского,reference,
historical_events,усобица Степана Твердиславича и Водовика 1230,,event,"1230: распря Степана Твердиславича (с боярином Иваном Тимошкиничем) и посадника Внезда Водовика; вече на Водовика, двор разграблен",667380,Экземплярский Андрей Васильевич,Великие князья Владимирские и Владимиро-Московские. Великие и удельные князья Северной Руси в татарский период с 1238 по 1505 г.,2019,Приложение 2 Свод летописных известий о Новгородской земле в хронологическом порядке за период времени от 1230 г. до пад,486,"Разгорелась распря между Степаном Твердиславичем, чью сторону держал боярин Иван Тимошкинич (Иванко), и посадником Внездом (Незд) Водовиком",B,c1230,летописная хронология по НПЛ в пересказе Экземплярского,reference,
historical_events,мороз на Воздвижение 1230 (начало голода),,event,"14 сент. 1230 (Воздвижение) мороз побил озимые, цены на всё резко поднялись",667380,Экземплярский Андрей Васильевич,Великие князья Владимирские и Владимиро-Московские. Великие и удельные князья Северной Руси в татарский период с 1238 по 1505 г.,2019,Приложение 2 Свод летописных известий о Новгородской земле в хронологическом порядке за период времени от 1230 г. до пад,486,"На Воздвижение мороз побил озими («обилие»), и на все необыкновенно поднялись цены.",B,c1230,летописная хронология по НПЛ в пересказе Экземплярского,reference,
historical_events,бегство Водовика в Чернигов 1230,,event,"8 дек. 1230 (воскресенье) посадник Водовик с княжичем Ростиславом уехал в Торжок; на другой день в Новгороде убит Семён Борисович, разграблены дворы и сёла Водовика и его сторонников; они бежали в Чернигов",301539,Погодин Михаил Петрович,Древняя русская история до монгольского ига. Том 2,1999,ПРОДОЛЖЕНИЕ МЕЖДОУСОБИЙ,4366,"Зимою, 8-го декабря, в воскресенье, посадник Водовик отъехал в Торжок с княжичем Ростиславом.",B,c1230,Погодин по НПЛ; год 1230 — из контекста (301539/4361); у Экземплярского (667380/486) ошибочно «9 декабря»; 9 дек. — день восстания,scholarly,
historical_figures,"Борис, тысяцкий",,other,тысяцкий Борис бежал в 1230 г. с Водовиком из Торжка в Чернигов,667380,Экземплярский Андрей Васильевич,Великие князья Владимирские и Владимиро-Московские. Великие и удельные князья Северной Руси в татарский период с 1238 по 1505 г.,2019,Приложение 2 Свод летописных известий о Новгородской земле в хронологическом порядке за период времени от 1230 г. до пад,486,Водовик со своими приверженцами и тысяцкий Борис бежали из Торжка в Чернигов,B,c1230,fact_type other: смена должности/бегство; летописная хронология по НПЛ в пересказе Экземплярского,reference,
historical_figures,"Степан Твердиславич, посадник",,dating,"в 1230 г. посадником избран Степан Твердиславич, тысяцким — Никита Петрилович",667380,Экземплярский Андрей Васильевич,Великие князья Владимирские и Владимиро-Московские. Великие и удельные князья Северной Руси в татарский период с 1238 по 1505 г.,2019,Приложение 2 Свод летописных известий о Новгородской земле в хронологическом порядке за период времени от 1230 г. до пад,486,"В Новгороде избрали в посадники Степана Твердиславича, а в тысяцкие — Никиту Петриловича.",B,c1230,летописная хронология по НПЛ в пересказе Экземплярского,reference,
historical_figures,"Никита Петрилович, тысяцкий",,dating,избран тысяцким в 1230 г.,667380,Экземплярский Андрей Васильевич,Великие князья Владимирские и Владимиро-Московские. Великие и удельные князья Северной Руси в татарский период с 1238 по 1505 г.,2019,Приложение 2 Свод летописных известий о Новгородской земле в хронологическом порядке за период времени от 1230 г. до пад,486,а в тысяцкие — Никиту Петриловича,B,c1230,летописная хронология по НПЛ в пересказе Экземплярского,reference,
historical_events,изгнание Ростислава Михайловича 1230,,event,"Михаил Черниговский обещал прийти к Воздвижению, не явился до Николина дня; Ростиславу «показали путь» из Торжка",667380,Экземплярский Андрей Васильевич,Великие князья Владимирские и Владимиро-Московские. Великие и удельные князья Северной Руси в татарский период с 1238 по 1505 г.,2019,Приложение 2 Свод летописных известий о Новгородской земле в хронологическом порядке за период времени от 1230 г. до пад,486,Ростиславу показали путь из Торжка в Чернигов,B,c1230,летописная хронология по НПЛ в пересказе Экземплярского,reference,
historical_figures,Фёдор и Александр Ярославичи,,event,"Ярослав уехал в Переяславль через две недели, оставив в Новгороде сыновей Фёдора и Александра",667380,Экземплярский Андрей Васильевич,Великие князья Владимирские и Владимиро-Московские. Великие и удельные князья Северной Руси в татарский период с 1238 по 1505 г.,2019,Приложение 2 Свод летописных известий о Новгородской земле в хронологическом порядке за период времени от 1230 г. до пад,486,а в Новгороде оставил сыновей Федора и Александра (впоследствии Невский),B,c1230,летописная хронология по НПЛ в пересказе Экземплярского,reference,
