domain,entity_ru,entity_latin,fact_type,value,book_id,authors,title,year,section_path,para_no,quote,confidence,period,note,book_type,flags
speech_address,формула «поклон от X к Y»,,name_form,Стандартная адресная формула письма: «Поклон от <отправителя> к <адресату>» (здесь от игуменьи к мирянке),641351,Коллектив авторов,"Том 4 (XII век, литература эпохи «Слова о полку Игореве»)",2004,БЕРЕСТЯНЫЕ ГРАМОТЫ > ПЕРЕВОД,2966,Поклон от игуменьи к Офросении.,A,c1230,"Берестяная грамота № 717, XII в.; перевод БЛДР",primary_source,
speech_address,формула «От X к Y»,,name_form,Самая краткая адресная формула без поклона: «От <отправителя> к <адресату>»,641351,Коллектив авторов,"Том 4 (XII век, литература эпохи «Слова о полку Игореве»)",2004,БЕРЕСТЯНЫЕ ГРАМОТЫ > ПЕРЕВОД,2921,От Жировита к Стояну.,A,medieval_general,"Грамота № 246, XI в.; деловое/угрожающее письмо без этикетного поклона",primary_source,
speech_address,формула «Грамота от X к Y»,,name_form,"Вариант зачина «Грамота от <отправителя> к <адресату>», в т.ч. сына к родителям",641351,Коллектив авторов,"Том 4 (XII век, литература эпохи «Слова о полку Игореве»)",2004,БЕРЕСТЯНЫЕ ГРАМОТЫ > ПЕРЕВОД,2937,Грамота от Гюргия к отцу и к матери.,A,c1230,"Грамота № 424, XII в.",primary_source,
speech_address,приветствие в конце письма,,name_form,Письма могли завершаться формулой приветствия («Приветствую тебя»),641351,Коллектив авторов,"Том 4 (XII век, литература эпохи «Слова о полку Игореве»)",2004,БЕРЕСТЯНЫЕ ГРАМОТЫ > ПЕРЕВОД,2968,Приветствую тебя.,A,c1230,Грамота № 682; письмо монахини к монахине,primary_source,
speech_address,обращение «госпожа моя»,,name_form,Женщина к женщине в вежливой просьбе обращается «госпожа моя»,641351,Коллектив авторов,"Том 4 (XII век, литература эпохи «Слова о полку Игореве»)",2004,БЕРЕСТЯНЫЕ ГРАМОТЫ > ПЕРЕВОД,2968,"Да еще прошу тебя, госпожа моя: пусть он поскорее выдаст соленье и <свежих> рыбок.",A,c1230,Грамота № 682,primary_source,
speech_address,обращение «господин брат»,,name_form,"Сестра к брату в просьбе о заступничестве: «Господин брат», «господин братец»",641351,Коллектив авторов,"Том 4 (XII век, литература эпохи «Слова о полку Игореве»)",2004,БЕРЕСТЯНЫЕ ГРАМОТЫ > ПЕРЕВОД,2984,"Господин брат, вступись за меня перед Кос-нятином в моем деле.",A,c1230,"Грамота № 531, рубеж XII–XIII вв.",primary_source,
speech_address,"бранные слова «курва», «блядь»",,social_rule,Оскорбления женщин словами «курва» и «блядь» становились поводом для судебного разбирательства и изгнания из дома,641351,Коллектив авторов,"Том 4 (XII век, литература эпохи «Слова о полку Игореве»)",2004,БЕРЕСТЯНЫЕ ГРАМОТЫ > ПЕРЕВОД,2984,"назвал сестру мою курвою, а дочь блядью, теперь Федор, приехавши и услышав об этом обвинении, выгнал сестру мою и хотел убить».",A,c1230,Грамота № 531; словесное оскорбление чести женщины = юридически значимое обвинение,primary_source,
speech_address,клятвенная формула самопроклятия,,name_form,"Клятва-самопроклятие: «если найдутся свидетели — я тебе не сестра, а мужу не жена! Ты же меня и убей»",641351,Коллектив авторов,"Том 4 (XII век, литература эпохи «Слова о полку Игореве»)",2004,БЕРЕСТЯНЫЕ ГРАМОТЫ > ПЕРЕВОД,2984,"я тебе не сестра, а мужу не жена!",A,c1230,Грамота № 531,primary_source,
speech_address,угроза отречения от родства,,name_form,Угроза разрыва родства «тогда я вам не сестра» как эмоциональный аргумент,641351,Коллектив авторов,"Том 4 (XII век, литература эпохи «Слова о полку Игореве»)",2004,БЕРЕСТЯНЫЕ ГРАМОТЫ > ПЕРЕВОД,2939,"А тогда я вам не сестра, если вы так поступаете, не исполняете для меня ничего!",A,c1230,"Грамота № 644, XII в.; женщина к ремесленнику",primary_source,
speech_address,"примирительная формула «Ты мой, а я твой»",,name_form,"Формула дружбы-примирения между монахами: «кланяюсь тебе, братец мой... Ты мой, а я твой»",641351,Коллектив авторов,"Том 4 (XII век, литература эпохи «Слова о полку Игореве»)",2004,БЕРЕСТЯНЫЕ ГРАМОТЫ > ПЕРЕВОД,2935,"Ты мой, а я твой.",A,c1230,"Грамота № 605, 1-я пол. XII в.; литературная эпистола монаха",primary_source,
