domain,entity_ru,entity_latin,fact_type,value,book_id,authors,title,year,section_path,para_no,quote,confidence,period,note,book_type,flags
household_items,лавка,,use,"Встроенные в стены лавки днём служили для сидения, ночью как ложе",624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,Глава 1 Интерьер древнерусского жилища > Предметы жилого помещения А.С. Хорошев,53,"Днем они использовались для сидения, а ночью как ложе.",B,c1230,,scholarly,
household_items,поставец (посудная полка),,use,"Поставцы: на нижних полках держали массивную посуду, на верхних — мелкую",624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,Глава 1 Интерьер древнерусского жилища > Предметы жилого помещения А.С. Хорошев,56,"На нижних полках держали массивную посуду, на верхних — мелкую",B,c1230,"ссылка на Костомарова, позднее описание",scholarly,
household_items,ложечник (лжичник),,description,Достоверно известны специальные полочки для хранения деревянных ложек и переносные стояны для ложек,624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,Глава 1 Интерьер древнерусского жилища > Предметы жилого помещения А.С. Хорошев,59,"Помимо стационарных лжичников, использовались и переносные стояны для ложек.",B,c1230,,scholarly,
household_items,крюк-спица настенный,,description,"Деревянные крюки-вешалки (клин или палка с сучком) для одежды, утвари, сбруи; часто в форме птичьих головок, звериных мордочек, личин",624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,Глава 1 Интерьер древнерусского жилища > Предметы жилого помещения А.С. Хорошев,60,"Им часто придавали форму птичьих головок, звериных мордочек и даже человеческих личин.",B,c1230,,scholarly,
household_items,скамья переносная,,material,"Спинки скамей делали из тонких липовых досок, пришитых лозой к брусьям или на балясинах",624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,Глава 1 Интерьер древнерусского жилища > Предметы жилого помещения А.С. Хорошев,61,"Их делали из тонких липовых досок, которые затем пришивались лозой к брусьям спинки скамьи либо прикреплялись балясинами.",B,c1230,,scholarly,
household_items,стол,,description,"Съёмная массивная столешница из подогнанных досок, края выступают за подстолье; место стола — передний угол",624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,Глава 1 Интерьер древнерусского жилища > Предметы жилого помещения А.С. Хорошев,64,"Массивная столешница из плотно скрепленных, хорошо подогнанных досок всегда делалась съемной.",B,c1230,реконструкция по этнографии и иконографии,scholarly,
household_items,табурет-стул,,description,"Новгородские табуреты-стулья из четырёх гнутых прутьев с пазами, кубический остов, сверху доски",624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,Глава 1 Интерьер древнерусского жилища > Предметы жилого помещения А.С. Хорошев,66,Подобные стулья делали из четырех гнутых прутьев со специальными пазами.,B,c1230,,scholarly,
household_items,кровать,,social_rule,"Кровать — редкость, вероятно роскошь знати",624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,Глава 1 Интерьер древнерусского жилища > Предметы жилого помещения А.С. Хорошев,69,"Вероятно, подобные предметы были роскошью, доступной только знати.",B,c1230,,scholarly,
household_items,колыбель (зыбка),,description,"Люлька подвешена на гибком шесте (оцепе); ящик без дна из луба или рама, дно из холста, бересты или луба",624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,Глава 1 Интерьер древнерусского жилища > Предметы жилого помещения А.С. Хорошев,70,"Вместо дна натягивали холст, бересту или луб.",B,c1230,,scholarly,
household_items,кубел,,description,"Кубел — высокая узкая долблёная кадка с ушками, крышкой и проушиной; хранилища запирали на замок, украшали резьбой",624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,Глава 1 Интерьер древнерусского жилища > Предметы жилого помещения А.С. Хорошев,73,"Деревянные хранилища закрывались на замок (табл. 1, 16, 19, 20), а их плоскости (стенки и крышки) украшались снаружи резным рисунком (табл. 1, 18).",B,c1230,,scholarly,
