domain,entity_ru,entity_latin,fact_type,value,book_id,authors,title,year,section_path,para_no,quote,confidence,period,note,book_type,flags
weapons_armour,оружие (свод находок IX–XIII вв.),,quantity,"Учтено >7000 предметов вооружения IX–1-й пол. XIII в.: 183 меча, 150 сабель, 750 наконечников копий, ~50 сулиц, 570 боевых топоров",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,"Глава седьмая Вооружение А.Н. Кирпичников, А.Ф. Медведев",1954,"183 меча, 10 скрамасаксов, 5 кинжалов, 150 сабель, 750 наконечников копий, почти 50 наконечников сулиц, 570 боевых топоров",B,c1230,,scholarly,
weapons_armour,защитное вооружение (свод находок),,quantity,"Найдено 37 шлемов, 112 кольчуг, части 26 пластинчатых/чешуйчатых доспехов, наручи, наколенники, 23 фрагмента щитов",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,"Глава седьмая Вооружение А.Н. Кирпичников, А.Ф. Медведев",1954,"Среди защитного вооружения 37 шлемов, 112 кольчуг, части 26 пластинчатых и чешуйчатых доспехов (270 деталей), несколько таких принадлежностей, как наручи и наколенники, 23 фрагмента щита.",B,c1230,,scholarly,
weapons_armour,снаряжение всадника (свод находок),,quantity,"Снаряжение всадника: 570 удил, 31 седло, 430 стремян, ~590 шпор, боевая конская маска",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,"Глава седьмая Вооружение А.Н. Кирпичников, А.Ф. Медведев",1955,"Снаряжение всадника представлено 570 удилами, частями 32 оголовий (700 деталей), боевой конской маской, остатками 31 седла (130 деталей), 430 стременами, почти 590 шпорами",B,c1230,,scholarly,
weapons_armour,клинковое и защитное вооружение,,social_rule,Клинки и доспех — в значительной мере привилегия господствующего слоя,622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,"Глава седьмая Вооружение А.Н. Кирпичников, А.Ф. Медведев",1958,Клинковое и защитное вооружение в значительной мере было привилегией господствующего класса.,B,c1230,,scholarly,
weapons_armour,вооружение ополченца,,social_rule,"Городские и сельские ополченцы обходились минимумом, в основном наступательного оружия",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,"Глава седьмая Вооружение А.Н. Кирпичников, А.Ф. Медведев",1958,Городские и сельские ополченцы нередко довольствовались известным минимумом преимущественно наступательного оружия.,B,c1230,,scholarly,
weapons_armour,вооружение ополченца,,social_rule,"Граница нестрогая: пехотинец из «черных людей» мог иметь шлем и меч, младший дружинник — лук и стрелы",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,"Глава седьмая Вооружение А.Н. Кирпичников, А.Ф. Медведев",1958,"пехотинец из «черных людей» подчас пользовался шлемом и мечом, а конник — младший дружинник — луком и стрелами",B,c1230,,scholarly,
weapons_armour,вооружение горожанина (1237–1240),,description,"По оружию защитников городов 1237–1240: пеший — копьё, топор, лук; конный — колющее, рубящее и защитное оружие",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,"Глава седьмая Вооружение А.Н. Кирпичников, А.Ф. Медведев",1965,"Оно позволяет представить пешего ратника с копьем, топором, луком и стрелами и конного воина с колющим, рубящим и защитным оружием.",B,c1230,,scholarly,
weapons_armour,вооружение водских ополченцев,,presence_in_region,"Погребения XII–XIII вв. дают снаряжение пограничного населения, в т.ч. водских ополченцев (Ленинградская обл.)",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,"Глава седьмая Вооружение А.Н. Кирпичников, А.Ф. Медведев",1965,"Погребения XII–XIII вв. (их учтено 144) характеризуют боевое снаряжение населения, проживавшего в некоторых пограничных районах Руси",B,c1230,,scholarly,
weapons_armour,находки оружия после 1250,,dating,После 1250 г. находки оружия становятся редкими; источник — арсеналы и изображения,622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,"Глава седьмая Вооружение А.Н. Кирпичников, А.Ф. Медведев",1966,После 1250 г. находки оружия становятся все более редкими,B,c1230,,scholarly,
military_security,род войск по оружию,,social_rule,Войско XI–XIII вв. делилось на тяжеловооружённых копейщиков (конных и пеших) и легковооружённых лучников,622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,"Глава седьмая Вооружение А.Н. Кирпичников, А.Ф. Медведев",1967,тяжеловооруженных всадников и пехотинцев — копейщиков и легковооруженных всадников и пехотинцев — лучников,B,c1230,,scholarly,
