domain,entity_ru,entity_latin,fact_type,value,book_id,authors,title,year,section_path,para_no,quote,confidence,period,note,book_type,flags
personal_names,Боян,Bojan,name_form,"Боян — мужское имя должника в грамоте № 526 (XI в.), житель Русы; автор записки числит за ним долг",254935,Янин Валентин Лаврентьевич,Берестяная почта столетий,1979,Посадник Юрий Онцифорович и другие,129,"Боян, Житобуд, Негорад, Добровит, Нежек Прожневич, Сирома, Добромысл, Животток, Хомуня, Дрозд, Азогут – имена людей, за каждым из которых автор записки числит разные суммы",B,medieval_general,"Грамота XI в.; социальный статус должников в абзаце не указан (кредитор — человек, живущий в Новгороде, 254935:131)",scholarly,
personal_names,Житобуд,Zhitobud,name_form,"Житобуд — мужское двуосновное имя, должник в Русе (грамота № 526, XI в.)",254935,Янин Валентин Лаврентьевич,Берестяная почта столетий,1979,Посадник Юрий Онцифорович и другие,128,"«На Бояне в Русе гривна на Житобуде в Русе 13 кун и гривна истине, на Луге на Негораде 3 куне и гривна с намы",B,medieval_general,"XI в.; им. п. приведён у Янина (254935:129), в тексте грамоты — местн. п. «на Житобуде»",scholarly,
personal_names,Негорад,Negorad,name_form,"Негорад — мужское имя, должник на Луге (грамота № 526, XI в.)",254935,Янин Валентин Лаврентьевич,Берестяная почта столетий,1979,Посадник Юрий Онцифорович и другие,129,"Боян, Житобуд, Негорад, Добровит, Нежек Прожневич, Сирома, Добромысл, Животток, Хомуня, Дрозд, Азогут – имена людей, за каждым из которых автор записки числит разные суммы",B,medieval_general,"Выделение отрицания не- — интерпретация сборщика, в абзаце нет",scholarly,
personal_names,Добровит,Dobrovit,name_form,"Добровит — мужское двуосновное имя, должник «с людьми» (грамота № 526)",254935,Янин Валентин Лаврентьевич,Берестяная почта столетий,1979,Посадник Юрий Онцифорович и другие,128,на Добровите с людьми 13 куне и гривна,B,medieval_general,им. п. приведён у Янина (254935:129); в тексте грамоты — местн. п. «на Добровите»,scholarly,
personal_names,Нежек Прожневич,Nezhek Prozhnevich,name_form,"Нежек Прожневич — мужское имя с отчеством на -ич (в грамоте «на Нежьке на Пръжневици»), должник по грамоте № 526",254935,Янин Валентин Лаврентьевич,Берестяная почта столетий,1979,Посадник Юрий Онцифорович и другие,128,на Нежьке на Пръжневици полъгривне,B,medieval_general,им. п. приведён у Янина (254935:129); в тексте грамоты — местн. п.,scholarly,
personal_names,Добромысл,Dobromysl,name_form,"Добромысл — мужское двуосновное имя, должник на Шелони (грамота № 526)",254935,Янин Валентин Лаврентьевич,Берестяная почта столетий,1979,Посадник Юрий Онцифорович и другие,128,на Шелоне на Добромысле 10 кун,B,medieval_general,им. п. приведён у Янина (254935:129); в тексте грамоты — местн. п. «на Добромысле»,scholarly,
personal_names,"Хомуня, Дрозд","Khomunja, Drozd",name_form,Хомуня и Дрозд — мужские имена должников на Селигере (грамота № 526),254935,Янин Валентин Лаврентьевич,Берестяная почта столетий,1979,Посадник Юрий Онцифорович и другие,128,Сере-гери на Хъмуне и на Дрозьде 5 гривнъ бес куне,B,medieval_general,"им. п. приведён у Янина (254935:129); в тексте грамоты — местн. п.; связь «Дрозд» с названием птицы — интерпретация сборщика, в абзаце нет",scholarly,
personal_names,"Сирома, Животток, Азогут","Siroma, Zhivottok, Azogut",name_form,"Сирома, Животток, Азогут — мужские имена должников в грамоте № 526",254935,Янин Валентин Лаврентьевич,Берестяная почта столетий,1979,Посадник Юрий Онцифорович и другие,129,"Боян, Житобуд, Негорад, Добровит, Нежек Прожневич, Сирома, Добромысл, Животток, Хомуня, Дрозд, Азогут – имена людей, за каждым из которых автор записки числит разные суммы",B,medieval_general,"Этимология «Сирома» (от «сирый») — интерпретация сборщика, в абзаце нет",scholarly,
place_names,Руса (Старая Русса),Rusa,dating,"Руса — древнее название Старой Руссы, упомянута в грамоте № 526 (XI в.), в 60 км от Новгорода через Ильмень",254935,Янин Валентин Лаврентьевич,Берестяная почта столетий,1979,Посадник Юрий Онцифорович и другие,131,"Это нынешний город Старая Русса, в 60 километрах от Новгорода через Ильмень.",B,c1230,,scholarly,
place_names,"Луга, Шелонь, Селигер, Дубровна, Погощи","Luga, Shelon, Seliger",dating,"Грамота № 526 (XI в.) называет местности Руса, Луга, Шелонь, Серигер (Селигер), Погощи, Дубровна",254935,Янин Валентин Лаврентьевич,Берестяная почта столетий,1979,Посадник Юрий Онцифорович и другие,129,"Руса, Луга, Шелонь, Серигер (Селигер), Погощи, Дубровна - название разных местностей, где живут эти должники.",B,c1230,"Сельская округа Новгорода, известна уже в XI в.",scholarly,
personal_names,Гаврила Посеня,Gavrila Posenja,name_form,"Гаврила Посеня — крестильное имя + мирское прозвище-имя (грамота № 497, XIV в.); пишет зятю Григорию и сестре Улите",254935,Янин Валентин Лаврентьевич,Берестяная почта столетий,1979,Посадник Юрий Онцифорович и другие,134,"«Поклон от Гаврилы Посени к зятю моему Григорию, к куму и к сестре моей Улите.",B,medieval_general,XIV в. — позже 1230; модель «крестильное + мирское»,scholarly,
personal_names,Улита,Ulita,name_form,"Улита — женское имя, сестра автора грамоты № 497 (XIV в.)",254935,Янин Валентин Лаврентьевич,Берестяная почта столетий,1979,Посадник Юрий Онцифорович и другие,134,"«Поклон от Гаврилы Посени к зятю моему Григорию, к куму и к сестре моей Улите.",B,medieval_general,"XIV в.; форма восстановлена из косвенного падежа («к сестре моей Улите»); соответствие канонической форме Иулитта (интерпретация сборщика, в абзаце нет)",scholarly,
personal_names,Феврония,Fevronija,name_form,"Феврония — женское крестильное имя, родственница боярина Феликса (грамота № 415, XIV в.), боярская среда",254935,Янин Валентин Лаврентьевич,Берестяная почта столетий,1979,Посадник Юрий Онцифорович и другие,134,"«Велишь мне ехать в город или сам поезжай сюда», – пишет в XIV в. боярину Феликсу его родственница Феврония (грамота № 415).",B,medieval_general,XIV в.,scholarly,
personal_names,Аврам Матвеевич,Avram Matveevich,name_form,"Аврам Матвеевич — мужское крестильное имя с отчеством на -евич, адресат грамоты № 550 конца XII в.; автор — Петр",254935,Янин Валентин Лаврентьевич,Берестяная почта столетий,1979,Посадник Юрий Онцифорович и другие,134,Петр своему адресату Авраму Матвеевичу (грамота № 550),B,c1230,форма восстановлена из косвенного падежа («Авраму Матвеевичу»),scholarly,
place_names,Дороганичи,Doroganichi,dating,"Дороганичи — деревня в округе Новгорода, упомянута в грамоте № 550 конца XII в.",254935,Янин Валентин Лаврентьевич,Берестяная почта столетий,1979,Посадник Юрий Онцифорович и другие,134,"«А дороганичей (жителей деревни Дороганичи) шли в город»,- советует в конце XII в",B,c1230,,scholarly,
personal_names,Марина,Marina,name_form,"Марина — женское крестильное имя, мать Григория (грамота № 125, конец XIV в.); по предположению Янина, люди небогатые",254935,Янин Валентин Лаврентьевич,Берестяная почта столетий,1979,Слово мальчику Онфиму,145,«Поклон от Марине к сыну к моему Григорью.,B,medieval_general,XIV в.; форма восстановлена из косвенного падежа (в тексте «от Марине»),scholarly,
personal_names,Давыд Прибыша,Davyd Pribysha,name_form,Давыд Прибыша — крестильное имя + мирское имя на -ша (Прибыша) в грамоте № 125,254935,Янин Валентин Лаврентьевич,Берестяная почта столетий,1979,Слово мальчику Онфиму,145,А куны яз дала Давыду Прибыше.,B,medieval_general,XIV в.; формант -ша; форма восстановлена из косвенного падежа,scholarly,
personal_names,Онфим,Onfim,name_form,"Онфим — мальчик примерно 6–7 лет, автор ученических берестяных грамот",254935,Янин Валентин Лаврентьевич,Берестяная почта столетий,1979,Слово мальчику Онфиму,182,"Итак, мы познакомились с мальчиком Онфимом.",B,c1230,"Эпоха Онфима — XIII в., сверстник Александра Невского (см. 709382:720); соответствие канонической форме Анфим (интерпретация сборщика, в абзаце нет); форма восстановлена из косвенного падежа («Онфимом»)",scholarly,
