domain,entity_ru,entity_latin,fact_type,value,book_id,authors,title,year,section_path,para_no,quote,confidence,period,note,book_type,flags
natural_materials_soils,культурный слой Новгорода,,description,"Новгород стоит на плотных глинах, мешающих стоку воды; культурный слой насыщен влагой и консервирует органику",220869,Янин Валентин Лаврентьевич,Археология и исследование русского средневековья,,,10,"Новгород возник на плотных глинах, затрудняющих вертикальный сток дождевых и паводковых вод.",B,c1230,"грунт города: сырой, глинистое основание",scholarly,
natural_materials_soils,культурный слой Новгорода,,description,"Во влажном слое дерево, кожа, кость не гниют, поэтому слой особенно толстый",254935,Янин Валентин Лаврентьевич,Берестяная почта столетий,1979,Новгород глазами археолога,11,"Любой деревянный предмет – будь это плаха мостовой, бревно груба, ложка или рыбацкий поплавок, – оказавшись в земле, сохраняет форму, ничего не утрачивая, лишь впитывая в себя влагу.",B,c1230,,scholarly,
natural_materials_soils,культурный слой Новгорода,,quantity,К началу XVI в. слой в древнейших частях города вырос примерно на 5 м,709382,Засурцев Петр Иванович,"Новгород, открытый археологами",,Неревский раскоп,163,К началу XVI в. культурный слой в наиболее древних частях Новгорода вырос примерно на 5 м.,B,c1230,к 1230 г. слой тоньше; рост слоя — непрерывный,scholarly,
natural_materials_soils,культурный слой Новгорода,,use,"Из-за влажности слоя не копали колодцев и подвалов, дома ставили на наземных опорах",624953,Янин Валентин Лаврентьевич; Вагнер Георгий Карлович; Рыбина Елена Александровна; Макарова Татьяна Ивановна; Хорошев Александр Степанович; Розенфельдт Ростислав Леонидович; Щапова Юлия Леонидовна; Седова Мария Владимировна; Мурашова Вероника Владиславовна; Сабурова Мария Андреевна; Медынцева Альбина Александровна; Голубева Леонилла Анатольевна; Николаева Татьяна Васильевна; Недошивина Наталья Германовна; Поветкин Владимир Иванович; Воробьева Елена Владимировна; Чернецов Алексей Владимирович; Полубояринова Марина Дмитриевна; Беленькая Доротея Алексеевна,Древняя Русь. Быт и культура,1997,Глава 7 Новгородские берестяные грамоты В.Л. Янин,1325,"Из-за повышенной влажности культурного слоя в нем не копали колодцев и подвалов, дома не заглубляли в землю, а пользовались наземными опорными конструкциями.",B,c1230,ограничение копания в городе,scholarly,
natural_materials_soils,культурный слой Новгорода,,technique,При быстром нарастании слоя под постройки подкладывали обрубки бревен вместо фундаментов,709382,Засурцев Петр Иванович,"Новгород, открытый археологами",,Новгородские постройки,231,В большинстве случаев - это были разного рода подкладки из обрубков бревен.,B,c1230,,scholarly,
natural_materials_soils,культурный слой (водонасыщенный),,description,"Слои, лежащие на водонепроницаемом грунте, насыщены водой (Новгород, Смоленск, Полоцк) и консервируют органику",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,"Глава вторая Археологические источники и методика исследования Б.А. Колчин, А.В. Куза",257,"Культурный слой с повышенной влажностью прекрасно консервирует органику, в том числе дерево, кожу и пр.",B,c1230,,scholarly,
natural_materials_soils,культурный слой (содержимое),,other,"В слое обычно битые черепки, кости, ржавые железки, осколки стекла",709382,Засурцев Петр Иванович,"Новгород, открытый археологами",,Надежное хранилище - сырая земля,96,"В этом слое обычно попадаются битые черепки, кости, ржавые железки, осколки стеклянных предметов и т. д.",B,c1230,fact_type other: признаки при копании; perceptual cues,scholarly,
natural_materials_soils,сырая земля Новгорода,,description,Новгород стоит на сыром месте; дерево на воздухе в сырости загнивает,709382,Засурцев Петр Иванович,"Новгород, открытый археологами",,Стена посадника Федора Даниловича,117,"Новгород, как мы уже говорили, стоит на сыром месте.",B,c1230,,scholarly,
natural_materials_soils,болотная руда,,technique,"Озерную руду сгребали черпаками с плота, болотные пласты доставали лопатами; руды на глубине 0,5–3 м",472746,Цветков Сергей Эдуардович,Русская земля. Между язычеством и христианством. От князя Игоря до сына его Святослава,2016,Часть четвертая. Русская земля в X в. > Глава 5. Хозяйственные занятия восточных славян > Ремесла,1014,"Озерную руду сгребали черпаками, стоя на плоту, болотные пласты доставали лопатами.",B,medieval_general,Русь в целом; применимо к лесной зоне,scholarly,
natural_materials_soils,железная руда (болотная/озерная),,presence_in_region,"Бедные, но легкодоступные железные руды залегали почти повсюду на глубине 0,5–3 м",472746,Цветков Сергей Эдуардович,Русская земля. Между язычеством и христианством. От князя Игоря до сына его Святослава,2016,Часть четвертая. Русская земля в X в. > Глава 5. Хозяйственные занятия восточных славян > Ремесла,1014,"Хотя бедные, но легкодоступные железные руды залегали практически повсюду на глубине от 0,5 до 3 м, их интенсивное извлечение началось только в IX в.",B,medieval_general,,scholarly,
natural_materials_soils,известняк (опока),,presence_in_region,Церковь Ивана на Опоках в Новгороде стоит на выходах известняка на берегу Волхова,755331,Рыбаков Борис Александрович,Ремесло древней Руси,1948,[notes] > 334,4588,"Ср. церковь Ивана на Опоках в Новгороде (1127), стоящую на выходах известняка на берегу Волхова.",B,c1230,выходы камня прямо в городе,scholarly,
natural_materials_soils,известняк (опока),,name_form,"«Опока» в значении известняка — северорусский областной термин (Новгород, Псков)",755331,Рыбаков Борис Александрович,Ремесло древней Руси,1948,Часть первая С древнейших времен до середины XIII в. > Глава вторая Деревенское ремесло IX–XIII вв. > 2. Ювелирное дело,694,"В качестве областного термина «опока» в значении известняка до сих пор бытует в северорусских областях (Новгород, Псков, Калинин).",B,ethnographic_late,"диалектное слово, вероятно древнее",scholarly,
natural_materials_soils,волховская известняковая плита,,use,Стены Софийского собора сложены из волховской известняковой плиты,482048,Низовский Андрей Юрьевич,Знаменитые храмы Руси,2016,Софийский собор в Новгороде,199,"Волховская известняковая плита послужила превосходным материалом строителям собора, и не только его – ее прочность, фактура и цвет надолго определили внешний облик новгородских храмов.",B,c1230,,scholarly,
natural_materials_soils,волховская плита,,technique,Храм Николы на Липне (1292) сложен из волховской плиты на растворе извести с песком,564470,Глушкова Вера Георгиевна,Новгородская земля. Природа. Люди. История. Хозяйство,2015,Глава 4. Достопримечательности в окрестностях Великого Новгорода,505,"Этот храм был сложен из волховской плиты на растворе извести с песком, в кладке применен кирпич новой удлиненной формы.",B,c1230,конец XIII в.,scholarly,
natural_materials_soils,розовый ильменский известняк,,material,"Стена 1335 г. облицована квадрами розового ильменского известняка, фундамент из валунов",709382,Засурцев Петр Иванович,"Новгород, открытый археологами",,Стена посадника Федора Даниловича,105,Она была облицована квадрами розового ильменского известняка и забутована тем же известняком.,B,medieval_general,XIV в. (стена 1335 г.); розовый ильменский известняк — местный материал,scholarly,
natural_materials_soils,валуны,,use,Фундамент каменной стены выкладывали из валунов,709382,Засурцев Петр Иванович,"Новгород, открытый археологами",,Стена посадника Федора Даниловича,105,Фундамент ее был выложен из валунов.,B,c1230,,scholarly,
natural_materials_soils,известняк-ракушечник (плитняк),,description,"Ладожский плитняк-ракушечник: пористый, мягкий, легко пилится и тешется",835021,Лапина Людмила,"Каменный щит Отечества. Старая Ладога, Копорье, Выборг, Ивангород, Шлиссельбург, Ландскрона-Ниеншанц, Петропавловская крепость",2013,Часть I Крепости и замок > Глава 1 Старая Ладога – первая каменная крепость Древней Руси,125,"Ладога, первая каменная крепость Древней Руси, была выстроена из известняка-ракушечника.",B,c1230,,scholarly,
natural_materials_soils,известняковая плита Приладожья,,description,"Южноладожский известняк плотный, разламывается на плиты; зимой плиту возили на санях",695098,Кириллова Владимира Алексеевна; Распопов Игорь Михайлович; Горелова Эстрильда Михайловна,Ладога,,ПРИРОДА БЕРЕГА,41,"С давних пор на южном берегу Ладоги добывают для строительства известняк - очень плотную породу, разламывающуюся на плиты.",B,ethnographic_late,зимняя вывозка на санях — XVIII–XIX вв.,scholarly,
natural_materials_soils,известняковая плита Приладожья,,season,"Плиту зимой свозили на санях, грузили с началом навигации",695098,Кириллова Владимира Алексеевна; Распопов Игорь Михайлович; Горелова Эстрильда Михайловна,Ладога,,ПРИРОДА БЕРЕГА,41,В зимнее время на санях плиту свозили к Ладожскому каналу и с наступлением навигации грузили на суда.,B,ethnographic_late,аналогия сезонного доступа,scholarly,
natural_materials_soils,кварцевый песок,,presence_in_region,По Волхову залегают чистые белые кварцевые пески,695098,Кириллова Владимира Алексеевна; Распопов Игорь Михайлович; Горелова Эстрильда Михайловна,Ладога,,ПРИРОДА БЕРЕГА,42,Сейчас эти пески в большом количестве добывают по реке Волхову как высококачественное сырье для стекольного производства.,B,modern_reference,нижний Волхов,scholarly,
natural_materials_soils,родники из известняков,,description,На юге Приладожья карст: вода выбивается из-под известняков ключами,695098,Кириллова Владимира Алексеевна; Распопов Игорь Михайлович; Горелова Эстрильда Михайловна,Ладога,,ПРИРОДА БЕРЕГА,42,Вода часто выбивается из-под известняков в виде ключей.,B,modern_reference,,scholarly,
natural_materials_soils,известняк и песчаник,,use,В Старой Руссе и Приильменье известняк и песчаник шли на настилы дорог и постройки,694952,Вязинин Иван Николаевич,Старая Русса в истории России,,Глава I. СВИДЕТЕЛЬСТВА ГЛУБОКОЙ СТАРИНЫ,34,"Новгородцы с давних пор используют известняк и песчаник для настилов дорог, о чем свидетельствует, например, Плитная улица на плане Старой Руссы до 1608 г.",C,medieval_general,,popular,
natural_materials_soils,материковая глина,,description,Древнейшая Ладожская каменная крепость сложена из тонких известняковых плит на материковой глине,370744,Коллектив авторов,КРЕПОСТИ СЕВЕРО-ЗАПАДА РОССИИ. От крепости к крепости,2012,"ЛАДОЖСКАЯ КРЕПОСТЬ © Л.А. Губчевская, А.А. Селин — текст, © Л.А. Губчевская — фотографии > Фортификация",608,"руины поверженной крепости, сложенной из тонких известняковых плит на материковой глине",B,medieval_general,"Ладога, крепость рубежа IX–X вв.",reference,
