domain,entity_ru,entity_latin,fact_type,value,book_id,authors,title,year,section_path,para_no,quote,confidence,period,note,book_type,flags
occupations,земледелец,,social_rule,Основным занятием восточнославянского населения было земледелие,622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,"Глава пятая Земледелие и промыслы А.В. Чернецов, А.В. Куза, Н.А. Кирьянова",1353,Уже в догосударственный период основным занятием восточнославянского населения было земледелие.,B,c1230,,scholarly,
activities_observable,земледелец: состав посевов,,description,"В X–XIII вв. рожь на первом месте среди зерновых; овёс — вторая «молодая» культура, в половине скоплений",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,"Глава пятая Земледелие и промыслы А.В. Чернецов, А.В. Куза, Н.А. Кирьянова",1363,"Вторая молодая культура — овес — содержится более чем в половине скоплений, что свидетельствует о ее существенном значении в посевах.",B,c1230,"таёжно-лесная подзона, куда входит Новгородская земля",scholarly,
activities_observable,земледелец: подсека,,technique,"Подсечная система начиналась с выжигания участка леса под пашню, участок забрасывали до зарастания лесом",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,"Глава пятая Земледелие и промыслы А.В. Чернецов, А.В. Куза, Н.А. Кирьянова",1364,"Такая система, обычно начинавшаяся с выжигания участка леса под пашню, называется подсечной.",B,c1230,лесная зона,scholarly,
activities_observable,земледелец: ближние и дальние поля,,technique,"Ближние к поселению участки использовались интенсивнее, дальние забрасывали при падении урожая",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,"Глава пятая Земледелие и промыслы А.В. Чернецов, А.В. Куза, Н.А. Кирьянова",1366,"удаленные от жилья участки легко забрасывались, когда урожайность на них падала",B,c1230,,scholarly,
carried_inventories,пахарь: соха,,name_form,"Пахотные орудия: «рало» и «плуг», с XIII в. появляется термин «соха»",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,"Глава пятая Земледелие и промыслы А.В. Чернецов, А.В. Куза, Н.А. Кирьянова",1369,"Они сводятся к тому, что с древнейших времен на Руси были известны два термина, обозначающие пахотное орудие: «рало» и «плуг», позднее, с XIII в. появляется термин «соха».",B,c1230,,scholarly,
carried_inventories,пахарь: соха,,description,"С XII в. на севере появляются сошники с выгнутой вперёд лопастью, меньшей втулкой и большего размера",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,"Глава пятая Земледелие и промыслы А.В. Чернецов, А.В. Куза, Н.А. Кирьянова",1397,"Вначале преобладают сошники первого типа, с XII в. появляются сошники, у которых лопасть выгнута вперед, втулка меньше, а размеры больше.",B,c1230,"север Руси, XII в. и позже; связано с распашкой старопахотных земель",scholarly,
carried_inventories,пахарь: соха,,use,Соха требует всего одной лошади и дешевле плуга,622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,"Глава пятая Земледелие и промыслы А.В. Чернецов, А.В. Куза, Н.А. Кирьянова",1400,"Продолжавшееся и позднее расширение ареала сохи объясняется не только относительным совершенством орудия, но и экономическими причинами — орудие требует всего одной лошади, оно дешевле, чем плуг.",B,c1230,,scholarly,
carried_inventories,огородник/земледелец: лопата,,dimensions,"Землеройная лопата: ширина 12–16 см, высота 25–30 см, ручка 80–95 см; в Новгороде найдено более 40",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,"Глава пятая Земледелие и промыслы А.В. Чернецов, А.В. Куза, Н.А. Кирьянова",1404,"Ширина лопаты обычно 12–16 см, высота 25–30 см, длина ручки 80–95 см.",B,c1230,,scholarly,
carried_inventories,огородник/земледелец: лопата,,material,"Лопаты цельнодеревянные или деревянные с железной оковкой, обычно из дуба",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,"Глава пятая Земледелие и промыслы А.В. Чернецов, А.В. Куза, Н.А. Кирьянова",1404,Деревянные лопаты изготовлялись обыкновение из дуба.,B,c1230,опечатка в источнике,scholarly,
carried_inventories,земледелец: вилы и грабли,,dimensions,"Вилы из сука с развилкой, длина 225–240 см; грабли с колодкой 35–56 см, 5–7 зубьев (новгородские находки)",622242,Рыбаков Борис Александрович; Даркевич Владислав Петрович; Янин Валентин Лаврентьевич; Раппопорт Павел Александрович; Кирпичников Анатолий Николаевич; Медведев Александр Филиппович; Куза Андрей Васильевич; Колчин Борис Александрович; Чернецов Алексей Владимирович; Борисевич Г. В.; Кирьянова Наталья Алексеевна,"Древняя Русь. Город, замок, село",1985,"Глава пятая Земледелие и промыслы А.В. Чернецов, А.В. Куза, Н.А. Кирьянова",1407,Вилы изготовлялись из сука с естественной развилкой.,B,c1230,,scholarly,
