domain,entity_ru,entity_latin,fact_type,value,book_id,authors,title,year,section_path,para_no,quote,confidence,period,note,book_type,flags
law_justice_governance,кровная месть,krovnaya mest,social_rule,Месть за убийство мстили ближайшие родичи; при отказе от мести — денежная вира,641351,Коллектив авторов,"Том 4 (XII век, литература эпохи «Слова о полку Игореве»)",2004,РУССКАЯ ПРАВДА (ПРОСТРАННАЯ РЕДАКЦИЯ) > ПЕРЕВОД,2752,"то мстить брату за брата, или отцу, или сыну, или двоюродному брату, или сыну брата",A,c1230,"Пространная Правда — общерусский свод 1113–1132 гг.; действующее светское право, применима к Новгороду ~1230",primary_source,
social_strata_legal_status,княжий муж,knyazhiy muzh,social_rule,Вира за убийство княжего мужа или княжеского тиуна — 80 гривен,641351,Коллектив авторов,"Том 4 (XII век, литература эпохи «Слова о полку Игореве»)",2004,РУССКАЯ ПРАВДА (ПРОСТРАННАЯ РЕДАКЦИЯ) > ПЕРЕВОД,2752,"назначить 80 гривен за убитого, если он княжий муж или княжеский тиун",A,c1230,"Пространная Правда — общерусский свод 1113–1132 гг.; действующее светское право, применима к Новгороду ~1230",primary_source,
social_strata_legal_status,купец,kupets,social_rule,"Вира за купца, как и за русина, гридина, мечника, изгоя, словенина — 40 гривен",641351,Коллектив авторов,"Том 4 (XII век, литература эпохи «Слова о полку Игореве»)",2004,РУССКАЯ ПРАВДА (ПРОСТРАННАЯ РЕДАКЦИЯ) > ПЕРЕВОД,2752,"если он будет русин, или гридин, или купец, или боярский тиун, или мечник, или изгой, или Словении, то назначить за него 40 гривен",A,c1230,"Пространная Правда — общерусский свод 1113–1132 гг.; действующее светское право, применима к Новгороду ~1230",primary_source,
law_justice_governance,отмена кровной мести,otmena krovnoy mesti,event,"Сыновья Ярослава отменили месть, заменив её денежным выкупом",641351,Коллектив авторов,"Том 4 (XII век, литература эпохи «Слова о полку Игореве»)",2004,РУССКАЯ ПРАВДА (ПРОСТРАННАЯ РЕДАКЦИЯ) > ПЕРЕВОД,2753,"отменили месть за убитого, заменив ее выкупом деньгами",A,c1230,"Пространная Правда — общерусский свод 1113–1132 гг.; действующее светское право, применима к Новгороду ~1230",primary_source,
law_justice_governance,дикая вира,dikaya vira,social_rule,"Если убийцу не ищут, виру платит вервь, на земле которой лежит убитый",641351,Коллектив авторов,"Том 4 (XII век, литература эпохи «Слова о полку Игореве»)",2004,РУССКАЯ ПРАВДА (ПРОСТРАННАЯ РЕДАКЦИЯ) > ПЕРЕВОД,2754,"Если кто убьет княжего мужа в разбое, а убийцу не ищут, то виру в 80 гривен платить верви, где лежит убитый, если же простой свободный человек, то 40 гривен",A,c1230,"Пространная Правда — общерусский свод 1113–1132 гг.; действующее светское право, применима к Новгороду ~1230",primary_source,
law_justice_governance,вервь,verv,social_rule,"Вервь выплачивает дикую виру в рассрочку, т.к. платит без преступника",641351,Коллектив авторов,"Том 4 (XII век, литература эпохи «Слова о полку Игореве»)",2004,РУССКАЯ ПРАВДА (ПРОСТРАННАЯ РЕДАКЦИЯ) > ПЕРЕВОД,2755,"Если которая-либо вервь будет платить дикую виру, пусть выплачивает ту виру столько времени, сколько будет платить, потому что они платят без преступника",A,c1230,"Пространная Правда — общерусский свод 1113–1132 гг.; действующее светское право, применима к Новгороду ~1230",primary_source,
law_justice_governance,убийство в ссоре или на пиру,ubiystvo v ssore,social_rule,Убивший открыто в ссоре или на пиру платит виру вместе с вервью,641351,Коллектив авторов,"Том 4 (XII век, литература эпохи «Слова о полку Игореве»)",2004,РУССКАЯ ПРАВДА (ПРОСТРАННАЯ РЕДАКЦИЯ) > ПЕРЕВОД,2757,"Но если <кто> убил открыто, во время ссоры или на пиру, то теперь ему так платить вместе с вервью, поскольку и он вкладывается в виру",A,c1230,"Пространная Правда — общерусский свод 1113–1132 гг.; действующее светское право, применима к Новгороду ~1230",primary_source,
law_justice_governance,поток и разграбление,potok i razgrablenie,social_rule,"Убийцу «без причины» (разбойника) община не выкупает, а выдаёт с женой и детьми на изгнание и разграбление",641351,Коллектив авторов,"Том 4 (XII век, литература эпохи «Слова о полку Игореве»)",2004,РУССКАЯ ПРАВДА (ПРОСТРАННАЯ РЕДАКЦИЯ) > ПЕРЕВОД,2758,"свершил убийство без всякой ссоры, то люди за убийцу не платят, но пусть выдадут его самого с женою и детьми на изгнание и на разграбление",A,c1230,"Пространная Правда — общерусский свод 1113–1132 гг.; действующее светское право, применима к Новгороду ~1230",primary_source,
law_justice_governance,вервь,verv,social_rule,"Кто не вкладывается в дикую виру, тому община не помогает — платит сам",641351,Коллектив авторов,"Том 4 (XII век, литература эпохи «Слова о полку Игореве»)",2004,РУССКАЯ ПРАВДА (ПРОСТРАННАЯ РЕДАКЦИЯ) > ПЕРЕВОД,2759,"Если кто не вкладывается в дикую виру, тому люди не помогают, но он платит сам.",A,c1230,"Пространная Правда — общерусский свод 1113–1132 гг.; действующее светское право, применима к Новгороду ~1230",primary_source,
social_strata_legal_status,вирник,virnik,social_rule,"Вирник со своим отроком кормится за счёт населения: солод, баран или полтуши говядины, хлеб, пшено, соль, овёс на 4 коней",641351,Коллектив авторов,"Том 4 (XII век, литература эпохи «Слова о полку Игореве»)",2004,РУССКАЯ ПРАВДА (ПРОСТРАННАЯ РЕДАКЦИЯ) > ПЕРЕВОД,2760,"вирнику взять 7 ведер солода на неделю, а также барана или полтуши говядины, или 2 ногаты",A,c1230,"Пространная Правда — общерусский свод 1113–1132 гг.; действующее светское право, применима к Новгороду ~1230",primary_source,
