domain,entity_ru,entity_latin,fact_type,value,book_id,authors,title,year,section_path,para_no,quote,confidence,period,note,book_type,flags
religion_church,паломничество (хождение в Иерусалим),,social_rule,"Поп Кирик иногда запрещал прихожанам идти в Иерусалим; епископ Нифонт одобрял разборчивость к паломникам, ищущим даровой еды",512565,Романов Борис Александрович,Люди и нравы Древней Руси,2013,Глава пятая «Отцы духовные»,324,Поп Кирик искал руководства у епископа Нифонта и по этому больному вопросу; он и сам уже иной раз кое-кому запрещал идти в Иерусалим («велю здесь ему жить добродетельно»),B,c1230,"Вопрошание Кирика, Новгород XII в.; практика актуальна и в XIII в.",scholarly,
religion_church,бродячие черноризцы,,social_rule,Странствующие чернецы — широкое бытовое явление XII–XIII вв.; в городе ходили по миру,512565,Романов Борис Александрович,Люди и нравы Древней Руси,2013,Глава пятая «Отцы духовные»,323,"Среди них бродячие черноризцы — это разновидность вообще бродячей Руси, вынуждаемой жизненными условиями к перемене мест.",B,c1230,,scholarly,
calendar_feasts_fasts,спор о постах в среду и пятницу при господских праздниках,,social_rule,"В XII в. спорили, есть ли мясо в среду/пятницу, если на них приходится господский праздник (Рождество, Крещение); епископ Леон учил не есть",512565,Романов Борис Александрович,Люди и нравы Древней Руси,2013,Глава пятая «Отцы духовные»,318,Между тем этот «владыка Феодор» сам до этого боролся с ведомою (для летописца) ересью суздальского епископа Леона,B,medieval_general,Спор 1160-х гг. (леонтианская ересь); в Новгороде по Вопрошанию Кирика в господский праздник в среду/пятницу мясо разрешалось,scholarly,
religion_church,закрытие церквей епископом (интердикт),,event,"Епископ Федор во Владимире запер все церкви: не было ни звона, ни пения по всему городу",512565,Романов Борис Александрович,Люди и нравы Древней Руси,2013,Глава пятая «Отцы духовные»,320,"не бысть ни звоненья, ни пенья по всему граду и в сборней церкви",B,medieval_general,"Владимир, 1160-е гг.; показывает, что звон и пение — ежедневная норма города",scholarly,
religion_church,монастырская трапеза и хозяйство,,description,"Монастыри кормились от своих сел и даяний: боярин прислал на трёх возах хлебы, сыр, рыбу, сочиво, пшено, мед",512565,Романов Борис Александрович,Люди и нравы Древней Руси,2013,Глава пятая «Отцы духовные»,333,"А настоящая «ядь» — это то, что в тот же день вложил Бог «в разум» киевскому боярину Иоанну («распудившему» братию при случае за сына) прислать на трех возах: хлебы, сыр, рыбу, сочиво, пшено, мед.",B,medieval_general,"Киево-Печерский патерик, XI–XII вв.; аналогия для новгородских монастырей",scholarly,
calendar_feasts_fasts,первая неделя Великого поста в монастыре,,taboo_or_custom,В первую неделю Великого поста постились строго; в пятницу этой недели Феодосий давал братии хлебы чистые и с медом и маком,512565,Романов Борис Александрович,Люди и нравы Древней Руси,2013,Глава пятая «Отцы духовные»,334,В первую неделю Великого поста постились строго.,B,medieval_general,Киево-Печерский монастырь; обычай ослабления в пятницу,scholarly,
religion_church,освещение храма: кандила с маслом,,use,Кандила в храме наполняли деревянным (оливковым) маслом; растительное масло «от земных семян» было заменой,512565,Романов Борис Александрович,Люди и нравы Древней Руси,2013,Глава пятая «Отцы духовные»,335,"В Успеньев день «строитель церковный» спохватился, что нечем наполнить «кандила» для освещения храма, и спросил разрешения у Феодосия наскоро «от земных семян избити масла».",B,medieval_general,Киево-Печерский патерик,scholarly,
schedules_routines,монах: заутреня и работа на поварне,,description,"Инок Исакий ходил на заутреню раньше всех и стоял до конца, потом шёл в поварню: дрова, вода, огонь для братии",512565,Романов Борис Александрович,Люди и нравы Древней Руси,2013,Глава пятая «Отцы духовные»,344,"Тут он и шел в поварню, заготовлял дрова, воду, разжигал огонь, а «повара от братии» приходили на готовое.",B,medieval_general,Распорядок монаха XI–XII вв.; аналогия,scholarly,
schedules_routines,монастырский помол зерна,,description,Помол зерна для монастыря — работа «рабов»; старец Федор молол всю ночь на жерновах; жито привозили возами от сел,512565,Романов Борис Александрович,Люди и нравы Древней Руси,2013,Глава пятая «Отцы духовные»,346,Эта работа в монастырском хозяйстве была уделом «рабов»: от подвига Федора «облегчение было рабам».,B,medieval_general,Киево-Печерский патерик,scholarly,
religion_church,пиры в монастырях,,social_rule,Митрополит Иоанн запрещал частые пиры в монастырях с мужчинами и женщинами вместе,512565,Романов Борис Александрович,Люди и нравы Древней Руси,2013,Глава пятая «Отцы духовные»,348,"Опасность грозила от тех, «иже в монастярех часто пиры творят, созывают мужа вкупе и жены, и в тех пирех друг другу преспевают [соревнуются], кто лучей створит пир».",B,medieval_general,Правило XI в.,scholarly,
religion_church,епитимья за пьянство епископа,,social_rule,По Заповедям митрополита Георгия: если епископ напьётся — 10 дней поста,512565,Романов Борис Александрович,Люди и нравы Древней Руси,2013,Глава пятая «Отцы духовные»,349,"«Аще епископ упиется — 10 дний пост», — даже и такой случай предусматривал в своих «Заповедях» митрополит Георгий (XI век).",B,medieval_general,,scholarly,
religion_church,поп на мирском пиру,,social_rule,"Священник на пиру должен есть поставленное, но встать и уйти, как только начнутся игры, пляски и гудение",512565,Романов Борис Александрович,Люди и нравы Древней Руси,2013,Глава пятая «Отцы духовные»,351,"Им надлежит «благообразие и с благословением приимати предлежащая» (вкушать все поставленное на стол), но как только начнется «игранье и плясанье и гуденье», тотчас «встать» из-за стола",B,medieval_general,,scholarly,
religion_church,пьянство новгородских попов,,social_rule,"Новгородский епископ Илья упрекал попов, что пьют до обеда и служат утром после вечерней попойки",512565,Романов Борис Александрович,Люди и нравы Древней Руси,2013,Глава пятая «Отцы духовные»,353,Новгородский епископ Илья обращался к своим попам с увещаниями по этому вопросу в первую очередь,B,c1230,"Поучение Ильи 1166 г., Новгород",scholarly,
religion_church,попы и рост (найм),,social_rule,"Епископ Илья грозил отобрать деньги у попов, дающих в рост; Нифонт запрещал служить, не оставив этого",512565,Романов Борис Александрович,Люди и нравы Древней Руси,2013,Глава пятая «Отцы духовные»,354,"Илье вторил о найме Нифонт: «Не достоит ти служити, аще того не останеши».",B,c1230,Новгород XII в.,scholarly,
religion_church,требования к новопоставленному попу,,social_rule,"Поучение XIII в.: поп не должен быть кощунником, игроком в кости, пьяницей; не бить людей, не охотиться, не резать скот",512565,Романов Борис Александрович,Люди и нравы Древней Руси,2013,Глава пятая «Отцы духовные»,357,"«А своима рукама никогоже не удари, ни ловов твори, ни закалай животного брашна» (для еды).",B,c1230,Святительское поучение XIII в.,scholarly,
religion_church,попы на свадьбах и пирах,,social_rule,Поучение XIII в.: уходить с пира до начала «позоров» (зрелищ); не ходить на пир незваным,512565,Романов Борис Александрович,Люди и нравы Древней Руси,2013,Глава пятая «Отцы духовные»,358,"На этот раз категорическое требование: «отходи прежде видения», не дожидаясь начала этих бесовских действ.",B,c1230,,scholarly,
religion_church,поповство как наследственная профессия,,social_rule,К XIII в. поповство стало наследственным; одежда попа не пестрая; попу велено учить детей своему пути; запрет конских ристаний,512565,Романов Борис Александрович,Люди и нравы Древней Руси,2013,Глава пятая «Отцы духовные»,360,Поповство к XIII веку слагалось в наследственную профессию.,B,c1230,,scholarly,
religion_church,доходы попа: приносы духовных детей,,social_rule,Хозяйство попа держалось в значительной доле на приносах закреплённых за ним прихожан (духовных детей),512565,Романов Борис Александрович,Люди и нравы Древней Руси,2013,Глава пятая «Отцы духовные»,361,"Но в значительной доле оно зиждется на «приносах» мирян, «духовных детей», закрепленных за данным попом.",B,c1230,,scholarly,
