source_id,title,source_type,url,description,supports,trust_level,notes
SRC001,«Лёгкой поступью по мостовой. Обувь древнего Новгорода X–XV вв.»,официальный музей / археология,https://novgorodmuseum.ru/visit/sobytiya/legkoj-postupyu-po-mostovoj.-obuv-drevnego-novgoroda-x-xv-vv.,"Официальное описание выставки Новгородского музея-заповедника: основные типы обуви, более 200 предметов, мастерские XII–XIII вв., материалы, стельки, носки, ледоходные шипы, костяные коньки, шпоры и защитные поршни поверх дорогой обуви.",обувь; сапожное ремесло; сезонные принадлежности; женская и детская обувь; статус,A / очень высокий,"Хронологический охват X–XV вв.; конкретный тип следует привязывать к публикации/датировке, а не ко всей выставке целиком."
SRC002,«Средневековые кожаные изделия из археологической коллекции Новгородского музея-заповедника»,официальный музей / археология,https://novgorodmuseum.ru/o-muzee-zapovednike/novosti/srednevekovye-kozhanye-izdeliya-iz-arheologicheskoj-kollekcii-novgorodskogo-muzeya-zapovednika-na-vystavke-v-tatarstane,"Официальное сообщение о коллекции более чем из 160 новгородских кожаных предметов XI–XV вв.: обувь, сумки, кошельки, чехлы и производственный контекст.",кожаная обувь; сумки; кошели; чехлы; кожевенное ремесло,A / очень высокий,Обзорная публикация без полного предметного каталога; формы отдельных вещей требуют специализированных публикаций.
SRC003,«Прекрасное Средневековье. Образ женщины Древнего Новгорода»,официальный музей / археология,https://novgorodmuseum.ru/o-muzee-zapovednike/novosti/vystavka-%C2%ABprekrasnoe-srednevekove.-obraz-zhenshchiny-drevnego-novgoroda%C2%BB,"Музейная выставка на базе 940 подлинных предметов XI–XV вв.: украшения, обувь, детали костюма, амулеты, предметы рукоделия, детские вещи и игрушки.",женский костюм; украшения; обувь; рукоделие; дети,A / очень высокий,Широкий диапазон XI–XV вв.; не переносить поздние формы автоматически в 1230 год.
SRC004,«Золотая подвеска-квадрифолий XIII века пополнила фонды Новгородского музея-заповедника»,официальный музей / археология,https://novgorodmuseum.ru/o-muzee-zapovednike/novosti/zolotaya-podveska-kvadrifolij-xiii-veka-popolnila-fondy--novgorodskogo-muzeya-zapovednika,Золотая эмалевая подвеска начала XIII в. из богатой новгородской усадьбы; технологии и сырьё связываются с византийской традицией.,редкое статусное украшение; золото; эмаль; импорт/культурные связи,A / очень высокий,"Исключительный элитный предмет, не типовая принадлежность боярского костюма."
SRC005,«Продолжены исследования на Троицком раскопе Великого Новгорода»,официальный музей / археология,https://novgorodmuseum.ru/o-muzee-zapovednike/novosti/prodolzheny-issledovaniya-na-troickom-raskope-velikogo-novgoroda,"Раскопки в слоях первой половины XIII в.; среди находок — женские украшения и накладки на одежду, а также матрица для их изготовления.",одёжные накладки; женские украшения; городской контекст первой половины XIII в.,A / очень высокий,Новостной отчёт; типологические детали ограничены.
SRC006,Древняя Русь. Быт и культура. Археология СССР,научный свод / археология,https://archaeolog.ru/el-bib/el-cat/el-series/arch-sssr/archaeologyussr_16,"Академический свод по материальной культуре IX–XIV вв., включая одежду, обувь, украшения, инструменты, быт и транспорт.",общая типология одежды и быта; сравнительные древнерусские аналогии,A–B / высокий,Не все выводы специфичны для Новгорода; использовать как синтез вместе с новгородскими находками.
SRC007,А. Нахлик. «Ткани Новгорода. Опыт технологического анализа»,научная публикация / археологический текстиль,https://knigogid.ru/books/1921590-tkani-novgoroda-opyt-tehnologicheskogo-analiza,"Фундаментальное технологическое исследование тысяч новгородских текстильных находок: волокна, прядение, переплетения, окраска и импорт.",шерсть; растительные волокна; ткачество; красители; импортные ткани,A–B / высокий,Ссылка ведёт на библиографическую карточку; сама работа опубликована в МИА №123 (1963). Ранние определения следует сверять с более новой аналитикой.
SRC008,М.А. Калугина. «Текстиль домонгольского времени из археологических исследований Великого Новгорода»,рецензируемая научная статья / археологический текстиль,https://www.evrazstep.ru/index.php/aes/article/view/929,"Исследование шёлковых, шерстяных и растительных тканей домонгольского времени из Новгорода; обсуждаются технология и импорт.",ткани до середины XIII в.; шёлк; шерсть; растительные волокна,A / очень высокий,Один из главных источников для периода около 1230 г.
SRC009,М.А. Калугина. «Текстиль Великого Новгорода второй трети XIII–XV вв.»,рецензируемая научная статья / археологический текстиль,https://www.evrazstep.ru/index.php/aes/article/view/1198,"Материалы второй трети XIII–XV вв.: шерсть, шёлк, лён, конопля и редкие/поздние волокна.",переход после 1230; волокна; импорт; хронологические ограничения,A–B / высокий,Для 1230 использовать главным образом раннюю границу; хлопок не считать обычным материалом эпохи.
SRC010,М.А. Калугина. «Импортные ткани в средневековом Новгороде»,рецензируемая научная статья / археологический текстиль,https://www.evrazstep.ru/index.php/aes/article/view/1542,"Анализ импортных шёлковых, золото-тканых и западноевропейских шерстяных тканей; подчёркивает редкость и статусность импорта.",импортный шёлк; тонкое сукно; золото-тканые детали; социальная стратификация,A–B / высокий,"Часть материала позднее 1230; использовать для рамок доступности, а не для переноса всех образцов в первую половину XIII в."
SRC011,М.И. Петров. «Культурный слой Новгорода и вещевые хронологии»,научная статья / методология датирования,https://archaeolog.ru/media/periodicals/archaeology/2021_Petrov.pdf,Критическая оценка вещевых хронологий Новгорода и их привязки к обновляющейся дендрохронологии.,методологическая осторожность; пересмотр датировок типов,A / высокий,Используется как предупреждение: узкая дата конкретной формы может изменяться при новой стратиграфической сверке.
SRC012,Д.О. Осипов и др. «Кожаные туфли из погребений Георгиевского собора Юрьева монастыря Великого Новгорода»,научная статья / археология обуви,https://archaeolog.ru/media/dissovet/OSIPOV_inf.pdf,Публикация и библиография исследования обуви из домонгольских погребений Георгиевского собора; подтверждает женскую и детскую обувь высокого качества.,погребальная обувь; женские и детские сапоги/туфли; конструкция обуви,A / очень высокий,"PDF — автореферат/список работ; полная статья: КСИА, вып. 253, 2018, с. 335–347."
SRC013,«В Великом Новгороде найдены каменные саркофаги домонгольского времени»,официальное сообщение ИА РАН / археология,https://archaeolog.ru/en/press/articles/v-velikom-novgorode-naydeny-kamennye-sarkofagi-domongolskogo-vremeni,"Погребения XII – начала XIII вв. в Юрьевом монастыре: обувь, женские серебряные украшения и детские погребения; вероятно элитная семья.",элитная женская обувь; височные/ушные украшения; дети; социальный статус,A / очень высокий,Погребальный и элитный контекст не равен повседневной норме.
SRC014,«Древнерусские берестяные грамоты» — база данных,первичный письменный источник / научная база,https://gramoty.ru/birchbark/document/list/,"Научная база НИУ ВШЭ и Института славяноведения РАН с текстами, датировками, переводами и библиографией берестяных грамот.","терминология одежды, имущества и торговли; социальный контекст",A / очень высокий,"Слово в грамоте подтверждает вещь/термин, но не полный крой и внешний вид."
SRC015,Берестяная грамота №765,первичный письменный источник,https://gramoty.ru/birchbark/document/show/novgorod/765/,Грамота 1240–1260 гг. с упоминанием буро-красного плаща/верхней одежды и ткани.,плащ/мятель; буро-красная окраска; торговля тканью,A / очень высокий,Название и перевод предмета имеют филологические нюансы; не использовать как точную выкройку.
SRC016,Берестяная грамота №429,первичный письменный источник,https://gramoty.ru/birchbark/document/show/novgorod/429/,"Опись приданого 1160–1180 гг.: ожерелье, серьги, две шубы, цветные ткани/одежды, головные элементы с лентами и сундуки.",женская одежда; шубы; украшения; головной убор; цветные ткани; имущество,A / высокий,Некоторые древнерусские названия предметов интерпретируются неоднозначно; форма головных деталей — B/C.
SRC017,Берестяная грамота №153,первичный письменный источник,https://gramoty.ru/birchbark/document/show/novgorod/153/,Грамота 1180–1200 гг. с поручением купить лосиную шкуру.,использование и торговля шкурами; промысловый материал,A / очень высокий,Не доказывает конкретный предмет одежды из лося; только доступность материала.
SRC018,Берестяная грамота №438,первичный письменный источник,https://gramoty.ru/birchbark/document/show/novgorod/438/,"Купеческая опись 1180–1200 гг.: подошвы, вероятные заготовки обуви, ножи, гребни, шуба.",сапожное производство; торговля; ножи; гребни; шуба,A / очень высокий,Часть чтения фрагментарна; использовать только надёжно переведённые категории.
SRC019,Берестяная грамота №141,первичный письменный источник / поздняя сравнительная аналогия,https://gramoty.ru/birchbark/document/show/novgorod/141/,"Опись последней трети XIII в.: шуба, свита, сорочица, шапка, сапоги и тоболы/сумки.",комплект одежды; сумки-тоболы; терминология,B / высокий как поздняя аналогия,"Позже центра 1230 примерно на полвека; годится для осторожной проверки устойчивости терминов, не для доказательства точной формы."
SRC020,Берестяная грамота №724,первичный письменный источник,https://gramoty.ru/birchbark/document/show/novgorod/724/,Грамота 1160–1180 гг. о поездке в Югру и меховой дани/промысле.,меховая торговля; дальние поездки; промысловый контекст,A / высокий,Не задаёт крой одежды; подтверждает экономическую и дорожную рамку.
SRC021,А.Н. Кирпичников. «Древнерусское оружие. Вып. I. Мечи и сабли IX–XIII вв.»,научный археологический свод,https://rodnovery.ru/images/knigi/Kirpichnikov_1_Mechi_sabli.pdf,Классический типологический свод мечей и сабель Древней Руси IX–XIII вв.,мечи; сабли; датировка; статус воинов,A–B / высокий,Ссылка — зеркало; выводы следует сочетать с новыми датировками и региональным контекстом.
SRC022,"А.Н. Кирпичников. «Древнерусское оружие. Вып. II. Копья, сулицы, боевые топоры, булавы, кистени IX–XIII вв.»",научный археологический свод,https://klejn.archaeology.ru/Download/Kirpichnikov/Kirpichnikov_1966_Drevnerusskoje_2.pdf,Типологический свод древнерусского древкового и ударного оружия.,копья; сулицы; топоры; булавы; кистени,A–B / высокий,Формы в датасете не должны превращаться в единообразный «армейский стандарт».
SRC023,"А.Н. Кирпичников. «Древнерусское оружие. Вып. III. Доспех, комплекс боевых средств IX–XIII вв.»",научный археологический свод,https://klejn.archaeology.ru/Download/Kirpichnikov/Kirpichnikov_1971_Drevnerusskoje_3.pdf,Классический свод защитного вооружения и комплекса боевых средств IX–XIII вв.,кольчуги; шлемы; щиты; воинский комплекс; конское снаряжение,A–B / высокий,Редкие элитные формы не считать массовыми; учитывать новые находки и ревизии хронологии.
