currency_id,name_ru,period,region,physical_or_accounting,silver_weight_equivalent,conversion_relations,conversion_variants,accepted_locally,historical_price_use_rule,source_ids,historical_confidence,numeric_confidence,evidence_class
n1230:currency:novgorod_silver_grivna_ingot,Новгородская серебряная гривна-слиток,around 1230 unless stated otherwise,Novgorod and connected trade zones,physical_money;weight_object,,[],[],context_dependent,weight variants must be dated; do not force one exact mass for all contexts,"[""n1230:source:s0042""]",A,medium,DIRECT_NOVGOROD_EVIDENCE
n1230:currency:grivna_money_of_account,Гривна как счётная единица,around 1230 unless stated otherwise,Novgorod and connected trade zones,money_of_account,,[],[],context_dependent,relation to physical silver depends on date and context,"[""n1230:source:s0042""]",B,medium,RUS_GENERAL_EVIDENCE
n1230:currency:kuna_account,Куна,around 1230 unless stated otherwise,Novgorod and connected trade zones,money_of_account;possibly historical payment term,,[],[],context_dependent,conversion variants only; exact 1230 physical form is context-sensitive,"[""n1230:source:s0042""]",B,medium,RUS_GENERAL_EVIDENCE
n1230:currency:nogata_account,Ногата,around 1230 unless stated otherwise,Novgorod and connected trade zones,money_of_account,,[],[],context_dependent,conversion variants by period; preserve source wording,"[""n1230:source:s0042""]",B,medium,RUS_GENERAL_EVIDENCE
n1230:currency:rezana_account,Резана,around 1230 unless stated otherwise,Novgorod and connected trade zones,money_of_account,,[],[],context_dependent,earlier term; applicability near 1230 must be source-specific,"[""n1230:source:s0042""]",C,low,RUS_GENERAL_EVIDENCE
n1230:currency:veksha_bela_account,Векша / бела,around 1230 unless stated otherwise,Novgorod and connected trade zones,small_account_term;possible commodity association,,[],[],context_dependent,do not assume a circulating standardized coin,"[""n1230:source:s0042""]",C,low,RUS_GENERAL_EVIDENCE
n1230:currency:silver_by_weight,Серебро по весу,around 1230 unless stated otherwise,Novgorod and connected trade zones,physical_payment_method,,[],[],context_dependent,"mass, assay and form belong to the concrete transaction","[""n1230:source:s0042""]",A,medium,DIRECT_NOVGOROD_EVIDENCE
n1230:currency:hacksilver_scrap,Рубленое серебро и серебряный лом,around 1230 unless stated otherwise,Novgorod and connected trade zones,physical_payment_material,,[],[],context_dependent,accepted by weight only where transaction context supports it,"[""n1230:source:s0042""]",B,medium,RUS_GENERAL_EVIDENCE
n1230:currency:western_denarius_general,Западноевропейский денарий — общий тип,around 1230 unless stated otherwise,Novgorod and connected trade zones,foreign_physical_coin,,[],[],context_dependent,locally evaluated by type or weight; no modern exchange desk,"[""n1230:source:s0042""]",C,low,RUS_GENERAL_EVIDENCE
n1230:currency:german_denier,Немецкий денарий,around 1230 unless stated otherwise,Novgorod and connected trade zones,foreign_physical_coin,,[],[],context_dependent,city and issue vary; use only with dated evidence,"[""n1230:source:s0042""]",C,low,RUS_GENERAL_EVIDENCE
n1230:currency:gotlandic_coin,Готландская монета / пеннинг,around 1230 unless stated otherwise,Novgorod and connected trade zones,foreign_physical_coin,,[],[],context_dependent,cautious foreign-trade profile; exact issue varies,"[""n1230:source:s0042""]",C,low,RUS_GENERAL_EVIDENCE
n1230:currency:livonian_coinage_early,Ранние ливонские монетные выпуски,around 1230 unless stated otherwise,Novgorod and connected trade zones,foreign_physical_coin,,[],[],context_dependent,context-bound and chronologically sensitive near 1230,"[""n1230:source:s0042""]",D,low,COMPARATIVE_EVIDENCE
n1230:currency:arabic_dirham_residual,Арабский дирхам или его серебро — остаточный/сравнительный контекст,around 1230 unless stated otherwise,Novgorod and connected trade zones,foreign_coin_or_silver,,[],[],context_dependent,not a default everyday currency of Novgorod in 1230,"[""n1230:source:s0042""]",D,low,COMPARATIVE_EVIDENCE
