seasonality_id,record_type,record_id,item_id,month,availability,basis,historical_confidence,notes
SEA000001,ingredient,ING0001,FMA0001,jan,common,year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000002,ingredient,ING0001,FMA0001,feb,common,year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000003,ingredient,ING0001,FMA0001,mar,common,year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000004,ingredient,ING0001,FMA0001,apr,common,year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000005,ingredient,ING0001,FMA0001,may,common,year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000006,ingredient,ING0001,FMA0001,jun,common,year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000007,ingredient,ING0001,FMA0001,jul,common,year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000008,ingredient,ING0001,FMA0001,aug,common,year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000009,ingredient,ING0001,FMA0001,sep,common,year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000010,ingredient,ING0001,FMA0001,oct,common,year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000011,ingredient,ING0001,FMA0001,nov,common,year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000012,ingredient,ING0001,FMA0001,dec,common,year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000013,ingredient,ING0002,FMA0002,jan,common,year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000014,ingredient,ING0002,FMA0002,feb,common,year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000015,ingredient,ING0002,FMA0002,mar,common,year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000016,ingredient,ING0002,FMA0002,apr,common,year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000017,ingredient,ING0002,FMA0002,may,common,year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000018,ingredient,ING0002,FMA0002,jun,common,year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000019,ingredient,ING0002,FMA0002,jul,common,year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000020,ingredient,ING0002,FMA0002,aug,common,year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000021,ingredient,ING0002,FMA0002,sep,common,year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000022,ingredient,ING0002,FMA0002,oct,common,year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000023,ingredient,ING0002,FMA0002,nov,common,year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000024,ingredient,ING0002,FMA0002,dec,common,year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000025,ingredient,ING0003,FOD0037,jan,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000026,ingredient,ING0003,FOD0037,feb,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000027,ingredient,ING0003,FOD0037,mar,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000028,ingredient,ING0003,FOD0037,apr,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000029,ingredient,ING0003,FOD0037,may,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000030,ingredient,ING0003,FOD0037,jun,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000031,ingredient,ING0003,FOD0037,jul,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000032,ingredient,ING0003,FOD0037,aug,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000033,ingredient,ING0003,FOD0037,sep,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000034,ingredient,ING0003,FOD0037,oct,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000035,ingredient,ING0003,FOD0037,nov,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000036,ingredient,ING0003,FOD0037,dec,stored_available,stored_year_round,A,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000037,ingredient,ING0004,FMA0003,jan,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000038,ingredient,ING0004,FMA0003,feb,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
SEA000039,ingredient,ING0004,FMA0003,mar,stored_available,stored_year_round,B,"Availability is a regional/household model, not proof of stock in a particular scene."
