recipe_id,slug,base_recipe_id,variant_id,name_ru,historical_name,alt_names,recipe_type,subcategory,description_ru,period_from,period_to,valid_for_1230,region_scope,cultural_scope,historical_confidence,recipe_evidence_type,evidence_basis,source_ids,social_scope,profession_scope,religious_scope,fasting_status,season_scope,month_scope,ingredient_ids,ingredient_quantities_historical,ingredient_quantities_reconstruction,optional_ingredient_ids,substitutions,intermediate_product_ids,tool_ids,vessel_ids,fuel_ids,location_ids,preparation_steps,heating_method,estimated_temperature_c,temperature_basis,historical_time,reconstruction_time_minutes,fermentation_time,resting_time,drying_time,yield,servings,portion_mass_estimate,portion_basis,finished_item_id,finished_item_state,byproduct_ids,waste_item_ids,storage_container_ids,storage_location_ids,estimated_shelf_life,shelf_life_basis,rarity,relative_cost,relative_cost_basis,made_by_activity_ids,profession_ids,image_refs,anachronism_risk,do_not_confuse_with,notes_for_gameplay,notes_for_image_generation,notes_for_modern_reconstruction,modern_food_safety_notes,technical_profile,automatic_generation_policy
RCP0001,clean_rye_grain,,,Переборка и веяние зерна ржи,unknown,[],processing,grain_cleaning,Базовая операция подготовки зерна; не фиксирует процент отхода как исторически известный.,1180,1260,true,Великий Новгород и Новгородская земля,"[""Novgorod Rus""]",A,archaeological,Технология или продукт прямо/археологически подтверждены; точная домашняя рецептура всё равно не записана.,"[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]","[""common""]","[""PRO0081"",""PRO0099""]","[""ordinary_day""]",fasting_allowed,"[""spring"",""summer"",""autumn"",""winter""]","[""jan"",""feb"",""mar"",""apr"",""may"",""jun"",""jul"",""aug"",""sep"",""oct"",""nov"",""dec""]","[""ING0005""]","{""ING0005"":""unknown""}","{""ING0005"":{""min_g"":300,""max_g"":1000,""basis"":""modern_reconstruction""}}",[],[],[],"[""POT0030"",""POT0002""]","[""HOU0019"",""HOU0015""]",[],"[""ARC0018"",""ARC0031""]","[""RST000001"",""RST000002"",""RST000003""]",none,"{""min"":null,""max"":null}",not_applicable,unknown,"{""min"":20,""max"":120}",none,none,none,clean grain plus chaff and sorting waste,4,gameplay estimate; depends on household and scarcity,gameplay_estimate,OMI01270,ready_to_eat,"[""OMI01284""]","[""OMI01285""]","[""AGR0008"",""AGR0009"",""AGR0011""]","[""ARC0018""]",months if dry,reconstruction_estimate,common,low,inferred,"[""ACT00401""]","[""PRO0081"",""PRO0099""]","[""FIMG0030"",""FIMG0031"",""FIMG0011"",""FIMG0013"",""FIMG0014"",""FIMG0016""]",low,,"Количество чистого зерна должно выводиться из исходной партии с code-owned потерями, а не появляться из рецепта.",,,,{},enabled
RCP0002,crush_rye_grain_to_groats,,,Дробление зерна ржи в крупу,unknown,[],processing,milling_groats,Исторически осторожная технологическая запись: Дробление зерна ржи в крупу.,1180,1260,true,Великий Новгород и Новгородская земля,"[""Novgorod Rus""]",B,ingredient_based_reconstruction,"Сочетание источников по ингредиентам, материальной технологии и близким письменным данным; точные граммы, минуты и температуры являются реконструкцией.","[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]","[""common""]","[""PRO0081"",""PRO0099""]","[""ordinary_day""]",fasting_allowed,"[""spring"",""summer"",""autumn"",""winter""]","[""jan"",""feb"",""mar"",""apr"",""may"",""jun"",""jul"",""aug"",""sep"",""oct"",""nov"",""dec""]","[""ING0005""]","{""ING0005"":""unknown""}","{""ING0005"":{""min_g"":300,""max_g"":1000,""basis"":""modern_reconstruction""}}",[],[],[],"[""AGR0017"",""POT0032"",""POT0029"",""POT0030""]","[""HOU0019"",""HOU0015""]",[],"[""ARC0018"",""ARC0031""]","[""RST000004"",""RST000005"",""RST000006"",""RST000007""]",none,"{""min"":null,""max"":null}",not_applicable,unknown,"{""min"":40,""max"":180}",none,none,none,groats plus flour dust and husk residue,4,gameplay estimate; depends on household and scarcity,gameplay_estimate,OMI01290,ready_to_eat,"[""OMI01301""]","[""OMI01285""]","[""HOU0015"",""AGR0009""]","[""ARC0018""]",weeks to months if dry,reconstruction_estimate,common,low,inferred,"[""ACT00402"",""ACT00403""]","[""PRO0081"",""PRO0099""]","[""FIMG0030"",""FIMG0031"",""FIMG0011"",""FIMG0013"",""FIMG0014"",""FIMG0016""]",low,,,,,,{},enabled
RCP0003,grind_rye_grain_to_flour,,,Помол зерна ржи в муку,unknown,[],processing,milling_flour,Исторически осторожная технологическая запись: Помол зерна ржи в муку.,1180,1260,true,Великий Новгород и Новгородская земля,"[""Novgorod Rus""]",A,archaeological,Технология или продукт прямо/археологически подтверждены; точная домашняя рецептура всё равно не записана.,"[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]","[""common""]","[""PRO0081"",""PRO0082"",""PRO0099""]","[""ordinary_day""]",fasting_allowed,"[""spring"",""summer"",""autumn"",""winter""]","[""jan"",""feb"",""mar"",""apr"",""may"",""jun"",""jul"",""aug"",""sep"",""oct"",""nov"",""dec""]","[""ING0005""]","{""ING0005"":""unknown""}","{""ING0005"":{""min_g"":300,""max_g"":1000,""basis"":""modern_reconstruction""}}",[],[],[],"[""AGR0017"",""POT0030"",""POT0031""]","[""HOU0019"",""HOU0015""]",[],"[""ARC0018"",""ARC0031""]","[""RST000008"",""RST000009"",""RST000010"",""RST000011""]",none,"{""min"":null,""max"":null}",not_applicable,unknown,"{""min"":60,""max"":300}",none,none,none,flour plus bran/siftings,4,gameplay estimate; depends on household and scarcity,gameplay_estimate,OMI01294,ready_to_eat,"[""OMI01300"",""OMI01301""]","[""OMI01285""]","[""HOU0015"",""AGR0009""]","[""ARC0018""]",weeks to months if dry,reconstruction_estimate,common,low,inferred,"[""ACT00402"",""ACT00403"",""ACT00404""]","[""PRO0081"",""PRO0082"",""PRO0099""]","[""FIMG0030"",""FIMG0031"",""FIMG0011"",""FIMG0013"",""FIMG0014"",""FIMG0016""]",low,,,,,,{},enabled
RCP0004,clean_wheat_grain,,,Переборка и веяние зерна пшеницы,unknown,[],processing,grain_cleaning,Базовая операция подготовки зерна; не фиксирует процент отхода как исторически известный.,1180,1260,true,Великий Новгород и Новгородская земля,"[""Novgorod Rus""]",A,archaeological,Технология или продукт прямо/археологически подтверждены; точная домашняя рецептура всё равно не записана.,"[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]","[""common""]","[""PRO0081"",""PRO0099""]","[""ordinary_day""]",fasting_allowed,"[""spring"",""summer"",""autumn"",""winter""]","[""jan"",""feb"",""mar"",""apr"",""may"",""jun"",""jul"",""aug"",""sep"",""oct"",""nov"",""dec""]","[""ING0006""]","{""ING0006"":""unknown""}","{""ING0006"":{""min_g"":300,""max_g"":1000,""basis"":""modern_reconstruction""}}",[],[],[],"[""POT0030"",""POT0002""]","[""HOU0019"",""HOU0015""]",[],"[""ARC0018"",""ARC0031""]","[""RST000012"",""RST000013"",""RST000014""]",none,"{""min"":null,""max"":null}",not_applicable,unknown,"{""min"":20,""max"":120}",none,none,none,clean grain plus chaff and sorting waste,4,gameplay estimate; depends on household and scarcity,gameplay_estimate,OMI01270,ready_to_eat,"[""OMI01284""]","[""OMI01285""]","[""AGR0008"",""AGR0009"",""AGR0011""]","[""ARC0018""]",months if dry,reconstruction_estimate,common,low,inferred,"[""ACT00401""]","[""PRO0081"",""PRO0099""]","[""FIMG0011"",""FIMG0013"",""FIMG0014"",""FIMG0016""]",low,,"Количество чистого зерна должно выводиться из исходной партии с code-owned потерями, а не появляться из рецепта.",,,,{},enabled
RCP0005,crush_wheat_grain_to_groats,,,Дробление зерна пшеницы в крупу,unknown,[],processing,milling_groats,Исторически осторожная технологическая запись: Дробление зерна пшеницы в крупу.,1180,1260,true,Великий Новгород и Новгородская земля,"[""Novgorod Rus""]",B,ingredient_based_reconstruction,"Сочетание источников по ингредиентам, материальной технологии и близким письменным данным; точные граммы, минуты и температуры являются реконструкцией.","[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]","[""common""]","[""PRO0081"",""PRO0099""]","[""ordinary_day""]",fasting_allowed,"[""spring"",""summer"",""autumn"",""winter""]","[""jan"",""feb"",""mar"",""apr"",""may"",""jun"",""jul"",""aug"",""sep"",""oct"",""nov"",""dec""]","[""ING0006""]","{""ING0006"":""unknown""}","{""ING0006"":{""min_g"":300,""max_g"":1000,""basis"":""modern_reconstruction""}}",[],[],[],"[""AGR0017"",""POT0032"",""POT0029"",""POT0030""]","[""HOU0019"",""HOU0015""]",[],"[""ARC0018"",""ARC0031""]","[""RST000015"",""RST000016"",""RST000017"",""RST000018""]",none,"{""min"":null,""max"":null}",not_applicable,unknown,"{""min"":40,""max"":180}",none,none,none,groats plus flour dust and husk residue,4,gameplay estimate; depends on household and scarcity,gameplay_estimate,OMI01289,ready_to_eat,"[""OMI01301""]","[""OMI01285""]","[""HOU0015"",""AGR0009""]","[""ARC0018""]",weeks to months if dry,reconstruction_estimate,common,low,inferred,"[""ACT00402"",""ACT00403""]","[""PRO0081"",""PRO0099""]","[""FIMG0011"",""FIMG0013"",""FIMG0014"",""FIMG0016""]",low,,,,,,{},enabled
RCP0006,grind_wheat_grain_to_flour,,,Помол зерна пшеницы в муку,unknown,[],processing,milling_flour,Исторически осторожная технологическая запись: Помол зерна пшеницы в муку.,1180,1260,true,Великий Новгород и Новгородская земля,"[""Novgorod Rus""]",A,archaeological,Технология или продукт прямо/археологически подтверждены; точная домашняя рецептура всё равно не записана.,"[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]","[""common""]","[""PRO0081"",""PRO0082"",""PRO0099""]","[""ordinary_day""]",fasting_allowed,"[""spring"",""summer"",""autumn"",""winter""]","[""jan"",""feb"",""mar"",""apr"",""may"",""jun"",""jul"",""aug"",""sep"",""oct"",""nov"",""dec""]","[""ING0006""]","{""ING0006"":""unknown""}","{""ING0006"":{""min_g"":300,""max_g"":1000,""basis"":""modern_reconstruction""}}",[],[],[],"[""AGR0017"",""POT0030"",""POT0031""]","[""HOU0019"",""HOU0015""]",[],"[""ARC0018"",""ARC0031""]","[""RST000019"",""RST000020"",""RST000021"",""RST000022""]",none,"{""min"":null,""max"":null}",not_applicable,unknown,"{""min"":60,""max"":300}",none,none,none,flour plus bran/siftings,4,gameplay estimate; depends on household and scarcity,gameplay_estimate,OMI01298,ready_to_eat,"[""OMI01300"",""OMI01301""]","[""OMI01285""]","[""HOU0015"",""AGR0009""]","[""ARC0018""]",weeks to months if dry,reconstruction_estimate,common,low,inferred,"[""ACT00402"",""ACT00403"",""ACT00404""]","[""PRO0081"",""PRO0082"",""PRO0099""]","[""FIMG0011"",""FIMG0013"",""FIMG0014"",""FIMG0016""]",low,,,,,,{},enabled
RCP0007,clean_barley_grain,,,Переборка и веяние зерна ячменя,unknown,[],processing,grain_cleaning,Базовая операция подготовки зерна; не фиксирует процент отхода как исторически известный.,1180,1260,true,Великий Новгород и Новгородская земля,"[""Novgorod Rus""]",A,archaeological,Технология или продукт прямо/археологически подтверждены; точная домашняя рецептура всё равно не записана.,"[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]","[""common""]","[""PRO0081"",""PRO0099""]","[""ordinary_day""]",fasting_allowed,"[""spring"",""summer"",""autumn"",""winter""]","[""jan"",""feb"",""mar"",""apr"",""may"",""jun"",""jul"",""aug"",""sep"",""oct"",""nov"",""dec""]","[""ING0007""]","{""ING0007"":""unknown""}","{""ING0007"":{""min_g"":300,""max_g"":1000,""basis"":""modern_reconstruction""}}",[],[],[],"[""POT0030"",""POT0002""]","[""HOU0019"",""HOU0015""]",[],"[""ARC0018"",""ARC0031""]","[""RST000023"",""RST000024"",""RST000025""]",none,"{""min"":null,""max"":null}",not_applicable,unknown,"{""min"":20,""max"":120}",none,none,none,clean grain plus chaff and sorting waste,4,gameplay estimate; depends on household and scarcity,gameplay_estimate,OMI01270,ready_to_eat,"[""OMI01284""]","[""OMI01285""]","[""AGR0008"",""AGR0009"",""AGR0011""]","[""ARC0018""]",months if dry,reconstruction_estimate,common,low,inferred,"[""ACT00401""]","[""PRO0081"",""PRO0099""]","[""FIMG0011"",""FIMG0013"",""FIMG0014"",""FIMG0016""]",low,,"Количество чистого зерна должно выводиться из исходной партии с code-owned потерями, а не появляться из рецепта.",,,,{},enabled
RCP0008,crush_barley_grain_to_groats,,,Дробление зерна ячменя в крупу,unknown,[],processing,milling_groats,Исторически осторожная технологическая запись: Дробление зерна ячменя в крупу.,1180,1260,true,Великий Новгород и Новгородская земля,"[""Novgorod Rus""]",A,archaeological,Технология или продукт прямо/археологически подтверждены; точная домашняя рецептура всё равно не записана.,"[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]","[""common""]","[""PRO0081"",""PRO0099""]","[""ordinary_day""]",fasting_allowed,"[""spring"",""summer"",""autumn"",""winter""]","[""jan"",""feb"",""mar"",""apr"",""may"",""jun"",""jul"",""aug"",""sep"",""oct"",""nov"",""dec""]","[""ING0007""]","{""ING0007"":""unknown""}","{""ING0007"":{""min_g"":300,""max_g"":1000,""basis"":""modern_reconstruction""}}",[],[],[],"[""AGR0017"",""POT0032"",""POT0029"",""POT0030""]","[""HOU0019"",""HOU0015""]",[],"[""ARC0018"",""ARC0031""]","[""RST000026"",""RST000027"",""RST000028"",""RST000029""]",none,"{""min"":null,""max"":null}",not_applicable,unknown,"{""min"":40,""max"":180}",none,none,none,groats plus flour dust and husk residue,4,gameplay estimate; depends on household and scarcity,gameplay_estimate,OMI01291,ready_to_eat,"[""OMI01301""]","[""OMI01285""]","[""HOU0015"",""AGR0009""]","[""ARC0018""]",weeks to months if dry,reconstruction_estimate,common,low,inferred,"[""ACT00402"",""ACT00403""]","[""PRO0081"",""PRO0099""]","[""FIMG0011"",""FIMG0013"",""FIMG0014"",""FIMG0016""]",low,,,,,,{},enabled
RCP0009,grind_barley_grain_to_flour,,,Помол зерна ячменя в муку,unknown,[],processing,milling_flour,Исторически осторожная технологическая запись: Помол зерна ячменя в муку.,1180,1260,true,Великий Новгород и Новгородская земля,"[""Novgorod Rus""]",A,archaeological,Технология или продукт прямо/археологически подтверждены; точная домашняя рецептура всё равно не записана.,"[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]","[""common""]","[""PRO0081"",""PRO0082"",""PRO0099""]","[""ordinary_day""]",fasting_allowed,"[""spring"",""summer"",""autumn"",""winter""]","[""jan"",""feb"",""mar"",""apr"",""may"",""jun"",""jul"",""aug"",""sep"",""oct"",""nov"",""dec""]","[""ING0007""]","{""ING0007"":""unknown""}","{""ING0007"":{""min_g"":300,""max_g"":1000,""basis"":""modern_reconstruction""}}",[],[],[],"[""AGR0017"",""POT0030"",""POT0031""]","[""HOU0019"",""HOU0015""]",[],"[""ARC0018"",""ARC0031""]","[""RST000030"",""RST000031"",""RST000032"",""RST000033""]",none,"{""min"":null,""max"":null}",not_applicable,unknown,"{""min"":60,""max"":300}",none,none,none,flour plus bran/siftings,4,gameplay estimate; depends on household and scarcity,gameplay_estimate,OMI01297,ready_to_eat,"[""OMI01300"",""OMI01301""]","[""OMI01285""]","[""HOU0015"",""AGR0009""]","[""ARC0018""]",weeks to months if dry,reconstruction_estimate,common,low,inferred,"[""ACT00402"",""ACT00403"",""ACT00404""]","[""PRO0081"",""PRO0082"",""PRO0099""]","[""FIMG0011"",""FIMG0013"",""FIMG0014"",""FIMG0016""]",low,,,,,,{},enabled
RCP0010,clean_oat_grain,,,Переборка и веяние зерна овса,unknown,[],processing,grain_cleaning,Базовая операция подготовки зерна; не фиксирует процент отхода как исторически известный.,1180,1260,true,Великий Новгород и Новгородская земля,"[""Novgorod Rus""]",A,archaeological,Технология или продукт прямо/археологически подтверждены; точная домашняя рецептура всё равно не записана.,"[""SRC044"",""FSRC001"",""SRC045"",""SRC046""]","[""common""]","[""PRO0081"",""PRO0099""]","[""ordinary_day""]",fasting_allowed,"[""spring"",""summer"",""autumn"",""winter""]","[""jan"",""feb"",""mar"",""apr"",""may"",""jun"",""jul"",""aug"",""sep"",""oct"",""nov"",""dec""]","[""ING0008""]","{""ING0008"":""unknown""}","{""ING0008"":{""min_g"":300,""max_g"":1000,""basis"":""modern_reconstruction""}}",[],[],[],"[""POT0030"",""POT0002""]","[""HOU0019"",""HOU0015""]",[],"[""ARC0018"",""ARC0031""]","[""RST000034"",""RST000035"",""RST000036""]",none,"{""min"":null,""max"":null}",not_applicable,unknown,"{""min"":20,""max"":120}",none,none,none,clean grain plus chaff and sorting waste,4,gameplay estimate; depends on household and scarcity,gameplay_estimate,OMI01270,ready_to_eat,"[""OMI01284""]","[""OMI01285""]","[""AGR0008"",""AGR0009"",""AGR0011""]","[""ARC0018""]",months if dry,reconstruction_estimate,common,low,inferred,"[""ACT00401""]","[""PRO0081"",""PRO0099""]","[""FIMG0029"",""FIMG0031"",""FIMG0011"",""FIMG0013"",""FIMG0014"",""FIMG0016""]",low,,"Количество чистого зерна должно выводиться из исходной партии с code-owned потерями, а не появляться из рецепта.",,,,{},enabled
