link_id,item_id,location_archetype,location_name_ru,context_anchor_item_ids,relation,spawn_frequency,availability_class,notes,record_scope
ILO000001,OMI00001,forest,лес и лесной промысел,[],may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000002,OMI00001,yard,городской или сельский двор,"[""STR0013"",""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000003,OMI00001,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000004,OMI00001,construction_site,строительная площадка,"[""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000005,OMI00001,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000006,OMI00001,pier,"береговой спуск, мостки или причал","[""STR0010"",""STR0011"",""STR0012""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000007,OMI00002,forest,лес и лесной промысел,[],may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000008,OMI00002,yard,городской или сельский двор,"[""STR0013"",""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000009,OMI00002,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000010,OMI00002,construction_site,строительная площадка,"[""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000011,OMI00002,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000012,OMI00002,pier,"береговой спуск, мостки или причал","[""STR0010"",""STR0011"",""STR0012""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000013,OMI00003,forest,лес и лесной промысел,[],may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000014,OMI00003,yard,городской или сельский двор,"[""STR0013"",""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000015,OMI00003,workshop,ремесленная мастерская,"[""ARC0031"",""INT0019"",""INT0044""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000016,OMI00003,construction_site,строительная площадка,"[""ARC0031""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000017,OMI00003,storehouse,"клеть, амбар или склад","[""ARC0018"",""ARC0026""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000018,OMI00003,pier,"береговой спуск, мостки или причал","[""STR0010"",""STR0011"",""STR0012""]",may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
ILO000019,OMI00004,forest,лес и лесной промысел,[],may_occur_with_supporting_household_craft_environment_or_process_basis,common,common,Историческая допустимость в локации не доказывает присутствие конкретного экземпляра.,supplement_addition
